	Batf	Etv6	Fosl2	Hif1a	Irf4	Maf	Nfe2l2	Rorc	Stat3
0610005c13rik	1.0	2.0	4.0	0	1.0	2.0	0	1.0	0
0610007p14rik	10.0	0	7.0	1.0	6.0	4.0	0	0	0
0610009b22rik	2.0	0	2.0	0	1.0	1.0	0	0	1.0
0610009l18rik	8.0	2.0	4.0	4.0	5.0	10.0	1.0	2.0	3.0
0610009o20rik	3.0	2.0	0	0	1.0	0	0	0	0
0610010k14rik	1.0	2.0	1.0	1.0	2.0	0	0	0	0
0610011f06rik	5.0	1.0	0	1.0	3.0	1.0	0	2.0	0
0610012g03rik	5.0	2.0	5.0	2.0	5.0	5.0	1.0	3.0	2.0
0610030e20rik	7.0	3.0	5.0	2.0	2.0	0	0	0	0
0610031o16rik	6.0	0	4.0	0	3.0	0	0	0	0
0610037l13rik	2.0	3.0	2.0	1.0	4.0	1.0	0	0	0
0610038b21rik	6.0	0	3.0	0	4.0	1.0	0	0	0
0610039h22rik	13.0	0	7.0	0	5.0	3.0	0	3.0	1.0
0610039k10rik	4.0	3.0	0	1.0	2.0	4.0	1.0	0	0
0610040b10rik	0	2.0	0	0	2.0	0	1.0	1.0	0
0610040j01rik	1.0	0	0	0	0	0	0	0	0
0610043k17rik	7.0	0	4.0	1.0	5.0	3.0	0	1.0	4.0
1110001j03rik	4.0	2.0	4.0	1.0	7.0	4.0	0	3.0	1.0
1110002l01rik	4.0	2.0	6.0	2.0	5.0	3.0	0	0	5.0
1110004e09rik	4.0	2.0	0	2.0	3.0	1.0	0	1.0	1.0
1110004f10rik	4.0	1.0	3.0	0	3.0	2.0	0	0	0
1110006o24rik	4.0	1.0	3.0	0	4.0	4.0	0	1.0	3.0
1110008f13rik	7.0	2.0	0	3.0	2.0	1.0	0	0	0
1110008l16rik	0	1.0	0	1.0	2.0	0	0	1.0	0
1110008p14rik	3.0	2.0	0	0	1.0	2.0	0	0	0
1110017d15rik	1.0	0	2.0	0	0	0	0	0	0
1110019d14rik	0	0	0	0	3.0	1.0	0	0	0
1110020a21rik	5.0	0	1.0	2.0	3.0	0	0	1.0	0
1110028f18rik	5.0	0	1.0	0	0	0	0	0	0
1110032a03rik	4.0	1.0	4.0	1.0	2.0	3.0	0	0	0
1110032f04rik	2.0	0	0	0	2.0	0	0	1.0	0
1110034g24rik	14.0	2.0	10.0	0	7.0	4.0	0	1.0	1.0
1110037f02rik	4.0	2.0	7.0	0	3.0	1.0	0	0	0
1110038b12rik	9.0	2.0	7.0	1.0	5.0	5.0	0	3.0	0
1110038f14rik	6.0	2.0	2.0	0	3.0	0	0	0	0
1110046j04rik	6.0	1.0	4.0	1.0	3.0	4.0	0	1.0	0
1110051m20rik	4.0	0	2.0	0	2.0	0	0	2.0	0
1110059e24rik	9.0	2.0	8.0	0	4.0	3.0	0	0	3.0
1110059g10rik	2.0	1.0	1.0	0	1.0	1.0	0	0	0
1110065p20rik	1.0	2.0	0	2.0	1.0	1.0	1.0	0	0
1190002n15rik	9.0	0	3.0	2.0	1.0	7.0	0	0	0
1190007i07rik	6.0	3.0	6.0	5.0	8.0	2.0	0	0	1.0
1300002e11rik	4.0	1.0	4.0	1.0	4.0	7.0	0	2.0	0
1300017j02rik	3.0	0	2.0	0	0	0	0	0	0
1500009c09rik	1.0	0	1.0	0	0	1.0	0	1.0	1.0
1500009l16rik	3.0	0	2.0	0	2.0	1.0	0	0	0
1500011b03rik	4.0	1.0	0	1.0	2.0	0	0	0	0
1500011k16rik	4.0	0	2.0	1.0	0	2.0	0	0	0
1500015a07rik	3.0	2.0	3.0	0	2.0	0	0	0	0
1500015l24rik	3.0	0	2.0	0	3.0	2.0	0	0	0
1500015o10rik	2.0	0	0	0	0	0	0	0	0
1500017e21rik	3.0	0	3.0	0	0	0	0	0	0
1500026h17rik	7.0	1.0	5.0	0	5.0	2.0	0	1.0	7.0
1600002d24rik	16.0	0	14.0	0	6.0	6.0	0	1.0	4.0
1600002h07rik	0	2.0	1.0	0	0	2.0	0	0	4.0
1600002k03rik	6.0	4.0	9.0	0	2.0	3.0	0	3.0	0
1600010m07rik	2.0	0	5.0	0	0	0	0	0	0
1600012h06rik	0	2.0	0	0	2.0	1.0	1.0	0	0
1600014c10rik	9.0	2.0	5.0	0	11.0	7.0	0	2.0	7.0
1600014c23rik	0	0	0	4.0	0	1.0	0	3.0	0
1600019k03rik	2.0	0	2.0	0	0	0	0	0	0
1600020e01rik	20.0	2.0	10.0	7.0	12.0	12.0	4.0	5.0	8.0
1600023n17rik	1.0	3.0	2.0	2.0	0	1.0	1.0	0	0
1600029o15rik	2.0	0	1.0	0	1.0	0	0	0	0
1700001c02rik	1.0	0	0	0	0	0	0	0	0
1700001d01rik	8.0	0	6.0	0	5.0	5.0	0	1.0	1.0
1700001g11rik	3.0	2.0	0	0	3.0	2.0	0	0	0
1700001g17rik	1.0	2.0	0	0	1.0	2.0	0	0	0
1700001k23rik	0	0	0	0	0	1.0	0	0	0
1700001l05rik	1.0	0	0	2.0	0	0	0	0	0
1700001l19rik	4.0	0	2.0	0	1.0	2.0	0	3.0	0
1700001o22rik	0	0	1.0	2.0	2.0	0	0	0	0
1700001p01rik	4.0	4.0	5.0	2.0	3.0	4.0	0	1.0	0
1700003d09rik	3.0	2.0	3.0	0	6.0	0	0	1.0	1.0
1700003e16rik	3.0	0	6.0	3.0	4.0	0	0	0	0
1700003f12rik	0	0	0	2.0	0	0	0	0	0
1700003g18rik	4.0	1.0	3.0	0	3.0	2.0	0	0	0
1700003i22rik	1.0	0	1.0	0	0	0	0	0	0
1700003m07rik	0	0	2.0	0	0	1.0	0	0	0
1700006h21rik	2.0	0	0	0	0	0	0	1.0	2.0
1700007j10rik	3.0	0	2.0	0	2.0	2.0	0	1.0	0
1700007k09rik	1.0	0	1.0	0	0	0	0	0	0
1700007k13rik	1.0	1.0	1.0	0	2.0	1.0	2.0	1.0	0
1700007l15rik	5.0	2.0	1.0	2.0	4.0	2.0	1.0	1.0	0
1700008j07rik	2.0	1.0	1.0	0	2.0	1.0	0	0	0
1700008o03rik	2.0	0	1.0	0	0	0	0	0	0
1700010b08rik	3.0	0	2.0	0	0	2.0	0	0	0
