	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Etv6	Kdm6b	Jmjd6
0610007P14Rik	0.886061883322	0.936679758598	0.859957850369	0	0	0.868636842609	0	0	0	0	0
0610010K14Rik	0	0	0	0	0	0	0	0	0.796551393812	0	0
0610012G03Rik	0	0.837292844142	0.902481080563	0.840559440559	0.819446307118	0	0.913698630137	0	0.864259028643	0	0.755896158636
0610030E20Rik	0	0.779260465562	0	0	0	0	0	0.829418526679	0.932541431172	0	0
0610038B21Rik	0	0.767841747294	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0.801925471788	0.84425711275	0.764555991953	0	0	0.845674873072	0	0.85955551298	0.88927100297	0
0610040B10Rik	0	0	0	0	0	0	0	0	0.806705623144	0	0
1110001J03Rik	0	0.799099530606	0.773493629658	0	0	0	0	0	0	0	0.824657534247
1110004E09Rik	0	0	0	0	0	0	0	0	0.751480026822	0	0
1110004F10Rik	0	0	0	0	0	0	0.776003448606	0	0	0	0
1110006O24Rik	0	0.896924992815	0.92262668838	0.832503113325	0	0.754698725932	0	0	0	0	0
1110007C09Rik	0	0	0	0	0	0.914350033528	0	0	0	0	0
1110008F13Rik	0.764805057956	0	0	0	0	0	0	0	0	0	0
1110008L16Rik	0.927646326276	0.970466519782	0.905536928825	0	0.92801992528	0.898716352141	0	0	0	0	0
1110032A03Rik	0	0	0	0.765657630041	0	0	0	0.816170131239	0	0	0.794510968484
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0.792365169077
1110034G24Rik	0	0.911888111888	0	0	0	0	0	0	0	0	0
1110038B12Rik	0.775284988984	0.939208736469	0	0	0.750110163809	0.863981224255	0	0	0.769843854775	0	0
1110054M08Rik	0	0.833346105949	0	0.891704186225	0	0	0	0	0	0.915758214388	0
1110065P20Rik	0	0	0	0	0	0	0.886789922406	0.753348021841	0.83435194942	0	0
1190002F15Rik	0	0	0.873005077115	0.830702174538	0	0	0.757515087652	0.948395440176	0.810029696331	0.775361624677	0
1190002N15Rik	0.762199444391	0.763052016477	0.80949324648	0	0	0	0	0.775486157678	0	0	0
1190007I07Rik	0.799779672382	0.875390363062	0	0.806456557141	0	0	0	0.898773828911	0.837963406457	0	0
1200014J11Rik	0.790956988217	0.774671903439	0	0.813047226746	0	0	0.840137944248	0	0	0	0
1300002E11Rik	0	0	0.94431458952	0	0	0	0	0	0	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0.913602835521
1500012F01Rik	0.860992432225	0.961097806303	0.971443624868	0.848203850944	0.756930740492	0	0.886368426094	0	0.873234984194	0.959287288054	0.868885908612
1500015A07Rik	0	0	0	0	0	0	0	0	0.768751796149	0	0
1600002K03Rik	0	0.796474758119	0.88827473896	0.877124245617	0.926094453492	0.954229332312	0	0	0.854478398314	0.801187853243	0.888054411342
1600012H06Rik	0	0	0	0	0	0	0	0	0.815432512693	0	0
1600014C10Rik	0.758367659738	0.950847782355	0.858779576588	0.873225404732	0.753022320146	0	0	0	0	0	0.919063128652
1600020E01Rik	0.945789826612	0.960455982374	0.965830060351	0.960072803908	0.932177411629	0.884893189003	0.91612223393	0.924829964556	0	0.867698055369	0
1700001K19Rik	0	0	0	0	0	0	0.981492480123	0	0	0	0
1700001L19Rik	0	0	0	0	0.863463933327	0	0	0	0	0	0
1700001O22Rik	0	0	0	0	0	0	0	0.843701503975	0	0	0
1700001P01Rik	0	0	0	0.883523325989	0.838595650924	0	0.960130280678	0.871060446403	0.910364977488	0	0
1700003E16Rik	0	0	0	0	0	0.780572851806	0	0.882565379826	0	0	0
1700003F12Rik	0	0	0	0	0	0	0	0.80533576013	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0	0	0	0.849104320337
1700010I14Rik	0	0	0	0	0.939160839161	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0	0	0	0	0	0.77444199636
1700011E24Rik	0	0	0	0	0	0	0.83487881981	0	0	0	0
1700012B09Rik	0.986713286713	0.954727464317	0.925979499952	0.784011878532	0.799453970687	0.978302519398	0	0	0	0	0
1700012D14Rik	0.860408085066	0.835185362583	0.777833125778	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0.87350320912	0
1700017D01Rik	0.859134016668	0.777670274931	0.790420538366	0	0.811179231727	0.793629658013	0	0	0	0	0
1700018A04Rik	0	0.825232301945	0	0	0	0.750225117348	0	0	0	0	0
1700019G17Rik	0	0	0	0	0	0	0	0	0.78241210844	0	0.903544400805
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0.847485391321
1700020D05Rik	0	0	0	0	0	0	0.887144362487	0	0	0	0
1700020I14Rik	0	0	0	0	0	0	0.76852188907	0	0	0	0
1700020L24Rik	0	0	0	0	0	0	0	0	0	0	0.888495066577
1700020N01Rik	0.880821917808	0.826535108727	0	0	0	0	0	0	0	0	0
1700021F05Rik	0.912338346585	0.894204425711	0.869690583389	0	0	0.899540185842	0	0	0	0	0.824695852093
1700021K19Rik	0	0	0.842475332886	0	0	0.757601302807	0.796206533193	0	0	0	0
1700025G04Rik	0.974844333748	0.916610786474	0.918823642111	0.758195229428	0.875783120989	0.961864163234	0	0	0	0.758492192739	0
1700028I16Rik	0	0.856930740492	0	0	0	0	0	0	0	0	0.759220231823
1700029J07Rik	0	0	0	0	0	0	0	0.817396302328	0	0	0
1700034I23Rik	0	0	0	0	0	0	0	0.876080084299	0	0	0
1700034J05Rik	0	0	0.764268608104	0	0	0.837034198678	0	0	0	0	0
