regulator	target	weight
Batf	0610007P14Rik	0.886061883322
Irf4	0610007P14Rik	0.936679758598
Maf	0610007P14Rik	0.859957850369
Fosl2	0610007P14Rik	0.868636842609
Etv6	0610010K14Rik	0.796551393812
Irf4	0610012G03Rik	0.837292844142
Maf	0610012G03Rik	0.902481080563
Stat3	0610012G03Rik	0.840559440559
Rorc	0610012G03Rik	0.819446307118
Nfe2l2	0610012G03Rik	0.913698630137
Etv6	0610012G03Rik	0.864259028643
Irf4	0610030E20Rik	0.779260465562
Hif1a	0610030E20Rik	0.829418526679
Etv6	0610030E20Rik	0.932541431172
Irf4	0610038B21Rik	0.767841747294
Irf4	0610039K10Rik	0.801925471788
Maf	0610039K10Rik	0.84425711275
Stat3	0610039K10Rik	0.764555991953
Nfe2l2	0610039K10Rik	0.845674873072
Etv6	0610039K10Rik	0.85955551298
Etv6	0610040B10Rik	0.806705623144
Irf4	1110001J03Rik	0.799099530606
Maf	1110001J03Rik	0.773493629658
Etv6	1110004E09Rik	0.751480026822
Nfe2l2	1110004F10Rik	0.776003448606
Irf4	1110006O24Rik	0.896924992815
Maf	1110006O24Rik	0.92262668838
Stat3	1110006O24Rik	0.832503113325
Fosl2	1110006O24Rik	0.754698725932
Batf	1110008F13Rik	0.764805057956
Batf	1110008L16Rik	0.927646326276
Irf4	1110008L16Rik	0.970466519782
Maf	1110008L16Rik	0.905536928825
Rorc	1110008L16Rik	0.92801992528
Fosl2	1110008L16Rik	0.898716352141
Stat3	1110032A03Rik	0.765657630041
Hif1a	1110032A03Rik	0.816170131239
Irf4	1110034G24Rik	0.911888111888
Batf	1110038B12Rik	0.775284988984
Irf4	1110038B12Rik	0.939208736469
Rorc	1110038B12Rik	0.750110163809
Fosl2	1110038B12Rik	0.863981224255
Etv6	1110038B12Rik	0.769843854775
Nfe2l2	1110065P20Rik	0.886789922406
Hif1a	1110065P20Rik	0.753348021841
Etv6	1110065P20Rik	0.83435194942
Batf	1190002N15Rik	0.762199444391
Irf4	1190002N15Rik	0.763052016477
