regulator	target	weight
Nfe2l2	Gm3219	3.0
Batf	Vezt	12.0
Irf4	Vezt	6.0
Maf	Vezt	3.0
Fosl2	Vezt	12.0
Batf	Ict1	9.0
Stat3	Ict1	5.0
Etv6	Ict1	5.0
Rorc	Ict1	5.0
Irf4	Ict1	7.0
Maf	Ict1	4.0
Hif1a	Ict1	1.0
Fosl2	Ict1	2.0
Nfe2l2	Ict1	1.0
Batf	Afg3l2	3.0
Irf4	Afg3l2	1.0
Hif1a	Afg3l2	2.0
Batf	Tnfrsf13b	4.0
Stat3	Tnfrsf13b	1.0
Etv6	Tnfrsf13b	3.0
Rorc	Tnfrsf13b	1.0
Irf4	Tnfrsf13b	2.0
Maf	Tnfrsf13b	3.0
Fosl2	Tnfrsf13b	3.0
Batf	Pitpnm3	2.0
Fosl2	Pitpnm3	2.0
Batf	Ctss	13.0
Stat3	Ctss	1.0
Irf4	Ctss	9.0
Maf	Ctss	3.0
Fosl2	Ctss	3.0
Batf	Ak030357	3.0
Stat3	Ak030357	4.0
Irf4	Ak030357	1.0
Maf	Ak030357	1.0
Fosl2	Ak030357	2.0
Batf	B930041f14rik	7.0
Etv6	B930041f14rik	2.0
Rorc	B930041f14rik	1.0
Irf4	B930041f14rik	3.0
Hif1a	B930041f14rik	1.0
Fosl2	B930041f14rik	5.0
Batf	Gimap7	16.0
Stat3	Gimap7	8.0
Irf4	Gimap7	8.0
Maf	Gimap7	10.0
Hif1a	Gimap7	1.0
Fosl2	Gimap7	6.0
Fosl2	Npr3	1.0
Batf	Dq718296	1.0
Fosl2	Dq718296	1.0
Batf	Mir6953	5.0
Stat3	Mir6953	2.0
Irf4	Mir6953	4.0
Maf	Mir6953	3.0
Fosl2	Mir6953	3.0
Batf	Zfp334	2.0
Fosl2	Zfp334	4.0
Batf	Agxt2	1.0
Fosl2	Agxt2	2.0
Batf	Ak020767	3.0
Etv6	Ak020767	2.0
Rorc	Ak020767	1.0
Irf4	Ak020767	3.0
Batf	Kat2a	6.0
Stat3	Kat2a	3.0
Irf4	Kat2a	7.0
Maf	Kat2a	4.0
Fosl2	Kat2a	2.0
Batf	Ak040231	3.0
Irf4	Ak040231	3.0
Fosl2	Ak040231	2.0
Batf	Kif11	5.0
Etv6	Kif11	2.0
Irf4	Kif11	4.0
Maf	Kif11	2.0
Hif1a	Kif11	2.0
Fosl2	Kif11	9.0
Batf	Ak137106	1.0
Irf4	Ak137106	3.0
Hif1a	Ak137106	1.0
Fosl2	Ak137106	2.0
Batf	Pde4b	25.0
Stat3	Pde4b	5.0
Rorc	Pde4b	5.0
Irf4	Pde4b	8.0
Maf	Pde4b	9.0
Fosl2	Pde4b	17.0
Batf	Ak142940	6.0
Etv6	Ak142940	1.0
Rorc	Ak142940	1.0
Irf4	Ak142940	3.0
Maf	Ak142940	3.0
Hif1a	Ak142940	2.0
Fosl2	Ak142940	4.0
Batf	Cdkn2aipnl	5.0
Stat3	Cdkn2aipnl	1.0
Rorc	Cdkn2aipnl	2.0
Irf4	Cdkn2aipnl	5.0
Maf	Cdkn2aipnl	1.0
Hif1a	Cdkn2aipnl	1.0
Nfe2l2	Cdkn2aipnl	2.0
Batf	Krt20	3.0
Stat3	Krt20	1.0
Rorc	Krt20	1.0
Fosl2	Krt20	2.0
Batf	Adcy9	8.0
Irf4	Adcy9	1.0
Maf	Adcy9	2.0
Fosl2	Adcy9	7.0
Batf	Gipr	4.0
Stat3	Gipr	1.0
Irf4	Gipr	1.0
Maf	Gipr	1.0
Fosl2	Gipr	5.0
Batf	Ubiad1	7.0
Stat3	Ubiad1	3.0
Etv6	Ubiad1	3.0
Rorc	Ubiad1	2.0
Irf4	Ubiad1	7.0
Maf	Ubiad1	1.0
Fosl2	Ubiad1	1.0
Batf	Syt14	2.0
Batf	4930563m20rik	2.0
Irf4	4930563m20rik	1.0
Fosl2	4930563m20rik	2.0
Batf	Fbxo3	4.0
Irf4	Fbxo3	1.0
Fosl2	Fbxo3	2.0
Batf	Ak045943	2.0
Fosl2	Ak045943	2.0
Batf	Pcmt1	3.0
Rorc	Pcmt1	2.0
Irf4	Pcmt1	3.0
Fosl2	Pcmt1	1.0
Batf	Mir7227	5.0
Stat3	Mir7227	2.0
Etv6	Mir7227	2.0
Rorc	Mir7227	1.0
Irf4	Mir7227	3.0
Maf	Mir7227	4.0
Fosl2	Mir7227	2.0
Nfe2l2	Mir7227	1.0
Batf	Ab336401	2.0
Batf	Gm11538	2.0
Maf	Gm11538	2.0
Fosl2	Gm11538	1.0
Batf	Ptchd3	2.0
Irf4	Ptchd3	1.0
Maf	Ptchd3	2.0
Batf	Ces4a	2.0
Fosl2	Ces4a	2.0
Batf	Pde3b	28.0
Stat3	Pde3b	5.0
Rorc	Pde3b	5.0
Irf4	Pde3b	11.0
Maf	Pde3b	11.0
Hif1a	Pde3b	3.0
Fosl2	Pde3b	18.0
Batf	Nup85	2.0
Etv6	Nup85	2.0
Irf4	Nup85	1.0
Maf	Nup85	1.0
Fosl2	Nup85	2.0
Nfe2l2	Nup85	4.0
Batf	Eg545963	2.0
Etv6	Eg545963	1.0
Irf4	Eg545963	1.0
Maf	Eg545963	2.0
Fosl2	Eg545963	2.0
Batf	Mir8096	11.0
Stat3	Mir8096	1.0
Etv6	Mir8096	2.0
Rorc	Mir8096	6.0
Irf4	Mir8096	8.0
Maf	Mir8096	6.0
Fosl2	Mir8096	9.0
Batf	Ak082145	3.0
Rorc	Ak082145	2.0
Irf4	Ak082145	1.0
Hif1a	Ak082145	1.0
Fosl2	Ak082145	2.0
Batf	Pik3r1	11.0
Stat3	Pik3r1	1.0
Rorc	Pik3r1	2.0
Irf4	Pik3r1	3.0
Maf	Pik3r1	3.0
Fosl2	Pik3r1	3.0
Batf	Cd33	2.0
Stat3	Cd33	1.0
Maf	Cd33	1.0
Fosl2	Cd33	3.0
Batf	Fstl4	25.0
Stat3	Fstl4	3.0
Rorc	Fstl4	7.0
Irf4	Fstl4	10.0
Maf	Fstl4	8.0
Fosl2	Fstl4	13.0
Batf	4921504e06rik	10.0
Stat3	4921504e06rik	2.0
Rorc	4921504e06rik	2.0
Irf4	4921504e06rik	6.0
Maf	4921504e06rik	5.0
Fosl2	4921504e06rik	6.0
Batf	Fbn1	4.0
Maf	Fbn1	2.0
Fosl2	Fbn1	2.0
Batf	Igflr1	1.0
Etv6	Igflr1	1.0
Rorc	Igflr1	1.0
Fosl2	Igflr1	2.0
Batf	Tgfb3	9.0
Stat3	Tgfb3	1.0
Rorc	Tgfb3	2.0
Irf4	Tgfb3	1.0
Maf	Tgfb3	2.0
Hif1a	Tgfb3	2.0
Fosl2	Tgfb3	6.0
Batf	Arhgap26	2.0
Batf	F2rl1	7.0
Stat3	F2rl1	2.0
Irf4	F2rl1	2.0
Fosl2	F2rl1	6.0
Batf	Rp9	1.0
Irf4	Rp9	1.0
Hif1a	Rp9	1.0
Batf	Rplp0	5.0
Etv6	Rplp0	4.0
Rorc	Rplp0	1.0
Irf4	Rplp0	4.0
Maf	Rplp0	4.0
Hif1a	Rplp0	2.0
Fosl2	Rplp0	4.0
Nfe2l2	Rplp0	6.0
Batf	Wdr76	3.0
Etv6	Wdr76	2.0
Rorc	Wdr76	1.0
Irf4	Wdr76	3.0
Hif1a	Wdr76	1.0
Fosl2	Wdr76	1.0
Batf	Dq688313	2.0
Irf4	Dq688313	1.0
