	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Ikzf3	Etv6	Kdm6b	Jmjd6	Id2	Ski	Lef1	Atf6	Trib3	Sirt2	Prkrir	Satb1	Nfatc2	Crem	Ddit3	Aes	Inhba	Zfp36l2	Egr2	Bcl11b
0610007P14Rik	0	1.91947274492	0	1.25354777829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	0	0	0	0	0	0	-1.43610570258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	1.69252389516	0	0	0	0	0	0	1.70001922998	0	0	0	-1.6857358071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	0	0	0	0	0	0	0	1.59552839936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	-1.4378069956	-1.21999641744	0	-1.3918154818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	0	0	0	0	0	0	0	1.50357389651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190002N15Rik	1.73410943582	1.71887859458	-1.68684372313	1.46547481334	0	0	0	1.76290269484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500011K16Rik	0	0	0	0	0	0	1.3702879008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500012F01Rik	0	0	-1.89318704144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	0	0	-1.14718921564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	1.68657347232	0	0	0	0	0	0	1.41452667826	0	-1.58495216689	0	-1.84984663835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	-1.31573537178	1.1833286869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	-1.78662651791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	0	0	0	0	0	0	0	1.63560045755	0	0	0	1.2891971485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	1.96081870188	1.89387617571	0	1.74157369332	0	1.86349962596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	0	0	0	0	0	0	0	0	0	1.54834930309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810014B01Rik	0	0	0	0	0	0	0	0	0	0	1.56962598915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810037I17Rik	0	0	0	0	0	0	0	1.68258874447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010012O05Rik	0	0	0	0	0	0	-1.63659059043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010016I18Rik	0	0	0	1.39023795223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	0	0	0	0	0	0	0	0	0	0	0	-1.51074829952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010111I01Rik	-1.90899610574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010204K13Rik	0	0	0	0	0	0	0	1.44211551061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010320M18Rik	0	0	0	0	0	0	0	0	0	-1.48404353447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210018M11Rik	0	1.02700964581	0	1.28110759463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003H01Rik	0	0	0	0	0	0	0	0	0	0	0	1.49546582784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310007L24Rik	1.25359203569	1.39074147798	1.22165573531	1.52329226464	1.8726587746	1.65722571305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310011J03Rik	0	0	0	0	0	0	0	1.41289715418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310022A10Rik	-1.57750073595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310022B05Rik	0	0	0	0	0	0	0	1.71664527574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310039H08Rik	0	0	0	0	0	1.59767331583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310047M10Rik	0	0	0	0	0	0	0	1.89824161488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410004B18Rik	0	0	0	0	0	-1.3034029475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410006H16Rik	0	0	0	0	0	1.78893713595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610005L07Rik	0	0	0	0	0	0	-1.74844241111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610015P09Rik	0	0	0	0	-1.72856922055	1.11705269143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700029M09Rik	0	0	0	0	-1.12237914811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700097O09Rik	0	0	0	0	0	0	0	1.65138278726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810002D19Rik	0	0	0	0	0	0	1.71300494319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810006K23Rik	0	0	0	0	0	0	1.69139024885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810408M09Rik	0	0	0	0	0	0	0	1.66718853456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810417H13Rik	-1.24170920451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810474O19Rik	-1.30506538791	-1.7185997585	0	0	-1.37342161718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik	0	-1.01717645834	-1.07278913582	-1.229755318	0	0	0	0	0	0	0	1.87697682887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110009E18Rik	0	0	0	0	0	0	-1.08863820595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110043O21Rik	0	1.33151189867	-1.13943155688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110052M02Rik	0	-1.50261997678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110057O12Rik	0	0	0	1.14385887827	0	1.03162699242	0	1.81657195083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110082I17Rik	0	0	0	0	0	-1.33968385709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4632428N05Rik	0	-1.87354428438	0	1.72146459117	0	1.81429413652	0	1.75107996226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833439L19Rik	0	0	0	0	0	-1.4698799563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930404N11Rik	0	0	0	0	0	0	1.74718996451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930417O13Rik	0	0	-1.61949849691	1.72734406543	0	0	0	1.84414926517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930452B06Rik	1.0239593327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
