Regulator	Target	Weight
Irf4	0610007P14Rik	1.91947274492
Stat3	0610007P14Rik	1.25354777829
Nfe2l2	0610009B22Rik	-1.43610570258
Batf	0610012G03Rik	1.69252389516
Hif1a	0610012G03Rik	1.70001922998
Hif1a	1110008F13Rik	1.59552839936
Batf	1110032F04Rik	-1.4378069956
Irf4	1110032F04Rik	-1.21999641744
Stat3	1110032F04Rik	-1.3918154818
Hif1a	1110059E24Rik	1.50357389651
Batf	1190002N15Rik	1.73410943582
Irf4	1190002N15Rik	1.71887859458
Maf	1190002N15Rik	-1.68684372313
Stat3	1190002N15Rik	1.46547481334
Hif1a	1190002N15Rik	1.76290269484
Nfe2l2	1500011K16Rik	1.3702879008
Maf	1600012H06Rik	-1.14718921564
Batf	1600014C10Rik	1.68657347232
Hif1a	1600014C10Rik	1.41452667826
Etv6	1600014C10Rik	-1.58495216689
Batf	1700017B05Rik	-1.31573537178
Irf4	1700017B05Rik	1.1833286869
Batf	1700021F05Rik	-1.78662651791
Batf	1700025G04Rik	1.96081870188
Irf4	1700025G04Rik	1.89387617571
Stat3	1700025G04Rik	1.74157369332
Fosl2	1700025G04Rik	1.86349962596
Etv6	1700037C18Rik	1.54834930309
Hif1a	1810037I17Rik	1.68258874447
Stat3	2010016I18Rik	1.39023795223
Batf	2010111I01Rik	-1.90899610574
Hif1a	2010204K13Rik	1.44211551061
Etv6	2010320M18Rik	-1.48404353447
Hif1a	2310011J03Rik	1.41289715418
Batf	2310022A10Rik	-1.57750073595
Hif1a	2310022B05Rik	1.71664527574
Fosl2	2310039H08Rik	1.59767331583
Fosl2	2410004B18Rik	-1.3034029475
Fosl2	2410006H16Rik	1.78893713595
Nfe2l2	2610005L07Rik	-1.74844241111
Rorc	2700029M09Rik	-1.12237914811
Hif1a	2700097O09Rik	1.65138278726
Nfe2l2	2810002D19Rik	1.71300494319
Nfe2l2	2810006K23Rik	1.69139024885
Batf	2810417H13Rik	-1.24170920451
Batf	2810474O19Rik	-1.30506538791
Irf4	2810474O19Rik	-1.7185997585
Rorc	2810474O19Rik	-1.37342161718
Irf4	2900026A02Rik	-1.01717645834
Maf	2900026A02Rik	-1.07278913582
Stat3	2900026A02Rik	-1.229755318
Nfe2l2	3110009E18Rik	-1.08863820595
Irf4	3110043O21Rik	1.33151189867
Maf	3110043O21Rik	-1.13943155688
Irf4	3110052M02Rik	-1.50261997678
Fosl2	3110082I17Rik	-1.33968385709
Fosl2	4833439L19Rik	-1.4698799563
Nfe2l2	4930404N11Rik	1.74718996451
Maf	4930417O13Rik	-1.61949849691
Stat3	4930417O13Rik	1.72734406543
Hif1a	4930417O13Rik	1.84414926517
Batf	4930452B06Rik	1.0239593327
Batf	4930503L19Rik	1.73844953375
Maf	4930503L19Rik	-1.74994468083
Maf	4931406C07Rik	-1.11483512301
Batf	4932438H23Rik	1.9125054149
Stat3	4932438H23Rik	1.85319469235
Rorc	4932438H23Rik	-1.85234553826
Fosl2	4932438H23Rik	1.9397056122
Nfe2l2	4932438H23Rik	1.70280432006
Hif1a	4932438H23Rik	1.82022735072
Batf	4933404O12Rik	-1.00757784411
