Regulator	Target	Weight	stroke
Irf4	0610007P14Rik	1.9195	rgb(222,125,126)
Batf	0610012G03Rik	1.6925	rgb(222,136,137)
Hif1a	0610012G03Rik	1.7	rgb(222,136,137)
Hif1a	1110008F13Rik	1.5955	rgb(221,141,142)
Hif1a	1110059E24Rik	1.5036	rgb(221,145,146)
Batf	1190002N15Rik	1.7341	rgb(222,134,135)
Irf4	1190002N15Rik	1.7189	rgb(222,135,136)
Maf	1190002N15Rik	-1.6868	rgb(125,161,233)
Hif1a	1190002N15Rik	1.7629	rgb(222,133,134)
Batf	1600014C10Rik	1.6866	rgb(222,136,137)
Etv6	1600014C10Rik	-1.585	rgb(131,165,232)
Batf	1700021F05Rik	-1.7866	rgb(120,158,234)
Batf	1700025G04Rik	1.9608	rgb(222,123,124)
Irf4	1700025G04Rik	1.8939	rgb(222,126,127)
Stat3	1700025G04Rik	1.7416	rgb(222,134,135)
Fosl2	1700025G04Rik	1.8635	rgb(222,128,129)
Etv6	1700037C18Rik	1.5483	rgb(221,143,144)
Hif1a	1810037I17Rik	1.6826	rgb(222,137,137)
Batf	2010111I01Rik	-1.909	rgb(113,154,235)
Batf	2310022A10Rik	-1.5775	rgb(131,165,232)
Hif1a	2310022B05Rik	1.7166	rgb(222,135,136)
Fosl2	2310039H08Rik	1.5977	rgb(221,141,141)
Fosl2	2410006H16Rik	1.7889	rgb(222,131,132)
Nfe2l2	2610005L07Rik	-1.7484	rgb(122,159,234)
Hif1a	2700097O09Rik	1.6514	rgb(222,138,139)
Nfe2l2	2810002D19Rik	1.713	rgb(222,135,136)
Nfe2l2	2810006K23Rik	1.6914	rgb(222,136,137)
Irf4	2810474O19Rik	-1.7186	rgb(124,160,233)
Irf4	3110052M02Rik	-1.5026	rgb(135,167,231)
Nfe2l2	4930404N11Rik	1.7472	rgb(222,133,134)
Maf	4930417O13Rik	-1.6195	rgb(129,164,232)
Stat3	4930417O13Rik	1.7273	rgb(222,134,135)
Hif1a	4930417O13Rik	1.8441	rgb(222,129,130)
Batf	4930503L19Rik	1.7384	rgb(222,134,135)
Maf	4930503L19Rik	-1.7499	rgb(122,159,234)
Batf	4932438H23Rik	1.9125	rgb(222,126,127)
Stat3	4932438H23Rik	1.8532	rgb(222,128,129)
Rorc	4932438H23Rik	-1.8523	rgb(116,156,235)
Fosl2	4932438H23Rik	1.9397	rgb(222,124,125)
Nfe2l2	4932438H23Rik	1.7028	rgb(222,136,136)
Hif1a	4932438H23Rik	1.8202	rgb(222,130,131)
Fosl2	5730508B09Rik	-1.7855	rgb(120,158,234)
Hif1a	9330151L19Rik	1.6848	rgb(222,136,137)
Batf	9430020K01Rik	1.5191	rgb(221,144,145)
Hif1a	9530082P21Rik	1.7016	rgb(222,136,137)
Maf	A430093F15Rik	-1.8831	rgb(115,155,235)
Stat3	A430093F15Rik	1.9722	rgb(222,123,124)
Maf	A630033H20Rik	-1.6532	rgb(127,162,233)
Hif1a	A830010M20Rik	1.5832	rgb(221,141,142)
Maf	A930015D03Rik	-1.8739	rgb(115,155,235)
Stat3	AA465934	-1.8698	rgb(115,155,235)
Nfe2l2	AI413582	1.9142	rgb(222,126,126)
Hif1a	AI413582	1.6786	rgb(222,137,138)
Batf	AI504432	1.7698	rgb(222,132,133)
Irf4	AI504432	1.9465	rgb(222,124,125)
Maf	AI504432	-1.8293	rgb(118,157,234)
Stat3	AI504432	1.611	rgb(221,140,141)
Rorc	AI504432	1.7342	rgb(222,134,135)
Fosl2	AI504432	-1.9323	rgb(112,153,235)
Hif1a	AU022252	1.6022	rgb(221,140,141)
Batf	AW112010	1.7664	rgb(222,133,133)
Maf	AW112010	-1.7531	rgb(122,159,234)
Stat3	AW112010	-1.6563	rgb(127,162,233)
Batf	AW549877	-1.833	rgb(117,156,234)
Fosl2	AW549877	1.8312	rgb(222,129,130)
Hif1a	Aamp	1.5751	rgb(221,142,143)
Irf4	Aars	1.7959	rgb(222,131,132)
Batf	Abcb9	1.6122	rgb(221,140,141)
Irf4	Abcd3	-1.7841	rgb(120,158,234)
Batf	Abcg1	-1.7848	rgb(120,158,234)
Fosl2	Abcg1	1.8817	rgb(222,127,128)
Batf	Abhd12	-1.551	rgb(133,166,232)
Nfe2l2	Abhd14a	1.8551	rgb(222,128,129)
Nfe2l2	Abhd14b	1.5288	rgb(221,144,145)
Etv6	Abhd8	-1.6812	rgb(126,161,233)
Batf	Abi3	1.6704	rgb(222,137,138)
Irf4	Abi3	1.843	rgb(222,129,130)
Stat3	Abi3	1.9014	rgb(222,126,127)
Rorc	Ablim1	-1.7873	rgb(120,158,234)
Fosl2	Ablim1	1.9783	rgb(222,122,123)
Stat3	Abtb1	1.6869	rgb(222,136,137)
Hif1a	Abtb1	1.8369	rgb(222,129,130)
Batf	Abtb2	1.9082	rgb(222,126,127)
Irf4	Abtb2	1.978	rgb(222,122,123)
Maf	Abtb2	-1.9543	rgb(111,152,236)
Stat3	Abtb2	1.9419	rgb(222,124,125)
Hif1a	Abtb2	1.8193	rgb(222,130,131)
Rorc	Acadm	-1.5305	rgb(134,166,232)
Fosl2	Acadsb	1.6823	rgb(222,137,137)
Fosl2	Acot13	1.5106	rgb(221,145,146)
Batf	Acox3	1.7467	rgb(222,134,134)
Irf4	Acox3	1.6327	rgb(221,139,140)
Batf	Acp5	1.7668	rgb(222,133,133)
Fosl2	Acp5	1.7717	rgb(222,132,133)
Hif1a	Acp5	1.7758	rgb(222,132,133)
Rorc	Acp6	-1.5511	rgb(133,166,232)
Fosl2	Acsbg1	1.7482	rgb(222,133,134)
Batf	Acsl3	-1.7556	rgb(122,159,234)
Batf	Acsl4	1.8901	rgb(222,127,128)
Irf4	Acsl4	1.8288	rgb(222,130,131)
Fosl2	Acsl4	1.7782	rgb(222,132,133)
Batf	Acsl5	-1.8288	rgb(118,157,234)
Irf4	Acsl6	1.8292	rgb(222,130,130)
Maf	Acsl6	-1.6707	rgb(126,162,233)
Stat3	Acsl6	-1.7408	rgb(122,159,234)
Rorc	Acsl6	-1.5667	rgb(132,165,232)
Fosl2	Acsl6	-1.6514	rgb(127,162,233)
Batf	Acss2	-1.6559	rgb(127,162,233)
Fosl2	Acss2	1.5927	rgb(221,141,142)
Hif1a	Acvrl1	1.8558	rgb(222,128,129)
Stat3	Adam15	1.6638	rgb(222,137,138)
Batf	Adam19	1.9901	rgb(222,122,123)
Maf	Adam19	-1.9796	rgb(110,152,236)
Stat3	Adam19	1.9734	rgb(222,123,124)
Rorc	Adam19	1.9696	rgb(222,123,124)
Irf4	Adamts6	-1.5295	rgb(134,166,232)
Batf	Adap1	1.9528	rgb(222,124,125)
Irf4	Adap1	1.966	rgb(222,123,124)
Maf	Adap1	-1.7987	rgb(119,158,234)
Fosl2	Adap1	-1.847	rgb(117,156,235)
Irf4	Adarb1	1.9548	rgb(222,124,125)
Stat3	Adarb1	1.945	rgb(222,124,125)
Fosl2	Adarb1	1.978	rgb(222,122,123)
Hif1a	Adck5	1.5871	rgb(221,141,142)
Irf4	Adcy7	-1.6233	rgb(129,163,232)
Irf4	Adh4	1.9336	rgb(222,125,126)
Stat3	Adh4	1.6959	rgb(222,136,137)
Rorc	Adh4	1.8231	rgb(222,130,131)
Fosl2	Adh4	1.88	rgb(222,127,128)
Batf	Adi1	-1.5876	rgb(131,165,232)
Maf	Adk	-1.9308	rgb(112,153,235)
Fosl2	Adk	-1.8303	rgb(118,157,234)
Batf	Adm	-1.7719	rgb(121,158,234)
Fosl2	Adora2a	-1.5067	rgb(135,167,231)
Irf4	Adss	1.6453	rgb(222,138,139)
Batf	Adssl1	1.6545	rgb(222,138,139)
Irf4	Aebp2	1.9555	rgb(222,124,125)
Fosl2	Aebp2	1.8407	rgb(222,129,130)
Hif1a	Aebp2	1.8479	rgb(222,129,130)
Batf	Aen	-1.695	rgb(125,161,233)
Fosl2	Aen	-1.8159	rgb(118,157,234)
Batf	Aff3	1.9702	rgb(222,123,124)
Irf4	Aff3	1.9708	rgb(222,123,124)
Maf	Aff3	1.9088	rgb(222,126,127)
Fosl2	Aff3	1.9766	rgb(222,123,124)
Hif1a	Afg3l2	1.835	rgb(222,129,130)
Hif1a	Agbl5	1.878	rgb(222,127,128)
Maf	Agfg1	-1.8135	rgb(119,157,234)
Fosl2	Agfg1	-1.8937	rgb(114,154,235)
Hif1a	Agl	1.5761	rgb(221,142,142)
Batf	Agpat4	-1.9332	rgb(112,153,235)
Fosl2	Agpat9	1.5942	rgb(221,141,142)
Batf	Ahcy	-1.7719	rgb(121,158,234)
Irf4	Ahi1	-1.9323	rgb(112,153,235)
Maf	Ahi1	-1.8898	rgb(114,155,235)
Batf	Ahnak	1.9627	rgb(222,123,124)
Irf4	Ahnak	1.9763	rgb(222,123,124)
Maf	Ahnak	-1.9795	rgb(110,152,236)
Stat3	Ahnak	1.8369	rgb(222,129,130)
Fosl2	Ahnak	-1.9755	rgb(110,152,236)
Hif1a	Ahnak	1.6812	rgb(222,137,137)
Batf	Ahr	1.7373	rgb(222,134,135)
Irf4	Ahr	1.8654	rgb(222,128,129)
Maf	Ahr	1.7816	rgb(222,132,133)
Irf4	Aig1	1.9325	rgb(222,125,126)
Maf	Aig1	-1.7905	rgb(120,158,234)
Stat3	Aig1	1.7471	rgb(222,133,134)
Batf	Aim1	1.953	rgb(222,124,125)
Irf4	Aim1	1.9336	rgb(222,125,126)
Stat3	Aim1	1.7871	rgb(222,132,132)
Fosl2	Aim1	1.7749	rgb(222,132,133)
Hif1a	Aimp2	1.755	rgb(222,133,134)
Irf4	Airn	-1.9137	rgb(113,154,235)
Batf	Ak3	-1.6855	rgb(125,161,233)
Hif1a	Ak4	1.81	rgb(222,130,131)
Batf	Akap13	1.9725	rgb(222,123,124)
Rorc	Akap13	-1.8205	rgb(118,157,234)
Maf	Akna	-1.9558	rgb(111,152,236)
Etv6	Akt1s1	-1.8761	rgb(115,155,235)
Irf4	Alcam	-1.9223	rgb(113,154,235)
Fosl2	Alcam	-1.7622	rgb(121,159,234)
Stat3	Aldoa	1.7069	rgb(222,135,136)
Hif1a	Aldoa	1.9437	rgb(222,124,125)
Nfe2l2	Aldoc	-1.5064	rgb(135,167,231)
Hif1a	Aldoc	1.7918	rgb(222,131,132)
Hif1a	Alg11	1.7819	rgb(222,132,133)
Hif1a	Alkbh5	1.8616	rgb(222,128,129)
Irf4	Alpk2	1.997	rgb(222,122,123)
Maf	Alpk2	1.9685	rgb(222,123,124)
Stat3	Alpk2	1.992	rgb(222,122,123)
Rorc	Alpk2	-1.9507	rgb(111,153,236)
Hif1a	Alpk2	1.6252	rgb(221,139,140)
Etv6	Alpk2	-1.616	rgb(129,164,232)
Batf	Als2cl	1.6063	rgb(221,140,141)
Stat3	Als2cl	1.5323	rgb(221,144,145)
Fosl2	Amdhd2	1.9191	rgb(222,125,126)
Batf	Amica1	-1.7422	rgb(122,159,234)
Irf4	Amica1	-1.7369	rgb(123,160,234)
Fosl2	Amica1	-1.6938	rgb(125,161,233)
Batf	Ammecr1	-1.926	rgb(112,153,235)
Hif1a	Anapc11	1.5887	rgb(221,141,142)
Fosl2	Angptl2	-1.741	rgb(122,159,234)
Irf4	Angptl4	-1.5028	rgb(135,167,231)
Batf	Angptl6	1.6379	rgb(222,139,140)
