	Atf6	Batf	Bcl11b	Crem	Ddit3	Egr2	Etv6	Fosl2	Hif1a	Id2	Ikzf3	Ikzf4	Irf4	Irf8	Lef1	Maf	Nfatc2	Nfe2l2	Pou2af1	Prkrir	Rorc	Satb1	Sp4	Stat3	Zeb1	Zfp36l2
0610007P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.677382858627	0	0	0	0	0	0	0	0	0	0	0.663392617276	0	0
0610009B22Rik	0	0	0	0	0	0	0	0	0	0.610084308452	0	0	0	0	0	0	0	-0.646537710567	0	0	0	0	0.424070450948	0	-1.04208688059	0
0610009O20Rik	0	0	-0.621668651444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610011F06Rik	0	0	0	0.670982657016	0	0.663710105256	0	0	0	0	0	0	0	0	0.638809552676	0	0	0	0	0	0	0	0	0	0	0.590628526365
0610012G03Rik	0.590545445399	0.663555812032	-0.646801544503	0	-0.641351385928	-0.668829871105	0	0	0.666813772796	0	0	0	0	0	0	0	0	0	0	0	0	-0.671001983376	0	0	0	0
0610037L13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.888534249652	0	0.507692919469	0
1110004E09Rik	0	0	0.62718118452	0	0	0	0	0	0	-0.627830800231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443308932051	0
1110004F10Rik	0.666902788118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110007C09Rik	0	0	0	0	0	0	0	0	0	0	0	0.311979806434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	0.618000737704	0	0	0	0	0	0	0	0.625463188817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008L16Rik	0	0	-0.61441863944	0	-0.625427381496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008P14Rik	0	0	0	0	0	0	0	0	0	0	0	0.204562814342	0	0	0	0	0	0	0	0	0	0	0.437676191347	0	0	0
1110012L19Rik	0	0	0	0	0	0	0	0	0	0	0	0.502212415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	0	-0.686929601971	-0.633425525347	0	0	0	0	-0.676134095562	0	0.674964609061	-0.674789626736	0	-0.680008478846	0	0	0	0	0	0	0	0	0	0	-0.649935024267	0	0
1110038B12Rik	0	0	0	0	0	0	0	0	0	-0.634357979533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110057K04Rik	0	0	0	0	0	0	0.434058341991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	0.643841885513	0	0	0	0	0	0	0	0.61380218171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059G10Rik	0.601888964526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663627024289	0	0	0	0	0	0	0	0	0
1110065P20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.388844180119	0
1190002N15Rik	0	0.669881834208	0	0	0	0	0	0	0.680569607133	0	0	0	0.658796459513	0	0	-0.604707382085	0	0	0	0	0	0	0	0.68153690696	0	0
1190007I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.1854307287	0
1500011B03Rik	0	0	-0.609821423454	-0.617964133845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500011K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.640993395228	0	0	0	0	0	0	0	0
1500012F01Rik	0	0	0	0	0	0	0.332498862928	0	0	0	0	0.329782490887	0	0.321740835636	0	0	0	0	0	0	0	0	0.34143304042	0	0	0
1600002H07Rik	0	0	0	0	-0.639764768146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002K03Rik	0.651897772102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	0	0	0	0	0	0	0	0	0.666054175387	0	0	0	0	0	0	-0.629721007747	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	0.645720108796	0.639759049438	-0.61685819981	0	0	0.379372698266	-0.917725305526	0	0.652627697738	0	0	0	0	0	0	0	0.661063383032	0	0	0	0	0	0	0	0	0
1700017B05Rik	0	-0.639219029456	0	0	0	0	-0.664539859017	0	0	0	0	0	0.627077333312	0	0.639851031937	0.653405098212	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	0	-0.602596710594	0	0	0	0	0	0	0	0	-0.611679103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0.600076434078	0
1700025G04Rik	0	0.679575602711	0	0	0	0	0	0.621445630643	0	0	0.653580161678	0	0.67357300287	0	0	0	0	0	0	0	0	0	0	0.67778639475	0	0
1700037C18Rik	0	0	0	0	0	0	0.62165333306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	0	0	0	0	0	0	0	0.616606164335	0	0	0	0	0	0	0	0	0.641221867886	0	0	0	0	0	0	0	0	0
1700048O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.679430212684	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	-0.600706503078	0	0	0	0	0	-0.61644618517	0	0	0	0	0	0	0.64144440619	0	0	0	0	0	0	0	0
1700109H08Rik	0	0	0	0	0	0	0	0	0.621350680967	0	0	0	0	0	0	0	0	0.639305071298	0	0.606577104788	0	0	0	0	0	0
1700123O20Rik	0.624338628589	0	0	0	0	-0.624841887007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	0	0	0	0	-0.619196563602	0	0	0	0	0	-0.649157979112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810014B01Rik	0	0	0.61734795868	0.62115484726	0.614665630328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.651936345409
1810022K09Rik	0	0	0	0	0	-0.402981254828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810026J23Rik	0.647274909743	0	-0.621903572072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810032O08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48777086782	0	-0.686728702182	0
1810037I17Rik	0	0	0	0	-0.645399249061	0	0.534271575131	0	0.643773640434	0	0	0	0	0.572267948437	0	0	0	0	0	0	0	0	0	0	0	0
1810043H04Rik	0	0	0	0	-0.649909725122	-1.18571053706	0	0	0	0	-0.653129944811	0.686961534072	0	0	0	0	0	0	0	0	0	-0.637061373839	0	0	0	-0.609308212234
1810058I24Rik	0.611283048113	0	0	0	0	0	0	0	0	0	-0.628058492533	0	0	0	0	-0.621881887091	0	0	0	0	0	0	0	0	0	0
2010016I18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631958340103	0	0
2010107E04Rik	0.647972196428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607938987875	0
2010111I01Rik	0	-0.629760763546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.620869998231	0	0	0	0	0	0
2010204K13Rik	0.624154663592	0	0	0	0	0	0	0	0.599239275125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010320M18Rik	0	0	0	0	0	0	-0.638127552075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210013O21Rik	0	0	0	0	0	0	0	0	0	0.6627991818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016F16Rik	0	0	0	0	0	0	-0.38326516985	0	0.621840265235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.633696761876	0
2210016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.618463617375	0	0	0	0
2300009A05Rik	0	0	0	0	-0.638066111295	0	0	0	0	0	0	-0.786258364776	0	0	0	0	0.648503321179	0	0	0	0	0	0.640648883286	0	0	0
