Regulator	Target	Weight
Irf4	0610007P14Rik	0.677382858627
Stat3	0610007P14Rik	0.663392617276
Id2	0610009B22Rik	0.610084308452
Nfe2l2	0610009B22Rik	-0.646537710567
Sp4	0610009B22Rik	0.424070450948
Zeb1	0610009B22Rik	-1.04208688059
Bcl11b	0610009O20Rik	-0.621668651444
Crem	0610011F06Rik	0.670982657016
Egr2	0610011F06Rik	0.663710105256
Lef1	0610011F06Rik	0.638809552676
Zfp36l2	0610011F06Rik	0.590628526365
Atf6	0610012G03Rik	0.590545445399
Batf	0610012G03Rik	0.663555812032
Bcl11b	0610012G03Rik	-0.646801544503
Ddit3	0610012G03Rik	-0.641351385928
Egr2	0610012G03Rik	-0.668829871105
Hif1a	0610012G03Rik	0.666813772796
Satb1	0610012G03Rik	-0.671001983376
Sp4	0610037L13Rik	-0.888534249652
Zeb1	0610037L13Rik	0.507692919469
Bcl11b	1110004E09Rik	0.62718118452
Id2	1110004E09Rik	-0.627830800231
Zeb1	1110004E09Rik	0.443308932051
Atf6	1110004F10Rik	0.666902788118
Ikzf4	1110007C09Rik	0.311979806434
Atf6	1110008F13Rik	0.618000737704
Hif1a	1110008F13Rik	0.625463188817
Bcl11b	1110008L16Rik	-0.61441863944
Ddit3	1110008L16Rik	-0.625427381496
Ikzf4	1110008P14Rik	0.204562814342
Sp4	1110008P14Rik	0.437676191347
Ikzf4	1110012L19Rik	0.502212415
Batf	1110032F04Rik	-0.686929601971
Bcl11b	1110032F04Rik	-0.633425525347
Fosl2	1110032F04Rik	-0.676134095562
Id2	1110032F04Rik	0.674964609061
Ikzf3	1110032F04Rik	-0.674789626736
Irf4	1110032F04Rik	-0.680008478846
Stat3	1110032F04Rik	-0.649935024267
Id2	1110038B12Rik	-0.634357979533
Etv6	1110057K04Rik	0.434058341991
Atf6	1110059E24Rik	0.643841885513
Hif1a	1110059E24Rik	0.61380218171
Atf6	1110059G10Rik	0.601888964526
Nfatc2	1110059G10Rik	0.663627024289
Zeb1	1110065P20Rik	0.388844180119
Batf	1190002N15Rik	0.669881834208
Hif1a	1190002N15Rik	0.680569607133
Irf4	1190002N15Rik	0.658796459513
Maf	1190002N15Rik	-0.604707382085
Stat3	1190002N15Rik	0.68153690696
Zeb1	1190007I07Rik	-1.1854307287
Bcl11b	1500011B03Rik	-0.609821423454
Crem	1500011B03Rik	-0.617964133845
Nfe2l2	1500011K16Rik	0.640993395228
Etv6	1500012F01Rik	0.332498862928
Ikzf4	1500012F01Rik	0.329782490887
Irf8	1500012F01Rik	0.321740835636
Sp4	1500012F01Rik	0.34143304042
Ddit3	1600002H07Rik	-0.639764768146
Atf6	1600002K03Rik	0.651897772102
Hif1a	1600012H06Rik	0.666054175387
Maf	1600012H06Rik	-0.629721007747
Atf6	1600014C10Rik	0.645720108796
Batf	1600014C10Rik	0.639759049438
Bcl11b	1600014C10Rik	-0.61685819981
Egr2	1600014C10Rik	0.379372698266
Etv6	1600014C10Rik	-0.917725305526
Hif1a	1600014C10Rik	0.652627697738
Nfatc2	1600014C10Rik	0.661063383032
Batf	1700017B05Rik	-0.639219029456
Etv6	1700017B05Rik	-0.664539859017
Irf4	1700017B05Rik	0.627077333312
Lef1	1700017B05Rik	0.639851031937
Maf	1700017B05Rik	0.653405098212
Batf	1700021F05Rik	-0.602596710594
Ikzf3	1700021F05Rik	-0.611679103498
Zeb1	1700021F05Rik	0.600076434078
Batf	1700025G04Rik	0.679575602711
Fosl2	1700025G04Rik	0.621445630643
Ikzf3	1700025G04Rik	0.653580161678
Irf4	1700025G04Rik	0.67357300287
Stat3	1700025G04Rik	0.67778639475
Etv6	1700037C18Rik	0.62165333306
Fosl2	1700037H04Rik	0.616606164335
Nfatc2	1700037H04Rik	0.641221867886
Maf	1700048O20Rik	-0.679430212684
Ddit3	1700084J12Rik	-0.600706503078
Ikzf3	1700084J12Rik	-0.61644618517
Nfe2l2	1700084J12Rik	0.64144440619
Hif1a	1700109H08Rik	0.621350680967
Nfe2l2	1700109H08Rik	0.639305071298
Prkrir	1700109H08Rik	0.606577104788
Atf6	1700123O20Rik	0.624338628589
Egr2	1700123O20Rik	-0.624841887007
Ddit3	1810009A15Rik	-0.619196563602
Ikzf3	1810009A15Rik	-0.649157979112
Bcl11b	1810014B01Rik	0.61734795868
Crem	1810014B01Rik	0.62115484726
Ddit3	1810014B01Rik	0.614665630328
Zfp36l2	1810014B01Rik	0.651936345409
Egr2	1810022K09Rik	-0.402981254828
Atf6	1810026J23Rik	0.647274909743
Bcl11b	1810026J23Rik	-0.621903572072
Sp4	1810032O08Rik	0.48777086782
Zeb1	1810032O08Rik	-0.686728702182
Ddit3	1810037I17Rik	-0.645399249061
Etv6	1810037I17Rik	0.534271575131
Hif1a	1810037I17Rik	0.643773640434
Irf8	1810037I17Rik	0.572267948437
Ddit3	1810043H04Rik	-0.649909725122
Egr2	1810043H04Rik	-1.18571053706
Ikzf3	1810043H04Rik	-0.653129944811
Ikzf4	1810043H04Rik	0.686961534072
Satb1	1810043H04Rik	-0.637061373839
Zfp36l2	1810043H04Rik	-0.609308212234
Atf6	1810058I24Rik	0.611283048113
Ikzf3	1810058I24Rik	-0.628058492533
Maf	1810058I24Rik	-0.621881887091
Stat3	2010016I18Rik	0.631958340103
Atf6	2010107E04Rik	0.647972196428
Zeb1	2010107E04Rik	0.607938987875
Batf	2010111I01Rik	-0.629760763546
Prkrir	2010111I01Rik	0.620869998231
Atf6	2010204K13Rik	0.624154663592
Hif1a	2010204K13Rik	0.599239275125
Etv6	2010320M18Rik	-0.638127552075
Id2	2210013O21Rik	0.6627991818
Etv6	2210016F16Rik	-0.38326516985
Hif1a	2210016F16Rik	0.621840265235
Zeb1	2210016F16Rik	-0.633696761876
Satb1	2210016L21Rik	0.618463617375
Ddit3	2300009A05Rik	-0.638066111295
Ikzf4	2300009A05Rik	-0.786258364776
Nfatc2	2300009A05Rik	0.648503321179
Sp4	2300009A05Rik	0.640648883286
Hif1a	2310011J03Rik	0.63838524631
Zeb1	2310011J03Rik	0.263934647591
Batf	2310022A10Rik	-0.607009604241
Batf	2310022B05Rik	0.590661165317
Hif1a	2310022B05Rik	0.687272460837
Ikzf3	2310022B05Rik	0.61454991041
Stat3	2310022B05Rik	0.638349640182
Ddit3	2310033P09Rik	-0.608314317269
Sp4	2310033P09Rik	-0.624487962155
Egr2	2310036O22Rik	0.186011784317
Ikzf4	2310036O22Rik	0.28703873506
Zeb1	2310036O22Rik	0.305627674892
Atf6	2310039H08Rik	0.654482183601
Fosl2	2310039H08Rik	0.664549816454
Nfatc2	2310039H08Rik	0.645835828713
Zeb1	2310039H08Rik	0.66059481513
Pou2af1	2310045N01Rik	0.293572356074
Ikzf3	2310057M21Rik	-0.656314022865
Ikzf4	2310057M21Rik	0.345952367091
Ikzf3	2410002F23Rik	-0.643660836411
Lef1	2410002F23Rik	0.640340616204
Sp4	2410002F23Rik	0.200776908123
Fosl2	2410004B18Rik	-0.63255451194
Ikzf3	2410004B18Rik	-0.602614781412
Fosl2	2410006H16Rik	0.671291243464
Atf6	2410015M20Rik	0.595924937991
Ddit3	2410015M20Rik	-0.664467575747
Sp4	2410015M20Rik	0.463839928642
Zeb1	2410015M20Rik	-0.338200259189
Ikzf3	2410016O06Rik	-0.6303101164
Lef1	2410016O06Rik	0.651882936216
Bcl11b	2410089E03Rik	-0.619026697917
Zeb1	2510003E04Rik	-0.83280384745
Atf6	2510039O18Rik	-0.616623279182
Hif1a	2510039O18Rik	0.611244474808
Lef1	2510039O18Rik	0.641388029819
Sp4	2510039O18Rik	0.251226205473
Zfp36l2	2510039O18Rik	-0.648868846031
Irf8	2610001J05Rik	0.421121247018
Nfatc2	2610001J05Rik	0.653773028207
Sp4	2610002J02Rik	0.3418001984
Ikzf3	2610002M06Rik	-0.62483465868
Maf	2610002M06Rik	-0.609864793416
Nfe2l2	2610005L07Rik	-0.62768623369
Nfe2l2	2610008E11Rik	-0.640184011113
Bcl11b	2610020H08Rik	-0.601414879126
Id2	2610020H08Rik	0.631124563259
Nfatc2	2610020H08Rik	0.6255047293
Nfe2l2	2610020H08Rik	0.659458140069
Sp4	2610020H08Rik	-0.84523647333
