regulator	target	weight
Aip	Ahr	1.0
Arnt	Ahr	1.0
Smad2	Ahr	1.0
Smad3	Ahr	1.0
Smad4	Ahr	1.0
Sp1	Ahr	-1.0
Ddit3	Ankrd1	-1.0
Trp53	Ankrd1	1.0
Cdx2	Apc	1.0
Cebpz	Apc	1.0
Ezh2	Apc	-1.0
Usf1	Apc	1.0
Usf2	Apc	1.0
Yy1	Apc	-1.0
Hif1a	Apex1	-1.0
Sp1	Apex1	-1.0
Usf1	Apex1	1.0
Aes	Ar	1.0
Brd7	Ar	-1.0
Creb1	Ar	1.0
E2f1	Ar	1.0
Egr1	Ar	-1.0
Esr1	Ar	1.0
Etv1	Ar	1.0
Foxh1	Ar	-1.0
Foxo3	Ar	1.0
Hdac1	Ar	-1.0
Hif1a	Ar	1.0
Hoxb13	Ar	-1.0
AI607873	Ar	-1.0
BC094916	Ar	-1.0
Ifi203	Ar	-1.0
Ifi204	Ar	-1.0
Ifi205	Ar	-1.0
Mnda	Ar	-1.0
Mndal	Ar	-1.0
Pydc3	Ar	-1.0
Pydc4	Ar	-1.0
Pyhin1	Ar	-1.0
Jun	Ar	-1.0
Khdrbs1	Ar	1.0
Lef1	Ar	1.0
Ncoa2	Ar	-1.0
Ncoa4	Ar	1.0
Ncor1	Ar	1.0
Ncor2	Ar	1.0
Nfkb1	Ar	-1.0
Nkx3-1	Ar	-1.0
Nsd1	Ar	1.0
Pa2g4	Ar	1.0
Pias1	Ar	1.0
Pou2f1	Ar	1.0
Pura	Ar	-1.0
Rela	Ar	-1.0
Sox9	Ar	1.0
Sp1	Ar	1.0
Srebf1	Ar	1.0
Tcf21	Ar	1.0
Trim24	Ar	1.0
Uri1	Ar	-1.0
Wt1	Ar	-1.0
Ybx1	Ar	1.0
Zeb1	Ar	1.0
Ahr	Arnt	1.0
Phb2	Arnt	-1.0
Npas2	Arntl	-1.0
Nr1d1	Arntl	-1.0
Hes1	Ascl1	-1.0
Hes6	Ascl1	-1.0
Nhlh2	Ascl1	1.0
Neurog3	Ash1l	1.0
Sox2	Asxl1	1.0
Pias3	Atf1	1.0
Ddit3	Atf2	-1.0
Hdac3	Atf2	-1.0
Nr3c1	Atf2	-1.0
Rb1	Atf2	1.0
Sp1	Atf2	1.0
Atf2	Atf3	1.0
Atf3	Atf3	-1.0
Atf4	Atf3	1.0
Egr1	Atf3	1.0
Jdp2	Atf3	-1.0
Jun	Atf3	1.0
Klf4	Atf3	1.0
Klf6	Atf3	1.0
Mef2d	Atf3	1.0
Myc	Atf3	1.0
Trp53	Atf3	1.0
Irf7	Atf4	1.0
Trib3	Atf4	-1.0
Ddit3	Atf5	-1.0
Ebf1	Atf5	1.0
Npm1	Atf5	-1.0
Taf4a	Atf7	-1.0
Brca1	Atm	1.0
Btf3	Atm	1.0
E2f1	Atm	1.0
Sp1	Atm	1.0
Twist1	Atm	1.0
Twist2	Atm	1.0
Gata1	Bach1	1.0
Brip1	Bard1	1.0
Foxq1	Bcl11a	1.0
Sirt1	Bcl11a	-1.0
Nfkb1	Bcl3	1.0
Rela	Bcl3	1.0
Trp53	Bcl3	-1.0
Abl1	Bcl6	-1.0
Bcl6	Bcl6	-1.0
Ctcf	Bcl6	-1.0
Fosl2	Bcl6	1.0
Foxo3	Bcl6	1.0
Foxo4	Bcl6	1.0
Irf4	Bcl6	-1.0
Jund	Bcl6	-1.0
Spi1	Bcl6	-1.0
Stat3	Bcl6	1.0
Stat5a	Bcl6	-1.0
Stat5b	Bcl6	-1.0
Zeb1	Bcl6	-1.0
Ahr	Brca1	1.0
Crebbp	Brca1	1.0
Ctbp1	Brca1	-1.0
Ctcf	Brca1	1.0
Dlx4	Brca1	-1.0
E2f1	Brca1	-1.0
E2f4	Brca1	-1.0
E2f6	Brca1	1.0
Ep300	Brca1	1.0
Esr1	Brca1	1.0
Ets1	Brca1	1.0
Ezh2	Brca1	1.0
Fosl2	Brca1	1.0
Foxa1	Brca1	1.0
Foxp3	Brca1	-1.0
Hmga1	Brca1	-1.0
Hmga1-rs1	Brca1	-1.0
Id4	Brca1	-1.0
AI607873	Brca1	1.0
BC094916	Brca1	1.0
Ifi203	Brca1	1.0
Ifi204	Brca1	1.0
Ifi205	Brca1	1.0
Mnda	Brca1	1.0
Mndal	Brca1	1.0
Pydc3	Brca1	1.0
Pydc4	Brca1	1.0
Pyhin1	Brca1	1.0
Jun	Brca1	1.0
Mta1	Brca1	1.0
Ncoa3	Brca1	1.0
Nfe2l2	Brca1	1.0
Nr3c1	Brca1	1.0
Rb1	Brca1	-1.0
Rbl1	Brca1	-1.0
Rbl2	Brca1	-1.0
Sp1	Brca1	1.0
Trp53	Brca1	-1.0
Trp53bp1	Brca1	1.0
Usf2	Brca1	1.0
Wwp1	Brca1	-1.0
Yy1	Brca1	1.0
E2f6	Brd7	1.0
Max	Brd7	1.0
Myc	Brd7	-1.0
Sp1	Brd7	1.0
Ar	Btg2	-1.0
Esr1	Btg2	-1.0
Foxm1	Btg2	1.0
Nfkb1	Btg2	1.0
Phb2	Btg2	-1.0
Rela	Btg2	1.0
Trp53	Btg2	1.0
Gata1	Cbfb	-1.0
Myc	Cbfb	1.0
Sp1	Cbfb	1.0
Gata3	Cdx2	1.0
Nanog	Cdx2	-1.0
Pou2f1	Cdx2	1.0
Pou5f1	Cdx2	-1.0
Ddit3	Cebpa	-1.0
Gata1	Cebpa	-1.0
Gata2	Cebpa	-1.0
Lef1	Cebpa	1.0
Myb	Cebpa	1.0
Myc	Cebpa	-1.0
Ppara	Cebpa	-1.0
Pparg	Cebpa	1.0
Atf4	Cebpb	1.0
Atf6	Cebpb	1.0
Ppara	Cebpb	-1.0
Ppara	Cebpd	-1.0
Stat1	Cebpd	1.0
Stat1	Cebpe	1.0
Mbd2	Chd4	1.0
Ctcf	Chd8	1.0
Ezh2	Ciita	-1.0
Irf1	Ciita	1.0
Irf2	Ciita	1.0
Mycn	Ciita	-1.0
Pparg	Ciita	-1.0
Prdm1	Ciita	-1.0
Rfx1	Ciita	1.0
Stat1	Ciita	1.0
Usf1	Ciita	1.0
Hdac9	Cited2	-1.0
Nr5a1	Cited2	1.0
Crebbp	Clock	1.0
Ep300	Clock	1.0
Kat2b	Clock	1.0
Ncoa3	Clock	1.0
Gata1	Cops5	1.0
Sp1	Cops5	1.0
Stat3	Cops5	1.0
Tcf4	Cops5	1.0
Tfap2a	Crabp2	1.0
Tfap2c	Crabp2	1.0
Atf5	Creb1	1.0
Btg2	Creb1	1.0
Crebbp	Creb1	1.0
Crem	Creb1	-1.0
Foxo4	Creb1	1.0
Sp1	Creb1	1.0
Srf	Creb1	-1.0
Nfkb1	Creb3	1.0
Rela	Creb3	1.0
Bcl11b	Crebbp	1.0
Ciita	Crebbp	1.0
Clock	Crebbp	1.0
E2f1	Crebbp	1.0
Ep300	Crebbp	1.0
Myc	Crebbp	1.0
Yy1	Crebbp	-1.0
Fos	Crem	1.0
Jun	Crem	1.0
Sp1	Crem	1.0
Creb1	Crtc1	1.0
Tfap2a	Crx	1.0
Bcl3	Ctcf	-1.0
Nfkb1	Ctcf	-1.0
Yy1	Ctcf	1.0
Ar	Ctnnb1	1.0
Esr1	Ctnnb1	-1.0
Lef1	Ctnnb1	1.0
Nelfcd	Ctnnb1	-1.0
Nkx2-5	Ctnnb1	1.0
Sirt1	Ctnnb1	-1.0
Sox6	Ctnnb1	-1.0
Trp53	Ctnnb1	-1.0
E2f1	Ctnnbip1	1.0
Gata1	Dach1	-1.0
Smad4	Dach1	-1.0
Hlf	Dbp	1.0
Brca1	Ddb2	1.0
E2f1	Ddb2	1.0
E2f3	Ddb2	1.0
Nf1	Ddb2	1.0
Sp1	Ddb2	1.0
Trp53	Ddb2	1.0
Trp63	Ddb2	1.0
Atf3	Ddit3	1.0
Atf4	Ddit3	1.0
