TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.91	0.911	rgb(227, 43, 45)	2	2,2
Sp2	Brd3	0.9979	50.9	0.899	rgb(227, 45, 47)	1.9998	None
Irf7	Rtp4	0.99579	50.89	0.886	rgb(227, 48, 50)	1.9996	2,2
Gm14420	Gm2011	0.99369	50.88	0.878	rgb(227, 49, 51)	1.9994	2,2
Irf7	Cmpk2	0.99158	50.87	0.867	rgb(227, 51, 53)	1.9992	2,2
Irf7	Rsad2	0.98948	50.86	0.855	rgb(226, 54, 55)	1.999	None
Irf1	Nlrc5	0.98737	50.85	0.85	rgb(226, 55, 56)	1.9988	None
Irf1	Tbx21	0.98527	50.84	0.836	rgb(226, 57, 59)	1.9986	2,2
Srebf1	Fads2	0.98527	50.84	0.839	rgb(226, 57, 58)	1.9986	2,2
Srebf2	Dhcr24	0.98316	50.83	0.832	rgb(226, 58, 60)	1.9984	2,2
Ahctf1	Zcchc2	0.98106	50.82	0.82	rgb(226, 60, 62)	1.9982	None
Irf7	Xaf1	0.98106	50.82	0.821	rgb(226, 60, 62)	1.9982	None
Mxi1	Cxcr4	0.98106	50.82	0.821	rgb(226, 60, 62)	1.9982	None
Srf	Adarb1	0.98106	50.82	0.823	rgb(226, 60, 61)	1.9982	None
Irf9	Irf7	0.97895	50.8	0.799	rgb(226, 64, 66)	1.9978	2,2
Rorc	Lingo4	0.97895	50.8	0.798	rgb(226, 64, 66)	1.9978	2,2
Nr4a1	Nr4a3	0.97685	50.79	0.788	rgb(226, 66, 68)	1.9976	2,2
Sp2	Zcchc2	0.97474	50.78	0.777	rgb(226, 69, 70)	1.9974	None
Arid3a	Ahnak	0.97264	50.77	0.771	rgb(225, 70, 71)	1.9972	None
Irf1	Erap1	0.97264	50.77	0.771	rgb(225, 70, 71)	1.9972	None
Epas1	Gata3	0.97054	50.76	0.758	rgb(225, 72, 74)	1.997	2,2
Hsf1	Smyd5	0.97054	50.76	0.763	rgb(225, 71, 73)	1.997	None
Irf1	Igtp	0.97054	50.76	0.761	rgb(225, 72, 73)	1.997	2,2
Nfkb2	Psd	0.97054	50.76	0.762	rgb(225, 71, 73)	1.997	None
Sox5	Mab21l2	0.97054	50.76	0.758	rgb(225, 72, 74)	1.997	2,2
Sp2	Slc39a9	0.97054	50.76	0.756	rgb(225, 73, 74)	1.997	None
Zfp536	Lpin3	0.97054	50.76	0.756	rgb(225, 73, 74)	1.997	2,2
Ahrr	Cyp1b1	0.96843	50.75	0.746	rgb(225, 75, 76)	1.9968	2,2
Irf2	Wipf1	0.96843	50.75	0.752	rgb(225, 73, 75)	1.9968	None
Srebf1	Sqle	0.96843	50.75	0.745	rgb(225, 75, 76)	1.9968	None
Zfp219	Stat4	0.96843	50.75	0.746	rgb(225, 75, 76)	1.9968	None
E2f4	Lrrc59	0.96633	50.74	0.735	rgb(225, 77, 78)	1.9966	None
Irf7	I830012O16Rik	0.96633	50.74	0.739	rgb(225, 76, 77)	1.9966	2,2
Irf7	Ifit3	0.96633	50.74	0.735	rgb(225, 77, 78)	1.9966	2,2
Junb	Hook2	0.96633	50.74	0.735	rgb(225, 77, 78)	1.9966	None
Egr1	Egr2	0.96422	50.73	0.732	rgb(225, 77, 79)	1.9964	None
Elf1	Pde7a	0.96422	50.73	0.732	rgb(225, 77, 79)	1.9964	None
Nfatc1	Foxp4	0.96422	50.73	0.728	rgb(225, 78, 79)	1.9964	None
Rara	Ifih1	-0.96422	50.73	-7.3E-01	rgb( 58,120,245)	1.9964	None
Sp110	Cdkn2d	0.96422	50.73	0.73	rgb(225, 78, 79)	1.9964	2,2
Tcf12	Mycbp2	0.96422	50.73	0.734	rgb(225, 77, 78)	1.9964	2,2
Mxd3	Cdc25b	0.96422	50.73	0.725	rgb(225, 78, 80)	1.9964	2,2
Zfp385a	Eng	0.96422	50.73	0.734	rgb(225, 77, 78)	1.9964	2,2
Irf7	Mx1	0.96212	50.72	0.719	rgb(225, 80, 81)	1.9962	2,2
Yy2	Pwwp2a	0.96212	50.72	0.722	rgb(225, 79, 81)	1.9962	None
Cebpg	Psph	0.96001	50.71	0.705	rgb(225, 82, 84)	1.996	2,2
Elf1	Arhgef6	0.96001	50.71	0.711	rgb(225, 81, 83)	1.996	None
Elf1	Slain1	0.96001	50.71	0.706	rgb(225, 82, 84)	1.996	None
Foxs1	Mylk2	0.96001	50.71	0.708	rgb(225, 82, 83)	1.996	2,2
Irf1	Gbp2	0.96001	50.71	0.706	rgb(225, 82, 84)	1.996	None
Irf1	Gbp5	0.96001	50.71	0.712	rgb(225, 81, 82)	1.996	None
Irf1	Gbp6	0.96001	50.71	0.706	rgb(225, 82, 84)	1.996	2,2
Irf5	Gna15	0.96001	50.71	0.709	rgb(225, 82, 83)	1.996	2,2
Sp2	Zfp592	0.96001	50.71	0.709	rgb(225, 82, 83)	1.996	None
Srebf1	Abcg1	0.96001	50.71	0.708	rgb(225, 82, 83)	1.996	2,2
Srebf2	Kdm2b	0.96001	50.71	0.705	rgb(225, 82, 84)	1.996	None
Cebpg	Pck2	0.95791	50.7	0.702	rgb(225, 83, 84)	1.9958	2,2
Cux1	Epb4.1l2	0.95791	50.7	0.703	rgb(225, 83, 84)	1.9958	2,2
E2f1	Wee1	0.95791	50.7	0.699	rgb(225, 83, 85)	1.9958	None
E2f4	Tnfrsf18	-0.95791	50.7	-7.0E-01	rgb( 66,125,243)	1.9958	None
Elk3	Capg	0.95791	50.7	0.703	rgb(225, 83, 84)	1.9958	2,2
Ets2	Ifit2	0.95791	50.7	0.7	rgb(225, 83, 85)	1.9958	2,2
Foxs1	Vax2	0.95791	50.7	0.696	rgb(225, 84, 85)	1.9958	2,2
Hsf1	Mtrf1	-0.95791	50.7	-7.0E-01	rgb( 65,124,244)	1.9958	None
Irf1	Gbp10	0.95791	50.7	0.704	rgb(225, 82, 84)	1.9958	2,2
Irf7	2010002M12Rik	0.95791	50.7	0.695	rgb(225, 84, 86)	1.9958	2,2
Sp2	Crtc1	0.95791	50.7	0.704	rgb(225, 83, 84)	1.9958	None
C030039L03Rik	Muc2	0.95791	50.7	0.701	rgb(225, 83, 85)	1.9958	2,2
Mxd3	Smtn	0.95791	50.7	0.695	rgb(225, 84, 86)	1.9958	2,2
Zfp629	Ttbk2	0.95791	50.7	0.7	rgb(225, 83, 85)	1.9958	2,2
Ahrr	Gpr15	0.9558	50.69	0.688	rgb(225, 86, 87)	1.9956	2,2
Jdp2	Pck2	0.9558	50.69	0.694	rgb(225, 84, 86)	1.9956	2,2
Jun	Kdelc2	-0.9558	50.69	-6.9E-01	rgb( 67,126,243)	1.9956	2,2
Sp4	Bend4	0.9558	50.69	0.686	rgb(225, 86, 87)	1.9956	None
Sp4	Ccdc134	-0.9558	50.69	-6.9E-01	rgb( 67,125,243)	1.9956	None
Zfp513	Vdac1	-0.9558	50.69	-6.9E-01	rgb( 67,126,243)	1.9956	2,2
Zfp948	Ankrd23	0.9558	50.69	0.688	rgb(225, 86, 87)	1.9956	2,2
Atf5	Minpp1	-0.9537	50.68	-6.8E-01	rgb( 69,127,243)	1.9954	2,2
Irf1	Fam26f	0.9537	50.68	0.68	rgb(224, 87, 89)	1.9954	None
Klf10	Rara	0.9537	50.68	0.676	rgb(224, 88, 89)	1.9954	None
Rorc	Ccdc63	0.9537	50.68	0.677	rgb(224, 88, 89)	1.9954	None
Runx2	Galnt3	0.9537	50.68	0.68	rgb(224, 87, 88)	1.9954	None
Sp110	Bcl2a1b	0.9537	50.68	0.682	rgb(225, 87, 88)	1.9954	2,2
Sp2	E2f7	0.9537	50.68	0.679	rgb(224, 87, 89)	1.9954	None
Srf	Ccdc107	-0.9537	50.68	-6.8E-01	rgb( 70,127,243)	1.9954	None
Mxd4	Ypel3	0.9537	50.68	0.682	rgb(225, 87, 88)	1.9954	2,2
Sgsm2	Tert	0.9537	50.68	0.683	rgb(225, 86, 88)	1.9954	2,2
Bhlhe40	Ndrg2	0.95159	50.67	0.674	rgb(224, 88, 90)	1.9952	None
Crem	Vps37b	0.95159	50.67	0.668	rgb(224, 89, 91)	1.9952	None
E2f1	Exo1	0.95159	50.67	0.666	rgb(224, 90, 91)	1.9952	None
Ets1	Pdcd1lg2	-0.95159	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	None
Foxn2	Naga	-0.95159	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	2,2
Hsf1	Rpusd2	0.95159	50.67	0.669	rgb(224, 89, 90)	1.9952	None
Hsf1	Rwdd2a	-0.95159	50.67	-6.7E-01	rgb( 71,128,242)	1.9952	None
Irf7	Oasl2	0.95159	50.67	0.674	rgb(224, 88, 90)	1.9952	2,2
Mxi1	Aen	-0.95159	50.67	-6.7E-01	rgb( 73,129,242)	1.9952	None
Mybl1	Gen1	0.95159	50.67	0.674	rgb(224, 88, 90)	1.9952	2,2
Prrx1	Cav1	0.95159	50.67	0.675	rgb(224, 88, 89)	1.9952	2,2
Rxra	Fgf2	0.95159	50.67	0.669	rgb(224, 89, 91)	1.9952	None
Scrt1	Cyp2s1	0.95159	50.67	0.669	rgb(224, 89, 91)	1.9952	2,2
