TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	1	50.9	0.899	rgb(227, 45, 47)	2	None
Hif1a	Pgm2	0.99766	50.87	0.872	rgb(227, 51, 52)	1.9994	None
Hif1a	Ero1l	0.99533	50.86	0.859	rgb(226, 53, 55)	1.9992	None
Hif1a	Bnip3	0.99299	50.82	0.823	rgb(226, 60, 61)	1.9984	None
Hif1a	Arrb1	0.99066	50.81	0.809	rgb(226, 63, 64)	1.9982	None
Hif1a	Hk1	0.99066	50.81	0.813	rgb(226, 62, 63)	1.9982	None
Hif1a	Jmjd6	0.99066	50.81	0.815	rgb(226, 61, 63)	1.9982	None
Hif1a	H2-Ab1	0.98832	50.8	0.801	rgb(226, 64, 66)	1.998	2,2
Hif1a	Slc2a1	0.98832	50.8	0.801	rgb(226, 64, 66)	1.998	2,2
Hif1a	Ppme1	0.98599	50.79	0.787	rgb(226, 67, 68)	1.9978	None
Hif1a	Mboat2	0.98365	50.78	0.78	rgb(226, 68, 70)	1.9976	2,2
E2f4	Mxd3	0.98132	50.75	0.746	rgb(225, 75, 76)	1.997	None
Stat3	Atp2b4	0.98132	50.75	0.751	rgb(225, 74, 75)	1.997	None
Hif1a	Smtnl2	0.97898	50.74	0.744	rgb(225, 75, 76)	1.9968	2,2
Gm14420	Cdkn2d	0.97898	50.74	0.742	rgb(225, 75, 77)	1.9968	2,2
Zfp367	Dtl	0.97898	50.74	0.742	rgb(225, 75, 77)	1.9968	2,2
Hif1a	Aldoa	0.97665	50.73	0.731	rgb(225, 77, 79)	1.9966	2,2
Hif1a	Bcar1	0.97665	50.73	0.735	rgb(225, 77, 78)	1.9966	2,2
Hif1a	Narf	0.97665	50.73	0.735	rgb(225, 77, 78)	1.9966	None
Hif1a	3110057O12Rik	0.97431	50.72	0.72	rgb(225, 79, 81)	1.9964	2,2
Stat1	Parp9	0.97431	50.72	0.722	rgb(225, 79, 81)	1.9964	2,2
Hif1a	Fzd7	0.97198	50.71	0.713	rgb(225, 81, 82)	1.9962	2,2
Hif1a	P4hb	0.97198	50.71	0.707	rgb(225, 82, 83)	1.9962	2,2
Hif1a	Slc2a3	0.97198	50.71	0.705	rgb(225, 82, 84)	1.9962	2,2
Rest	Dlgap3	0.97198	50.71	0.707	rgb(225, 82, 83)	1.9962	None
Hif1a	Agl	0.96964	50.7	0.698	rgb(225, 84, 85)	1.996	2,2
Hif1a	Aldoc	0.96964	50.7	0.702	rgb(225, 83, 84)	1.996	2,2
Srebf1	4932438H23Rik	0.96964	50.7	0.699	rgb(225, 83, 85)	1.996	None
Zfp367	Exo1	0.96964	50.7	0.698	rgb(225, 84, 85)	1.996	2,2
Bhlhe40	Zfp820	-0.96731	50.69	-6.9E-01	rgb( 68,127,243)	1.9958	None
Hif1a	2310022B05Rik	0.96731	50.69	0.687	rgb(225, 86, 87)	1.9958	2,2
Jdp2	Lrrc24	0.96731	50.69	0.687	rgb(225, 86, 87)	1.9958	None
Stat3	Tnip2	0.96731	50.69	0.693	rgb(225, 85, 86)	1.9958	None
Cxxc5	Nod1	0.96731	50.69	0.686	rgb(225, 86, 87)	1.9958	2,2
Zbed3	Zkscan17	0.96731	50.69	0.685	rgb(225, 86, 87)	1.9958	2,2
Zfp385a	Zmat3	0.96731	50.69	0.686	rgb(225, 86, 87)	1.9958	2,2
Ascl2	Itga4	0.96497	50.68	0.681	rgb(224, 87, 88)	1.9956	None
Dmrta2	Eps8	0.96497	50.68	0.681	rgb(224, 87, 88)	1.9956	None
Etv6	Rpp14	0.96497	50.68	0.684	rgb(225, 86, 88)	1.9956	None
Hif1a	Atp7b	0.96497	50.68	0.68	rgb(224, 87, 88)	1.9956	2,2
