TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.9	0.897	rgb(227, 46, 47)	2	2,2
Irf7	Rtp4	0.99687	50.89	0.886	rgb(227, 48, 50)	1.9998	2,2
Srf	Adarb1	0.99374	50.86	0.864	rgb(227, 52, 54)	1.9992	None
Irf1	Nlrc5	0.99061	50.84	0.842	rgb(226, 56, 58)	1.9988	None
Irf1	Tbx21	0.98748	50.83	0.831	rgb(226, 58, 60)	1.9986	2,2
Irf7	Rsad2	0.98748	50.83	0.827	rgb(226, 59, 61)	1.9986	None
Mxi1	Cxcr4	0.98435	50.82	0.817	rgb(226, 61, 63)	1.9984	None
Srebf1	Sqle	0.98435	50.82	0.823	rgb(226, 60, 61)	1.9984	None
Elf1	Arhgef6	0.98122	50.81	0.808	rgb(226, 63, 64)	1.9982	None
Nfkb1	Emb	-0.98122	50.81	-8.1E-01	rgb( 42,111,248)	1.9982	None
Sp2	E2f7	0.98122	50.81	0.814	rgb(226, 61, 63)	1.9982	None
Irf7	Xaf1	0.97809	50.8	0.801	rgb(226, 64, 66)	1.998	None
Ahctf1	Zcchc2	0.97495	50.79	0.787	rgb(226, 67, 68)	1.9978	None
Sp110	Gbp6	0.97495	50.79	0.792	rgb(226, 66, 67)	1.9978	2,2
Irf9	Irf7	0.97182	50.78	0.777	rgb(226, 69, 70)	1.9976	2,2
Zfp281	Bcl2l11	0.97182	50.78	0.777	rgb(226, 69, 70)	1.9976	None
Zfp536	Lpin3	0.97182	50.78	0.776	rgb(226, 69, 70)	1.9976	2,2
Irf7	Ifit3	0.96869	50.77	0.768	rgb(225, 70, 72)	1.9974	2,2
Nfatc1	Foxp4	0.96869	50.77	0.773	rgb(226, 69, 71)	1.9974	None
Zfp467	Wnt10a	0.96869	50.77	0.769	rgb(225, 70, 72)	1.9974	None
Hsf2	Pde6d	0.96556	50.76	0.76	rgb(225, 72, 73)	1.9972	None
Irf7	BC094916	0.96556	50.76	0.76	rgb(225, 72, 73)	1.9972	None
Rest	Crebbp	0.96556	50.76	0.76	rgb(225, 72, 73)	1.9972	None
Smad3	Cyr61	-0.96556	50.76	-7.6E-01	rgb( 51,116,246)	1.9972	None
Sp2	Ckmt1	-0.96556	50.76	-7.6E-01	rgb( 53,117,246)	1.9972	None
Thra	Nr1d1	0.96556	50.76	0.756	rgb(225, 73, 74)	1.9972	2,2
Zfp263	Arhgef6	-0.96556	50.76	-7.6E-01	rgb( 53,117,246)	1.9972	None
E2f1	Exo1	0.96243	50.75	0.75	rgb(225, 74, 75)	1.997	None
Epas1	Gata3	0.96243	50.75	0.751	rgb(225, 74, 75)	1.997	2,2
