TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Hmga2	Aebp1	0.62439	49.39	0.392	rgb(221,142,143)	1.9695	2,2
Prrx1	Aebp1	0.46719	48.29	0.288	rgb(220,162,163)	1.9475	2,2
Hmga2	Amotl2	0.55362	49.22	0.223	rgb(219,174,175)	1.9661	None
Prrx1	Amotl2	0.63453	49.45	0.451	rgb(222,131,132)	1.9707	2,2
Aebp1	B4galt6	0.1951	46.12	0.115	rgb(218,195,195)	1.904	2,2
Hmga2	B4galt6	0.44697	48.24	0.245	rgb(220,170,171)	1.9465	2,2
Peg3	B4galt6	0.83091	50.32	0.321	rgb(221,156,156)	1.9882	2,2
Aebp1	Cachd1	0.64097	49.47	0.475	rgb(222,126,127)	1.9711	2,2
Prrx1	Cachd1	0.039109	44.1	0.105	rgb(218,197,197)	1.8636	2,2
Aebp1	Cald1	0.98321	50.53	0.533	rgb(223,115,116)	1.9924	2,2
Hmga2	Cald1	0.31891	47.17	0.17	rgb(219,185,185)	1.9251	2,2
Peg3	Cald1	0.69311	50.18	0.179	rgb(219,183,183)	1.9854	2,2
Prrx1	Cald1	0.57921	49.27	0.268	rgb(220,166,166)	1.9671	2,2
Aebp1	Cav1	0.37233	47.39	0.392	rgb(221,142,143)	1.9295	2,2
Prrx1	Cav1	0.99629	50.67	0.675	rgb(224, 88, 89)	1.9952	2,2
Aebp1	Cisd3	-0.044774	44.21	-2.1E-01	rgb(170,189,225)	1.8658	2,2
Prrx1	Cisd3	0.20375	46.15	0.149	rgb(219,189,189)	1.9046	2,2
Hmga2	Cxcl1	0.32609	47.19	0.19	rgb(219,181,181)	1.9255	2,2
Prrx1	Cxcl1	0.9341	50.45	0.447	rgb(222,132,132)	1.9908	2,2
Aebp1	Ddah1	0.85362	50.34	0.415	rgb(222,138,139)	1.9886	2,2
Peg3	Ddah1	0.78502	50.28	0.283	rgb(220,163,164)	1.9874	2,2
Prrx1	Ddah1	0.37015	47.32	0.32	rgb(221,156,157)	1.9281	2,2
Hmga2	Fam129a	0.081964	44.36	0.357	rgb(221,149,150)	1.8688	None
Prrx1	Fam129a	0.5368	49.18	0.183	rgb(219,182,182)	1.9653	None
Aebp1	Fam198b	0.45737	48.29	0.288	rgb(220,162,163)	1.9475	2,2
Hmga2	Fam198b	0.30047	47.09	0.089	rgb(218,200,200)	1.9235	2,2
Prrx1	Fam198b	0.60557	49.33	0.334	rgb(221,153,154)	1.9683	2,2
Aebp1	Fat1	0.63961	49.46	0.457	rgb(222,130,131)	1.9709	2,2
Hmga2	Fat1	0.31412	47.15	0.152	rgb(219,188,188)	1.9247	2,2
Peg3	Fat1	0.23779	46.25	0.251	rgb(220,169,169)	1.9066	2,2
Prrx1	Fat1	0.98446	50.57	0.568	rgb(223,108,110)	1.9932	2,2
Aebp1	Fbn1	0.98541	50.54	0.543	rgb(223,113,114)	1.9926	2,2
Hmga2	Fbn1	0.81418	50.32	0.318	rgb(220,156,157)	1.9882	2,2
Peg3	Fbn1	0.28491	47.1	0.185	rgb(219,182,182)	1.9237	2,2
Prrx1	Fbn1	0.40935	48.14	0.144	rgb(219,190,190)	1.9445	2,2
Peg3	Fgf7	0.85362	50.34	0.34	rgb(221,152,153)	1.9886	2,2
Prrx1	Fgf7	0.55871	49.23	0.227	rgb(220,174,174)	1.9663	2,2
Hmga2	Fn1	0.24613	46.22	0.216	rgb(219,176,176)	1.906	2,2
Peg3	Fn1	0.10505	45.12	0.119	rgb(218,194,195)	1.884	2,2
Prrx1	Fn1	0.62156	49.38	0.38	rgb(221,144,145)	1.9693	2,2
Hmga2	H60c	0.4351	48.21	0.213	rgb(219,176,177)	1.9459	2,2
Peg3	H60c	0.51491	49.14	0.136	rgb(219,191,191)	1.9645	2,2
Hmga2	Hs6st2	0.46719	48.29	0.292	rgb(220,161,162)	1.9475	2,2
Prrx1	Hs6st2	0.41299	48.15	0.147	rgb(219,189,189)	1.9447	2,2
Aebp1	Hspg2	0.99566	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
Peg3	Hspg2	0.15372	45.27	0.265	rgb(220,166,167)	1.887	2,2
Prrx1	Hspg2	0.37015	47.32	0.325	rgb(221,155,156)	1.9281	2,2
Peg3	Igf2bp1	0.70389	50.21	0.207	rgb(219,177,178)	1.986	2,2
Prrx1	Igf2bp1	0.43018	48.2	0.195	rgb(219,180,180)	1.9457	2,2
Aebp1	Loxl1	0.14712	45.25	0.248	rgb(220,170,170)	1.8866	2,2
