TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Aebp1	B4galt6	0.1951	46.12	0.115	rgb(218,195,195)	1.904	2,2
Hmga2	B4galt6	0.44697	48.24	0.245	rgb(220,170,171)	1.9465	2,2
Peg3	B4galt6	0.83091	50.32	0.321	rgb(221,156,156)	1.9882	2,2
Aebp1	Cald1	0.98321	50.53	0.533	rgb(223,115,116)	1.9924	2,2
Hmga2	Cald1	0.31891	47.17	0.17	rgb(219,185,185)	1.9251	2,2
Peg3	Cald1	0.69311	50.18	0.179	rgb(219,183,183)	1.9854	2,2
Prrx1	Cald1	0.57921	49.27	0.268	rgb(220,166,166)	1.9671	2,2
Aebp1	Ddah1	0.85362	50.34	0.415	rgb(222,138,139)	1.9886	2,2
Peg3	Ddah1	0.78502	50.28	0.283	rgb(220,163,164)	1.9874	2,2
Prrx1	Ddah1	0.37015	47.32	0.32	rgb(221,156,157)	1.9281	2,2
Aebp1	Fam198b	0.45737	48.29	0.288	rgb(220,162,163)	1.9475	2,2
Hmga2	Fam198b	0.30047	47.09	0.089	rgb(218,200,200)	1.9235	2,2
Prrx1	Fam198b	0.60557	49.33	0.334	rgb(221,153,154)	1.9683	2,2
Aebp1	Fat1	0.63961	49.46	0.457	rgb(222,130,131)	1.9709	2,2
Hmga2	Fat1	0.31412	47.15	0.152	rgb(219,188,188)	1.9247	2,2
Peg3	Fat1	0.23779	46.25	0.251	rgb(220,169,169)	1.9066	2,2
Prrx1	Fat1	0.98446	50.57	0.568	rgb(223,108,110)	1.9932	2,2
Aebp1	Fbn1	0.98541	50.54	0.543	rgb(223,113,114)	1.9926	2,2
Hmga2	Fbn1	0.81418	50.32	0.318	rgb(220,156,157)	1.9882	2,2
Peg3	Fbn1	0.28491	47.1	0.185	rgb(219,182,182)	1.9237	2,2
Prrx1	Fbn1	0.40935	48.14	0.144	rgb(219,190,190)	1.9445	2,2
Hmga2	Fn1	0.24613	46.22	0.216	rgb(219,176,176)	1.906	2,2
Peg3	Fn1	0.10505	45.12	0.119	rgb(218,194,195)	1.884	2,2
Prrx1	Fn1	0.62156	49.38	0.38	rgb(221,144,145)	1.9693	2,2
Aebp1	Hspg2	0.99566	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
Peg3	Hspg2	0.15372	45.27	0.265	rgb(220,166,167)	1.887	2,2
Prrx1	Hspg2	0.37015	47.32	0.325	rgb(221,155,156)	1.9281	2,2
Aebp1	Loxl1	0.14712	45.25	0.248	rgb(220,170,170)	1.8866	2,2
Hmga2	Loxl1	0.4393	48.22	0.225	rgb(219,174,175)	1.9461	2,2
Prrx1	Loxl1	0.34515	47.24	0.239	rgb(220,171,172)	1.9265	2,2
Aebp1	Ltbp1	0.49135	48.44	0.442	rgb(222,133,133)	1.9505	2,2
Hmga2	Ltbp1	0.57921	49.27	0.274	rgb(220,165,165)	1.9671	2,2
Prrx1	Ltbp1	0.32994	47.2	0.201	rgb(219,179,179)	1.9257	2,2
Hmga2	Mmp16	0.36259	47.29	0.287	rgb(220,162,163)	1.9275	2,2
Peg3	Mmp16	0.19188	46.1	0.101	rgb(218,198,198)	1.9036	2,2
Prrx1	Mmp16	0.59721	49.31	0.313	rgb(220,157,158)	1.9679	2,2
Hmga2	Sash1	0.44697	48.24	0.241	rgb(220,171,171)	1.9465	2,2
Peg3	Sash1	0.55077	49.22	0.225	rgb(219,174,175)	1.9661	2,2
Prrx1	Sash1	0.74841	50.26	0.259	rgb(220,168,168)	1.987	None
Aebp1	Sulf1	0.64459	49.56	0.558	rgb(223,110,111)	1.973	2,2
Hmga2	Sulf1	0.82549	50.33	0.331	rgb(221,154,154)	1.9884	2,2
Prrx1	Sulf1	0.62156	49.38	0.381	rgb(221,144,145)	1.9693	2,2
Aebp1	Svep1	0.027091	44.16	0.161	rgb(219,186,187)	1.8648	2,2
Hmga2	Svep1	0.44315	48.23	0.226	rgb(219,174,174)	1.9463	2,2
Prrx1	Svep1	0.60984	49.34	0.343	rgb(221,151,152)	1.9685	2,2
Aebp1	Thbs1	0.64339	49.5	0.496	rgb(222,122,123)	1.9717	2,2
Hmga2	Thbs1	0.60171	49.32	0.324	rgb(221,155,156)	1.9681	2,2
Prrx1	Thbs1	0.62156	49.38	0.377	rgb(221,145,146)	1.9693	2,2
