TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Hmga2	0610007P14Rik	-0.099907	44.33	-3.3E-01	rgb(145,173,230)	1.8682	2,2
Aebp1	1700030K09Rik	0.5368	49.18	0.216	rgb(219,176,176)	1.9653	2,2
Prrx1	2810429I04Rik	0.74317	50.24	0.24	rgb(220,171,172)	1.9866	None
Hmga2	2810442I21Rik	-0.49981	49.06	-6.1E-02	rgb(204,209,219)	1.9629	2,2
Peg3	2810459M11Rik	0.13018	45.2	0.197	rgb(219,179,180)	1.8856	2,2
Prrx1	4930417O13Rik	0.67514	50.15	0.154	rgb(219,187,188)	1.9848	None
Prrx1	5330426P16Rik	0.71599	50.21	0.206	rgb(219,178,178)	1.986	2,2
Hmga2	5730508B09Rik	0.55077	49.22	0.223	rgb(219,174,175)	1.9661	None
Hmga2	6530402F18Rik	-0.27783	46.33	-3.3E-01	rgb(146,174,229)	1.9082	2,2
Hmga2	A1cf	0.69659	50.2	0.203	rgb(219,178,179)	1.9858	2,2
Hmga2	Abcc9	-0.59463	49.3	-3.0E-01	rgb(151,177,229)	1.9677	2,2
Hmga2	Abhd6	-0.1951	46.12	-1.2E-01	rgb(191,201,222)	1.904	2,2
Hmga2	Acad9	-0.25733	46.25	-2.5E-01	rgb(164,184,226)	1.9066	2,2
Aebp1	Acot6	0.4393	48.22	0.377	rgb(221,145,146)	1.9461	2,2
Hmga2	Acy3	-0.31558	47.2	-2.0E-01	rgb(173,190,225)	1.9257	2,2
Prrx1	Adc	0.152	45.2	0.196	rgb(219,180,180)	1.8856	2,2
Hmga2	Aebp1	0.62439	49.39	0.392	rgb(221,142,143)	1.9695	2,2
Prrx1	Aebp1	0.46719	48.29	0.288	rgb(220,162,163)	1.9475	2,2
Peg3	Agr3	0.004155	44.06	0.062	rgb(218,205,205)	1.8628	2,2
Hmga2	Akr1cl	0.039109	44.1	0.097	rgb(218,199,199)	1.8636	None
Prrx1	Aldh1l2	0.88513	50.37	0.37	rgb(221,146,147)	1.9892	2,2
Hmga2	Amotl2	0.55362	49.22	0.223	rgb(219,174,175)	1.9661	None
Prrx1	Amotl2	0.63453	49.45	0.451	rgb(222,131,132)	1.9707	2,2
Hmga2	Angptl4	0.010136	43.29	0.294	rgb(220,161,161)	1.8473	2,2
Prrx1	Ankrd23	-0.40762	48.17	-1.7E-01	rgb(179,194,224)	1.9451	2,2
Prrx1	Antxr2	0.4393	48.22	0.221	rgb(219,175,175)	1.9461	None
Peg3	Ap3b1	0.046506	44.13	0.126	rgb(218,193,193)	1.8642	2,2
Hmga2	Apol10b	-0.32789	47.23	-2.3E-01	rgb(167,186,226)	1.9263	2,2
Prrx1	App	0.15504	45.21	0.21	rgb(219,177,177)	1.8858	2,2
Hmga2	Arrb1	0.059661	44.17	0.167	rgb(219,185,186)	1.865	2,2
Hmga2	Arsb	-0.42774	48.22	-2.2E-01	rgb(170,188,225)	1.9461	None
Peg3	Avpr1b	0.50682	49.11	0.109	rgb(218,196,196)	1.9639	2,2
Prrx1	B3galnt1	0.79083	50.3	0.305	rgb(220,159,159)	1.9878	2,2
Aebp1	B4galt6	0.1951	46.12	0.115	rgb(218,195,195)	1.904	2,2
Hmga2	B4galt6	0.44697	48.24	0.245	rgb(220,170,171)	1.9465	2,2
Peg3	B4galt6	0.83091	50.32	0.321	rgb(221,156,156)	1.9882	2,2
Prrx1	Batf3	0.26574	46.36	0.36	rgb(221,148,149)	1.9088	2,2
Hmga2	Bloc1s2	-0.17067	45.26	-2.6E-01	rgb(160,183,227)	1.8868	2,2
Prrx1	Boc	0.062549	44.18	0.18	rgb(219,183,183)	1.8652	2,2
Aebp1	C1qtnf3	0.20375	46.15	0.147	rgb(219,189,189)	1.9046	2,2
Hmga2	C2cd4b	0.0030371	43.26	0.256	rgb(220,168,169)	1.8467	2,2
Aebp1	Cachd1	0.64097	49.47	0.475	rgb(222,126,127)	1.9711	2,2
Prrx1	Cachd1	0.039109	44.1	0.105	rgb(218,197,197)	1.8636	2,2
Aebp1	Cald1	0.98321	50.53	0.533	rgb(223,115,116)	1.9924	2,2
Hmga2	Cald1	0.31891	47.17	0.17	rgb(219,185,185)	1.9251	2,2
Peg3	Cald1	0.69311	50.18	0.179	rgb(219,183,183)	1.9854	2,2
Prrx1	Cald1	0.57921	49.27	0.268	rgb(220,166,166)	1.9671	2,2
Prrx1	Capsl	0.94429	50.44	0.441	rgb(222,133,134)	1.9906	None
Aebp1	Cav1	0.37233	47.39	0.392	rgb(221,142,143)	1.9295	2,2
Prrx1	Cav1	0.99629	50.67	0.675	rgb(224, 88, 89)	1.9952	2,2
Aebp1	Ccdc8	0.34889	47.25	0.25	rgb(220,169,170)	1.9267	2,2
Prrx1	Ccdc80	0.95327	50.48	0.479	rgb(222,126,127)	1.9914	2,2
Prrx1	Ccl20	0.71599	50.21	0.207	rgb(219,178,178)	1.986	None
Prrx1	Ccl25	0.44697	48.24	0.237	rgb(220,172,172)	1.9465	2,2
Prrx1	Ccl9	0.81418	50.32	0.324	rgb(221,155,156)	1.9882	2,2
Prrx1	Cd109	0.52521	49.15	0.154	rgb(219,187,188)	1.9647	2,2
Hmga2	Cd84	0.33779	47.22	0.224	rgb(219,174,175)	1.9261	2,2
Prrx1	Cdh3	0.64787	50.07	0.068	rgb(218,204,204)	1.9832	2,2
Peg3	Cdk18	0.084964	44.39	0.387	rgb(221,143,144)	1.8694	2,2
Hmga2	Cdkn2b	-0.21679	46.19	-1.9E-01	rgb(176,192,224)	1.9054	2,2
Aebp1	Cep68	0.31558	47.2	0.246	rgb(220,170,170)	1.9257	2,2
Peg3	Ces2a	0.19035	46.09	0.101	rgb(218,198,198)	1.9034	2,2
Aebp1	Cisd3	-0.044774	44.21	-2.1E-01	rgb(170,189,225)	1.8658	2,2
Prrx1	Cisd3	0.20375	46.15	0.149	rgb(219,189,189)	1.9046	2,2
Peg3	Clgn	0.035029	44.07	0.163	rgb(219,186,186)	1.863	2,2
