TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Batf	5031414D18Rik	0.59721	49.31	0.314	rgb(220,157,158)	1.9679	None
Fosb	5031414D18Rik	-0.32789	47.23	-2.3E-01	rgb(167,187,226)	1.9263	None
Sox5	5031414D18Rik	0.24304	46.21	0.211	rgb(219,177,177)	1.9058	2,2
Batf	5430427O19Rik	-0.79083	50.3	-3.0E-01	rgb(152,178,228)	1.9878	None
Fosl2	5430427O19Rik	-0.91215	50.42	-4.2E-01	rgb(125,161,233)	1.9902	None
Tcf7l2	5430427O19Rik	0.41437	48.19	0.189	rgb(219,181,181)	1.9455	None
Batf	5730508B09Rik	0.40531	48.12	0.123	rgb(218,193,194)	1.9441	None
Fosl2	5730508B09Rik	0.28491	47.1	0.1	rgb(218,198,198)	1.9237	None
Batf	A830010M20Rik	0.9158	50.4	0.398	rgb(221,141,142)	1.9898	None
Sox5	A830010M20Rik	0.48787	48.36	0.36	rgb(221,148,149)	1.9489	2,2
Batf	Abat	0.030091	44.17	0.174	rgb(219,184,184)	1.865	None
Sox5	Abat	-0.50183	49.08	-8.0E-02	rgb(200,206,220)	1.9633	2,2
Fosl1	Abcg3	-0.57921	49.27	-2.7E-01	rgb(159,182,227)	1.9671	None
Tcf7l2	Abcg3	0.78502	50.28	0.281	rgb(220,163,164)	1.9874	None
Fosb	Abhd2	0.89963	50.4	0.399	rgb(221,141,142)	1.9898	None
Sox5	Abhd2	0.28349	47.09	0.085	rgb(218,201,201)	1.9235	None
Batf	Actbl2	-0.4393	48.22	-2.2E-01	rgb(169,188,225)	1.9461	None
Fosl1	Actbl2	0.27123	46.3	0.305	rgb(220,159,159)	1.9076	2,2
Batf	Acvr1b	-0.65849	50.12	-1.2E-01	rgb(191,201,221)	1.9842	None
Fosl2	Acvr1b	0.58973	49.29	0.288	rgb(220,162,162)	1.9675	None
Fosb	Adam10	0.71599	50.21	0.211	rgb(219,177,177)	1.986	None
Junb	Adam10	-0.72044	50.23	-2.3E-01	rgb(168,187,226)	1.9864	None
Fosl2	Adora2a	0.22173	46.14	0.138	rgb(219,191,191)	1.9044	2,2
Junb	Adora2a	0.56413	49.24	0.244	rgb(220,170,171)	1.9665	None
Batf	Aen	-0.72458	50.22	-2.2E-01	rgb(170,188,225)	1.9862	None
