TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Batf	Aen	-0.72458	50.22	-2.2E-01	rgb(170,188,225)	1.9862	None
Fosl1	Aen	0.75875	50.27	0.272	rgb(220,165,166)	1.9872	None
Junb	Aen	0.17585	45.28	0.278	rgb(220,164,164)	1.8872	None
Tcf7l2	Aen	-0.38239	48.04	-3.9E-02	rgb(209,212,218)	1.9425	None
Batf	Arid5a	0.73354	50.23	0.231	rgb(220,173,173)	1.9864	None
Fosl1	Arid5a	0.66711	50.13	0.127	rgb(218,193,193)	1.9844	None
Fosl2	Arid5a	0.79083	50.3	0.3	rgb(220,160,160)	1.9878	2,2
Junb	Arid5a	0.79083	50.3	0.3	rgb(220,160,160)	1.9878	None
Tcf7l2	Arid5a	-0.66518	50.14	-1.4E-01	rgb(187,199,222)	1.9846	None
Batf	Asf1a	-0.85925	50.36	-3.6E-01	rgb(139,170,231)	1.989	None
Fosl2	Asf1a	-0.8701	50.37	-3.7E-01	rgb(138,169,231)	1.9892	None
Junb	Asf1a	-0.92346	50.41	-4.1E-01	rgb(129,164,232)	1.99	None
Sox5	Asf1a	0.79685	50.29	0.292	rgb(220,161,162)	1.9876	None
Batf	Car5b	0.50479	49.1	0.098	rgb(218,198,198)	1.9637	None
Fosl1	Car5b	0.71599	50.21	0.206	rgb(219,178,178)	1.986	None
Junb	Car5b	0.35092	47.29	0.287	rgb(220,162,163)	1.9275	None
Sox5	Car5b	0.56413	49.24	0.236	rgb(220,172,172)	1.9665	2,2
Tcf7l2	Car5b	-0.65085	50.09	-8.8E-02	rgb(198,205,220)	1.9836	None
Batf	Cd80	-0.34172	47.23	-2.3E-01	rgb(167,187,226)	1.9263	None
Fosl1	Cd80	-0.40268	48.11	-1.1E-01	rgb(192,202,221)	1.9439	None
Sox5	Cd80	0.33982	47.26	0.264	rgb(220,167,167)	1.9269	2,2
Tcf7l2	Cd80	0.56083	49.24	0.237	rgb(220,172,172)	1.9665	None
Batf	Emb	0.4199	48.17	0.174	rgb(219,184,184)	1.9451	None
Fosl1	Emb	-0.34889	47.25	-2.5E-01	rgb(163,184,227)	1.9267	None
Junb	Emb	0.049581	44.14	0.136	rgb(218,191,191)	1.8644	None
Sox5	Emb	0.11004	44.45	0.45	rgb(222,131,132)	1.8706	2,2
Fosb	Extl3	-0.17818	45.29	-2.9E-01	rgb(154,179,228)	1.8874	None
Fosl2	Extl3	0.51491	49.14	0.137	rgb(219,191,191)	1.9645	None
Junb	Extl3	0.83091	50.32	0.323	rgb(221,155,156)	1.9882	None
Tcf7l2	Extl3	0.20052	46.14	0.142	rgb(219,190,190)	1.9044	None
Batf	Gigyf2	-0.61981	49.36	-3.6E-01	rgb(138,169,231)	1.9689	None
Fosl1	Gigyf2	0.66711	50.13	0.233	rgb(220,173,173)	1.9844	None
Junb	Gigyf2	-0.046506	44.13	-1.3E-01	rgb(189,200,222)	1.8642	None
Tcf7l2	Gigyf2	0.76948	50.28	0.276	rgb(220,164,165)	1.9874	None
Batf	Gpsm2	0.70766	50.2	0.205	rgb(219,178,178)	1.9858	None
Fosb	Gpsm2	-0.94746	50.47	-4.7E-01	rgb(115,155,235)	1.9912	None
Fosl2	Gpsm2	0.64051	49.58	0.577	rgb(223,107,108)	1.9734	2,2
Junb	Gpsm2	0.79685	50.29	0.285	rgb(220,163,163)	1.9876	None
Batf	Hmcn1	-0.63743	49.48	-4.8E-01	rgb(113,154,235)	1.9713	None
Fosl2	Hmcn1	0.26098	46.26	0.265	rgb(220,166,167)	1.9068	None
Junb	Hmcn1	0.56083	49.24	0.241	rgb(220,171,171)	1.9665	None
