TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Batf	0610012G03Rik	0.039109	44.1	0.097	rgb(218,199,199)	1.8636	2,2
Batf	1700025G04Rik	0.49726	49.03	0.032	rgb(217,211,211)	1.9623	None
Tcf7l2	1700065D16Rik	0.33399	47.21	0.213	rgb(219,176,177)	1.9259	2,2
Fosl1	2610034B18Rik	-0.18765	45.33	-3.3E-01	rgb(146,174,229)	1.8882	2,2
Fosl1	2810408A11Rik	-0.11213	44.49	-4.9E-01	rgb(111,152,236)	1.8714	2,2
Batf	4930412O13Rik	0.34889	47.25	0.254	rgb(220,169,169)	1.9267	2,2
Sox5	4930481A15Rik	-0.94125	50.46	-4.6E-01	rgb(117,156,235)	1.991	None
Tcf7l2	4930523C07Rik	0.66015	50.11	0.111	rgb(218,196,196)	1.984	None
Sox5	4931406P16Rik	-0.17067	45.26	-2.6E-01	rgb(160,182,227)	1.8868	None
Batf	5031414D18Rik	0.59721	49.31	0.314	rgb(220,157,158)	1.9679	None
Fosb	5031414D18Rik	-0.32789	47.23	-2.3E-01	rgb(167,187,226)	1.9263	None
Sox5	5031414D18Rik	0.24304	46.21	0.211	rgb(219,177,177)	1.9058	2,2
Fosl2	5430421N21Rik	0.45318	48.28	0.278	rgb(220,164,164)	1.9473	2,2
Batf	5430427O19Rik	-0.79083	50.3	-3.0E-01	rgb(152,178,228)	1.9878	None
Fosl2	5430427O19Rik	-0.91215	50.42	-4.2E-01	rgb(125,161,233)	1.9902	None
Tcf7l2	5430427O19Rik	0.41437	48.19	0.189	rgb(219,181,181)	1.9455	None
Batf	5730508B09Rik	0.40531	48.12	0.123	rgb(218,193,194)	1.9441	None
Fosl2	5730508B09Rik	0.28491	47.1	0.1	rgb(218,198,198)	1.9237	None
Batf	6430548M08Rik	-0.23251	46.18	-1.8E-01	rgb(179,194,224)	1.9052	2,2
Batf	6530402F18Rik	0.55871	49.23	0.233	rgb(220,172,173)	1.9663	2,2
Fosl1	9030617O03Rik	0.40114	48.15	0.392	rgb(221,142,143)	1.9447	None
Sox5	A1cf	-0.60363	49.32	-3.2E-01	rgb(148,175,229)	1.9681	2,2
Fosl1	A430005L14Rik	-0.83091	50.32	-3.2E-01	rgb(148,175,229)	1.9882	2,2
Batf	A830010M20Rik	0.9158	50.4	0.398	rgb(221,141,142)	1.9898	None
Sox5	A830010M20Rik	0.48787	48.36	0.36	rgb(221,148,149)	1.9489	2,2
Sox5	A930003A15Rik	0.68996	50.19	0.187	rgb(219,181,182)	1.9856	2,2
Batf	A930007I19Rik	-0.34889	47.25	-2.5E-01	rgb(162,184,227)	1.9267	2,2
Sox5	AA467197	0.78001	50.29	0.287	rgb(220,162,163)	1.9876	2,2
Junb	AI414108	-0.5346	49.19	-1.9E-01	rgb(175,192,224)	1.9655	2,2
Batf	AI607873	-0.27783	46.33	-3.3E-01	rgb(146,174,230)	1.9082	2,2
Batf	Abat	0.030091	44.17	0.174	rgb(219,184,184)	1.865	None
Sox5	Abat	-0.50183	49.08	-8.0E-02	rgb(200,206,220)	1.9633	2,2
Fosl1	Abcb1a	-0.74317	50.24	-2.4E-01	rgb(164,185,226)	1.9866	None
Fosl2	Abcb9	0.15811	45.22	0.216	rgb(219,176,176)	1.886	2,2
Sox5	Abcd3	0.39495	48.05	0.049	rgb(218,208,208)	1.9427	None
Batf	Abcg1	-0.45955	48.27	-2.7E-01	rgb(158,181,227)	1.9471	None
Fosl1	Abcg2	-0.50824	49.06	-6.4E-02	rgb(203,208,219)	1.9629	None
Fosl1	Abcg3	-0.57921	49.27	-2.7E-01	rgb(159,182,227)	1.9671	None
Tcf7l2	Abcg3	0.78502	50.28	0.281	rgb(220,163,164)	1.9874	None
Fosb	Abhd2	0.89963	50.4	0.399	rgb(221,141,142)	1.9898	None
Sox5	Abhd2	0.28349	47.09	0.085	rgb(218,201,201)	1.9235	None
Fosl1	Abi3	0.46892	48.32	0.315	rgb(220,157,157)	1.9481	2,2
Sox5	Ablim2	0.76948	50.28	0.28	rgb(220,163,164)	1.9874	None
Fosl1	Ablim3	-0.21846	46.13	-1.3E-01	rgb(188,199,222)	1.9042	None
Fosl2	Abtb2	0.76948	50.28	0.276	rgb(220,164,165)	1.9874	None
