TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Bhlhe41	1110007C09Rik	-0.93795	50.43	-4.3E-01	rgb(123,160,234)	1.9904	2,2
Tef	1110007C09Rik	0.95605	50.46	0.459	rgb(222,129,130)	1.991	2,2
Jdp2	2610034B18Rik	0.35746	47.31	0.306	rgb(220,159,159)	1.9279	2,2
Pou5f2	2610034B18Rik	0.57677	49.27	0.378	rgb(221,145,146)	1.9671	2,2
Cebpg	4632434I11Rik	-0.0080492	43.28	-2.8E-01	rgb(157,180,228)	1.8471	2,2
Maff	4632434I11Rik	-0.67265	50.16	-1.6E-01	rgb(183,196,223)	1.985	2,2
Cebpg	4930417O13Rik	0.92715	50.44	0.439	rgb(222,133,134)	1.9906	None
Ppard	4930417O13Rik	0.85362	50.34	0.343	rgb(221,151,152)	1.9886	None
Pou5f2	A330023F24Rik	0.33197	47.24	0.308	rgb(220,158,159)	1.9265	2,2
Tef	A330023F24Rik	0.68306	50.18	0.178	rgb(219,183,183)	1.9854	None
Etv4	Abcd3	0.22173	46.14	0.135	rgb(218,191,191)	1.9044	2,2
Plscr1	Abcd3	0.072368	44.3	0.303	rgb(220,159,160)	1.8676	2,2
Ddit3	Adm2	0.9038	50.41	0.409	rgb(222,139,140)	1.99	2,2
Jdp2	Adm2	0.39277	48.02	0.02	rgb(217,213,213)	1.9421	2,2
Plagl1	Adm2	0.56916	49.25	0.255	rgb(220,168,169)	1.9667	2,2
Etv4	Afp	-0.15655	45.28	-2.8E-01	rgb(156,180,228)	1.8872	None
Maff	Afp	0.42774	48.22	0.215	rgb(219,176,176)	1.9461	None
Ppard	Afp	0.61539	49.35	0.35	rgb(221,150,151)	1.9687	2,2
Maff	Alcam	-0.5414	49.19	-1.9E-01	rgb(176,192,224)	1.9655	None
Mesp2	Alcam	0.50682	49.11	0.729	rgb(225, 78, 79)	1.9639	2,2
Bhlhe41	Aldh1l2	0.95012	50.45	0.449	rgb(222,131,132)	1.9908	None
Cebpg	Aldh1l2	0.98181	50.56	0.557	rgb(223,111,112)	1.993	2,2
Ddit3	Aldh1l2	0.65562	50.11	0.109	rgb(218,196,196)	1.984	2,2
Etv4	Aldh1l2	0.96335	50.5	0.5	rgb(222,122,123)	1.9918	None
Jdp2	Aldh1l2	0.76948	50.28	0.277	rgb(220,164,165)	1.9874	2,2
Maff	Aldh1l2	0.87479	50.36	0.363	rgb(221,148,148)	1.989	2,2
Mesp2	Aldh1l2	0.4112	48.18	0.665	rgb(224, 90, 91)	1.9453	2,2
Plagl1	Aldh1l2	0.82549	50.33	0.335	rgb(221,153,154)	1.9884	2,2
Tef	Aldh1l2	0.22432	46.21	0.205	rgb(219,178,178)	1.9058	2,2
Cebpg	Aldh3a2	0.14712	45.25	0.247	rgb(220,170,170)	1.8866	2,2
Etv4	Aldh3a2	-0.83719	50.34	-3.4E-01	rgb(143,172,230)	1.9886	None
Ddit3	Angptl6	0.9341	50.45	0.45	rgb(222,131,132)	1.9908	2,2
Etv4	Angptl6	0.88983	50.39	0.393	rgb(221,142,143)	1.9896	None
Jdp2	Angptl6	0.82549	50.33	0.335	rgb(221,153,154)	1.9884	None
Maff	Angptl6	0.89475	50.38	0.383	rgb(221,144,145)	1.9894	None
Cebpg	Ankrd13c	-0.63244	49.43	-4.3E-01	rgb(124,161,233)	1.9703	2,2
Jdp2	Ankrd13c	-0.80319	50.31	-3.1E-01	rgb(150,176,229)	1.988	None
Tef	Ankrd13c	-0.96534	50.48	-4.8E-01	rgb(112,153,235)	1.9914	2,2
Maff	Arhgef6	-0.56413	49.24	-2.4E-01	rgb(165,185,226)	1.9665	2,2
Tef	Arhgef6	0.68029	50.16	0.159	rgb(219,187,187)	1.985	None
Bhlhe41	Asns	0.23779	46.25	0.249	rgb(220,169,170)	1.9066	2,2
Cebpg	Asns	0.14712	45.19	0.194	rgb(219,180,180)	1.8854	2,2
Ddit3	Asns	0.92715	50.44	0.437	rgb(222,133,134)	1.9906	2,2
Etv4	Asns	0.81418	50.32	0.32	rgb(221,156,157)	1.9882	2,2
Jdp2	Asns	0.9038	50.41	0.411	rgb(222,139,139)	1.99	2,2
Mesp2	Asns	0.25141	46.29	0.553	rgb(223,111,113)	1.9074	2,2
Plagl1	Asns	0.45111	48.25	0.249	rgb(220,169,170)	1.9467	2,2
Plscr1	Asns	0.96534	50.48	0.483	rgb(222,125,126)	1.9914	2,2
Pou5f2	Asns	-0.25141	46.29	-2.9E-01	rgb(154,179,228)	1.9074	2,2
Tef	Asns	0.87479	50.36	0.36	rgb(221,148,149)	1.989	2,2
Maff	Atmin	-0.19413	45.37	-3.7E-01	rgb(137,168,231)	1.889	2,2
Tef	Atmin	0.84261	50.33	0.327	rgb(221,155,155)	1.9884	None
Cebpg	Avil	0.23935	46.2	0.202	rgb(219,178,179)	1.9056	2,2
Ddit3	Avil	0.74841	50.26	0.262	rgb(220,167,167)	1.987	2,2
Tef	Avil	0.28491	47.1	0.103	rgb(218,197,198)	1.9237	2,2
Bhlhe41	Avpi1	0.40935	48.14	0.138	rgb(219,191,191)	1.9445	None
Jdp2	Avpi1	0.48358	48.34	0.339	rgb(221,152,153)	1.9485	2,2
Tef	Avpi1	0.77473	50.27	0.272	rgb(220,165,166)	1.9872	None
Bhlhe41	Avpr1a	0.87479	50.36	0.357	rgb(221,149,150)	1.989	2,2
Ppard	Avpr1a	-0.57179	49.26	-2.6E-01	rgb(162,183,227)	1.9669	2,2
Mesp2	B4galt1	0.2562	46.31	0.553	rgb(223,111,113)	1.9078	2,2
Ppard	B4galt1	-0.93795	50.43	-4.3E-01	rgb(125,161,233)	1.9904	2,2
Cebpg	B930041F14Rik	-0.97097	50.52	-5.2E-01	rgb(105,149,237)	1.9922	None
Tef	B930041F14Rik	-0.71599	50.21	-2.1E-01	rgb(170,189,225)	1.986	2,2
Cebpg	Bace2	-0.16698	45.25	-2.5E-01	rgb(163,184,226)	1.8866	None
Etv4	Bace2	-0.26098	46.26	-2.6E-01	rgb(161,183,227)	1.9068	2,2
Maff	Bambi	0.10402	44.36	0.365	rgb(221,147,148)	1.8688	2,2
Mesp2	Bambi	0.20052	46.14	0.553	rgb(223,111,113)	1.9044	2,2
Bhlhe41	Bid	0.2308	46.23	0.232	rgb(220,173,173)	1.9062	2,2
Plagl1	Bid	0.50416	48.54	0.536	rgb(223,115,116)	1.9525	2,2
