TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Bhlhe41	Aldh1l2	0.95012	50.45	0.449	rgb(222,131,132)	1.9908	None
Cebpg	Aldh1l2	0.98181	50.56	0.557	rgb(223,111,112)	1.993	2,2
Ddit3	Aldh1l2	0.65562	50.11	0.109	rgb(218,196,196)	1.984	2,2
Etv4	Aldh1l2	0.96335	50.5	0.5	rgb(222,122,123)	1.9918	None
Jdp2	Aldh1l2	0.76948	50.28	0.277	rgb(220,164,165)	1.9874	2,2
Maff	Aldh1l2	0.87479	50.36	0.363	rgb(221,148,148)	1.989	2,2
Mesp2	Aldh1l2	0.4112	48.18	0.665	rgb(224, 90, 91)	1.9453	2,2
Plagl1	Aldh1l2	0.82549	50.33	0.335	rgb(221,153,154)	1.9884	2,2
Tef	Aldh1l2	0.22432	46.21	0.205	rgb(219,178,178)	1.9058	2,2
Bhlhe41	Asns	0.23779	46.25	0.249	rgb(220,169,170)	1.9066	2,2
Cebpg	Asns	0.14712	45.19	0.194	rgb(219,180,180)	1.8854	2,2
Ddit3	Asns	0.92715	50.44	0.437	rgb(222,133,134)	1.9906	2,2
Etv4	Asns	0.81418	50.32	0.32	rgb(221,156,157)	1.9882	2,2
Jdp2	Asns	0.9038	50.41	0.411	rgb(222,139,139)	1.99	2,2
Mesp2	Asns	0.25141	46.29	0.553	rgb(223,111,113)	1.9074	2,2
Plagl1	Asns	0.45111	48.25	0.249	rgb(220,169,170)	1.9467	2,2
Plscr1	Asns	0.96534	50.48	0.483	rgb(222,125,126)	1.9914	2,2
Pou5f2	Asns	-0.25141	46.29	-2.9E-01	rgb(154,179,228)	1.9074	2,2
Tef	Asns	0.87479	50.36	0.36	rgb(221,148,149)	1.989	2,2
Bhlhe41	Chac1	0.65249	50.08	0.075	rgb(218,203,203)	1.9834	2,2
Cebpg	Chac1	0.98985	50.6	0.598	rgb(224,103,104)	1.9938	2,2
Etv4	Chac1	0.87479	50.38	0.377	rgb(221,145,146)	1.9894	2,2
Jdp2	Chac1	0.72044	50.23	0.227	rgb(219,174,174)	1.9864	2,2
Mesp2	Chac1	0.58973	49.29	0.729	rgb(225, 78, 79)	1.9675	2,2
Plagl1	Chac1	0.79083	50.3	0.303	rgb(220,159,160)	1.9878	2,2
