TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Plscr1	0610007P14Rik	0.32789	47.23	0.232	rgb(220,173,173)	1.9263	2,2
Bhlhe41	1110007C09Rik	-0.93795	50.43	-4.3E-01	rgb(123,160,234)	1.9904	2,2
Tef	1110007C09Rik	0.95605	50.46	0.459	rgb(222,129,130)	1.991	2,2
Ddit3	1110032F04Rik	-0.65249	50.08	-2.4E-01	rgb(165,186,226)	1.9834	2,2
Ddit3	1110057K04Rik	-0.63054	49.42	-4.2E-01	rgb(126,162,233)	1.9701	2,2
Tef	1700025G04Rik	0.61539	49.35	0.349	rgb(221,150,151)	1.9687	2,2
Pou5f2	1700034I23Rik	0.48064	48.33	0.325	rgb(221,155,156)	1.9483	2,2
Bhlhe41	2210013O21Rik	-0.89475	50.38	-3.8E-01	rgb(134,167,231)	1.9894	2,2
Jdp2	2610034B18Rik	0.35746	47.31	0.306	rgb(220,159,159)	1.9279	2,2
Pou5f2	2610034B18Rik	0.57677	49.27	0.378	rgb(221,145,146)	1.9671	2,2
Maff	2610035D17Rik	-0.67753	50.17	-1.7E-01	rgb(181,195,223)	1.9852	None
Mesp2	2810459M11Rik	0.14038	45.23	0.234	rgb(220,172,173)	1.8862	2,2
Cebpg	4632434I11Rik	-0.0080492	43.28	-2.8E-01	rgb(157,180,228)	1.8471	2,2
Maff	4632434I11Rik	-0.67265	50.16	-1.6E-01	rgb(183,196,223)	1.985	2,2
Mesp2	4921507P07Rik	0.32789	47.23	0.606	rgb(224,101,102)	1.9263	2,2
Cebpg	4930412O13Rik	-0.58711	49.29	-2.9E-01	rgb(154,179,228)	1.9675	None
Cebpg	4930417O13Rik	0.92715	50.44	0.439	rgb(222,133,134)	1.9906	None
Ppard	4930417O13Rik	0.85362	50.34	0.343	rgb(221,151,152)	1.9886	None
Maff	4930503L19Rik	-0.046506	44.13	-1.3E-01	rgb(188,199,222)	1.8642	None
Tef	4930506M07Rik	-0.072368	44.3	-3.0E-01	rgb(153,178,228)	1.8676	2,2
Pou5f2	4930562C15Rik	0.81973	50.31	0.381	rgb(221,144,145)	1.988	2,2
Plagl1	6030419C18Rik	0.24304	46.21	0.206	rgb(219,178,178)	1.9058	2,2
Plscr1	9430020K01Rik	0.45318	48.28	0.281	rgb(220,163,164)	1.9473	2,2
Plagl1	A1cf	0.61714	49.36	0.364	rgb(221,147,148)	1.9689	2,2
Pou5f2	A330023F24Rik	0.33197	47.24	0.308	rgb(220,158,159)	1.9265	2,2
Tef	A330023F24Rik	0.68306	50.18	0.178	rgb(219,183,183)	1.9854	None
Maff	A930003A15Rik	0.76378	50.26	0.263	rgb(220,167,167)	1.987	None
Tef	AA467197	0.31232	47.19	0.186	rgb(219,182,182)	1.9255	2,2
Cebpg	Aacs	-0.70389	50.21	-2.1E-01	rgb(172,189,225)	1.986	None
Ppard	Abcb9	0.9158	50.4	0.4	rgb(221,141,141)	1.9898	2,2
Etv4	Abcd3	0.22173	46.14	0.135	rgb(218,191,191)	1.9044	2,2
Plscr1	Abcd3	0.072368	44.3	0.303	rgb(220,159,160)	1.8676	2,2
Cebpg	Abcg1	0.91215	50.42	0.422	rgb(222,136,137)	1.9902	None
Ddit3	Acbd7	0.77473	50.27	0.268	rgb(220,166,166)	1.9872	None
Etv4	Acin1	-0.82549	50.33	-3.3E-01	rgb(145,173,230)	1.9884	None
Ppard	Acox1	-0.59463	49.3	-3.0E-01	rgb(152,178,228)	1.9677	None
Jdp2	Acox3	0.67514	50.15	0.15	rgb(219,188,189)	1.9848	None
Bhlhe41	Acpp	-0.88513	50.37	-3.7E-01	rgb(136,168,231)	1.9892	2,2
Cebpg	Acsbg1	0.37572	47.41	0.413	rgb(222,138,139)	1.9299	2,2
Cebpg	Acsl4	0.18189	46.02	0.021	rgb(217,213,213)	1.902	None
Plagl1	Actn1	0.92016	50.43	0.431	rgb(222,135,136)	1.9904	2,2
Mesp2	Acvrl1	-0.12273	45.18	-1.8E-01	rgb(178,193,224)	1.8852	2,2
Tef	Ada	-0.042221	44.11	-1.1E-01	rgb(193,203,221)	1.8638	2,2
Mesp2	Adad1	-0.047922	44.22	-2.2E-01	rgb(170,188,225)	1.866	2,2
Ppard	Adam21	-0.12273	45.18	-1.8E-01	rgb(179,194,224)	1.8852	2,2
Pou5f2	Adam4	0.85362	50.34	0.336	rgb(221,153,154)	1.9886	2,2
Tef	Adamts17	-0.98321	50.53	-5.3E-01	rgb(102,147,237)	1.9924	2,2
Etv4	Adamts6	-0.05109	44.23	-2.3E-01	rgb(167,187,226)	1.8662	2,2
Cebpg	Adap1	0.72458	50.22	0.221	rgb(219,175,175)	1.9862	None
Cebpg	Adcy4	0.46154	48.3	0.301	rgb(220,159,160)	1.9477	None
Pou5f2	Adm	-0.45318	48.28	-2.8E-01	rgb(157,180,228)	1.9473	2,2
Ddit3	Adm2	0.9038	50.41	0.409	rgb(222,139,140)	1.99	2,2
Jdp2	Adm2	0.39277	48.02	0.02	rgb(217,213,213)	1.9421	2,2
Plagl1	Adm2	0.56916	49.25	0.255	rgb(220,168,169)	1.9667	2,2
Plagl1	Adora2a	0.9341	50.45	0.447	rgb(222,132,132)	1.9908	2,2
Etv4	Adra2a	0.47257	48.33	0.335	rgb(221,153,154)	1.9483	2,2
Etv4	Adra2b	-0.26888	46.39	-3.9E-01	rgb(131,165,232)	1.9094	2,2
Etv4	Adrb2	-0.14379	45.18	-1.8E-01	rgb(178,193,224)	1.8852	None
Etv4	Aebp1	-0.5185	49.15	-1.5E-01	rgb(184,197,223)	1.9647	2,2
Ppard	Aff3	-0.19314	46.11	-1.1E-01	rgb(194,203,221)	1.9038	2,2
Etv4	Afp	-0.15655	45.28	-2.8E-01	rgb(156,180,228)	1.8872	None
Maff	Afp	0.42774	48.22	0.215	rgb(219,176,176)	1.9461	None
Ppard	Afp	0.61539	49.35	0.35	rgb(221,150,151)	1.9687	2,2
Pou5f2	Agap1	0.33779	47.22	0.267	rgb(220,166,167)	1.9261	2,2
Tef	Ahnak	0.09264	45.05	0.052	rgb(218,207,207)	1.8826	None
Etv4	Ahrr	0.80818	50.3	0.302	rgb(220,159,160)	1.9878	None
Pou5f2	Aicda	-0.55362	49.22	-2.2E-01	rgb(170,188,225)	1.9661	2,2
Tef	Aig1	0.79685	50.29	0.289	rgb(220,162,162)	1.9876	None
Bhlhe41	Aim2	-0.53894	49.2	-2.0E-01	rgb(173,190,225)	1.9657	2,2
Pou5f2	Akap14	0.24114	46.26	0.266	rgb(220,166,167)	1.9068	2,2
Plagl1	Akap2	0.73808	50.25	0.246	rgb(220,170,171)	1.9868	2,2
Plagl1	Akna	0.20522	46.05	0.047	rgb(218,208,208)	1.9026	None
Tef	Akr1c12	-0.50183	49.08	-7.7E-02	rgb(200,207,220)	1.9633	2,2
