TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Hif1a	1190002N15Rik	0.99981	50.84	0.838	rgb(226, 57, 59)	1.9986	None
Zfp112	1190002N15Rik	-0.46719	48.29	-2.9E-01	rgb(154,179,228)	1.9475	2,2
C030039L03Rik	1700001L05Rik	0.56916	49.25	0.254	rgb(220,169,169)	1.9667	2,2
Hif1a	1700001L05Rik	0.99493	50.61	0.607	rgb(224,101,102)	1.994	2,2
C030039L03Rik	1700034I23Rik	0.98446	50.57	0.574	rgb(223,107,108)	1.9932	2,2
Kdm5b	1700034I23Rik	0.455	48.26	0.26	rgb(220,167,168)	1.9469	2,2
C030039L03Rik	2310022B05Rik	0.48358	48.34	0.34	rgb(221,152,153)	1.9485	2,2
Hif1a	2310022B05Rik	0.99966	50.79	0.785	rgb(226, 67, 69)	1.9976	2,2
Hif3a	2310022B05Rik	0.73808	50.25	0.25	rgb(220,169,170)	1.9868	2,2
Kdm5b	2310022B05Rik	0.28295	46.36	0.355	rgb(221,149,150)	1.9088	2,2
Hif1a	2810454H06Rik	-0.064263	44.27	-2.7E-01	rgb(158,181,227)	1.867	2,2
Zfp112	2810454H06Rik	0.40634	48.13	0.13	rgb(218,192,192)	1.9443	2,2
C030039L03Rik	3110057O12Rik	0.96335	50.5	0.498	rgb(222,122,123)	1.9918	2,2
Heyl	3110057O12Rik	0.79685	50.29	0.291	rgb(220,161,162)	1.9876	2,2
Hif1a	3110057O12Rik	0.99842	50.7	0.699	rgb(225, 84, 85)	1.9958	2,2
C030039L03Rik	4930417O13Rik	0.95899	50.49	0.486	rgb(222,124,125)	1.9916	2,2
Hif1a	4930417O13Rik	0.70028	50.19	0.187	rgb(219,181,182)	1.9856	None
Kdm5b	4930417O13Rik	0.56413	49.24	0.235	rgb(220,172,173)	1.9665	2,2
C030039L03Rik	5330426P16Rik	0.59721	49.31	0.309	rgb(220,158,159)	1.9679	2,2
Heyl	5330426P16Rik	0.34729	47.28	0.282	rgb(220,163,164)	1.9273	2,2
Hif1a	5330426P16Rik	0.81973	50.31	0.311	rgb(220,158,158)	1.988	2,2
Hif3a	5330426P16Rik	0.21576	46.12	0.125	rgb(218,193,193)	1.904	2,2
Zfp112	5330426P16Rik	-0.1733	45.27	-2.7E-01	rgb(158,181,227)	1.887	2,2
