TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Dzip1	Atp8b4	0.57179	49.26	0.261	rgb(220,167,168)	1.9669	2,2
Irf4	Atp8b4	-0.9864	50.58	-5.8E-01	rgb( 91,140,239)	1.9934	None
Nfat5	Atp8b4	0.86486	50.35	0.351	rgb(221,150,151)	1.9888	2,2
Zeb2	Atp8b4	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	2,2
Dzip1	Ccl9	0.16387	45.31	0.308	rgb(220,158,159)	1.8878	2,2
Nfat5	Ccl9	0.74317	50.24	0.236	rgb(220,172,172)	1.9866	2,2
Prdm8	Ccl9	0.52037	49.14	0.136	rgb(218,191,191)	1.9645	2,2
Zeb2	Ccl9	0.81418	50.32	0.323	rgb(221,155,156)	1.9882	2,2
Dzip1	Crtam	0.45318	48.28	0.279	rgb(220,164,164)	1.9473	2,2
Irf4	Crtam	-0.99264	50.62	-6.2E-01	rgb( 83,136,240)	1.9942	2,2
Prdm8	Crtam	0.50868	49.12	0.124	rgb(218,193,193)	1.9641	2,2
Zeb2	Crtam	0.92715	50.44	0.439	rgb(222,133,134)	1.9906	2,2
Dzip1	Hdac9	0.87479	50.36	0.363	rgb(221,148,148)	1.989	2,2
Irf4	Hdac9	-0.98985	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Nfat5	Hdac9	0.69311	50.18	0.183	rgb(219,182,182)	1.9854	None
Prdm8	Hdac9	0.54826	49.21	0.212	rgb(219,176,177)	1.9659	2,2
St18	Hdac9	0.89475	50.38	0.377	rgb(221,145,146)	1.9894	2,2
Zeb2	Hdac9	0.1183	45.06	0.057	rgb(218,206,206)	1.8828	2,2
Dzip1	Loxl2	0.79685	50.29	0.292	rgb(220,161,162)	1.9876	2,2
Irf4	Loxl2	-0.96335	50.5	-5.0E-01	rgb(108,150,236)	1.9918	2,2
St18	Loxl2	0.54356	49.21	0.206	rgb(219,178,178)	1.9659	2,2
Zeb2	Loxl2	0.49251	48.45	0.451	rgb(222,131,132)	1.9507	2,2
Irf4	Mtss1	0.056363	44.16	0.157	rgb(219,187,187)	1.8648	2,2
Nfat5	Mtss1	-0.74317	50.24	-2.4E-01	rgb(164,185,226)	1.9866	2,2
St18	Mtss1	-0.79685	50.29	-2.9E-01	rgb(154,179,228)	1.9876	2,2
Zeb2	Mtss1	-0.95012	50.45	-4.5E-01	rgb(119,157,234)	1.9908	2,2
Irf4	Rassf8	-0.82549	50.33	-3.3E-01	rgb(145,173,230)	1.9884	2,2
Nfat5	Rassf8	0.84261	50.33	0.33	rgb(221,154,155)	1.9884	2,2
Prdm8	Rassf8	0.23415	46.24	0.238	rgb(220,172,172)	1.9064	2,2
Zeb2	Rassf8	0.23935	46.2	0.331	rgb(221,154,154)	1.9056	2,2
Dzip1	Twist1	0.023104	44.15	0.146	rgb(219,189,189)	1.8646	2,2
Irf4	Twist1	-0.46348	48.28	-2.8E-01	rgb(155,179,228)	1.9473	2,2
Nfat5	Twist1	0.11029	45.14	0.14	rgb(219,190,191)	1.8844	2,2
Prdm8	Twist1	0.79083	50.3	0.298	rgb(220,160,161)	1.9878	2,2
St18	Twist1	0.018185	44.13	0.134	rgb(218,192,192)	1.8642	2,2
Zeb2	Twist1	0.58198	49.28	0.281	rgb(220,163,164)	1.9673	2,2
