TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Irf4	1700034I23Rik	-0.076784	44.33	-3.3E-01	rgb(145,173,230)	1.8682	None
Nfat5	1700084E18Rik	-0.14539	45.24	-2.4E-01	rgb(166,186,226)	1.8864	2,2
St18	2010002M12Rik	0.84261	50.33	0.329	rgb(221,154,155)	1.9884	2,2
Irf4	2210013O21Rik	-0.59262	49.3	-3.0E-01	rgb(151,177,229)	1.9677	2,2
Dzip1	2310007L24Rik	0.2308	46.23	0.302	rgb(220,159,160)	1.9062	2,2
Irf4	2310015A10Rik	-0.58711	49.29	-2.9E-01	rgb(155,179,228)	1.9675	None
Irf4	2810454H06Rik	0.31097	47.14	0.136	rgb(218,191,191)	1.9245	None
Irf4	2810459M11Rik	-0.68996	50.19	-1.9E-01	rgb(175,192,224)	1.9856	2,2
Irf4	2900026A02Rik	-0.92016	50.43	-4.3E-01	rgb(123,160,233)	1.9904	None
Nfat5	2900026A02Rik	0.68612	50.17	0.173	rgb(219,184,184)	1.9852	None
Irf4	4930412O13Rik	-0.14233	45.17	-1.7E-01	rgb(179,194,224)	1.885	2,2
St18	4930412O13Rik	0.21036	46.17	0.173	rgb(219,184,184)	1.905	2,2
Irf4	4930417O13Rik	0.14539	45.24	0.237	rgb(220,172,172)	1.8864	None
Irf4	4930429B21Rik	0.65085	50.09	0.088	rgb(218,200,200)	1.9836	None
Nfat5	4930506M07Rik	0.15998	45.29	0.291	rgb(220,161,162)	1.8874	2,2
Prdm8	4933431E20Rik	0.073318	44.31	0.309	rgb(220,158,159)	1.8678	2,2
Zeb2	5430421N21Rik	-0.9158	50.4	-4.0E-01	rgb(131,165,232)	1.9898	2,2
Irf4	5430427O19Rik	0.58711	49.29	0.286	rgb(220,162,163)	1.9675	None
St18	9530053A07Rik	0.85362	50.34	0.341	rgb(221,152,153)	1.9886	2,2
Irf4	A1cf	-0.5368	49.18	-1.8E-01	rgb(177,193,224)	1.9653	2,2
Irf4	A330023F24Rik	0.3049	47.17	0.169	rgb(219,185,185)	1.9251	None
Irf4	A930011G23Rik	-0.31412	47.15	-1.5E-01	rgb(185,198,223)	1.9247	None
Zeb2	AA467197	0.84261	50.33	0.331	rgb(221,154,154)	1.9884	2,2
Zeb2	Abcb4	0.68612	50.17	0.173	rgb(219,184,184)	1.9852	2,2
Irf4	Abcb9	-0.98811	50.59	-5.9E-01	rgb( 90,140,239)	1.9936	2,2
Dzip1	Abcd3	0.64339	49.5	0.501	rgb(223,121,122)	1.9717	2,2
Irf4	Abcd3	-0.99538	50.65	-6.5E-01	rgb( 76,131,242)	1.9948	None
Zeb2	Abcd3	0.0024781	44.05	0.268	rgb(220,166,166)	1.8626	2,2
Nfat5	Abcg1	-0.62739	49.4	-4.0E-01	rgb(131,165,232)	1.9697	None
Dzip1	Abcg2	0.92346	50.41	0.409	rgb(221,139,140)	1.99	2,2
Irf4	Abcg2	-0.67753	50.17	-1.7E-01	rgb(181,195,223)	1.9852	None
Dzip1	Abcg3	0.32061	47.21	0.209	rgb(219,177,178)	1.9259	2,2
Irf4	Abcg3	-0.9038	50.41	-4.1E-01	rgb(128,163,233)	1.99	None
Nfat5	Abhd16b	0.70766	50.2	0.198	rgb(219,179,180)	1.9858	None
Nfat5	Abhd2	0.86486	50.35	0.352	rgb(221,150,150)	1.9888	2,2
Nfat5	Abhd4	0.9158	50.4	0.403	rgb(221,140,141)	1.9898	2,2
Nfat5	Abi3	-0.56083	49.24	-2.4E-01	rgb(164,185,226)	1.9665	2,2
Nfat5	Acad9	-0.16698	45.25	-2.5E-01	rgb(163,184,226)	1.8866	None
Irf4	Acox1	0.62156	49.38	0.377	rgb(221,145,146)	1.9693	2,2
Irf4	Acoxl	-0.78001	50.29	-2.9E-01	rgb(153,178,228)	1.9876	None
Nfat5	Acpp	-0.56083	49.24	-2.4E-01	rgb(165,186,226)	1.9665	2,2
Irf4	Acsl6	0.58485	49.28	0.284	rgb(220,163,163)	1.9673	None
Dzip1	Actn2	0.054556	44.24	0.52	rgb(223,118,119)	1.8664	2,2
Zeb2	Acvrl1	-0.89475	50.38	-3.8E-01	rgb(135,167,231)	1.9894	2,2
Irf4	Ada	0.58485	49.28	0.276	rgb(220,164,165)	1.9673	2,2
Dzip1	Adam19	-0.63961	49.46	-4.6E-01	rgb(116,156,235)	1.9709	2,2
Irf4	Adam19	-0.51155	49.13	-1.3E-01	rgb(190,200,222)	1.9643	None
Nfat5	Adam19	-0.46892	48.32	-3.2E-01	rgb(148,175,229)	1.9481	None
St18	Adam3	0.39836	48.14	0.139	rgb(219,191,191)	1.9445	2,2
Irf4	Adarb1	0.94746	50.47	0.47	rgb(222,127,128)	1.9912	None
Nfat5	Adc	-0.4351	48.21	-2.1E-01	rgb(172,189,225)	1.9459	2,2
Nfat5	Adora2a	0.89475	50.38	0.384	rgb(221,144,144)	1.9894	None
Zeb2	Adora2a	0.98181	50.56	0.563	rgb(223,109,111)	1.993	2,2
Irf4	Adrb2	0.56083	49.24	0.236	rgb(220,172,172)	1.9665	None
Dzip1	Aff3	-0.082597	44.37	-3.7E-01	rgb(137,168,231)	1.869	2,2
Nfat5	Aff3	-0.28919	47.12	-1.2E-01	rgb(192,202,221)	1.9241	None
Zeb2	Aff3	-0.88983	50.39	-3.9E-01	rgb(133,166,232)	1.9896	2,2
Irf4	Afp	-0.71599	50.21	-2.3E-01	rgb(167,187,226)	1.986	None
Irf4	Aga	-0.21349	46.11	-1.1E-01	rgb(193,202,221)	1.9038	None
Irf4	Agr3	-0.45955	48.27	-2.7E-01	rgb(157,181,227)	1.9471	2,2
Dzip1	Akap2	0.87479	50.36	0.463	rgb(222,129,130)	1.989	2,2
Prdm8	Akap2	0.95605	50.46	0.46	rgb(222,129,130)	1.991	2,2
Irf4	Akna	-0.45955	48.27	-2.7E-01	rgb(158,181,227)	1.9471	None
Zeb2	Akr1b8	0.99778	50.67	0.674	rgb(224, 88, 90)	1.9952	2,2
St18	Aldh3a1	0.81973	50.31	0.308	rgb(220,158,159)	1.988	2,2
Dzip1	Als2cl	0.35092	47.29	0.302	rgb(220,159,160)	1.9275	2,2
Dzip1	Amdhd1	0.33579	47.25	0.432	rgb(222,134,135)	1.9267	2,2
Irf4	Amph	-0.72884	50.24	-2.4E-01	rgb(164,185,226)	1.9866	2,2
Prdm8	Amph	0.71599	50.21	0.219	rgb(219,175,176)	1.986	2,2
Irf4	Amz2	-0.455	48.26	-2.6E-01	rgb(160,182,227)	1.9469	None
Irf4	Angpt1	-0.58485	49.28	-2.8E-01	rgb(156,180,228)	1.9673	2,2
Nfat5	Angpt1	0.22432	46.21	0.211	rgb(219,177,177)	1.9058	2,2
St18	Angpt1	0.77473	50.27	0.271	rgb(220,165,166)	1.9872	2,2
Prdm8	Angptl4	0.76378	50.26	0.261	rgb(220,167,168)	1.987	2,2
Irf4	Angptl6	0.59262	49.3	0.305	rgb(220,159,159)	1.9677	None
Nfat5	Ankk1	0.63363	49.41	0.408	rgb(221,139,140)	1.9699	2,2
Dzip1	Ankmy2	0.58973	49.29	0.289	rgb(220,162,162)	1.9675	2,2
Nfat5	Ankrd13c	0.9158	50.4	0.4	rgb(221,141,141)	1.9898	2,2
Irf4	Anln	-0.35577	47.27	-2.7E-01	rgb(159,182,227)	1.9271	2,2
Irf4	Antxr2	-0.42389	48.18	-1.8E-01	rgb(178,193,224)	1.9453	None
Prdm8	Antxr2	0.96154	50.47	0.471	rgb(222,127,128)	1.9912	2,2
Irf4	Anxa3	0.89963	50.4	0.398	rgb(221,141,142)	1.9898	None
Prdm8	Ap4m1	0.083082	44.38	0.378	rgb(221,145,146)	1.8692	2,2
Irf4	Apbb1ip	-0.10634	44.38	-3.8E-01	rgb(134,167,231)	1.8692	None
Zeb2	Aph1b	0.22432	46.21	0.213	rgb(219,176,177)	1.9058	2,2
Dzip1	Apobec1	0.87479	50.36	0.36	rgb(221,148,149)	1.989	2,2
Irf4	Apobec1	-0.79083	50.3	-3.0E-01	rgb(152,178,228)	1.9878	None
Prdm8	Apoh	0.57179	49.26	0.262	rgb(220,167,167)	1.9669	2,2
St18	Apoh	0.36393	47.34	0.338	rgb(221,152,153)	1.9285	2,2
Prdm8	Apol10b	0.24945	46.23	0.23	rgb(220,173,174)	1.9062	2,2
Zeb2	Aqp3	-0.98718	50.55	-5.5E-01	rgb( 97,144,238)	1.9928	2,2
Dzip1	Arap3	0.60171	49.32	0.319	rgb(221,156,157)	1.9681	2,2
Dzip1	Areg	0.31412	47.15	0.153	rgb(219,188,188)	1.9247	2,2
St18	Areg	0.40935	48.14	0.183	rgb(219,182,182)	1.9445	2,2
Irf4	Arhgap10	-0.22305	46.15	-1.5E-01	rgb(184,197,223)	1.9046	None
Irf4	Arhgap17	-0.50028	48.44	-4.4E-01	rgb(121,159,234)	1.9505	None
Irf4	Arhgef3	0.74317	50.24	0.244	rgb(220,170,171)	1.9866	None
Irf4	Arhgef6	-0.74841	50.26	-2.6E-01	rgb(161,183,227)	1.987	None
Nfat5	Arhgef6	0.23779	46.25	0.248	rgb(220,170,170)	1.9066	2,2
Irf4	Armc3	0.25305	46.3	0.298	rgb(220,160,161)	1.9076	None
Irf4	Armcx6	0.56916	49.25	0.248	rgb(220,170,170)	1.9667	2,2
Nfat5	Arnt2	0.44915	48.27	0.273	rgb(220,165,165)	1.9471	2,2
Nfat5	Arrb1	0.2562	46.31	0.305	rgb(220,159,159)	1.9078	2,2
Dzip1	Arrb2	-0.90766	50.39	-3.9E-01	rgb(132,165,232)	1.9896	2,2
Zeb2	Arrb2	-0.010136	43.29	-2.9E-01	rgb(155,179,228)	1.8473	2,2
Dzip1	Arsb	0.28903	46.43	0.433	rgb(222,134,135)	1.9102	2,2
Irf4	Arsb	-0.72044	50.23	-2.3E-01	rgb(167,187,226)	1.9864	None
Irf4	Asb2	-0.50999	49.07	-6.5E-02	rgb(203,208,219)	1.9631	None
Zeb2	Asb2	0.38906	47.48	0.476	rgb(222,126,127)	1.9313	2,2
Irf4	Atad2b	-0.47794	48.32	-3.2E-01	rgb(147,174,229)	1.9481	None
Dzip1	Atcay	0.24304	46.21	0.209	rgb(219,177,178)	1.9058	2,2
