TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Egr1	1700030K09Rik	0.5231	49.16	0.16	rgb(219,186,187)	1.9649	None
Zfp870	1700030K09Rik	0.9864	50.58	0.582	rgb(223,106,107)	1.9934	2,2
E2f1	Adam10	0.30047	47.09	0.088	rgb(218,200,200)	1.9235	None
Egr1	Adam10	0.72884	50.24	0.242	rgb(220,171,171)	1.9866	None
E2f1	Adssl1	-0.095603	45.07	-7.5E-02	rgb(201,207,220)	1.883	None
Egr1	Adssl1	-0.60557	49.33	-3.3E-01	rgb(144,173,230)	1.9683	None
E2f1	Aim1	-0.70028	50.19	-1.9E-01	rgb(176,192,224)	1.9856	None
E2f4	Aim1	-0.035029	44.07	-6.7E-02	rgb(202,208,220)	1.863	None
E2f1	Akirin1	-0.96534	50.48	-4.8E-01	rgb(112,153,235)	1.9914	None
Egr1	Akirin1	-0.018185	44.13	-1.3E-01	rgb(188,199,222)	1.8642	None
E2f1	Apitd1	0.85925	50.36	0.364	rgb(221,147,148)	1.989	None
Egr1	Apitd1	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	None
Zfp367	Apitd1	0.99704	50.64	0.639	rgb(224, 95, 96)	1.9946	2,2
E2f1	Arfgap3	0.49726	49.03	0.034	rgb(217,211,211)	1.9623	None
Egr1	Arfgap3	-0.96745	50.51	-5.1E-01	rgb(107,150,236)	1.992	None
E2f1	Arrb2	0.152	45.2	0.201	rgb(219,179,179)	1.8856	None
Zfp367	Arrb2	0.87479	50.36	0.36	rgb(221,148,149)	1.989	2,2
Egr1	Atrnl1	-0.88983	50.39	-3.9E-01	rgb(133,166,232)	1.9896	None
Zfp367	Atrnl1	0.47077	48.3	0.3	rgb(220,160,160)	1.9477	2,2
E2f4	Basp1	-0.21986	46.2	-2.0E-01	rgb(174,191,225)	1.9056	None
Egr1	Basp1	-0.73808	50.25	-2.5E-01	rgb(163,184,226)	1.9868	None
E2f1	Bcor	0.74317	50.24	0.236	rgb(220,172,172)	1.9866	None
Egr1	Bcor	0.50784	49.05	0.055	rgb(218,207,207)	1.9627	None
Zfp367	Ccbl2	0.47077	48.3	0.295	rgb(220,161,161)	1.9477	2,2
Zfp870	Ccbl2	0.66898	50.15	0.293	rgb(220,161,162)	1.9848	2,2
E2f4	Cdc25b	0.98541	50.54	0.538	rgb(223,114,115)	1.9926	None
Tfdp2	Cdc25b	0.61377	49.35	0.354	rgb(221,149,150)	1.9687	2,2
E2f4	Cdkn2c	0.98541	50.54	0.538	rgb(223,114,115)	1.9926	None
Zfp367	Cdkn2c	0.91215	50.42	0.424	rgb(222,136,137)	1.9902	2,2
E2f4	Cenpm	0.25305	46.3	0.301	rgb(220,160,160)	1.9076	2,2
Egr1	Cenpm	0.77473	50.27	0.27	rgb(220,165,166)	1.9872	None
Zfp367	Cenpm	0.99374	50.63	0.626	rgb(224, 97, 99)	1.9944	2,2
E2f4	Cenpw	0.22595	46.16	0.172	rgb(219,184,184)	1.9048	None
Egr1	Cenpw	0.98541	50.54	0.535	rgb(223,115,116)	1.9926	2,2
Zfp367	Cenpw	0.92715	50.44	0.437	rgb(222,134,134)	1.9906	2,2
E2f1	Cep76	0.67514	50.15	0.149	rgb(219,189,189)	1.9848	None
Zfp367	Cep76	0.37995	47.37	0.366	rgb(221,147,148)	1.9291	2,2
E2f1	Clic1	-0.40762	48.17	-1.7E-01	rgb(180,195,223)	1.9451	None
Tfdp2	Clic1	0.61377	49.35	0.35	rgb(221,150,151)	1.9687	None
E2f1	Cnnm4	0.87479	50.38	0.377	rgb(221,145,146)	1.9894	None
E2f4	Cnnm4	0.61377	49.35	0.346	rgb(221,151,152)	1.9687	None
E2f1	Cntln	0.33779	47.22	0.222	rgb(219,175,175)	1.9261	None
E2f4	Cntln	0.5231	49.16	0.163	rgb(219,186,186)	1.9649	None
E2f1	Ctnnal1	0.75875	50.27	0.271	rgb(220,165,166)	1.9872	None
Tfdp2	Ctnnal1	0.05109	44.23	0.232	rgb(220,173,173)	1.8662	2,2
E2f1	Dars2	0.46719	48.29	0.291	rgb(220,161,162)	1.9475	None
E2f4	Dars2	0.99566	50.62	0.618	rgb(224, 99,100)	1.9942	None
Egr1	Dars2	0.20052	46.14	0.144	rgb(219,189,190)	1.9044	None
Zfp367	Dars2	0.21237	46.1	0.097	rgb(218,198,199)	1.9036	2,2
E2f1	Dhrs4	0.46531	48.31	0.314	rgb(220,157,158)	1.9479	None
Tfdp2	Dhrs4	0.28092	47.07	0.606	rgb(224,101,102)	1.9231	None
E2f4	Dkkl1	-0.45111	48.25	-2.5E-01	rgb(162,184,227)	1.9467	None
Egr1	Dkkl1	-0.26637	46.28	-2.8E-01	rgb(157,180,228)	1.9072	None
E2f1	Dtl	0.9864	50.58	0.581	rgb(223,106,107)	1.9934	None
Egr1	Dtl	-0.27399	46.31	-3.1E-01	rgb(149,176,229)	1.9078	None
Tfdp2	Dtl	0.66342	50.12	0.812	rgb(226, 62, 64)	1.9842	None
Zfp367	Dtl	0.99899	50.73	0.73	rgb(225, 78, 79)	1.9964	2,2
Egr1	Dyx1c1	0.89475	50.38	0.383	rgb(221,144,145)	1.9894	None
Zfp367	Dyx1c1	0.40935	48.14	0.144	rgb(219,190,190)	1.9445	2,2
E2f4	E2f7	0.89475	50.38	0.377	rgb(221,145,146)	1.9894	2,2
Tfdp2	E2f7	0.87479	50.38	0.383	rgb(221,144,145)	1.9894	2,2
Zfp367	E2f7	0.25733	46.25	0.253	rgb(220,169,169)	1.9066	2,2
Egr1	Eci2	0.08597	44.43	0.435	rgb(222,134,135)	1.8702	None
Tfdp2	Eci2	0.37015	47.32	0.318	rgb(221,156,157)	1.9281	2,2
E2f1	Exo1	0.99629	50.67	0.666	rgb(224, 90, 91)	1.9952	None
E2f4	Exo1	0.57677	49.27	0.268	rgb(220,166,166)	1.9671	2,2
Tfdp2	Exo1	0.62935	49.39	0.729	rgb(225, 78, 79)	1.9695	2,2
Zfp367	Exo1	0.99719	50.65	0.651	rgb(224, 93, 94)	1.9948	2,2
E2f4	Fads2	0.94429	50.44	0.441	rgb(222,133,134)	1.9906	2,2
Tfdp2	Fads2	0.66518	50.14	0.139	rgb(219,191,191)	1.9846	2,2
Zfp870	Fads2	0.19944	45.45	0.448	rgb(222,132,132)	1.8906	2,2
E2f4	Fam111a	0.68612	50.17	0.171	rgb(219,184,185)	1.9852	2,2
Egr1	Fam111a	0.55616	49.23	0.234	rgb(220,172,173)	1.9663	None
Zfp367	Fam111a	0.99566	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
E2f1	Fancm	0.93795	50.43	0.433	rgb(222,134,135)	1.9904	None
E2f4	Fancm	0.072368	44.3	0.3	rgb(220,160,160)	1.8676	None
Egr1	Fbxo18	-0.66518	50.14	-1.4E-01	rgb(186,198,222)	1.9846	None
Zfp870	Fbxo18	0.01703	43.33	0.334	rgb(221,153,154)	1.8481	2,2
E2f1	Fbxw2	-0.76378	50.26	-2.6E-01	rgb(160,182,227)	1.987	None
Egr1	Fbxw2	-0.30909	47.18	-1.8E-01	rgb(179,194,224)	1.9253	None
E2f1	Gen1	0.98181	50.56	0.557	rgb(223,111,112)	1.993	None
E2f4	Gen1	0.85362	50.34	0.336	rgb(221,153,154)	1.9886	None
E2f4	Ggct	-0.22901	46.17	-1.7E-01	rgb(181,195,223)	1.905	None
Egr1	Ggct	0.98321	50.53	0.53	rgb(223,116,117)	1.9924	None
E2f1	Guca1a	-0.67514	50.15	-1.5E-01	rgb(185,197,223)	1.9848	2,2
Egr1	Guca1a	-0.26098	46.26	-2.6E-01	rgb(161,183,227)	1.9068	None
Egr1	Guca1b	0.25733	46.25	0.248	rgb(220,170,170)	1.9066	None
Zfp367	Guca1b	-0.45955	48.27	-3.8E-01	rgb(135,167,231)	1.9471	2,2
E2f4	Haus8	0.49135	48.44	0.441	rgb(222,133,134)	1.9505	None
Egr1	Haus8	-0.14712	45.19	-1.9E-01	rgb(176,192,224)	1.8854	None
E2f4	Hemk1	0.85362	50.34	0.337	rgb(221,153,153)	1.9886	None
Zfp870	Hemk1	0.19117	45.35	0.348	rgb(221,150,151)	1.8886	2,2
E2f1	Higd1a	-0.83091	50.32	-3.2E-01	rgb(147,175,229)	1.9882	None
E2f4	Higd1a	0.031545	44.05	0.045	rgb(217,208,208)	1.8626	None
Egr1	Higd1a	0.56083	49.24	0.243	rgb(220,171,171)	1.9665	None
E2f1	Ifit2	0.9341	50.45	0.447	rgb(222,132,133)	1.9908	None
Tfdp2	Ifit2	0.80818	50.3	0.812	rgb(226, 62, 64)	1.9878	None
E2f4	Impa2	0.78502	50.28	0.281	rgb(220,163,164)	1.9874	None
Zfp367	Impa2	0.56916	49.25	0.247	rgb(220,170,170)	1.9667	2,2
E2f4	Jak3	0.73808	50.25	0.254	rgb(220,168,169)	1.9868	None
Egr1	Jak3	0.28295	46.36	0.363	rgb(221,148,148)	1.9088	None
Egr1	Kctd7	-0.088355	45.01	-1.1E-02	rgb(215,216,217)	1.8818	None
Zfp870	Kctd7	0.86486	50.35	0.353	rgb(221,150,150)	1.9888	2,2
E2f4	Kdelc1	0.39836	48.14	0.139	rgb(219,190,191)	1.9445	None
Egr1	Kdelc1	0.68612	50.17	0.174	rgb(219,184,184)	1.9852	None
Zfp367	Kdelc1	0.84818	50.35	0.345	rgb(221,151,152)	1.9888	2,2
