TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f1	Dars2	0.46719	48.29	0.291	rgb(220,161,162)	1.9475	None
E2f4	Dars2	0.99566	50.62	0.618	rgb(224, 99,100)	1.9942	None
Egr1	Dars2	0.20052	46.14	0.144	rgb(219,189,190)	1.9044	None
Zfp367	Dars2	0.21237	46.1	0.097	rgb(218,198,199)	1.9036	2,2
E2f1	Dtl	0.9864	50.58	0.581	rgb(223,106,107)	1.9934	None
Egr1	Dtl	-0.27399	46.31	-3.1E-01	rgb(149,176,229)	1.9078	None
Tfdp2	Dtl	0.66342	50.12	0.812	rgb(226, 62, 64)	1.9842	None
Zfp367	Dtl	0.99899	50.73	0.73	rgb(225, 78, 79)	1.9964	2,2
E2f1	Exo1	0.99629	50.67	0.666	rgb(224, 90, 91)	1.9952	None
E2f4	Exo1	0.57677	49.27	0.268	rgb(220,166,166)	1.9671	2,2
Tfdp2	Exo1	0.62935	49.39	0.729	rgb(225, 78, 79)	1.9695	2,2
Zfp367	Exo1	0.99719	50.65	0.651	rgb(224, 93, 94)	1.9948	2,2
E2f4	Kdelc1	0.39836	48.14	0.139	rgb(219,190,191)	1.9445	None
Egr1	Kdelc1	0.68612	50.17	0.174	rgb(219,184,184)	1.9852	None
Zfp367	Kdelc1	0.84818	50.35	0.345	rgb(221,151,152)	1.9888	2,2
Zfp870	Kdelc1	0.49007	48.37	0.371	rgb(221,146,147)	1.9491	2,2
E2f1	Rpa2	0.82549	50.33	0.332	rgb(221,154,154)	1.9884	None
E2f4	Rpa2	0.71599	50.21	0.21	rgb(219,177,177)	1.986	None
Egr1	Rpa2	0.80818	50.3	0.302	rgb(220,159,160)	1.9878	None
Tfdp2	Rpa2	0.96907	50.49	0.812	rgb(226, 62, 64)	1.9916	None
Zfp367	Rpa2	0.9946	50.64	0.638	rgb(224, 95, 96)	1.9946	2,2
E2f1	Wdr76	0.26931	46.29	0.286	rgb(220,162,163)	1.9074	2,2
E2f4	Wdr76	0.96907	50.49	0.492	rgb(222,123,124)	1.9916	2,2
Tfdp2	Wdr76	0.10505	45.12	0.5	rgb(222,122,123)	1.884	2,2
Zfp367	Wdr76	0.98181	50.56	0.558	rgb(223,110,111)	1.993	2,2
Zfp870	Wdr76	0.91215	50.42	0.42	rgb(222,137,138)	1.9902	2,2
E2f4	Zranb3	0.96907	50.49	0.487	rgb(222,124,125)	1.9916	2,2
Tfdp2	Zranb3	0.99493	50.61	0.61	rgb(224,101,102)	1.994	2,2
Zfp367	Zranb3	0.56413	49.24	0.245	rgb(220,170,171)	1.9665	2,2
Zfp870	Zranb3	0.64459	49.56	0.555	rgb(223,111,112)	1.973	2,2
