TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f1	1190002N15Rik	0.63626	49.47	0.473	rgb(222,127,128)	1.9711	None
Egr1	1700025G04Rik	-0.95899	50.49	-4.9E-01	rgb(110,152,236)	1.9916	None
Egr1	1700030K09Rik	0.5231	49.16	0.16	rgb(219,186,187)	1.9649	None
Zfp870	1700030K09Rik	0.9864	50.58	0.582	rgb(223,106,107)	1.9934	2,2
Tfdp2	1700034H15Rik	-0.10188	44.34	-3.4E-01	rgb(144,172,230)	1.8684	2,2
Zfp367	2810442I21Rik	0.92016	50.43	0.433	rgb(222,134,135)	1.9904	2,2
Zfp870	4632434I11Rik	0.83719	50.34	0.34	rgb(221,152,153)	1.9886	2,2
Egr1	4921536K21Rik	0.035718	44.08	0.085	rgb(218,201,201)	1.8632	None
Tfdp2	9230114K14Rik	0.89963	50.4	0.404	rgb(221,140,141)	1.9898	None
Zfp367	A930007I19Rik	-0.30909	47.18	-2.7E-01	rgb(158,181,227)	1.9253	2,2
Egr1	AA467197	-0.65562	50.11	-1.1E-01	rgb(193,202,221)	1.984	None
Tfdp2	Abca1	0.15372	45.27	0.5	rgb(222,122,123)	1.887	2,2
Egr1	Abcd3	0.57179	49.26	0.261	rgb(220,167,168)	1.9669	None
Egr1	Abhd4	0.5231	49.16	0.159	rgb(219,187,187)	1.9649	None
Egr1	Acad8	0.90766	50.39	0.387	rgb(221,143,144)	1.9896	None
Egr1	Acbd7	0.49251	48.45	0.448	rgb(222,131,132)	1.9507	None
E2f1	Acy1	0.80319	50.31	0.308	rgb(220,158,159)	1.988	None
E2f1	Adam10	0.30047	47.09	0.088	rgb(218,200,200)	1.9235	None
Egr1	Adam10	0.72884	50.24	0.242	rgb(220,171,171)	1.9866	None
E2f1	Adssl1	-0.095603	45.07	-7.5E-02	rgb(201,207,220)	1.883	None
Egr1	Adssl1	-0.60557	49.33	-3.3E-01	rgb(144,173,230)	1.9683	None
E2f4	Aebp1	0.50279	48.49	0.491	rgb(222,123,124)	1.9515	None
Egr1	Ahdc1	0.20238	46.02	0.019	rgb(217,213,213)	1.902	None
E2f1	Aim1	-0.70028	50.19	-1.9E-01	rgb(176,192,224)	1.9856	None
E2f4	Aim1	-0.035029	44.07	-6.7E-02	rgb(202,208,220)	1.863	None
E2f1	Akirin1	-0.96534	50.48	-4.8E-01	rgb(112,153,235)	1.9914	None
Egr1	Akirin1	-0.018185	44.13	-1.3E-01	rgb(188,199,222)	1.8642	None
Egr1	Amz2	0.41437	48.19	0.19	rgb(219,181,181)	1.9455	None
E2f1	Anln	0.9983	50.69	0.694	rgb(225, 85, 86)	1.9956	None
Egr1	Anxa4	-0.88983	50.39	-3.9E-01	rgb(132,165,232)	1.9896	None
E2f1	Ap4m1	0.36762	47.31	0.313	rgb(220,157,158)	1.9279	None
E2f1	Apitd1	0.85925	50.36	0.364	rgb(221,147,148)	1.989	None
Egr1	Apitd1	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	None
Zfp367	Apitd1	0.99704	50.64	0.639	rgb(224, 95, 96)	1.9946	2,2
Egr1	Apobec1	0.18222	46.03	0.437	rgb(222,133,134)	1.9022	None
