TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Epas1	Adam10	0.80319	50.31	0.308	rgb(220,158,159)	1.988	2,2
Gata3	Adam10	0.0062046	43.27	0.268	rgb(220,166,166)	1.8469	2,2
Zfp280b	Adam10	0.51155	49.13	0.132	rgb(218,192,192)	1.9643	2,2
Epas1	Adamtsl3	0.98811	50.59	0.594	rgb(224,104,105)	1.9936	2,2
Ybx2	Adamtsl3	0.33579	47.25	0.253	rgb(220,169,169)	1.9267	2,2
Zfp280b	Adamtsl3	0.21349	46.18	0.182	rgb(219,182,183)	1.9052	2,2
Epas1	Akr1c12	0.72044	50.23	0.23	rgb(220,173,173)	1.9864	2,2
Ybx2	Akr1c12	0.4163	48.16	0.233	rgb(220,172,173)	1.9449	2,2
Zfp280b	Akr1c12	0.39409	48.12	0.122	rgb(218,194,194)	1.9441	2,2
Epas1	Bnipl	0.44697	48.24	0.24	rgb(220,171,172)	1.9465	2,2
Ybx2	Bnipl	0.71599	50.21	0.209	rgb(219,177,177)	1.986	2,2
Zfp280b	Bnipl	0.81973	50.31	0.315	rgb(220,157,158)	1.988	2,2
Epas1	Cnnm1	0.9788	50.55	0.547	rgb(223,112,114)	1.9928	2,2
Trps1	Cnnm1	-0.50682	49.11	-1.1E-01	rgb(194,203,221)	1.9639	2,2
Ybx2	Cnnm1	0.74317	50.24	0.236	rgb(220,172,172)	1.9866	2,2
Zfp280b	Cnnm1	0.40762	48.17	0.172	rgb(219,184,184)	1.9451	2,2
Gata3	Ctla4	-0.90766	50.39	-3.9E-01	rgb(132,165,232)	1.9896	2,2
Trps1	Ctla4	0.92016	50.43	0.43	rgb(222,135,136)	1.9904	2,2
Ybx2	Ctla4	-0.25305	46.3	-3.0E-01	rgb(151,177,229)	1.9076	2,2
Epas1	D430041D05Rik	0.67753	50.17	0.172	rgb(219,184,184)	1.9852	2,2
Gata3	D430041D05Rik	0.32609	47.19	0.191	rgb(219,181,181)	1.9255	2,2
Ybx2	D430041D05Rik	0.65469	50.09	0.086	rgb(218,201,201)	1.9836	2,2
Zfp280b	D430041D05Rik	0.47693	48.35	0.353	rgb(221,150,150)	1.9487	2,2
Gata3	D630039A03Rik	0.9038	50.41	0.411	rgb(222,139,139)	1.99	2,2
Trps1	D630039A03Rik	-0.74317	50.24	-2.4E-01	rgb(165,186,226)	1.9866	2,2
Zfp280b	D630039A03Rik	0.064263	44.27	0.269	rgb(220,166,166)	1.867	2,2
Epas1	Fam198a	0.72044	50.23	0.229	rgb(220,173,174)	1.9864	2,2
Gata3	Fam198a	0.45737	48.29	0.295	rgb(220,161,161)	1.9475	2,2
Trps1	Fam198a	-0.98878	50.56	-5.6E-01	rgb( 96,144,238)	1.993	2,2
Ybx2	Fam198a	0.9341	50.45	0.453	rgb(222,131,131)	1.9908	2,2
Zfp280b	Fam198a	0.14712	45.25	0.248	rgb(220,170,170)	1.8866	2,2
Epas1	Gpr65	-0.45111	48.25	-2.5E-01	rgb(162,183,227)	1.9467	2,2
Gata3	Gpr65	-0.56083	49.24	-2.4E-01	rgb(164,185,226)	1.9665	None
Trps1	Gpr65	0.86486	50.35	0.348	rgb(221,151,151)	1.9888	2,2
Ybx2	Gpr65	-0.13018	45.2	-2.0E-01	rgb(174,191,225)	1.8856	None
Zfp280b	Gpr65	-0.80818	50.3	-3.0E-01	rgb(151,177,229)	1.9878	2,2
Epas1	Itgb3	0.84818	50.35	0.348	rgb(221,151,151)	1.9888	2,2
Gata3	Itgb3	0.81418	50.32	0.32	rgb(221,156,156)	1.9882	2,2
Trps1	Itgb3	-0.040339	44.2	-2.0E-01	rgb(173,190,225)	1.8656	2,2
Epas1	Myo6	0.87479	50.38	0.378	rgb(221,145,146)	1.9894	2,2
Trps1	Myo6	-0.24462	46.27	-2.7E-01	rgb(159,182,227)	1.907	2,2
Ybx2	Myo6	0.56663	49.25	0.246	rgb(220,170,170)	1.9667	2,2
Zfp280b	Myo6	0.24462	46.27	0.274	rgb(220,165,165)	1.907	2,2
Gata3	Nrgn	0.9864	50.58	0.578	rgb(223,107,108)	1.9934	2,2
Trps1	Nrgn	-0.74317	50.24	-2.4E-01	rgb(165,185,226)	1.9866	2,2
Ybx2	Nrgn	0.65562	50.11	0.112	rgb(218,196,196)	1.984	None
Epas1	Pparg	0.72884	50.24	0.239	rgb(220,171,172)	1.9866	2,2
Gata3	Pparg	0.24945	46.23	0.228	rgb(220,173,174)	1.9062	None
Ybx2	Pparg	0.36655	47.35	0.354	rgb(221,149,150)	1.9287	2,2
