TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Ybx2	2810410L24Rik	0.11375	45.15	0.147	rgb(219,189,189)	1.8846	2,2
Gata3	2810429I04Rik	-0.36866	47.36	-3.6E-01	rgb(139,170,231)	1.9289	2,2
Gata3	2900026A02Rik	0.66518	50.14	0.267	rgb(220,166,167)	1.9846	None
Zfp280b	4632428N05Rik	-0.88983	50.39	-3.9E-01	rgb(132,166,232)	1.9896	2,2
Epas1	4930412O13Rik	0.21237	46.1	0.097	rgb(218,199,199)	1.9036	2,2
Gata3	4930412O13Rik	0.76948	50.28	0.276	rgb(220,164,165)	1.9874	2,2
Gata3	4930506M07Rik	0.97747	50.54	0.535	rgb(223,115,116)	1.9926	2,2
Zfp280b	5430427O19Rik	0.1951	46.12	0.118	rgb(218,194,195)	1.904	2,2
Gata3	9030617O03Rik	0.79083	50.3	0.3	rgb(220,160,160)	1.9878	None
Ybx2	9130019P16Rik	0.59262	49.3	0.298	rgb(220,160,161)	1.9677	2,2
Zfp280b	Abcd3	-0.94429	50.44	-4.4E-01	rgb(122,159,234)	1.9906	2,2
Ybx2	Abcg2	-0.47943	48.36	-3.6E-01	rgb(140,170,231)	1.9489	2,2
Ybx2	Acot3	0.027091	44.16	0.156	rgb(219,187,187)	1.8648	2,2
Epas1	Actn2	0.65085	50.09	0.088	rgb(218,200,200)	1.9836	None
Epas1	Acy1	-0.76948	50.28	-2.8E-01	rgb(157,181,227)	1.9874	2,2
Epas1	Adam10	0.80319	50.31	0.308	rgb(220,158,159)	1.988	2,2
Gata3	Adam10	0.0062046	43.27	0.268	rgb(220,166,166)	1.8469	2,2
Zfp280b	Adam10	0.51155	49.13	0.132	rgb(218,192,192)	1.9643	2,2
Epas1	Adam19	-0.87479	50.38	-3.8E-01	rgb(136,167,231)	1.9894	None
Gata3	Adam19	-0.58198	49.28	-2.8E-01	rgb(157,180,228)	1.9673	None
Epas1	Adamtsl3	0.98811	50.59	0.594	rgb(224,104,105)	1.9936	2,2
Ybx2	Adamtsl3	0.33579	47.25	0.253	rgb(220,169,169)	1.9267	2,2
Zfp280b	Adamtsl3	0.21349	46.18	0.182	rgb(219,182,183)	1.9052	2,2
Zfp280b	Adipor2	0.12005	45.17	0.166	rgb(219,185,186)	1.885	2,2
Zfp280b	Aff3	0.60363	49.32	0.318	rgb(220,156,157)	1.9681	2,2
Epas1	Ahr	-0.59262	49.3	-3.0E-01	rgb(152,178,228)	1.9677	2,2
Epas1	Akr1c12	0.72044	50.23	0.23	rgb(220,173,173)	1.9864	2,2
Ybx2	Akr1c12	0.4163	48.16	0.233	rgb(220,172,173)	1.9449	2,2
Zfp280b	Akr1c12	0.39409	48.12	0.122	rgb(218,194,194)	1.9441	2,2
Epas1	Akr1c13	0.36519	47.3	0.298	rgb(220,160,161)	1.9277	2,2
Ybx2	Aldoart1	0.70028	50.19	0.188	rgb(219,181,181)	1.9856	2,2
Ybx2	Aldoart2	0.4351	48.21	0.209	rgb(219,177,177)	1.9459	2,2
Zfp280b	Amdhd2	-0.40114	48.15	-1.5E-01	rgb(185,198,223)	1.9447	2,2
Epas1	Ankrd6	-0.13201	45.13	-1.3E-01	rgb(190,200,222)	1.8842	2,2
Ybx2	Ano7	0.4864	48.35	0.347	rgb(221,151,151)	1.9487	2,2
Epas1	Ap1s3	0.63307	49.44	0.437	rgb(222,133,134)	1.9705	2,2
Zfp280b	Ap1s3	0.92715	50.44	0.436	rgb(222,134,135)	1.9906	2,2
Gata3	Aqp4	0.092044	45.04	0.037	rgb(217,210,210)	1.8824	None
Epas1	Ar	0.94125	50.46	0.458	rgb(222,129,130)	1.991	2,2
Epas1	Arhgap26	0.70389	50.21	0.211	rgb(219,177,177)	1.986	None
Ybx2	Armcx2	-0.35092	47.29	-2.9E-01	rgb(154,179,228)	1.9275	2,2
Epas1	Arnt2	0.3226	47.18	0.178	rgb(219,183,183)	1.9253	2,2
Gata3	Arnt2	0.80818	50.3	0.297	rgb(220,160,161)	1.9878	2,2
Epas1	Art2b	0.27999	46.34	0.34	rgb(221,152,153)	1.9084	2,2
Gata3	Asb2	0.76378	50.26	0.257	rgb(220,168,168)	1.987	None
Gata3	Atf6	-0.81418	50.32	-3.2E-01	rgb(148,175,229)	1.9882	None
Ybx2	Atp11a	0.86486	50.35	0.345	rgb(221,151,152)	1.9888	2,2
Zfp280b	Atp11a	0.92346	50.41	0.406	rgb(221,140,140)	1.99	2,2
Gata3	Atp6v0d2	-0.44315	48.23	-2.3E-01	rgb(168,187,226)	1.9463	None
Zfp280b	Avpr1a	0.83719	50.34	0.345	rgb(221,151,152)	1.9886	2,2
Ybx2	B230217C12Rik	0.027091	44.16	0.159	rgb(219,187,187)	1.8648	2,2
Gata3	B3gnt2	0.58485	49.28	0.279	rgb(220,164,164)	1.9673	None
Zfp280b	B4galt5	0.95605	50.46	0.459	rgb(222,129,130)	1.991	2,2
Gata3	B930041F14Rik	-0.29428	47.03	-2.5E-02	rgb(212,214,218)	1.9223	None
Ybx2	B930041F14Rik	0.4163	48.16	0.156	rgb(219,187,187)	1.9449	None
Ybx2	Bahcc1	0.062549	44.18	0.183	rgb(219,182,182)	1.8652	2,2
Trps1	Bcl2l2	0.0051239	44.07	0.067	rgb(218,204,204)	1.863	2,2
Gata3	Bcl6b	0.66518	50.14	0.143	rgb(219,190,190)	1.9846	None
Zfp280b	Bcl6b	0.55616	49.23	0.226	rgb(219,174,174)	1.9663	2,2
Zfp280b	Bdh2	-0.4755	48.31	-3.1E-01	rgb(150,176,229)	1.9479	2,2
Ybx2	Bmp7	0.79685	50.29	0.294	rgb(220,161,161)	1.9876	2,2
Epas1	Bnipl	0.44697	48.24	0.24	rgb(220,171,172)	1.9465	2,2
Ybx2	Bnipl	0.71599	50.21	0.209	rgb(219,177,177)	1.986	2,2
Zfp280b	Bnipl	0.81973	50.31	0.315	rgb(220,157,158)	1.988	2,2
Ybx2	Btk	0.77473	50.27	0.272	rgb(220,165,166)	1.9872	2,2
Zfp280b	Btk	0.81973	50.31	0.315	rgb(220,157,158)	1.988	2,2
Ybx2	C1ql3	0.35746	47.31	0.313	rgb(220,157,158)	1.9279	2,2
