TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Foxp1	2610035D17Rik	0.39596	48.13	0.665	rgb(224, 90, 91)	1.9443	None
Foxp2	2610035D17Rik	0.39596	48.13	0.665	rgb(224, 90, 91)	1.9443	None
Foxp4	2610035D17Rik	0.39596	48.13	0.665	rgb(224, 90, 91)	1.9443	None
Foxp1	4930481A15Rik	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	None
Foxp2	4930481A15Rik	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	None
Foxp4	4930481A15Rik	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	None
Foxp1	Abcg1	0.76378	50.26	0.812	rgb(226, 62, 64)	1.987	2,2
Foxp2	Abcg1	0.76378	50.26	0.812	rgb(226, 62, 64)	1.987	2,2
Foxp4	Abcg1	0.76378	50.26	0.812	rgb(226, 62, 64)	1.987	2,2
Foxp1	Abhd16b	0.054556	44.24	0.449	rgb(222,131,132)	1.8664	None
Foxp2	Abhd16b	0.054556	44.24	0.449	rgb(222,131,132)	1.8664	None
Foxp4	Abhd16b	0.054556	44.24	0.449	rgb(222,131,132)	1.8664	None
Foxp1	Acp5	0.72458	50.22	0.812	rgb(226, 62, 64)	1.9862	2,2
Foxp2	Acp5	0.72458	50.22	0.812	rgb(226, 62, 64)	1.9862	2,2
Foxp4	Acp5	0.72458	50.22	0.812	rgb(226, 62, 64)	1.9862	2,2
Foxp1	Angptl4	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	2,2
Foxp2	Angptl4	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	2,2
Foxp4	Angptl4	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	2,2
Foxp1	Art2b	0.015763	44.12	0.449	rgb(222,131,132)	1.864	2,2
Foxp2	Art2b	0.015763	44.12	0.449	rgb(222,131,132)	1.864	2,2
Foxp4	Art2b	0.015763	44.12	0.449	rgb(222,131,132)	1.864	2,2
Foxp1	Bahcc1	0.43261	48.23	0.665	rgb(224, 90, 91)	1.9463	None
Foxp2	Bahcc1	0.44697	48.24	0.665	rgb(224, 90, 91)	1.9465	None
Foxp4	Bahcc1	0.43261	48.23	0.665	rgb(224, 90, 91)	1.9463	None
Foxp1	Bbc3	0.92346	50.41	0.812	rgb(226, 62, 64)	1.99	None
Foxp2	Bbc3	0.92346	50.41	0.812	rgb(226, 62, 64)	1.99	None
Foxp4	Bbc3	0.92346	50.41	0.812	rgb(226, 62, 64)	1.99	None
Foxp1	Bzw2	0.85362	50.34	0.336	rgb(221,153,153)	1.9886	2,2
Foxp2	Bzw2	0.33197	47.24	0.243	rgb(220,171,171)	1.9265	2,2
Foxp1	Ckap4	0.46531	48.31	0.665	rgb(224, 90, 91)	1.9479	2,2
Foxp2	Ckap4	0.46531	48.31	0.665	rgb(224, 90, 91)	1.9479	2,2
