TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Foxp2	1700019D03Rik	0.11694	45.16	0.164	rgb(219,186,186)	1.8848	2,2
Foxp2	2010109I03Rik	0.13754	45.22	0.219	rgb(219,175,176)	1.886	2,2
Foxp1	2610035D17Rik	0.39596	48.13	0.665	rgb(224, 90, 91)	1.9443	None
Foxp2	2610035D17Rik	0.39596	48.13	0.665	rgb(224, 90, 91)	1.9443	None
Foxp4	2610035D17Rik	0.39596	48.13	0.665	rgb(224, 90, 91)	1.9443	None
Foxp4	2810454H06Rik	-0.72044	50.23	-2.3E-01	rgb(167,186,226)	1.9864	None
Foxp1	4930481A15Rik	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	None
Foxp2	4930481A15Rik	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	None
Foxp4	4930481A15Rik	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	None
Foxp2	4930486L24Rik	-0.25892	46.32	-3.2E-01	rgb(147,174,229)	1.908	2,2
Foxp1	5430421N21Rik	-0.6403	49.56	-5.6E-01	rgb( 95,143,238)	1.973	2,2
Foxp1	A830010M20Rik	-0.45737	48.29	-2.9E-01	rgb(154,179,228)	1.9475	2,2
Foxp1	Abcc3	-0.20596	46.06	-6.5E-02	rgb(203,208,219)	1.9028	2,2
Foxp1	Abcg1	0.76378	50.26	0.812	rgb(226, 62, 64)	1.987	2,2
Foxp2	Abcg1	0.76378	50.26	0.812	rgb(226, 62, 64)	1.987	2,2
Foxp4	Abcg1	0.76378	50.26	0.812	rgb(226, 62, 64)	1.987	2,2
Foxp1	Abhd16b	0.054556	44.24	0.449	rgb(222,131,132)	1.8664	None
Foxp2	Abhd16b	0.054556	44.24	0.449	rgb(222,131,132)	1.8664	None
Foxp4	Abhd16b	0.054556	44.24	0.449	rgb(222,131,132)	1.8664	None
Foxp1	Abhd6	0.63665	49.43	0.43	rgb(222,135,136)	1.9703	2,2
Foxp2	Ablim3	0.033147	44.18	0.177	rgb(219,183,183)	1.8652	2,2
Foxp1	Acp5	0.72458	50.22	0.812	rgb(226, 62, 64)	1.9862	2,2
Foxp2	Acp5	0.72458	50.22	0.812	rgb(226, 62, 64)	1.9862	2,2
Foxp4	Acp5	0.72458	50.22	0.812	rgb(226, 62, 64)	1.9862	2,2
Foxp2	Acsl6	0.55077	49.22	0.218	rgb(219,175,176)	1.9661	2,2
Foxp1	Adam9	-0.98541	50.54	-5.4E-01	rgb(100,146,238)	1.9926	2,2
Foxp1	Adap1	-0.21349	46.11	-1.1E-01	rgb(194,203,221)	1.9038	2,2
Foxp1	Adc	-0.58973	49.29	-2.9E-01	rgb(154,179,228)	1.9675	2,2
Foxp2	Afap1l2	0.82549	50.33	0.402	rgb(221,140,141)	1.9884	2,2
Foxp2	Ahrr	-0.061282	44.26	-2.6E-01	rgb(161,183,227)	1.8668	2,2
Foxp2	Aif1	-0.70028	50.19	-1.9E-01	rgb(175,191,224)	1.9856	2,2
Foxp4	Akna	0.46719	48.29	0.292	rgb(220,161,162)	1.9475	None
Foxp2	Akr1c12	-0.27362	46.49	-4.9E-01	rgb(110,152,236)	1.9114	2,2
Foxp2	Akr1d1	0.83091	50.32	0.32	rgb(221,156,156)	1.9882	None
Foxp1	Aldh3a2	-0.45955	48.27	-2.7E-01	rgb(158,181,227)	1.9471	2,2
Foxp1	Angptl4	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	2,2
Foxp2	Angptl4	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	2,2
Foxp4	Angptl4	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	2,2
Foxp2	Ankrd6	0.63665	49.43	0.432	rgb(222,135,135)	1.9703	2,2
Foxp2	Ap3b1	0.67078	50.14	0.154	rgb(219,188,188)	1.9846	2,2
Foxp2	Arc	0.28675	47.11	0.106	rgb(218,197,197)	1.9239	2,2
Foxp1	Arhgap12	-0.68306	50.18	-1.9E-01	rgb(176,192,224)	1.9854	2,2
Foxp1	Arid5a	-0.099907	44.33	-3.3E-01	rgb(145,173,230)	1.8682	2,2
Foxp2	Armcx2	0.36393	47.34	0.34	rgb(221,152,153)	1.9285	2,2
Foxp1	Art2b	0.015763	44.12	0.449	rgb(222,131,132)	1.864	2,2
Foxp2	Art2b	0.015763	44.12	0.449	rgb(222,131,132)	1.864	2,2
Foxp4	Art2b	0.015763	44.12	0.449	rgb(222,131,132)	1.864	2,2
Foxp1	Atp6v1b1	-0.63961	49.46	-4.6E-01	rgb(117,156,234)	1.9709	2,2
Foxp1	Avpi1	-0.68612	50.17	-1.7E-01	rgb(180,195,223)	1.9852	2,2
Foxp4	B4galnt1	0.36655	47.35	0.355	rgb(221,149,150)	1.9287	2,2
Foxp1	Bahcc1	0.43261	48.23	0.665	rgb(224, 90, 91)	1.9463	None
Foxp2	Bahcc1	0.44697	48.24	0.665	rgb(224, 90, 91)	1.9465	None
Foxp4	Bahcc1	0.43261	48.23	0.665	rgb(224, 90, 91)	1.9463	None
Foxp2	Basp1	0.97282	50.5	0.5	rgb(223,121,122)	1.9918	2,2
Foxp1	Batf3	-0.89475	50.38	-4.9E-01	rgb(111,153,236)	1.9894	2,2
Foxp1	Bbc3	0.92346	50.41	0.812	rgb(226, 62, 64)	1.99	None
Foxp2	Bbc3	0.92346	50.41	0.812	rgb(226, 62, 64)	1.99	None
Foxp4	Bbc3	0.92346	50.41	0.812	rgb(226, 62, 64)	1.99	None
Foxp2	Bdh2	-0.90766	50.39	-3.9E-01	rgb(132,165,232)	1.9896	2,2
Foxp2	Bmp2	0.66015	50.11	0.111	rgb(218,196,196)	1.984	2,2
Foxp1	Brd3	0.55871	49.23	0.23	rgb(220,173,173)	1.9663	None
Foxp1	Bzw2	0.85362	50.34	0.336	rgb(221,153,153)	1.9886	2,2
Foxp2	Bzw2	0.33197	47.24	0.243	rgb(220,171,171)	1.9265	2,2
Foxp2	C1ql3	0.90766	50.39	0.393	rgb(221,142,143)	1.9896	2,2
Foxp2	Cacna1s	0.90766	50.39	0.394	rgb(221,142,143)	1.9896	2,2
Foxp2	Cacna2d1	0.9158	50.4	0.396	rgb(221,141,142)	1.9898	2,2
Foxp2	Cadm1	0.74317	50.24	0.238	rgb(220,171,172)	1.9866	2,2
Foxp2	Ccdc148	0.152	45.2	0.199	rgb(219,179,179)	1.8856	2,2
Foxp2	Ccr7	0.75361	50.25	0.247	rgb(220,170,170)	1.9868	2,2
Foxp2	Cd200r1	-0.47693	48.35	-3.5E-01	rgb(142,171,230)	1.9487	2,2
Foxp2	Cd200r4	-0.48219	48.37	-3.7E-01	rgb(137,168,231)	1.9491	2,2
Foxp2	Cdk5r1	0.3049	47.17	0.169	rgb(219,185,185)	1.9251	2,2
Foxp2	Ces2d-ps	-0.37015	47.32	-3.2E-01	rgb(148,175,229)	1.9281	2,2
Foxp1	Ckap4	0.46531	48.31	0.665	rgb(224, 90, 91)	1.9479	2,2
Foxp2	Ckap4	0.46531	48.31	0.665	rgb(224, 90, 91)	1.9479	2,2
Foxp4	Ckap4	0.46531	48.31	0.665	rgb(224, 90, 91)	1.9479	2,2
Foxp1	Cnnm3	0.62439	49.39	0.39	rgb(221,143,143)	1.9695	None
Foxp4	Cnnm3	0.65085	50.09	0.094	rgb(218,199,199)	1.9836	None
Foxp2	Cnnm4	-0.59262	49.3	-3.0E-01	rgb(151,177,229)	1.9677	None
Foxp2	Col18a1	0.72044	50.23	0.23	rgb(220,173,174)	1.9864	2,2
Foxp1	Crebbp	0.96154	50.47	0.47	rgb(222,127,128)	1.9912	2,2
Foxp1	Cs	0.069611	44.29	0.449	rgb(222,131,132)	1.8674	2,2
Foxp2	Cs	0.4199	48.17	0.449	rgb(222,131,132)	1.9451	2,2
Foxp4	Cs	0.069611	44.29	0.449	rgb(222,131,132)	1.8674	2,2
Foxp2	Csgalnact1	0.61981	49.36	0.357	rgb(221,149,149)	1.9689	2,2
Foxp2	Cxcl2	-0.21036	46.17	-2.2E-01	rgb(170,189,225)	1.905	2,2
Foxp1	Cybrd1	0.36519	47.3	0.302	rgb(220,159,160)	1.9277	2,2
Foxp1	Cyfip2	-0.19704	45.41	-4.1E-01	rgb(128,163,233)	1.8898	2,2
Foxp2	Cyp11a1	-0.09264	45.05	-1.9E-01	rgb(176,192,224)	1.8826	2,2
Foxp1	Cyp2s1	-0.27347	46.48	-4.8E-01	rgb(114,154,235)	1.9112	2,2
Foxp1	Cysltr2	-0.98023	50.52	-5.2E-01	rgb(104,149,237)	1.9922	2,2
Foxp1	Dcakd	0.36762	47.31	0.313	rgb(220,157,158)	1.9279	2,2
Foxp2	Ddah1	0.77473	50.27	0.325	rgb(221,155,156)	1.9872	2,2
Foxp1	Depdc7	0.70028	50.19	0.812	rgb(226, 62, 64)	1.9856	2,2
Foxp2	Depdc7	0.70028	50.19	0.812	rgb(226, 62, 64)	1.9856	2,2
Foxp4	Depdc7	0.70028	50.19	0.812	rgb(226, 62, 64)	1.9856	2,2
Foxp1	Dgat1	-0.98446	50.57	-5.7E-01	rgb( 94,142,239)	1.9932	2,2
Foxp1	Dgki	0.18189	46.02	0.553	rgb(223,111,113)	1.902	None
Foxp2	Dgki	0.76378	50.26	0.263	rgb(220,167,167)	1.987	None
Foxp4	Dgki	0.18189	46.02	0.553	rgb(223,111,113)	1.902	None
Foxp2	Dhrs3	0.161	45.3	0.297	rgb(220,160,161)	1.8876	2,2
Foxp2	Dio2	0.88513	50.37	0.372	rgb(221,146,147)	1.9892	2,2
Foxp2	Dlc1	0.11029	45.14	0.258	rgb(220,168,168)	1.8844	2,2
Foxp1	Dlg3	0.32789	47.23	0.606	rgb(224,101,102)	1.9263	2,2
Foxp2	Dlg3	0.32789	47.23	0.606	rgb(224,101,102)	1.9263	2,2
Foxp4	Dlg3	0.32789	47.23	0.606	rgb(224,101,102)	1.9263	2,2
Foxp2	Dusp18	0.66711	50.13	0.128	rgb(218,192,193)	1.9844	2,2
Foxp1	E330009J07Rik	-0.34729	47.28	-2.8E-01	rgb(156,180,228)	1.9273	2,2
Foxp2	E430016F16Rik	0.89963	50.4	0.396	rgb(221,141,142)	1.9898	None
Foxp1	Eea1	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	2,2
Foxp2	Eea1	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	2,2
Foxp4	Eea1	0.77473	50.27	0.812	rgb(226, 62, 64)	1.9872	2,2
Foxp2	Endod1	0.62439	49.39	0.388	rgb(221,143,144)	1.9695	2,2
Foxp2	Eomes	0.53894	49.2	0.196	rgb(219,180,180)	1.9657	2,2
Foxp1	Epb4.1l5	0.42774	48.22	0.665	rgb(224, 90, 91)	1.9461	2,2
Foxp2	Epb4.1l5	0.42774	48.22	0.665	rgb(224, 90, 91)	1.9461	2,2
Foxp4	Epb4.1l5	0.42774	48.22	0.665	rgb(224, 90, 91)	1.9461	2,2
Foxp1	Eps8	-0.67753	50.17	-3.1E-01	rgb(150,176,229)	1.9852	2,2
