TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr1d1	2310007L24Rik	0.96907	50.49	0.49	rgb(222,123,124)	1.9916	2,2
Nr1d2	2310007L24Rik	0.21036	46.17	0.172	rgb(219,184,185)	1.905	2,2
Rora	2310007L24Rik	0.69311	50.18	0.184	rgb(219,182,182)	1.9854	2,2
Rorc	2310007L24Rik	0.25733	46.25	0.253	rgb(220,169,169)	1.9066	2,2
Vax2	2310007L24Rik	0.97097	50.52	0.522	rgb(223,117,118)	1.9922	2,2
Vdr	2310007L24Rik	0.84818	50.35	0.347	rgb(221,151,151)	1.9888	2,2
Nr1d2	Adam12	0.77473	50.27	0.274	rgb(220,165,165)	1.9872	2,2
Rorc	Adam12	0.0074157	44.08	0.08	rgb(218,202,202)	1.8632	2,2
Vax2	Adam12	0.92715	50.44	0.436	rgb(222,134,135)	1.9906	2,2
Vdr	Adam12	0.75875	50.27	0.274	rgb(220,165,165)	1.9872	2,2
Nr1d1	Adam8	0.97582	50.51	0.512	rgb(223,119,120)	1.992	2,2
Rora	Adam8	0.73354	50.23	0.23	rgb(220,173,173)	1.9864	None
Vax2	Adam8	0.79083	50.3	0.301	rgb(220,159,160)	1.9878	2,2
Vdr	Adam8	0.455	48.26	0.258	rgb(220,168,168)	1.9469	None
Gli3	Adcy4	0.71166	50.22	0.218	rgb(219,175,176)	1.9862	2,2
Rora	Adcy4	0.078983	44.34	0.344	rgb(221,151,152)	1.8684	2,2
Rorc	Adcy4	0.84261	50.33	0.329	rgb(221,154,155)	1.9884	2,2
Vax2	Adcy4	0.9788	50.55	0.549	rgb(223,112,113)	1.9928	2,2
Gli3	Art2a-ps	0.23598	46.19	0.193	rgb(219,180,181)	1.9054	2,2
Nr1d1	Art2a-ps	0.36259	47.29	0.286	rgb(220,162,163)	1.9275	None
Nr1d2	Art2a-ps	0.44315	48.23	0.231	rgb(220,173,173)	1.9463	None
Rora	Art2a-ps	0.032215	44.06	0.161	rgb(219,186,187)	1.8628	None
Rorc	Art2a-ps	0.79685	50.29	0.291	rgb(220,161,162)	1.9876	None
