TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Vdr	0610007P14Rik	-0.73808	50.25	-2.5E-01	rgb(162,184,227)	1.9868	None
Vax2	1110032F04Rik	-0.55871	49.23	-2.3E-01	rgb(166,186,226)	1.9663	2,2
Vax2	1190002N15Rik	-0.6256	49.38	-3.8E-01	rgb(136,167,231)	1.9693	2,2
Nr1d1	1700025G04Rik	0.9158	50.4	0.405	rgb(221,140,140)	1.9898	None
Rorc	1700025G04Rik	0.73354	50.23	0.231	rgb(220,173,173)	1.9864	None
Rorc	2010109I03Rik	-0.45737	48.29	-2.9E-01	rgb(154,179,228)	1.9475	2,2
Nr1d1	2310007L24Rik	0.96907	50.49	0.49	rgb(222,123,124)	1.9916	2,2
Nr1d2	2310007L24Rik	0.21036	46.17	0.172	rgb(219,184,185)	1.905	2,2
Rora	2310007L24Rik	0.69311	50.18	0.184	rgb(219,182,182)	1.9854	2,2
Rorc	2310007L24Rik	0.25733	46.25	0.253	rgb(220,169,169)	1.9066	2,2
Vax2	2310007L24Rik	0.97097	50.52	0.522	rgb(223,117,118)	1.9922	2,2
Vdr	2310007L24Rik	0.84818	50.35	0.347	rgb(221,151,151)	1.9888	2,2
Gli3	2900011O08Rik	0.78001	50.29	0.294	rgb(220,161,161)	1.9876	2,2
Rora	4833439L19Rik	0.05109	44.23	0.234	rgb(220,172,173)	1.8662	2,2
Rora	4921536K21Rik	-0.9158	50.4	-4.0E-01	rgb(130,164,232)	1.9898	2,2
Vdr	4930486L24Rik	0.74317	50.24	0.24	rgb(220,171,172)	1.9866	None
Vdr	4930503L19Rik	0.46719	48.29	0.293	rgb(220,161,162)	1.9475	None
Gli3	4932438H23Rik	0.074176	44.22	0.223	rgb(219,174,175)	1.866	2,2
Rora	6430531B16Rik	0.41798	48.2	0.2	rgb(219,179,179)	1.9457	None
Gli3	9430020K01Rik	0.95327	50.48	0.477	rgb(222,126,127)	1.9914	2,2
Vax2	9430020K01Rik	0.84818	50.35	0.349	rgb(221,150,151)	1.9888	2,2
Rorc	Aard	-0.20375	46.15	-1.5E-01	rgb(185,198,223)	1.9046	2,2
Rorc	Abat	0.74317	50.24	0.373	rgb(221,146,146)	1.9866	2,2
Vax2	Abat	0.65849	50.12	0.12	rgb(218,194,194)	1.9842	2,2
Vax2	Abca1	-0.42774	48.22	-2.2E-01	rgb(170,188,225)	1.9461	2,2
Vdr	Abca5	0.72884	50.24	0.238	rgb(220,172,172)	1.9866	None
Gli3	Abcc3	0.0080492	43.28	0.284	rgb(220,163,163)	1.8471	2,2
Rora	Abhd14b	0.14038	45.23	0.23	rgb(220,173,174)	1.8862	2,2
Gli3	Abhd15	0.70766	50.2	0.204	rgb(219,178,179)	1.9858	2,2
Nr1d2	Abhd15	0.93072	50.42	0.421	rgb(222,137,137)	1.9902	2,2
Vax2	Abhd15	0.81418	50.32	0.316	rgb(220,157,157)	1.9882	2,2
Nr1d1	Abhd16b	0.85362	50.34	0.343	rgb(221,151,152)	1.9886	None
Nr1d1	Abi3	0.73808	50.25	0.247	rgb(220,170,170)	1.9868	2,2
Nr1d2	Abi3	0.71599	50.21	0.214	rgb(219,176,177)	1.986	2,2
Vdr	Ablim3	0.37835	47.36	0.363	rgb(221,148,148)	1.9289	2,2
Vax2	Abtb2	0.10634	44.38	0.379	rgb(221,145,145)	1.8692	2,2
Rora	Acot11	0.94125	50.46	0.455	rgb(222,130,131)	1.991	None
Vdr	Acot12	0.50784	49.05	0.052	rgb(218,207,207)	1.9627	None
Gli3	Acox3	0.53039	49.18	0.184	rgb(219,182,182)	1.9653	2,2
Rorc	Acox3	0.57179	49.26	0.255	rgb(220,168,169)	1.9669	2,2
Vdr	Acsbg1	0.96534	50.48	0.483	rgb(222,125,126)	1.9914	2,2
Nr1d1	Acsl4	0.77473	50.27	0.269	rgb(220,166,166)	1.9872	None
Vax2	Acsl5	0.55616	49.23	0.226	rgb(219,174,174)	1.9663	2,2
Rora	Actbl2	0.16859	45.33	0.333	rgb(221,153,154)	1.8882	None
Rorc	Actn1	-0.43719	48.24	-2.4E-01	rgb(164,185,226)	1.9465	2,2
Vdr	Acvr1b	0.51155	49.13	0.127	rgb(218,193,193)	1.9643	None
Nr1d2	Adam12	0.77473	50.27	0.274	rgb(220,165,165)	1.9872	2,2
Rorc	Adam12	0.0074157	44.08	0.08	rgb(218,202,202)	1.8632	2,2
Vax2	Adam12	0.92715	50.44	0.436	rgb(222,134,135)	1.9906	2,2
Vdr	Adam12	0.75875	50.27	0.274	rgb(220,165,165)	1.9872	2,2
Vdr	Adam15	0.88983	50.39	0.385	rgb(221,143,144)	1.9896	2,2
Gli3	Adam19	0.22173	46.14	0.145	rgb(219,189,190)	1.9044	None
Nr1d2	Adam19	0.95012	50.45	0.45	rgb(222,131,132)	1.9908	None
Nr1d1	Adam8	0.97582	50.51	0.512	rgb(223,119,120)	1.992	2,2
Rora	Adam8	0.73354	50.23	0.23	rgb(220,173,173)	1.9864	None
Vax2	Adam8	0.79083	50.3	0.301	rgb(220,159,160)	1.9878	2,2
Vdr	Adam8	0.455	48.26	0.258	rgb(220,168,168)	1.9469	None
Rora	Adamtsl3	-0.33779	47.22	-2.2E-01	rgb(170,188,225)	1.9261	2,2
Nr1d1	Adap1	0.58973	49.29	0.293	rgb(220,161,162)	1.9675	2,2
Rorc	Adarb1	0.47794	48.32	0.318	rgb(220,156,157)	1.9481	2,2
Gli3	Adck1	-0.70389	50.21	-2.1E-01	rgb(171,189,225)	1.986	None
Vdr	Adck1	-0.033147	44.18	-1.8E-01	rgb(179,194,224)	1.8652	None
Gli3	Adcy4	0.71166	50.22	0.218	rgb(219,175,176)	1.9862	2,2
Rora	Adcy4	0.078983	44.34	0.344	rgb(221,151,152)	1.8684	2,2
Rorc	Adcy4	0.84261	50.33	0.329	rgb(221,154,155)	1.9884	2,2
Vax2	Adcy4	0.9788	50.55	0.549	rgb(223,112,113)	1.9928	2,2
Vax2	Adora2a	-0.00050307	43.25	-2.5E-01	rgb(162,184,227)	1.8465	2,2
Rora	Afp	-0.33197	47.24	-2.4E-01	rgb(166,186,226)	1.9265	2,2
Vdr	Agrp	0.5231	49.16	0.161	rgb(219,186,187)	1.9649	None
Rora	Ahr	0.80319	50.31	0.305	rgb(220,159,159)	1.988	2,2
Vdr	Ahr	0.32994	47.2	0.205	rgb(219,178,178)	1.9257	2,2
Gli3	Ahrr	0.21846	46.13	0.133	rgb(218,192,192)	1.9042	2,2
Vdr	Aig1	-0.65359	50.1	-9.7E-02	rgb(196,204,221)	1.9838	None
Nr1d2	Aim1	0.34356	47.27	0.274	rgb(220,165,165)	1.9271	2,2
Vdr	Akna	0.047922	44.22	0.221	rgb(219,175,175)	1.866	None
Vax2	Akr1cl	0.27123	46.3	0.299	rgb(220,160,161)	1.9076	2,2
Nr1d2	Alcam	-0.36259	47.29	-2.9E-01	rgb(155,179,228)	1.9275	None
Nr1d1	Aloxe3	0.5746	49.26	0.265	rgb(220,166,167)	1.9669	None
Rora	Aloxe3	0.5346	49.19	0.193	rgb(219,180,181)	1.9655	None
Rora	Alpk2	0.34172	47.23	0.232	rgb(220,173,173)	1.9263	None
Vax2	Als2cl	-0.10065	45.1	-1.0E-01	rgb(195,204,221)	1.8836	2,2
Rorc	Amica1	0.64679	50.02	0.021	rgb(217,213,213)	1.9822	2,2
Rora	Angpt1	0.11694	45.16	0.163	rgb(219,186,186)	1.8848	None
Vdr	Angptl4	0.4199	48.17	0.171	rgb(219,184,185)	1.9451	None
Gli3	Ankmy2	-0.093218	44.29	-2.9E-01	rgb(155,179,228)	1.8674	2,2
Vdr	Ankrd39	0.64339	49.5	0.504	rgb(223,121,122)	1.9717	None
Rora	Ano7	0.77473	50.27	0.273	rgb(220,165,165)	1.9872	None
Vax2	Antxr2	0.59901	49.31	0.308	rgb(220,158,159)	1.9679	None
Nr1d1	Ap1s3	-0.10283	45.11	-1.1E-01	rgb(194,203,221)	1.8838	None
Rora	Ap1s3	-0.40358	48.16	-1.6E-01	rgb(181,195,223)	1.9449	None
Nr1d1	Apbb1ip	-0.74317	50.24	-2.4E-01	rgb(166,186,226)	1.9866	None
Vax2	Apod	-0.42389	48.18	-1.8E-01	rgb(178,193,224)	1.9453	2,2
Nr1d1	Aqp3	0.89963	50.4	0.396	rgb(221,141,142)	1.9898	2,2
Nr1d2	Aqp3	0.39149	48.11	0.114	rgb(218,195,195)	1.9439	2,2
Vdr	Aqp3	0.33579	47.25	0.248	rgb(220,170,170)	1.9267	2,2
Rora	Ar	-0.50648	49.04	-4.3E-02	rgb(208,211,219)	1.9625	None
Rora	Arhgap26	-0.70389	50.21	-2.1E-01	rgb(172,189,225)	1.986	None
Vdr	Arhgef17	0.29687	47.05	0.05	rgb(218,207,208)	1.9227	2,2
Gli3	Arhgef3	-0.76948	50.28	-3.6E-01	rgb(138,169,231)	1.9874	None
Vax2	Arhgef40	0.83719	50.34	0.34	rgb(221,152,153)	1.9886	2,2
Gli3	Arid5a	0.062549	44.18	0.176	rgb(219,183,184)	1.8652	2,2
Vax2	Armcx6	0.27285	46.44	0.445	rgb(222,132,133)	1.9104	2,2
Rora	Arntl2	0.12165	45.09	0.094	rgb(218,199,199)	1.8834	2,2
Rora	Arsb	0.84261	50.33	0.33	rgb(221,154,155)	1.9884	None
Gli3	Art2a-ps	0.23598	46.19	0.193	rgb(219,180,181)	1.9054	2,2
Nr1d1	Art2a-ps	0.36259	47.29	0.286	rgb(220,162,163)	1.9275	None
Nr1d2	Art2a-ps	0.44315	48.23	0.231	rgb(220,173,173)	1.9463	None
Rora	Art2a-ps	0.032215	44.06	0.161	rgb(219,186,187)	1.8628	None
Rorc	Art2a-ps	0.79685	50.29	0.291	rgb(220,161,162)	1.9876	None
Vdr	Art2a-ps	0.69311	50.18	0.215	rgb(219,176,176)	1.9854	None
Vdr	Asf1a	-0.161	45.3	-3.0E-01	rgb(151,177,229)	1.8876	2,2
Gli3	Asnsd1	-0.062549	44.18	-1.8E-01	rgb(178,193,224)	1.8652	2,2
Nr1d1	Asph	0.53894	49.2	0.199	rgb(219,179,179)	1.9657	None
Nr1d1	Atf6	0.66711	50.13	0.133	rgb(218,192,192)	1.9844	None
Vdr	Atmin	-0.03842	44.09	-9.2E-02	rgb(197,205,221)	1.8634	None
Rorc	Atp10d	0.85362	50.34	0.34	rgb(221,152,153)	1.9886	None
Vax2	Atp11a	-0.97097	50.52	-5.2E-01	rgb(105,149,237)	1.9922	2,2
Rora	Atp1a3	0.090479	45.03	0.026	rgb(217,212,212)	1.8822	None
Nr1d1	Atp6v0d2	0.79685	50.29	0.291	rgb(220,161,162)	1.9876	2,2
Vax2	Atp6v1b1	0.95899	50.49	0.489	rgb(222,124,125)	1.9916	2,2
Nr1d1	Atrnl1	0.78502	50.28	0.276	rgb(220,164,165)	1.9874	2,2
Nr1d1	Avpi1	0.37233	47.39	0.391	rgb(221,142,143)	1.9295	2,2
Vax2	Avpi1	0.99374	50.63	0.633	rgb(224, 96, 97)	1.9944	None
Nr1d1	B3galt2	0.95605	50.46	0.464	rgb(222,128,129)	1.991	2,2
Rora	B3galt2	0.22432	46.21	0.208	rgb(219,177,178)	1.9058	2,2
Rorc	B3galt2	0.030091	44.17	0.165	rgb(219,185,186)	1.865	2,2
Vax2	B3galt2	0.94125	50.46	0.463	rgb(222,129,129)	1.991	2,2
Vdr	B3gnt2	-0.099907	44.33	-3.3E-01	rgb(146,174,229)	1.8682	2,2
Rorc	B4galnt4	0.58198	49.28	0.283	rgb(220,163,164)	1.9673	None
Rora	B4galt1	0.92016	50.43	0.435	rgb(222,134,135)	1.9904	None
Vax2	B4galt5	-0.44697	48.24	-2.4E-01	rgb(165,185,226)	1.9465	2,2
Gli3	BC029722	0.72044	50.23	0.234	rgb(220,172,173)	1.9864	2,2
Vdr	Bank1	-0.26342	46.27	-2.7E-01	rgb(159,182,227)	1.907	2,2
Rorc	Batf	0.098099	44.32	0.319	rgb(221,156,157)	1.868	2,2
Rora	Bbc3	-0.39409	48.12	-1.2E-01	rgb(190,201,222)	1.9441	None
Vdr	Bcl11b	-0.63244	49.43	-4.3E-01	rgb(124,160,233)	1.9703	None
Rora	Bcl2	0.92346	50.41	0.406	rgb(221,139,140)	1.99	None
Vdr	Bcl2a1d	-0.85925	50.36	-3.6E-01	rgb(140,170,230)	1.989	None
Vax2	Bik	0.55871	49.23	0.228	rgb(220,173,174)	1.9663	2,2
Rora	Bsn	0.90766	50.39	0.391	rgb(221,142,143)	1.9896	None
Vdr	Bsn	0.38679	48.08	0.079	rgb(218,202,202)	1.9433	None
Rora	Bspry	-0.79083	50.3	-3.0E-01	rgb(152,177,228)	1.9878	2,2
Rora	Btbd11	-0.22901	46.17	-1.7E-01	rgb(181,195,223)	1.905	2,2
