TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp429	2610035D17Rik	0.75875	50.27	0.265	rgb(220,166,167)	1.9872	2,2
Zfp960	2610035D17Rik	-0.40935	48.14	-1.8E-01	rgb(178,193,224)	1.9445	2,2
Gm13157	6530402F18Rik	0.02193	43.44	0.442	rgb(222,132,133)	1.8503	2,2
Zfp868	6530402F18Rik	-0.95605	50.46	-4.6E-01	rgb(117,156,235)	1.991	2,2
Zfp960	6530402F18Rik	-0.14233	45.17	-1.7E-01	rgb(180,194,223)	1.885	2,2
Phf20	Acnat1	0.14379	45.18	0.178	rgb(219,183,183)	1.8852	2,2
Zfp429	Acnat1	-0.63956	49.54	-5.4E-01	rgb(100,146,237)	1.9726	2,2
Zfp960	Acnat1	0.54826	49.21	0.298	rgb(220,160,161)	1.9659	2,2
Zfp429	Apold1	-0.99538	50.65	-6.5E-01	rgb( 77,132,242)	1.9948	2,2
Zfp960	Apold1	0.057891	44.25	0.247	rgb(220,170,170)	1.8666	2,2
Phf20	Arntl2	0.84261	50.33	0.442	rgb(222,133,133)	1.9884	2,2
Zfp960	Arntl2	0.66518	50.14	0.326	rgb(221,155,155)	1.9846	2,2
Phf20	Aste1	-0.52659	49.17	-1.7E-01	rgb(179,194,224)	1.9651	2,2
Zfp429	Aste1	0.49625	48.41	0.414	rgb(222,138,139)	1.9499	2,2
Phf20	Atp10d	0.98181	50.56	0.563	rgb(223,109,111)	1.993	2,2
Zfp960	Atp10d	0.78502	50.28	0.277	rgb(220,164,165)	1.9874	2,2
Phf20	Atrnl1	0.48219	48.37	0.372	rgb(221,146,147)	1.9491	2,2
Zfp429	Atrnl1	-0.49316	48.39	-3.9E-01	rgb(133,166,232)	1.9495	2,2
Zfp429	Bcam	0.94746	50.47	0.468	rgb(222,128,129)	1.9912	2,2
Zfp868	Bcam	-0.99778	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	2,2
Zfp960	Bcam	-0.29644	47.04	-4.5E-02	rgb(207,211,219)	1.9225	2,2
Gm13157	Cml2	-0.53255	49.17	-1.7E-01	rgb(179,194,224)	1.9651	2,2
Zfp429	Cml2	-0.54639	49.2	-2.1E-01	rgb(171,189,225)	1.9657	2,2
Phf20	Dennd3	0.87479	50.36	0.362	rgb(221,148,149)	1.989	2,2
Zfp429	Dennd3	-0.45111	48.25	-2.5E-01	rgb(162,183,227)	1.9467	2,2
