TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Klf5	1700003E16Rik	0.5368	49.18	0.182	rgb(219,182,183)	1.9653	None
Zscan10	1700003E16Rik	-0.55362	49.22	-2.2E-01	rgb(169,188,225)	1.9661	None
Klf4	1700025G04Rik	0.77473	50.27	0.274	rgb(220,165,165)	1.9872	None
Sp4	1700025G04Rik	0.69659	50.2	0.198	rgb(219,179,180)	1.9858	None
Hic1	1700034H15Rik	-0.9038	50.41	-4.1E-01	rgb(128,163,233)	1.99	None
Klf4	1700034H15Rik	-0.74317	50.24	-2.4E-01	rgb(165,185,226)	1.9866	None
Sp4	1700065D16Rik	-0.025787	43.46	-4.6E-01	rgb(118,157,234)	1.8507	None
Sp9	1700065D16Rik	0.20868	46.08	0.078	rgb(218,202,202)	1.9032	None
Sp4	1810010H24Rik	0.63453	49.45	0.445	rgb(222,132,133)	1.9707	None
Sp6	1810010H24Rik	0.0017701	44.04	0.449	rgb(222,131,132)	1.8624	None
Sp4	4930528A17Rik	0.445	48.26	0.26	rgb(220,167,168)	1.9469	None
Zscan10	4930528A17Rik	-0.78502	50.28	-2.8E-01	rgb(155,180,228)	1.9874	None
Klf5	4931406P16Rik	0.16698	45.25	0.245	rgb(220,170,171)	1.8866	None
Sp4	4931406P16Rik	-0.30665	47.12	-1.2E-01	rgb(190,201,222)	1.9241	None
Zbtb7a	4931406P16Rik	0.084964	44.39	0.388	rgb(221,143,144)	1.8694	None
Klf5	5730508B09Rik	-0.035718	44.08	-8.2E-02	rgb(199,206,220)	1.8632	None
Zbtb7b	5730508B09Rik	-0.56413	49.24	-2.4E-01	rgb(164,185,226)	1.9665	None
Klf4	9430020K01Rik	0.67265	50.16	0.158	rgb(219,187,187)	1.985	None
Klf5	9430020K01Rik	0.67753	50.17	0.165	rgb(219,185,186)	1.9852	2,2
Sp6	9430020K01Rik	0.10505	45.12	0.5	rgb(222,122,123)	1.884	None
Klf13	9530053A07Rik	0.50581	49.02	0.024	rgb(217,212,212)	1.9621	None
Zscan10	9530053A07Rik	0.056363	44.16	0.157	rgb(219,187,187)	1.8648	None
Klf12	9930014A18Rik	-0.50682	49.11	-1.1E-01	rgb(193,202,221)	1.9639	None
Klf5	9930014A18Rik	-0.4755	48.31	-3.1E-01	rgb(150,176,229)	1.9479	None
Sp4	Aacs	0.90766	50.39	0.395	rgb(221,142,142)	1.9896	None
Zscan10	Aacs	-0.23598	46.19	-1.9E-01	rgb(175,191,224)	1.9054	None
Zbtb7a	Abcg2	-0.37233	47.39	-3.9E-01	rgb(132,165,232)	1.9295	None
Zbtb7b	Abcg2	-0.19188	46.1	-1.0E-01	rgb(194,203,221)	1.9036	None
Klf8	Abhd4	0.79083	50.3	0.302	rgb(220,159,160)	1.9878	None
Sp6	Abhd4	0.94429	50.44	0.812	rgb(226, 62, 64)	1.9906	None
Klf4	Ablim2	0.63961	49.46	0.463	rgb(222,129,129)	1.9709	None
