TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zscan10	0610007P14Rik	0.65715	50.1	0.099	rgb(218,198,198)	1.9838	None
Thra	1110057K04Rik	-0.32609	47.19	-1.9E-01	rgb(176,192,224)	1.9255	2,2
Sp6	1190002N15Rik	0.81418	50.32	0.812	rgb(226, 62, 64)	1.9882	None
Klf8	1500009L16Rik	0.60171	49.32	0.324	rgb(221,155,156)	1.9681	None
Klf7	1700001L05Rik	-0.71166	50.22	-2.2E-01	rgb(170,189,225)	1.9862	None
Klf5	1700003E16Rik	0.5368	49.18	0.182	rgb(219,182,183)	1.9653	None
Zscan10	1700003E16Rik	-0.55362	49.22	-2.2E-01	rgb(169,188,225)	1.9661	None
Klf4	1700025G04Rik	0.77473	50.27	0.274	rgb(220,165,165)	1.9872	None
Sp4	1700025G04Rik	0.69659	50.2	0.198	rgb(219,179,180)	1.9858	None
Hic1	1700034H15Rik	-0.9038	50.41	-4.1E-01	rgb(128,163,233)	1.99	None
Klf4	1700034H15Rik	-0.74317	50.24	-2.4E-01	rgb(165,185,226)	1.9866	None
Klf13	1700034I23Rik	0.36259	47.29	0.293	rgb(220,161,162)	1.9275	None
Klf5	1700040L02Rik	0.40531	48.12	0.125	rgb(218,193,193)	1.9441	None
Sp4	1700065D16Rik	-0.025787	43.46	-4.6E-01	rgb(118,157,234)	1.8507	None
Sp9	1700065D16Rik	0.20868	46.08	0.078	rgb(218,202,202)	1.9032	None
Sp4	1810010H24Rik	0.63453	49.45	0.445	rgb(222,132,133)	1.9707	None
Sp6	1810010H24Rik	0.0017701	44.04	0.449	rgb(222,131,132)	1.8624	None
Klf4	2210013O21Rik	0.49176	48.38	0.376	rgb(221,145,146)	1.9493	2,2
Klf8	2310033P09Rik	-0.85925	50.36	-3.6E-01	rgb(139,170,231)	1.989	None
Zscan10	2810410L24Rik	0.25437	46.24	0.241	rgb(220,171,171)	1.9064	2,2
Klf12	2900060B14Rik	0.26637	46.28	0.284	rgb(220,163,163)	1.9072	None
Sp6	3110057O12Rik	-0.025508	43.44	-4.4E-01	rgb(121,159,234)	1.8503	2,2
Thra	4831440E17Rik	0.54826	49.21	0.209	rgb(219,177,177)	1.9659	None
Hic1	4833439L19Rik	0.75361	50.25	0.249	rgb(220,169,170)	1.9868	None
Sp6	4930412O13Rik	0.21036	46.17	0.18	rgb(219,183,183)	1.905	2,2
Klf13	4930417O13Rik	0.89963	50.4	0.401	rgb(221,140,141)	1.9898	None
Klf4	4930503L19Rik	0.39769	48.08	0.079	rgb(218,202,202)	1.9433	None
Sp9	4930523C07Rik	0.15066	45.26	0.5	rgb(222,122,123)	1.8868	2,2
Sp4	4930528A17Rik	0.445	48.26	0.26	rgb(220,167,168)	1.9469	None
