TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Hoxb1	Armc3	0.34889	47.25	0.253	rgb(220,169,169)	1.9267	2,2
Myt1l	Armc3	0.43018	48.2	0.197	rgb(219,179,180)	1.9457	2,2
Hoxb1	Arpp21	0.5746	49.26	0.264	rgb(220,167,167)	1.9669	2,2
Myt1l	Arpp21	0.53255	49.17	0.174	rgb(219,184,184)	1.9651	2,2
Hoxb1	Atp8b1	0.75875	50.27	0.269	rgb(220,166,166)	1.9872	2,2
Myt1l	Atp8b1	0.81418	50.32	0.317	rgb(220,156,157)	1.9882	None
Six3	Cachd1	0.30909	47.18	0.179	rgb(219,183,183)	1.9253	2,2
Zfp462	Cachd1	0.036594	44.19	0.261	rgb(220,167,168)	1.8654	2,2
Hoxb1	Cdh3	0.68306	50.18	0.183	rgb(219,182,182)	1.9854	2,2
Zfp462	Cdh3	0.83091	50.32	0.321	rgb(221,156,156)	1.9882	2,2
Hoxb1	Clec2h	0.57921	49.27	0.274	rgb(220,165,165)	1.9671	2,2
Six3	Clec2h	0.21986	46.2	0.202	rgb(219,179,179)	1.9056	2,2
Zfp462	Clec2h	0.075834	44.32	0.32	rgb(221,156,156)	1.868	2,2
Myt1l	Cntnap2	0.455	48.26	0.261	rgb(220,167,168)	1.9469	2,2
Zfp462	Cntnap2	0.14539	45.24	0.238	rgb(220,172,172)	1.8864	2,2
Hoxb1	Coro6	-0.070635	44.21	-2.1E-01	rgb(171,189,225)	1.8658	2,2
Myt1l	Coro6	0.0062046	43.27	0.269	rgb(220,166,166)	1.8469	2,2
Hoxb1	Dcc	0.51651	49.11	0.114	rgb(218,195,195)	1.9639	2,2
Myt1l	Dcc	0.70389	50.21	0.21	rgb(219,177,177)	1.986	2,2
Six3	Dcc	0.2308	46.23	0.225	rgb(219,174,174)	1.9062	2,2
Zfp462	Dcc	0.89475	50.38	0.379	rgb(221,145,145)	1.9894	2,2
Hoxb1	Dlx3	0.42389	48.18	0.182	rgb(219,182,183)	1.9453	2,2
Zfp462	Dlx3	0.36393	47.34	0.338	rgb(221,152,153)	1.9285	2,2
Hoxb1	Fam196a	0.25437	46.24	0.237	rgb(220,172,172)	1.9064	2,2
Myt1l	Fam196a	0.30665	47.12	0.121	rgb(218,194,194)	1.9241	2,2
Hoxb1	Fcgbp	0.5746	49.26	0.26	rgb(220,167,168)	1.9669	2,2
Myt1l	Fcgbp	0.51651	49.11	0.113	rgb(218,195,196)	1.9639	2,2
Hoxb1	Gpr98	0.45111	48.25	0.25	rgb(220,169,170)	1.9467	2,2
Myt1l	Gpr98	0.73808	50.25	0.253	rgb(220,169,169)	1.9868	2,2
Hoxb1	Gstm2	0.06812	44.2	0.2	rgb(219,179,179)	1.8656	2,2
Myt1l	Gstm2	0.34172	47.23	0.229	rgb(220,173,174)	1.9263	2,2
Hoxb1	Hapln1	0.44315	48.23	0.23	rgb(220,173,174)	1.9463	2,2
Zfp462	Hapln1	0.11029	45.14	0.14	rgb(219,190,191)	1.8844	2,2
Hoxb1	Hdx	0.074176	44.22	0.219	rgb(219,175,176)	1.866	2,2
Myt1l	Hdx	0.31412	47.15	0.147	rgb(219,189,189)	1.9247	2,2
Hoxb1	Kcnc2	0.13915	45.16	0.161	rgb(219,186,187)	1.8848	2,2
Myt1l	Kcnc2	0.34889	47.25	0.254	rgb(220,169,169)	1.9267	2,2
Hoxb1	Krt75	0.87479	50.38	0.377	rgb(221,145,146)	1.9894	2,2
Six3	Krt75	0.46719	48.31	0.307	rgb(220,158,159)	1.9479	2,2
Hoxb1	Lama1	0.40634	48.13	0.131	rgb(218,192,192)	1.9443	2,2
Myt1l	Lama1	0.68996	50.19	0.194	rgb(219,180,180)	1.9856	2,2
Myt1l	Meis1	0.71166	50.22	0.22	rgb(219,175,175)	1.9862	2,2
Six3	Meis1	0.445	48.26	0.256	rgb(220,168,169)	1.9469	2,2
Zfp462	Meis1	0.34356	47.27	0.275	rgb(220,164,165)	1.9271	2,2
Myt1l	Meis2	0.33779	47.22	0.217	rgb(219,176,176)	1.9261	2,2
Zfp462	Meis2	0.4411	48.25	0.246	rgb(220,170,170)	1.9467	2,2
Hoxb1	Mirg	0.45111	48.25	0.245	rgb(220,170,171)	1.9467	2,2
Six3	Mirg	-0.5346	49.19	-1.9E-01	rgb(175,192,224)	1.9655	2,2
Zfp462	Mirg	0.41437	48.19	0.186	rgb(219,181,182)	1.9455	2,2
Six3	Ncam1	0.47412	48.34	0.341	rgb(221,152,153)	1.9485	2,2
Zfp462	Ncam1	0.28092	47.07	0.071	rgb(218,203,204)	1.9231	2,2
Hoxb1	Pcdh10	0.455	48.26	0.263	rgb(220,167,167)	1.9469	2,2
Six3	Pcdh10	0.28349	47.09	0.092	rgb(218,199,200)	1.9235	2,2
Zfp462	Pcdh10	0.57677	49.27	0.275	rgb(220,165,165)	1.9671	2,2
Myt1l	Pcdh17	0.43018	48.2	0.201	rgb(219,179,179)	1.9457	2,2
Zfp462	Pcdh17	0.12273	45.18	0.18	rgb(219,183,183)	1.8852	2,2
Hoxb1	Sall3	0.4199	48.17	0.174	rgb(219,184,184)	1.9451	2,2
Myt1l	Sall3	0.76948	50.28	0.282	rgb(220,163,164)	1.9874	2,2
Six3	Sall3	0.14712	45.25	0.247	rgb(220,170,170)	1.8866	2,2
Zfp462	Sall3	0.23415	46.24	0.242	rgb(220,171,171)	1.9064	2,2
Hoxb1	Sall4	0.78001	50.29	0.289	rgb(220,162,162)	1.9876	2,2
Six3	Sall4	0.43261	48.23	0.226	rgb(219,174,174)	1.9463	2,2
Hoxb1	Stox2	0.55871	49.23	0.231	rgb(220,173,173)	1.9663	2,2
Six3	Stox2	0.50682	49.11	0.146	rgb(219,189,189)	1.9639	2,2
Zfp462	Stox2	0.072368	44.3	0.305	rgb(220,159,159)	1.8676	2,2
Myt1l	Syn2	0.35286	47.26	0.257	rgb(220,168,168)	1.9269	2,2
Zfp462	Syn2	0.40358	48.16	0.205	rgb(219,178,178)	1.9449	2,2
Hoxb1	Syt9	0.56413	49.24	0.241	rgb(220,171,171)	1.9665	2,2
Myt1l	Syt9	0.31097	47.14	0.137	rgb(219,191,191)	1.9245	2,2
Zfp462	Syt9	0.054556	44.24	0.243	rgb(220,171,171)	1.8664	2,2
Myt1l	Tchh	0.049581	44.14	0.141	rgb(219,190,190)	1.8644	2,2
Zfp462	Tchh	0.095603	45.07	0.075	rgb(218,203,203)	1.883	2,2
Hoxb1	Unc79	0.75875	50.27	0.268	rgb(220,166,166)	1.9872	2,2
Six3	Unc79	0.036594	44.19	0.193	rgb(219,180,180)	1.8654	2,2
Zfp462	Unc79	0.11029	45.14	0.142	rgb(219,190,190)	1.8844	2,2
