TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Hoxb1	Clec2h	0.57921	49.27	0.274	rgb(220,165,165)	1.9671	2,2
Six3	Clec2h	0.21986	46.2	0.202	rgb(219,179,179)	1.9056	2,2
Zfp462	Clec2h	0.075834	44.32	0.32	rgb(221,156,156)	1.868	2,2
Hoxb1	Dcc	0.51651	49.11	0.114	rgb(218,195,195)	1.9639	2,2
Myt1l	Dcc	0.70389	50.21	0.21	rgb(219,177,177)	1.986	2,2
Six3	Dcc	0.2308	46.23	0.225	rgb(219,174,174)	1.9062	2,2
Zfp462	Dcc	0.89475	50.38	0.379	rgb(221,145,145)	1.9894	2,2
Myt1l	Meis1	0.71166	50.22	0.22	rgb(219,175,175)	1.9862	2,2
Six3	Meis1	0.445	48.26	0.256	rgb(220,168,169)	1.9469	2,2
Zfp462	Meis1	0.34356	47.27	0.275	rgb(220,164,165)	1.9271	2,2
Hoxb1	Mirg	0.45111	48.25	0.245	rgb(220,170,171)	1.9467	2,2
Six3	Mirg	-0.5346	49.19	-1.9E-01	rgb(175,192,224)	1.9655	2,2
Zfp462	Mirg	0.41437	48.19	0.186	rgb(219,181,182)	1.9455	2,2
Hoxb1	Pcdh10	0.455	48.26	0.263	rgb(220,167,167)	1.9469	2,2
Six3	Pcdh10	0.28349	47.09	0.092	rgb(218,199,200)	1.9235	2,2
Zfp462	Pcdh10	0.57677	49.27	0.275	rgb(220,165,165)	1.9671	2,2
Hoxb1	Sall3	0.4199	48.17	0.174	rgb(219,184,184)	1.9451	2,2
Myt1l	Sall3	0.76948	50.28	0.282	rgb(220,163,164)	1.9874	2,2
Six3	Sall3	0.14712	45.25	0.247	rgb(220,170,170)	1.8866	2,2
Zfp462	Sall3	0.23415	46.24	0.242	rgb(220,171,171)	1.9064	2,2
Hoxb1	Stox2	0.55871	49.23	0.231	rgb(220,173,173)	1.9663	2,2
Six3	Stox2	0.50682	49.11	0.146	rgb(219,189,189)	1.9639	2,2
Zfp462	Stox2	0.072368	44.3	0.305	rgb(220,159,159)	1.8676	2,2
Hoxb1	Syt9	0.56413	49.24	0.241	rgb(220,171,171)	1.9665	2,2
Myt1l	Syt9	0.31097	47.14	0.137	rgb(219,191,191)	1.9245	2,2
Zfp462	Syt9	0.054556	44.24	0.243	rgb(220,171,171)	1.8664	2,2
Hoxb1	Unc79	0.75875	50.27	0.268	rgb(220,166,166)	1.9872	2,2
Six3	Unc79	0.036594	44.19	0.193	rgb(219,180,180)	1.8654	2,2
Zfp462	Unc79	0.11029	45.14	0.142	rgb(219,190,190)	1.8844	2,2
