TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Myt1l	2010005H15Rik	-0.21846	46.13	-1.3E-01	rgb(188,200,222)	1.9042	2,2
Six3	4921536K21Rik	0.55616	49.23	0.229	rgb(220,173,174)	1.9663	2,2
Myt1l	4933406I18Rik	-0.19314	46.11	-1.1E-01	rgb(193,203,221)	1.9038	None
Six3	6030419C18Rik	0.033147	44.18	0.179	rgb(219,183,183)	1.8652	2,2
Myt1l	9130019P16Rik	0.0030371	43.26	0.255	rgb(220,168,169)	1.8467	2,2
Myt1l	A3galt2	0.15811	45.22	0.224	rgb(219,174,175)	1.886	2,2
Zfp462	AI414108	0.31412	47.15	0.177	rgb(219,183,184)	1.9247	2,2
Hoxb1	Abca8b	0.73808	50.25	0.253	rgb(220,169,169)	1.9868	2,2
Hoxb1	Abhd12b	0.059661	44.17	0.167	rgb(219,185,185)	1.865	2,2
Myt1l	Abhd6	0.93795	50.43	0.426	rgb(222,136,136)	1.9904	None
Myt1l	Acnat1	0.68306	50.18	0.178	rgb(219,183,183)	1.9854	2,2
Hoxb1	Acot3	0.47794	48.32	0.321	rgb(221,156,156)	1.9481	2,2
Hoxb1	Acot5	0.78001	50.29	0.293	rgb(220,161,162)	1.9876	2,2
Hoxb1	Adamts17	0.54826	49.21	0.211	rgb(219,177,177)	1.9659	2,2
Hoxb1	Agap1	-0.036594	44.19	-1.9E-01	rgb(176,192,224)	1.8654	2,2
Myt1l	Agr3	0.5231	49.16	0.158	rgb(219,187,187)	1.9649	2,2
Hoxb1	Akr1d1	0.24613	46.22	0.222	rgb(219,175,175)	1.906	2,2
Hoxb1	Ankk1	0.82549	50.33	0.334	rgb(221,153,154)	1.9884	2,2
Myt1l	Apod	0.76948	50.28	0.284	rgb(220,163,163)	1.9874	2,2
Hoxb1	Armc3	0.34889	47.25	0.253	rgb(220,169,169)	1.9267	2,2
Myt1l	Armc3	0.43018	48.2	0.197	rgb(219,179,180)	1.9457	2,2
Hoxb1	Armcx2	0.445	48.26	0.259	rgb(220,168,168)	1.9469	2,2
Hoxb1	Arpp21	0.5746	49.26	0.264	rgb(220,167,167)	1.9669	2,2
Myt1l	Arpp21	0.53255	49.17	0.174	rgb(219,184,184)	1.9651	2,2
