TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Irf7	2010002M12Rik	0.99752	50.7	0.695	rgb(225, 84, 86)	1.9958	2,2
Irf9	2010002M12Rik	0.51155	49.13	0.134	rgb(218,191,192)	1.9643	2,2
Irf8	4930523C07Rik	0.75361	50.25	0.253	rgb(220,169,169)	1.9868	None
Stat2	4930523C07Rik	0.77473	50.27	0.269	rgb(220,166,166)	1.9872	None
Irf1	Acsl4	-0.13915	45.16	-1.6E-01	rgb(182,196,223)	1.8848	None
Stat2	Acsl4	-0.88513	50.37	-3.7E-01	rgb(136,168,231)	1.9892	None
Irf8	Acy1	-0.49937	49.05	-5.4E-02	rgb(205,210,219)	1.9627	None
Stat2	Acy1	-0.13475	45.21	-2.1E-01	rgb(171,189,225)	1.8858	None
Irf1	Afap1l2	-0.42389	48.18	-1.8E-01	rgb(178,193,224)	1.9453	None
Irf7	Afap1l2	0.4199	48.17	0.169	rgb(219,185,185)	1.9451	None
Irf8	Afap1l2	-0.79083	50.3	-3.0E-01	rgb(151,177,228)	1.9878	None
Irf1	Aff3	0.85925	50.36	0.36	rgb(221,148,149)	1.989	None
Stat2	Aff3	0.22173	46.14	0.141	rgb(219,190,190)	1.9044	None
Irf8	Agpat3	0.81418	50.32	0.324	rgb(221,155,156)	1.9882	None
Stat2	Agpat3	-0.70028	50.19	-1.9E-01	rgb(176,192,224)	1.9856	None
Irf1	Amigo2	0.63769	49.49	0.486	rgb(222,124,125)	1.9715	2,2
Stat2	Amigo2	0.85362	50.34	0.342	rgb(221,152,152)	1.9886	2,2
Irf8	Asph	-0.68996	50.19	-1.9E-01	rgb(175,192,224)	1.9856	None
Irf9	Asph	0.22743	46.22	0.224	rgb(219,174,175)	1.906	None
Stat2	Asph	0.059661	44.17	0.17	rgb(219,184,185)	1.865	None
Irf9	B3gnt5	0.51155	49.13	0.127	rgb(218,193,193)	1.9643	2,2
Stat2	B3gnt5	0.21576	46.12	0.116	rgb(218,195,195)	1.904	2,2
Irf1	BC029722	-0.66898	50.15	-1.5E-01	rgb(185,197,223)	1.9848	None
Irf8	BC029722	-0.030091	44.17	-1.7E-01	rgb(180,194,224)	1.865	None
Irf1	BC094916	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	None
Irf7	BC094916	0.97747	50.54	0.544	rgb(223,113,114)	1.9926	None
Irf8	BC094916	0.033147	44.18	0.18	rgb(219,183,183)	1.8652	None
Stat2	BC094916	0.90766	50.39	0.39	rgb(221,143,143)	1.9896	None
Irf1	Bcl3	-0.80818	50.3	-3.0E-01	rgb(153,178,228)	1.9878	None
Irf8	Bcl3	0.94125	50.46	0.458	rgb(222,129,130)	1.991	None
Irf7	Bco2	0.52521	49.15	0.253	rgb(220,169,169)	1.9647	None
Stat2	Bco2	0.09264	45.05	0.055	rgb(218,207,207)	1.8826	None
Irf1	Capn2	-0.0030371	43.26	-2.6E-01	rgb(161,183,227)	1.8467	None
Stat2	Capn2	0.82549	50.33	0.335	rgb(221,153,154)	1.9884	None
Irf7	Ccrl2	0.99264	50.62	0.617	rgb(224, 99,100)	1.9942	2,2
Irf8	Ccrl2	0.40762	48.17	0.169	rgb(219,185,185)	1.9451	2,2
Irf7	Cd47	0.76378	50.26	0.263	rgb(220,167,167)	1.987	None
Stat2	Cd47	0.80319	50.31	0.306	rgb(220,158,159)	1.988	None
Irf1	Cdc14a	-0.56413	49.24	-2.4E-01	rgb(166,186,226)	1.9665	None
Stat2	Cdc14a	-0.44915	48.27	-2.7E-01	rgb(158,181,227)	1.9471	None
Irf8	Clic5	0.02057	44.14	0.136	rgb(219,191,191)	1.8644	2,2
Irf9	Clic5	0.81973	50.31	0.307	rgb(220,158,159)	1.988	2,2
Irf7	Cmpk2	0.99981	50.87	0.867	rgb(227, 51, 53)	1.9992	2,2
Irf8	Cmpk2	0.64679	50.02	0.023	rgb(217,213,213)	1.9822	2,2
Irf9	Cmpk2	0.99203	50.58	0.576	rgb(223,107,108)	1.9934	2,2
Stat2	Cmpk2	0.60363	49.32	0.32	rgb(221,156,157)	1.9681	2,2
Irf1	Ctss	0.4351	48.21	0.207	rgb(219,178,178)	1.9459	2,2
Irf9	Ctss	0.94429	50.44	0.443	rgb(222,132,133)	1.9906	2,2
Irf1	Cxcl10	0.20283	46.03	0.034	rgb(217,210,211)	1.9022	None
Irf7	Cxcl10	0.99134	50.61	0.606	rgb(224,101,103)	1.994	None
Irf1	Ddx60	0.80818	50.3	0.297	rgb(220,160,161)	1.9878	None
Irf7	Ddx60	0.9341	50.45	0.45	rgb(222,131,132)	1.9908	None
Irf8	Ddx60	0.81973	50.31	0.313	rgb(220,157,158)	1.988	None
Irf9	Ddx60	0.71599	50.21	0.212	rgb(219,176,177)	1.986	None
Stat2	Ddx60	0.66342	50.12	0.117	rgb(218,195,195)	1.9842	None
Irf8	Dhrs3	-0.22595	46.16	-1.6E-01	rgb(183,196,223)	1.9048	None
Stat2	Dhrs3	0.46154	48.3	0.304	rgb(220,159,159)	1.9477	None
Irf7	Dpp4	0.82549	50.33	0.334	rgb(221,153,154)	1.9884	None
Irf8	Dpp4	0.74317	50.24	0.239	rgb(220,171,172)	1.9866	None
Irf9	Dpp4	0.56663	49.25	0.25	rgb(220,169,170)	1.9667	None
Irf7	Dtx3l	0.78502	50.28	0.277	rgb(220,164,165)	1.9874	None
Irf8	Dtx3l	0.70766	50.2	0.2	rgb(219,179,179)	1.9858	None
Irf9	Dtx3l	0.50868	49.12	0.141	rgb(219,190,190)	1.9641	None
Stat2	Dtx3l	0.97097	50.52	0.517	rgb(223,118,119)	1.9922	None
Irf1	E430016F16Rik	0.5231	49.16	0.16	rgb(219,186,187)	1.9649	None
Irf7	E430016F16Rik	0.68996	50.19	0.192	rgb(219,180,181)	1.9856	None
Irf8	Eef2k	0.56413	49.24	0.235	rgb(220,172,173)	1.9665	None
Irf9	Eef2k	-0.49007	48.37	-3.7E-01	rgb(136,168,231)	1.9491	None
