TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Irf1	Afap1l2	-0.42389	48.18	-1.8E-01	rgb(178,193,224)	1.9453	None
Irf7	Afap1l2	0.4199	48.17	0.169	rgb(219,185,185)	1.9451	None
Irf8	Afap1l2	-0.79083	50.3	-3.0E-01	rgb(151,177,228)	1.9878	None
Irf8	Asph	-0.68996	50.19	-1.9E-01	rgb(175,192,224)	1.9856	None
Irf9	Asph	0.22743	46.22	0.224	rgb(219,174,175)	1.906	None
Stat2	Asph	0.059661	44.17	0.17	rgb(219,184,185)	1.865	None
Irf1	BC094916	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	None
Irf7	BC094916	0.97747	50.54	0.544	rgb(223,113,114)	1.9926	None
Irf8	BC094916	0.033147	44.18	0.18	rgb(219,183,183)	1.8652	None
Stat2	BC094916	0.90766	50.39	0.39	rgb(221,143,143)	1.9896	None
Irf7	Cmpk2	0.99981	50.87	0.867	rgb(227, 51, 53)	1.9992	2,2
Irf8	Cmpk2	0.64679	50.02	0.023	rgb(217,213,213)	1.9822	2,2
Irf9	Cmpk2	0.99203	50.58	0.576	rgb(223,107,108)	1.9934	2,2
Stat2	Cmpk2	0.60363	49.32	0.32	rgb(221,156,157)	1.9681	2,2
Irf1	Ddx60	0.80818	50.3	0.297	rgb(220,160,161)	1.9878	None
Irf7	Ddx60	0.9341	50.45	0.45	rgb(222,131,132)	1.9908	None
Irf8	Ddx60	0.81973	50.31	0.313	rgb(220,157,158)	1.988	None
Irf9	Ddx60	0.71599	50.21	0.212	rgb(219,176,177)	1.986	None
Stat2	Ddx60	0.66342	50.12	0.117	rgb(218,195,195)	1.9842	None
Irf7	Dpp4	0.82549	50.33	0.334	rgb(221,153,154)	1.9884	None
Irf8	Dpp4	0.74317	50.24	0.239	rgb(220,171,172)	1.9866	None
Irf9	Dpp4	0.56663	49.25	0.25	rgb(220,169,170)	1.9667	None
Irf7	Dtx3l	0.78502	50.28	0.277	rgb(220,164,165)	1.9874	None
