TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Stat2	1600014C10Rik	0.17818	45.29	0.289	rgb(220,162,162)	1.8874	2,2
Stat2	1700019G17Rik	0.081964	44.36	0.364	rgb(221,148,148)	1.8688	2,2
Irf7	2010002M12Rik	0.99752	50.7	0.695	rgb(225, 84, 86)	1.9958	2,2
Irf9	2010002M12Rik	0.51155	49.13	0.134	rgb(218,191,192)	1.9643	2,2
Irf9	4833439L19Rik	0.01703	43.33	0.329	rgb(221,154,155)	1.8481	2,2
Stat2	4930503L19Rik	0.66518	50.14	0.144	rgb(219,190,190)	1.9846	None
Irf8	4930523C07Rik	0.75361	50.25	0.253	rgb(220,169,169)	1.9868	None
Stat2	4930523C07Rik	0.77473	50.27	0.269	rgb(220,166,166)	1.9872	None
Irf8	4933406I18Rik	-0.61854	49.37	-3.7E-01	rgb(137,168,231)	1.9691	None
Irf9	5031414D18Rik	0.1733	45.27	0.273	rgb(220,165,165)	1.887	None
Irf7	AI607873	0.48787	48.36	0.365	rgb(221,147,148)	1.9489	2,2
Stat2	Abca1	-0.20238	46.02	-2.0E-02	rgb(213,214,218)	1.902	None
Irf7	Abcb1a	0.35577	47.27	0.265	rgb(220,166,167)	1.9271	None
Irf7	Abcg1	0.011235	44.1	0.104	rgb(218,197,197)	1.8636	None
Stat2	Abcg2	0.81973	50.31	0.308	rgb(220,158,159)	1.988	None
Irf1	Abcg3	0.11602	45.04	0.067	rgb(218,204,204)	1.8824	None
Irf9	Abtb2	0.81418	50.32	0.324	rgb(221,155,156)	1.9882	None
Irf8	Acad9	-0.57179	49.26	-2.6E-01	rgb(160,182,227)	1.9669	None
Irf1	Acoxl	0.2065	46.16	0.16	rgb(219,187,187)	1.9048	None
Irf1	Acsl4	-0.13915	45.16	-1.6E-01	rgb(182,196,223)	1.8848	None
Stat2	Acsl4	-0.88513	50.37	-3.7E-01	rgb(136,168,231)	1.9892	None
Irf8	Acy1	-0.49937	49.05	-5.4E-02	rgb(205,210,219)	1.9627	None
Stat2	Acy1	-0.13475	45.21	-2.1E-01	rgb(171,189,225)	1.8858	None
Irf9	Adssl1	0.85362	50.34	0.338	rgb(221,152,153)	1.9886	None
Stat2	Aen	0.36149	47.33	0.331	rgb(221,154,154)	1.9283	None
Irf1	Afap1l2	-0.42389	48.18	-1.8E-01	rgb(178,193,224)	1.9453	None
Irf7	Afap1l2	0.4199	48.17	0.169	rgb(219,185,185)	1.9451	None
Irf8	Afap1l2	-0.79083	50.3	-3.0E-01	rgb(151,177,228)	1.9878	None
Irf1	Aff3	0.85925	50.36	0.36	rgb(221,148,149)	1.989	None
Stat2	Aff3	0.22173	46.14	0.141	rgb(219,190,190)	1.9044	None
Irf1	Agap1	-0.79083	50.3	-3.0E-01	rgb(152,178,228)	1.9878	None
Irf8	Agpat3	0.81418	50.32	0.324	rgb(221,155,156)	1.9882	None
Stat2	Agpat3	-0.70028	50.19	-1.9E-01	rgb(176,192,224)	1.9856	None
Stat2	Ahr	-0.45318	48.28	-2.8E-01	rgb(156,180,228)	1.9473	2,2
Irf1	Aim2	0.92346	50.41	0.41	rgb(222,139,140)	1.99	None
Irf9	Alcam	0.50868	49.12	0.121	rgb(218,194,194)	1.9641	None
Stat2	Alpk1	0.064263	44.27	0.273	rgb(220,165,165)	1.867	None
Irf1	Amigo2	0.63769	49.49	0.486	rgb(222,124,125)	1.9715	2,2
Stat2	Amigo2	0.85362	50.34	0.342	rgb(221,152,152)	1.9886	2,2
Irf9	Anapc1	-0.81418	50.32	-3.2E-01	rgb(148,175,229)	1.9882	None
Irf7	Angptl6	0.47943	48.36	0.364	rgb(221,147,148)	1.9489	None
Irf7	Anxa3	0.33579	47.25	0.247	rgb(220,170,170)	1.9267	None
Irf8	Ar	0.76378	50.26	0.257	rgb(220,168,168)	1.987	None
Irf7	Areg	0.17067	45.26	0.263	rgb(220,167,167)	1.8868	2,2
Irf7	Arhgap26	0.31891	47.17	0.167	rgb(219,185,186)	1.9251	None
Stat2	Arhgef10	0.32994	47.2	0.198	rgb(219,179,180)	1.9257	None
Irf1	Armcx2	0.79083	50.3	0.303	rgb(220,159,160)	1.9878	2,2
Irf1	Armcx6	0.094634	44.3	0.304	rgb(220,159,160)	1.8676	2,2
Irf8	Asph	-0.68996	50.19	-1.9E-01	rgb(175,192,224)	1.9856	None
Irf9	Asph	0.22743	46.22	0.224	rgb(219,174,175)	1.906	None
Stat2	Asph	0.059661	44.17	0.17	rgb(219,184,185)	1.865	None
Stat2	Atp10d	0.28919	47.12	0.117	rgb(218,195,195)	1.9241	None
Irf1	Atp8b4	0.68029	50.16	0.158	rgb(219,187,187)	1.985	None
Irf8	Atxn1	-0.52145	49.14	-1.4E-01	rgb(187,199,222)	1.9645	None
Irf8	Auh	-0.94746	50.47	-4.7E-01	rgb(116,156,235)	1.9912	None
Irf8	B3gnt3	0.38495	47.41	0.412	rgb(222,138,139)	1.9299	2,2
Irf9	B3gnt5	0.51155	49.13	0.127	rgb(218,193,193)	1.9643	2,2
Stat2	B3gnt5	0.21576	46.12	0.116	rgb(218,195,195)	1.904	2,2
Irf1	BC029722	-0.66898	50.15	-1.5E-01	rgb(185,197,223)	1.9848	None
Irf8	BC029722	-0.030091	44.17	-1.7E-01	rgb(180,194,224)	1.865	None
Irf1	BC049715	0.32789	47.23	0.23	rgb(220,173,173)	1.9263	None
Irf1	BC094916	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	None
Irf7	BC094916	0.97747	50.54	0.544	rgb(223,113,114)	1.9926	None
Irf8	BC094916	0.033147	44.18	0.18	rgb(219,183,183)	1.8652	None
Stat2	BC094916	0.90766	50.39	0.39	rgb(221,143,143)	1.9896	None
Irf9	Basp1	0.81973	50.31	0.307	rgb(220,158,159)	1.988	None
Irf7	Batf3	0.66342	50.12	0.118	rgb(218,195,195)	1.9842	None
Irf8	Bcl11b	0.11651	45.05	0.054	rgb(218,207,207)	1.8826	2,2
Irf8	Bcl2a1d	-0.33779	47.22	-2.2E-01	rgb(169,188,225)	1.9261	None
Irf7	Bcl2l11	-0.40762	48.17	-1.7E-01	rgb(181,195,223)	1.9451	None
Irf1	Bcl2l14	0.81418	50.32	0.325	rgb(221,155,156)	1.9882	None
Irf1	Bcl3	-0.80818	50.3	-3.0E-01	rgb(153,178,228)	1.9878	None
Irf8	Bcl3	0.94125	50.46	0.458	rgb(222,129,130)	1.991	None
Irf7	Bco2	0.52521	49.15	0.253	rgb(220,169,169)	1.9647	None
Stat2	Bco2	0.09264	45.05	0.055	rgb(218,207,207)	1.8826	None
Stat2	Bcor	-0.84818	50.35	-3.5E-01	rgb(140,170,230)	1.9888	None
Irf7	Bend6	0.23415	46.24	0.241	rgb(220,171,171)	1.9064	None
Stat2	Bspry	-0.9341	50.45	-4.5E-01	rgb(119,157,234)	1.9908	None
Stat2	Bzw2	-0.83719	50.34	-3.4E-01	rgb(143,172,230)	1.9886	2,2
Irf7	C3	-0.87479	50.38	-3.8E-01	rgb(134,166,232)	1.9894	None
Irf1	Cables1	0.63244	49.43	0.427	rgb(222,135,136)	1.9703	2,2
Irf1	Cacna2d1	0.37304	47.33	0.331	rgb(221,154,155)	1.9283	None
