TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Klf10	1110032F04Rik	0.21036	46.17	0.553	rgb(223,111,113)	1.905	2,2
Klf11	1110032F04Rik	0.21036	46.17	0.553	rgb(223,111,113)	1.905	2,2
Klf10	5730508B09Rik	0.0051239	44.07	0.449	rgb(222,131,132)	1.863	None
Klf11	5730508B09Rik	0.0051239	44.07	0.449	rgb(222,131,132)	1.863	None
Klf10	Ankra2	0.71599	50.21	0.812	rgb(226, 62, 64)	1.986	2,2
Klf11	Ankra2	0.71599	50.21	0.812	rgb(226, 62, 64)	1.986	2,2
Klf10	Appl2	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf11	Appl2	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf10	Avil	0.33579	47.25	0.606	rgb(224,101,102)	1.9267	2,2
Klf11	Avil	0.33579	47.25	0.606	rgb(224,101,102)	1.9267	2,2
Klf10	C920009B18Rik	0.62284	49.37	0.729	rgb(225, 78, 79)	1.9691	2,2
Klf11	C920009B18Rik	0.62284	49.37	0.729	rgb(225, 78, 79)	1.9691	2,2
Klf10	Cdk5	0.057891	44.25	0.449	rgb(222,131,132)	1.8666	2,2
Klf11	Cdk5	0.057891	44.25	0.449	rgb(222,131,132)	1.8666	2,2
Klf10	Cmas	0.85362	50.34	0.812	rgb(226, 62, 64)	1.9886	2,2
Klf11	Cmas	0.85362	50.34	0.812	rgb(226, 62, 64)	1.9886	2,2
Klf10	Col18a1	0.98321	50.53	0.812	rgb(226, 62, 64)	1.9924	None
Klf11	Col18a1	0.98321	50.53	0.812	rgb(226, 62, 64)	1.9924	None
Klf10	Cyp26b1	0.24462	46.27	0.553	rgb(223,111,113)	1.907	2,2
Klf11	Cyp26b1	0.24462	46.27	0.553	rgb(223,111,113)	1.907	2,2
Klf10	D930015E06Rik	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf11	D930015E06Rik	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf10	Ddit3	0.097205	45.08	0.5	rgb(222,122,123)	1.8832	None
Klf11	Ddit3	0.097205	45.08	0.5	rgb(222,122,123)	1.8832	None
Klf10	Ehbp1l1	0.27632	46.32	0.325	rgb(221,155,156)	1.908	None
Klf11	Ehbp1l1	0.40531	48.12	0.122	rgb(218,194,194)	1.9441	None
Klf10	Extl3	0.1951	46.12	0.553	rgb(223,111,113)	1.904	None
Klf11	Extl3	0.1951	46.12	0.553	rgb(223,111,113)	1.904	None
Klf10	Fam168b	0.41437	48.19	0.665	rgb(224, 90, 91)	1.9455	None
Klf11	Fam168b	0.41437	48.19	0.665	rgb(224, 90, 91)	1.9455	None
Klf10	Fam20b	0.22432	46.21	0.553	rgb(223,111,113)	1.9058	2,2
Klf11	Fam20b	0.22432	46.21	0.553	rgb(223,111,113)	1.9058	2,2
Klf10	Fbxo30	0.55077	49.22	0.729	rgb(225, 78, 79)	1.9661	None
Klf11	Fbxo30	0.55077	49.22	0.729	rgb(225, 78, 79)	1.9661	None
Klf10	Fgf2	0.93072	50.42	0.812	rgb(226, 62, 64)	1.9902	2,2
Klf11	Fgf2	0.93072	50.42	0.812	rgb(226, 62, 64)	1.9902	2,2
Klf10	Gtse1	0.12005	45.17	0.5	rgb(222,122,123)	1.885	2,2
Klf11	Gtse1	0.12005	45.17	0.5	rgb(222,122,123)	1.885	2,2
Klf10	Hspb11	0.67078	50.14	0.812	rgb(226, 62, 64)	1.9846	None
Klf11	Hspb11	0.67078	50.14	0.812	rgb(226, 62, 64)	1.9846	None
Klf10	Ifitm3	0.36149	47.33	0.606	rgb(224,101,102)	1.9283	2,2
Klf11	Ifitm3	0.36149	47.33	0.606	rgb(224,101,102)	1.9283	2,2
Klf10	Igsf9	0.26242	46.34	0.553	rgb(223,111,113)	1.9084	None
Klf11	Igsf9	0.26242	46.34	0.553	rgb(223,111,113)	1.9084	None
Klf10	Il2rb	0.63894	49.45	0.729	rgb(225, 78, 79)	1.9707	2,2
Klf11	Il2rb	0.63894	49.45	0.729	rgb(225, 78, 79)	1.9707	2,2
Klf10	Jak3	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	None
Klf11	Jak3	0.86486	50.35	0.812	rgb(226, 62, 64)	1.9888	None
Klf10	Ly6e	0.43719	48.24	0.665	rgb(224, 90, 91)	1.9465	2,2
Klf11	Ly6e	0.43719	48.24	0.665	rgb(224, 90, 91)	1.9465	2,2
Klf10	Nek6	0.17546	45.4	0.5	rgb(222,122,123)	1.8896	2,2
Klf11	Nek6	0.17546	45.4	0.5	rgb(222,122,123)	1.8896	2,2
Klf10	Notch2	0.033147	44.18	0.449	rgb(222,131,132)	1.8652	2,2
Klf11	Notch2	0.033147	44.18	0.449	rgb(222,131,132)	1.8652	2,2
Klf10	Parp8	0.47412	48.34	0.665	rgb(224, 90, 91)	1.9485	None
Klf11	Parp8	0.47412	48.34	0.665	rgb(224, 90, 91)	1.9485	None
Klf10	Rnf181	0.56083	49.24	0.729	rgb(225, 78, 79)	1.9665	2,2
Klf11	Rnf181	0.56083	49.24	0.729	rgb(225, 78, 79)	1.9665	2,2
Klf10	Rpl36al	0.24785	46.28	0.553	rgb(223,111,113)	1.9072	2,2
Klf11	Rpl36al	0.24785	46.28	0.553	rgb(223,111,113)	1.9072	2,2
Klf10	Rrad	0.10065	45.1	0.5	rgb(222,122,123)	1.8836	2,2
Klf11	Rrad	0.10065	45.1	0.5	rgb(222,122,123)	1.8836	2,2
Klf10	Sh2d3c	0.73354	50.23	0.812	rgb(226, 62, 64)	1.9864	None
Klf11	Sh2d3c	0.73354	50.23	0.812	rgb(226, 62, 64)	1.9864	None
