TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Klf10	1110032F04Rik	0.21036	46.17	0.553	rgb(223,111,113)	1.905	2,2
Klf11	1110032F04Rik	0.21036	46.17	0.553	rgb(223,111,113)	1.905	2,2
Klf10	5730508B09Rik	0.0051239	44.07	0.449	rgb(222,131,132)	1.863	None
Klf11	5730508B09Rik	0.0051239	44.07	0.449	rgb(222,131,132)	1.863	None
Klf11	Abcg1	0.057891	44.25	0.249	rgb(220,169,170)	1.8666	2,2
Klf10	Abhd4	-0.61191	49.34	-3.4E-01	rgb(143,172,230)	1.9685	2,2
Klf11	Acsl5	-0.24785	46.28	-2.8E-01	rgb(156,180,228)	1.9072	2,2
Klf10	Ankra2	0.71599	50.21	0.812	rgb(226, 62, 64)	1.986	2,2
Klf11	Ankra2	0.71599	50.21	0.812	rgb(226, 62, 64)	1.986	2,2
Klf10	Apobec1	-0.22432	46.21	-2.1E-01	rgb(172,189,225)	1.9058	2,2
Klf10	Appl2	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf11	Appl2	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf10	Aqp3	0.68029	50.16	0.165	rgb(219,185,186)	1.985	2,2
Klf10	Avil	0.33579	47.25	0.606	rgb(224,101,102)	1.9267	2,2
Klf11	Avil	0.33579	47.25	0.606	rgb(224,101,102)	1.9267	2,2
Klf10	Bmp2	-0.40762	48.17	-3.1E-01	rgb(150,176,229)	1.9451	2,2
Klf10	C920009B18Rik	0.62284	49.37	0.729	rgb(225, 78, 79)	1.9691	2,2
Klf11	C920009B18Rik	0.62284	49.37	0.729	rgb(225, 78, 79)	1.9691	2,2
Klf10	Calcr	-0.2065	46.16	-1.6E-01	rgb(183,196,223)	1.9048	2,2
Klf11	Ccdc92	-0.29644	47.04	-4.0E-02	rgb(208,212,219)	1.9225	None
Klf11	Ccng2	0.054556	44.24	0.236	rgb(220,172,172)	1.8664	2,2
Klf11	Cd7	0.023104	44.15	0.17	rgb(219,185,185)	1.8646	2,2
Klf10	Cd70	-0.75361	50.25	-2.5E-01	rgb(163,184,226)	1.9868	2,2
Klf10	Cd81	-0.46892	48.32	-3.2E-01	rgb(148,175,229)	1.9481	2,2
Klf10	Cdk5	0.057891	44.25	0.449	rgb(222,131,132)	1.8666	2,2
Klf11	Cdk5	0.057891	44.25	0.449	rgb(222,131,132)	1.8666	2,2
Klf11	Cdkn1b	0.24785	46.28	0.279	rgb(220,164,164)	1.9072	2,2
Klf11	Clic4	-0.02957	44.04	-3.9E-02	rgb(208,212,218)	1.8624	None
Klf10	Cmas	0.85362	50.34	0.812	rgb(226, 62, 64)	1.9886	2,2
Klf11	Cmas	0.85362	50.34	0.812	rgb(226, 62, 64)	1.9886	2,2
Klf10	Col18a1	0.98321	50.53	0.812	rgb(226, 62, 64)	1.9924	None
Klf11	Col18a1	0.98321	50.53	0.812	rgb(226, 62, 64)	1.9924	None
Klf10	Col5a3	-0.74317	50.24	-2.5E-01	rgb(163,184,227)	1.9866	2,2
Klf10	Csf2	-0.71599	50.21	-2.1E-01	rgb(172,189,225)	1.986	2,2
Klf10	Ctsw	-0.39322	48.03	-7.7E-02	rgb(200,207,220)	1.9423	2,2
Klf10	Cyp26b1	0.24462	46.27	0.553	rgb(223,111,113)	1.907	2,2
Klf11	Cyp26b1	0.24462	46.27	0.553	rgb(223,111,113)	1.907	2,2
Klf10	Cyth4	0.95327	50.48	0.476	rgb(222,126,127)	1.9914	None
Klf10	D930015E06Rik	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf11	D930015E06Rik	0.13018	45.2	0.5	rgb(222,122,123)	1.8856	2,2
Klf10	Ddit3	0.097205	45.08	0.5	rgb(222,122,123)	1.8832	None
Klf11	Ddit3	0.097205	45.08	0.5	rgb(222,122,123)	1.8832	None
Klf10	Dpp4	-0.087367	44.45	-4.5E-01	rgb(119,157,234)	1.8706	2,2
Klf10	Ehbp1l1	0.27632	46.32	0.325	rgb(221,155,156)	1.908	None
Klf11	Ehbp1l1	0.40531	48.12	0.122	rgb(218,194,194)	1.9441	None
Klf10	Emp1	0.094634	44.3	0.299	rgb(220,160,160)	1.8676	2,2
Klf10	Extl3	0.1951	46.12	0.553	rgb(223,111,113)	1.904	None
Klf11	Extl3	0.1951	46.12	0.553	rgb(223,111,113)	1.904	None
Klf10	Fam129b	0.47794	48.32	0.321	rgb(221,156,156)	1.9481	2,2
Klf10	Fam160a1	-0.73354	50.23	-2.3E-01	rgb(166,186,226)	1.9864	2,2
Klf10	Fam168b	0.41437	48.19	0.665	rgb(224, 90, 91)	1.9455	None
Klf11	Fam168b	0.41437	48.19	0.665	rgb(224, 90, 91)	1.9455	None
Klf10	Fam20b	0.22432	46.21	0.553	rgb(223,111,113)	1.9058	2,2
Klf11	Fam20b	0.22432	46.21	0.553	rgb(223,111,113)	1.9058	2,2
Klf10	Fam49b	0.10634	44.38	0.383	rgb(221,144,145)	1.8692	None
Klf11	Fam78b	-0.32609	47.19	-1.9E-01	rgb(175,191,224)	1.9255	2,2
Klf10	Fbxo30	0.55077	49.22	0.729	rgb(225, 78, 79)	1.9661	None
Klf11	Fbxo30	0.55077	49.22	0.729	rgb(225, 78, 79)	1.9661	None
Klf10	Fgf2	0.93072	50.42	0.812	rgb(226, 62, 64)	1.9902	2,2
Klf11	Fgf2	0.93072	50.42	0.812	rgb(226, 62, 64)	1.9902	2,2
Klf10	Fxyd7	0.38299	47.39	0.393	rgb(221,142,143)	1.9295	None
Klf10	Gca	-0.64058	49.64	-6.4E-01	rgb( 78,132,241)	1.9746	2,2
