TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp385a	1700007K13Rik	0.76948	50.28	0.28	rgb(220,164,164)	1.9874	2,2
Zfp750	1700007K13Rik	0.98878	50.59	0.587	rgb(223,105,106)	1.9936	2,2
Zfp365	4632434I11Rik	0.92016	50.43	0.431	rgb(222,135,136)	1.9904	2,2
Zfp750	4632434I11Rik	0.98541	50.54	0.539	rgb(223,114,115)	1.9926	2,2
Zfp365	4930429B21Rik	0.95327	50.48	0.484	rgb(222,124,125)	1.9914	2,2
Zfp750	4930429B21Rik	0.70389	50.21	0.377	rgb(221,145,146)	1.986	2,2
Trp53	9030617O03Rik	0.96907	50.49	0.494	rgb(222,123,124)	1.9916	None
Zfp365	9030617O03Rik	0.84818	50.35	0.353	rgb(221,150,150)	1.9888	2,2
Zfp385a	9030617O03Rik	0.98181	50.56	0.564	rgb(223,109,110)	1.993	2,2
Zfp750	9030617O03Rik	0.51651	49.11	0.193	rgb(219,180,180)	1.9639	2,2
Zfp365	9230114K14Rik	0.87479	50.38	0.384	rgb(221,144,144)	1.9894	2,2
Zfp385a	9230114K14Rik	0.93795	50.43	0.427	rgb(222,135,136)	1.9904	2,2
Zfp750	9230114K14Rik	0.85925	50.36	0.363	rgb(221,148,148)	1.989	2,2
Trp53	Abcb1b	0.80818	50.3	0.296	rgb(220,160,161)	1.9878	None
Zfp750	Abcb1b	0.44315	48.23	0.226	rgb(219,174,174)	1.9463	2,2
Trp53	Acad8	0.94429	50.44	0.445	rgb(222,132,133)	1.9906	None
Zfp365	Acad8	0.17585	45.28	0.28	rgb(220,163,164)	1.8872	2,2
Trp53	Aen	0.0051239	44.07	0.067	rgb(218,204,204)	1.863	None
Zfp365	Aen	0.010136	43.29	0.287	rgb(220,162,163)	1.8473	2,2
Zfp750	Aen	0.44315	48.23	0.418	rgb(222,137,138)	1.9463	2,2
Trp53	Aga	0.90766	50.39	0.386	rgb(221,143,144)	1.9896	2,2
Zfp385a	Aga	0.68996	50.19	0.187	rgb(219,181,182)	1.9856	2,2
Trp53	Aldh4a1	0.96154	50.47	0.473	rgb(222,127,128)	1.9912	None
Zfp365	Aldh4a1	0.44697	48.24	0.238	rgb(220,172,172)	1.9465	2,2
Zfp385a	Aldh4a1	0.93072	50.42	0.415	rgb(222,138,138)	1.9902	2,2
Zfp750	Aldh4a1	0.20807	46.07	0.068	rgb(218,204,204)	1.903	2,2
Trp53	Bbc3	0.98321	50.53	0.526	rgb(223,117,118)	1.9924	None
Zfp385a	Bbc3	0.95327	50.48	0.479	rgb(222,126,127)	1.9914	2,2
Trp53	Ccng1	0.93795	50.43	0.431	rgb(222,135,135)	1.9904	None
Zfp365	Ccng1	0.9744	50.53	0.533	rgb(223,115,116)	1.9924	2,2
Zfp385a	Ccng1	0.98446	50.57	0.568	rgb(223,109,110)	1.9932	2,2
Trp53	Cd109	0.76378	50.26	0.259	rgb(220,167,168)	1.987	None
Zfp385a	Cd109	0.81418	50.32	0.315	rgb(220,157,157)	1.9882	2,2
Zfp750	Cd109	0.72884	50.24	0.242	rgb(220,171,171)	1.9866	2,2
Zfp385a	Cd80	0.40634	48.13	0.33	rgb(221,154,155)	1.9443	2,2
Zfp750	Cd80	0.9341	50.45	0.453	rgb(222,130,131)	1.9908	2,2
Trp53	Cd81	0.95012	50.45	0.454	rgb(222,130,131)	1.9908	None
Zfp750	Cd81	0.81418	50.32	0.315	rgb(220,157,157)	1.9882	2,2
Trp53	Cercam	-0.97747	50.54	-5.4E-01	rgb(101,146,237)	1.9926	None
Zfp385a	Cercam	0.78001	50.29	0.287	rgb(220,162,163)	1.9876	2,2
Trp53	Ckmt1	0.11375	45.15	0.155	rgb(219,187,188)	1.8846	2,2
Zfp385a	Ckmt1	0.98541	50.54	0.542	rgb(223,113,115)	1.9926	2,2
Zfp750	Ckmt1	0.97747	50.54	0.541	rgb(223,114,115)	1.9926	2,2
Trp53	Dcxr	0.73354	50.23	0.23	rgb(220,173,174)	1.9864	2,2
Zfp365	Dcxr	0.63794	49.5	0.503	rgb(223,121,122)	1.9717	2,2
Zfp385a	Dcxr	0.9341	50.45	0.446	rgb(222,132,133)	1.9908	2,2
Trp53	Ddit4l	0.65046	50.06	0.063	rgb(218,205,205)	1.983	2,2
Zfp365	Ddit4l	0.13611	45.15	0.223	rgb(219,174,175)	1.8846	2,2
Zfp385a	Ddit4l	0.41299	48.15	0.153	rgb(219,188,188)	1.9447	2,2
Zfp750	Ddit4l	0.79083	50.3	0.295	rgb(220,161,161)	1.9878	2,2
Zfp385a	Dhh	0.92016	50.43	0.43	rgb(222,135,136)	1.9904	2,2
Zfp750	Dhh	0.20868	46.08	0.084	rgb(218,201,201)	1.9032	2,2
Zfp365	Dnm3	0.043432	44.12	0.123	rgb(218,193,194)	1.864	2,2
Zfp385a	Dnm3	0.97582	50.51	0.511	rgb(223,119,120)	1.992	2,2
Zfp750	Dnm3	0.74841	50.26	0.263	rgb(220,167,167)	1.987	2,2
Trp53	Eda2r	0.4411	48.25	0.248	rgb(220,170,170)	1.9467	2,2
Zfp365	Eda2r	0.96907	50.5	0.496	rgb(222,122,123)	1.9918	2,2
Trp53	Ercc5	-0.9744	50.53	-5.3E-01	rgb(103,148,237)	1.9924	2,2
Zfp385a	Ercc5	0.95012	50.45	0.448	rgb(222,131,132)	1.9908	2,2
Zfp750	Ercc5	0.94125	50.46	0.463	rgb(222,129,130)	1.991	2,2
Trp53	Exoc4	0.87479	50.36	0.355	rgb(221,149,150)	1.989	None
Zfp385a	Exoc4	0.20522	46.05	0.048	rgb(218,208,208)	1.9026	2,2
Zfp750	Exoc4	0.97747	50.54	0.536	rgb(223,115,116)	1.9926	2,2
Trp53	Fas	0.57179	49.26	0.263	rgb(220,167,167)	1.9669	None
Zfp365	Fas	0.098099	44.32	0.317	rgb(220,156,157)	1.868	2,2
Zfp385a	Fas	0.015111	43.32	0.32	rgb(221,156,157)	1.8479	2,2
Trp53	Glipr1	0.80818	50.3	0.305	rgb(220,159,159)	1.9878	None
Zfp365	Glipr1	0.73808	50.25	0.472	rgb(222,127,128)	1.9868	2,2
Zfp750	Glipr1	0.79083	50.3	0.298	rgb(220,160,161)	1.9878	2,2
Zfp385a	Gna15	0.88983	50.39	0.387	rgb(221,143,144)	1.9896	2,2
Zfp750	Gna15	0.44697	48.24	0.241	rgb(220,171,171)	1.9465	2,2
Trp53	Got1l1	-0.89963	50.4	-4.0E-01	rgb(131,164,232)	1.9898	None
Zfp385a	Got1l1	0.088914	44.27	0.269	rgb(220,166,166)	1.867	2,2
Zfp385a	Gria3	0.98321	50.53	0.53	rgb(223,116,117)	1.9924	2,2
Zfp750	Gria3	0.84818	50.35	0.349	rgb(221,150,151)	1.9888	2,2
Zfp385a	Gtse1	0.72044	50.23	0.233	rgb(220,173,173)	1.9864	2,2
Zfp750	Gtse1	0.61191	49.34	0.338	rgb(221,152,153)	1.9685	2,2
Zfp365	Igsf9b	0.53039	49.18	0.213	rgb(219,176,177)	1.9653	2,2
Zfp750	Igsf9b	0.20939	46.09	0.2	rgb(219,179,179)	1.9034	2,2
Trp53	Lamc1	0.88513	50.37	0.373	rgb(221,146,146)	1.9892	None
Zfp385a	Lamc1	0.40935	48.14	0.138	rgb(219,191,191)	1.9445	2,2
Trp53	Lrrc28	0.85362	50.34	0.342	rgb(221,152,152)	1.9886	2,2
Zfp385a	Lrrc28	0.94429	50.44	0.443	rgb(222,132,133)	1.9906	2,2
Zfp750	Lrrc28	0.92016	50.43	0.434	rgb(222,134,135)	1.9904	2,2
Trp53	Masp2	-0.18284	46.04	-4.4E-02	rgb(207,211,219)	1.9024	None
Zfp750	Masp2	0.63935	49.53	0.535	rgb(223,115,116)	1.9724	2,2
Trp53	Mgmt	0.69311	50.18	0.18	rgb(219,183,183)	1.9854	None
Zfp385a	Mgmt	0.59262	49.3	0.329	rgb(221,154,155)	1.9677	2,2
Zfp365	Naa20	0.80319	50.31	0.314	rgb(220,157,158)	1.988	2,2
Zfp385a	Naa20	0.49452	48.5	0.504	rgb(223,121,122)	1.9517	2,2
Trp53	Phlda3	0.62284	49.37	0.371	rgb(221,146,147)	1.9691	2,2
Zfp365	Phlda3	0.92346	50.41	0.408	rgb(221,139,140)	1.99	2,2
Zfp385a	Phlda3	0.97747	50.54	0.537	rgb(223,114,115)	1.9926	2,2
Zfp750	Phlda3	0.8701	50.37	0.366	rgb(221,147,148)	1.9892	2,2
Trp53	Plk2	0.67078	50.14	0.141	rgb(219,190,190)	1.9846	None
Zfp365	Plk2	0.80319	50.31	0.314	rgb(220,157,158)	1.988	2,2
Zfp385a	Plk2	0.14233	45.17	0.17	rgb(219,185,185)	1.885	2,2
Trp53	Ppm1d	0.73354	50.23	0.226	rgb(219,174,174)	1.9864	None
Zfp385a	Ppm1d	0.95899	50.49	0.494	rgb(222,123,124)	1.9916	2,2
Zfp750	Ppm1d	0.47943	48.36	0.364	rgb(221,148,148)	1.9489	2,2
Trp53	Psrc1	0.18625	46.06	0.057	rgb(218,206,206)	1.9028	2,2
Zfp365	Psrc1	0.97097	50.52	0.519	rgb(223,118,119)	1.9922	2,2
Zfp385a	Psrc1	0.99737	50.66	0.665	rgb(224, 90, 91)	1.995	2,2
Zfp750	Psrc1	0.97097	50.52	0.516	rgb(223,118,119)	1.9922	2,2
Zfp385a	Ptp4a3	0.99421	50.6	0.6	rgb(224,102,104)	1.9938	2,2
Zfp750	Ptp4a3	0.59901	49.31	0.314	rgb(220,157,158)	1.9679	2,2
Zfp365	Rbm43	0.3226	47.18	0.246	rgb(220,170,170)	1.9253	2,2
Zfp750	Rbm43	0.23598	46.19	0.191	rgb(219,181,181)	1.9054	2,2
Trp53	Rhod	0.79685	50.29	0.287	rgb(220,162,163)	1.9876	2,2
Zfp365	Rhod	0.052767	44.15	0.166	rgb(219,185,186)	1.8646	2,2
Zfp385a	Rhod	0.9038	50.41	0.406	rgb(221,139,140)	1.99	2,2
Trp53	Rnf169	0.58198	49.28	0.283	rgb(220,163,164)	1.9673	2,2
Zfp385a	Rnf169	0.98181	50.56	0.563	rgb(223,109,111)	1.993	2,2
Zfp750	Rnf169	0.72884	50.24	0.244	rgb(220,170,171)	1.9866	2,2
Zfp385a	Robo3	0.98321	50.55	0.549	rgb(223,112,113)	1.9928	2,2
Zfp750	Robo3	0.98446	50.57	0.568	rgb(223,108,110)	1.9932	2,2
Zfp365	Scamp5	0.60557	49.33	0.328	rgb(221,154,155)	1.9683	2,2
Zfp750	Scamp5	0.80319	50.31	0.365	rgb(221,147,148)	1.988	2,2
Trp53	Scn3b	0.12273	45.18	0.18	rgb(219,183,183)	1.8852	2,2
Zfp750	Scn3b	0.21237	46.1	0.231	rgb(220,173,173)	1.9036	2,2
Trp53	Slc19a2	0.59901	49.31	0.305	rgb(220,159,159)	1.9679	2,2
Zfp365	Slc19a2	0.95327	50.48	0.476	rgb(222,126,127)	1.9914	2,2
Zfp385a	Slc19a2	0.92715	50.44	0.436	rgb(222,134,135)	1.9906	2,2
Zfp365	St14	0.24945	46.23	0.227	rgb(219,174,174)	1.9062	2,2
Zfp385a	St14	0.73354	50.23	0.225	rgb(219,174,174)	1.9864	2,2
Zfp365	St7l	0.20596	46.06	0.147	rgb(219,189,189)	1.9028	2,2
Zfp750	St7l	0.74841	50.26	0.258	rgb(220,168,168)	1.987	2,2
Zfp365	Sulf2	0.96534	50.48	0.478	rgb(222,126,127)	1.9914	2,2
Zfp385a	Sulf2	0.61714	49.36	0.355	rgb(221,149,150)	1.9689	2,2
Zfp750	Sulf2	0.96534	50.48	0.479	rgb(222,126,126)	1.9914	2,2
Trp53	Tmem43	0.72458	50.22	0.215	rgb(219,176,176)	1.9862	2,2
Zfp385a	Tmem43	0.86486	50.35	0.352	rgb(221,150,150)	1.9888	2,2
Zfp750	Tmem43	0.76948	50.28	0.28	rgb(220,164,164)	1.9874	2,2
Zfp365	Tnfrsf10b	0.57677	49.27	0.269	rgb(220,166,166)	1.9671	2,2
Zfp385a	Tnfrsf10b	0.96335	50.5	0.499	rgb(222,122,123)	1.9918	2,2
Zfp750	Tnfrsf10b	0.13754	45.22	0.216	rgb(219,176,176)	1.886	2,2
Zfp365	Tnfsf4	0.81973	50.31	0.31	rgb(220,158,158)	1.988	2,2
Zfp750	Tnfsf4	0.94125	50.46	0.456	rgb(222,130,131)	1.991	2,2
Trp53	Ttll9	0.36655	47.35	0.354	rgb(221,149,150)	1.9287	None
Zfp750	Ttll9	0.9341	50.45	0.449	rgb(222,131,132)	1.9908	2,2
Trp53	Zfp365	0.55616	49.23	0.23	rgb(220,173,173)	1.9663	2,2
Zfp385a	Zfp365	0.99937	50.76	0.763	rgb(225, 71, 73)	1.997	2,2
Zfp750	Zfp365	0.88983	50.39	0.386	rgb(221,143,144)	1.9896	2,2
Trp53	Zfp750	0.38111	48.02	0.021	rgb(217,213,213)	1.9421	2,2
Zfp365	Zfp750	0.84818	50.35	0.349	rgb(221,150,151)	1.9888	2,2
Zfp385a	Zfp750	0.99264	50.62	0.62	rgb(224, 99,100)	1.9942	2,2
Trp53	Zmat3	0.5185	49.15	0.146	rgb(219,189,189)	1.9647	None
Zfp365	Zmat3	0.8701	50.37	0.372	rgb(221,146,147)	1.9892	2,2
Zfp385a	Zmat3	0.99881	50.71	0.711	rgb(225, 81, 83)	1.996	2,2
