TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp385a	1700007K13Rik	0.76948	50.28	0.28	rgb(220,164,164)	1.9874	2,2
Zfp750	1700007K13Rik	0.98878	50.59	0.587	rgb(223,105,106)	1.9936	2,2
Zfp750	2310022B05Rik	-0.27123	46.3	-3.0E-01	rgb(152,177,228)	1.9076	2,2
Zfp365	4632434I11Rik	0.92016	50.43	0.431	rgb(222,135,136)	1.9904	2,2
Zfp750	4632434I11Rik	0.98541	50.54	0.539	rgb(223,114,115)	1.9926	2,2
Zfp365	4831440E17Rik	-0.62828	49.41	-4.1E-01	rgb(128,163,233)	1.9699	2,2
Trp53	4833439L19Rik	0.92016	50.43	0.428	rgb(222,135,136)	1.9904	None
Zfp365	4930429B21Rik	0.95327	50.48	0.484	rgb(222,124,125)	1.9914	2,2
Zfp750	4930429B21Rik	0.70389	50.21	0.377	rgb(221,145,146)	1.986	2,2
Trp53	9030617O03Rik	0.96907	50.49	0.494	rgb(222,123,124)	1.9916	None
Zfp365	9030617O03Rik	0.84818	50.35	0.353	rgb(221,150,150)	1.9888	2,2
Zfp385a	9030617O03Rik	0.98181	50.56	0.564	rgb(223,109,110)	1.993	2,2
Zfp750	9030617O03Rik	0.51651	49.11	0.193	rgb(219,180,180)	1.9639	2,2
Zfp365	9230114K14Rik	0.87479	50.38	0.384	rgb(221,144,144)	1.9894	2,2
Zfp385a	9230114K14Rik	0.93795	50.43	0.427	rgb(222,135,136)	1.9904	2,2
Zfp750	9230114K14Rik	0.85925	50.36	0.363	rgb(221,148,148)	1.989	2,2
Zfp750	A330023F24Rik	0.32609	47.19	0.186	rgb(219,181,182)	1.9255	2,2
Zfp750	AI414108	0.78502	50.29	0.286	rgb(220,162,163)	1.9876	2,2
Trp53	Abcb1b	0.80818	50.3	0.296	rgb(220,160,161)	1.9878	None
Zfp750	Abcb1b	0.44315	48.23	0.226	rgb(219,174,174)	1.9463	2,2
Zfp385a	Abhd4	0.95327	50.48	0.484	rgb(222,125,125)	1.9914	2,2
Trp53	Acad8	0.94429	50.44	0.445	rgb(222,132,133)	1.9906	None
Zfp365	Acad8	0.17585	45.28	0.28	rgb(220,163,164)	1.8872	2,2
Zfp385a	Acot1	0.99704	50.64	0.635	rgb(224, 96, 97)	1.9946	2,2
Zfp750	Acp5	-0.26342	46.27	-2.7E-01	rgb(158,181,227)	1.907	2,2
Zfp750	Actn1	-0.152	45.2	-2.0E-01	rgb(174,191,224)	1.8856	2,2
Zfp385a	Adamts6	-0.48219	48.37	-3.7E-01	rgb(136,168,231)	1.9491	2,2
Trp53	Aen	0.0051239	44.07	0.067	rgb(218,204,204)	1.863	None
Zfp365	Aen	0.010136	43.29	0.287	rgb(220,162,163)	1.8473	2,2
Zfp750	Aen	0.44315	48.23	0.418	rgb(222,137,138)	1.9463	2,2
Trp53	Aga	0.90766	50.39	0.386	rgb(221,143,144)	1.9896	2,2
Zfp385a	Aga	0.68996	50.19	0.187	rgb(219,181,182)	1.9856	2,2
Trp53	Aldh4a1	0.96154	50.47	0.473	rgb(222,127,128)	1.9912	None
Zfp365	Aldh4a1	0.44697	48.24	0.238	rgb(220,172,172)	1.9465	2,2
Zfp385a	Aldh4a1	0.93072	50.42	0.415	rgb(222,138,138)	1.9902	2,2
Zfp750	Aldh4a1	0.20807	46.07	0.068	rgb(218,204,204)	1.903	2,2
Zfp365	Als2cl	-0.062549	44.18	-1.8E-01	rgb(177,193,224)	1.8652	2,2
Zfp750	Angptl6	-0.35746	47.31	-3.1E-01	rgb(149,176,229)	1.9279	2,2
Zfp750	Ankk1	0.49404	48.47	0.468	rgb(222,128,128)	1.9511	2,2
Zfp750	Anxa3	-0.16946	45.34	-3.4E-01	rgb(143,172,230)	1.8884	2,2
Zfp365	Apobec1	0.58198	49.28	0.276	rgb(220,164,165)	1.9673	2,2
Zfp750	Areg	0.72884	50.24	0.24	rgb(220,171,172)	1.9866	2,2
Trp53	Arhgef17	-0.36259	47.29	-2.9E-01	rgb(153,178,228)	1.9275	2,2
Zfp750	Atcay	0.4864	48.35	0.35	rgb(221,150,151)	1.9487	2,2
Trp53	Atf6	-0.43018	48.2	-2.0E-01	rgb(174,191,224)	1.9457	None
Zfp385a	Atp1a1	-0.28157	46.35	-3.5E-01	rgb(142,171,230)	1.9086	2,2
Zfp365	B930041F14Rik	0.0080492	43.28	0.28	rgb(220,164,164)	1.8471	2,2
Zfp385a	BC026585	0.26931	46.29	0.287	rgb(220,162,163)	1.9074	2,2
Trp53	BC029722	0.60557	49.33	0.334	rgb(221,153,154)	1.9683	None
Zfp750	BC049715	0.78001	50.29	0.287	rgb(220,162,163)	1.9876	2,2
Zfp365	BC064078	0.73808	50.25	0.279	rgb(220,164,164)	1.9868	2,2
Zfp385a	BC094916	-0.37835	47.36	-3.6E-01	rgb(139,170,231)	1.9289	2,2
Zfp385a	Bahcc1	0.64284	50.03	0.216	rgb(219,176,176)	1.9824	2,2
Trp53	Bbc3	0.98321	50.53	0.526	rgb(223,117,118)	1.9924	None
Zfp385a	Bbc3	0.95327	50.48	0.479	rgb(222,126,127)	1.9914	2,2
Trp53	Bcl2l1	0.98321	50.53	0.526	rgb(223,117,118)	1.9924	None
Zfp750	Bloc1s2	0.61377	49.35	0.355	rgb(221,149,150)	1.9687	2,2
Trp53	Bpnt1	0.28234	47.08	0.077	rgb(218,202,203)	1.9233	None
Trp53	Cabyr	0.40114	48.15	0.152	rgb(219,188,188)	1.9447	None
Trp53	Car5b	-0.45111	48.25	-2.5E-01	rgb(164,185,226)	1.9467	None
Zfp750	Ccdc159	0.96154	50.47	0.474	rgb(222,126,127)	1.9912	2,2
Trp53	Ccng1	0.93795	50.43	0.431	rgb(222,135,135)	1.9904	None
Zfp365	Ccng1	0.9744	50.53	0.533	rgb(223,115,116)	1.9924	2,2
Zfp385a	Ccng1	0.98446	50.57	0.568	rgb(223,109,110)	1.9932	2,2
Trp53	Cd109	0.76378	50.26	0.259	rgb(220,167,168)	1.987	None
Zfp385a	Cd109	0.81418	50.32	0.315	rgb(220,157,157)	1.9882	2,2
Zfp750	Cd109	0.72884	50.24	0.242	rgb(220,171,171)	1.9866	2,2
Zfp365	Cd200r1	0.27123	46.3	0.298	rgb(220,160,161)	1.9076	2,2
Zfp385a	Cd200r4	0.22173	46.14	0.259	rgb(220,168,168)	1.9044	2,2
Zfp385a	Cd80	0.40634	48.13	0.33	rgb(221,154,155)	1.9443	2,2
Zfp750	Cd80	0.9341	50.45	0.453	rgb(222,130,131)	1.9908	2,2
Trp53	Cd81	0.95012	50.45	0.454	rgb(222,130,131)	1.9908	None
Zfp750	Cd81	0.81418	50.32	0.315	rgb(220,157,157)	1.9882	2,2
Trp53	Cdk6	-0.18222	46.03	-3.5E-02	rgb(209,212,218)	1.9022	None
Zfp385a	Cecr6	-0.37835	47.36	-3.6E-01	rgb(139,170,231)	1.9289	2,2
Zfp385a	Celf5	0.73808	50.25	0.254	rgb(220,168,169)	1.9868	2,2
Trp53	Cercam	-0.97747	50.54	-5.4E-01	rgb(101,146,237)	1.9926	None
Zfp385a	Cercam	0.78001	50.29	0.287	rgb(220,162,163)	1.9876	2,2
Trp53	Chit1	-0.37995	47.37	-3.7E-01	rgb(137,169,231)	1.9291	2,2
Zfp385a	Chl1	-0.47943	48.36	-3.6E-01	rgb(140,170,231)	1.9489	2,2
Zfp750	Chst7	0.023104	44.15	0.15	rgb(219,188,189)	1.8646	2,2
Trp53	Ckmt1	0.11375	45.15	0.155	rgb(219,187,188)	1.8846	2,2
Zfp385a	Ckmt1	0.98541	50.54	0.542	rgb(223,113,115)	1.9926	2,2
Zfp750	Ckmt1	0.97747	50.54	0.541	rgb(223,114,115)	1.9926	2,2
Zfp750	Clec2g	0.58711	49.29	0.293	rgb(220,161,162)	1.9675	2,2
Zfp365	Cnn2	-0.87479	50.38	-3.8E-01	rgb(135,167,231)	1.9894	2,2
Zfp750	Commd9	0.87479	50.38	0.384	rgb(221,144,144)	1.9894	2,2
Zfp385a	Cox6b2	0.98181	50.56	0.565	rgb(223,109,110)	1.993	2,2
Zfp385a	Cyp1b1	0.37572	47.41	0.408	rgb(221,139,140)	1.9299	2,2
Zfp750	D630023F18Rik	0.69311	50.19	0.188	rgb(219,181,182)	1.9856	2,2
Zfp385a	D930015E06Rik	-0.20939	46.09	-8.8E-02	rgb(198,205,220)	1.9034	2,2
Zfp385a	Dctn4	0.59721	49.31	0.309	rgb(220,158,159)	1.9679	2,2
Trp53	Dcxr	0.73354	50.23	0.23	rgb(220,173,174)	1.9864	2,2
Zfp365	Dcxr	0.63794	49.5	0.503	rgb(223,121,122)	1.9717	2,2
Zfp385a	Dcxr	0.9341	50.45	0.446	rgb(222,132,133)	1.9908	2,2
Zfp385a	Ddit4	0.065567	44.19	0.193	rgb(219,180,180)	1.8654	2,2
Trp53	Ddit4l	0.65046	50.06	0.063	rgb(218,205,205)	1.983	2,2
Zfp365	Ddit4l	0.13611	45.15	0.223	rgb(219,174,175)	1.8846	2,2
Zfp385a	Ddit4l	0.41299	48.15	0.153	rgb(219,188,188)	1.9447	2,2
Zfp750	Ddit4l	0.79083	50.3	0.295	rgb(220,161,161)	1.9878	2,2
Zfp750	Dgki	0.52659	49.17	0.216	rgb(219,176,176)	1.9651	2,2
Zfp385a	Dhh	0.92016	50.43	0.43	rgb(222,135,136)	1.9904	2,2
Zfp750	Dhh	0.20868	46.08	0.084	rgb(218,201,201)	1.9032	2,2
Zfp385a	Dip2b	-0.095603	45.07	-7.2E-02	rgb(201,208,220)	1.883	2,2
Zfp385a	Dnm1	0.79083	50.3	0.34	rgb(221,152,153)	1.9878	2,2
Zfp365	Dnm3	0.043432	44.12	0.123	rgb(218,193,194)	1.864	2,2
Zfp385a	Dnm3	0.97582	50.51	0.511	rgb(223,119,120)	1.992	2,2
Zfp750	Dnm3	0.74841	50.26	0.263	rgb(220,167,167)	1.987	2,2
Zfp750	Dnm3os	0.95899	50.49	0.492	rgb(222,123,124)	1.9916	2,2
Trp53	Dock1	0.60762	49.33	0.331	rgb(221,154,154)	1.9683	None
Zfp385a	Dusp5	-0.96907	50.49	-4.9E-01	rgb(111,153,236)	1.9916	2,2
Trp53	Dzip1	0.061282	44.26	0.264	rgb(220,167,167)	1.8668	None
Trp53	Eda2r	0.4411	48.25	0.248	rgb(220,170,170)	1.9467	2,2
Zfp365	Eda2r	0.96907	50.5	0.496	rgb(222,122,123)	1.9918	2,2
Zfp385a	Eef1a1	-0.1869	46.07	-2.2E-01	rgb(168,187,226)	1.903	2,2
Zfp385a	Ehd4	0.48724	48.4	0.4	rgb(221,141,141)	1.9497	2,2
Zfp385a	Eng	0.99937	50.76	0.762	rgb(225, 71, 73)	1.997	2,2
Zfp365	Ephx1	0.56663	49.25	0.247	rgb(220,170,170)	1.9667	2,2
Trp53	Ercc5	-0.9744	50.53	-5.3E-01	rgb(103,148,237)	1.9924	2,2
Zfp385a	Ercc5	0.95012	50.45	0.448	rgb(222,131,132)	1.9908	2,2
Zfp750	Ercc5	0.94125	50.46	0.463	rgb(222,129,130)	1.991	2,2
Zfp385a	Ethe1	0.17585	45.28	0.285	rgb(220,163,163)	1.8872	2,2
Trp53	Exoc4	0.87479	50.36	0.355	rgb(221,149,150)	1.989	None
Zfp385a	Exoc4	0.20522	46.05	0.048	rgb(218,208,208)	1.9026	2,2
Zfp750	Exoc4	0.97747	50.54	0.536	rgb(223,115,116)	1.9926	2,2
Trp53	Fa2h	0.26637	46.28	0.276	rgb(220,164,165)	1.9072	None
Zfp385a	Fam198b	0.63935	49.53	0.527	rgb(223,116,117)	1.9724	2,2
Zfp750	Fam20c	0.52037	49.13	0.414	rgb(222,138,139)	1.9643	2,2
Trp53	Fas	0.57179	49.26	0.263	rgb(220,167,167)	1.9669	None
Zfp365	Fas	0.098099	44.32	0.317	rgb(220,156,157)	1.868	2,2
Zfp385a	Fas	0.015111	43.32	0.32	rgb(221,156,157)	1.8479	2,2
Zfp750	Fat1	0.84818	50.35	0.346	rgb(221,151,152)	1.9888	2,2
Trp53	Fbxo18	0.10505	45.12	0.12	rgb(218,194,194)	1.884	2,2
Zfp750	Fbxo30	-0.075834	44.32	-3.5E-01	rgb(141,171,230)	1.868	2,2
Zfp385a	Fert2	-0.16484	45.24	-2.4E-01	rgb(164,185,226)	1.8864	2,2
Trp53	Fgf11	-0.152	45.2	-2.0E-01	rgb(173,190,225)	1.8856	None
Trp53	Fhod3	-0.92715	50.44	-4.4E-01	rgb(123,160,234)	1.9906	None
Zfp750	Gcnt1	0.22173	46.14	0.137	rgb(219,191,191)	1.9044	2,2
Zfp385a	Gja1	0.85925	50.36	0.358	rgb(221,149,149)	1.989	2,2
Trp53	Gli3	0.26098	46.26	0.261	rgb(220,167,168)	1.9068	2,2
Trp53	Glipr1	0.80818	50.3	0.305	rgb(220,159,159)	1.9878	None
Zfp365	Glipr1	0.73808	50.25	0.472	rgb(222,127,128)	1.9868	2,2
Zfp750	Glipr1	0.79083	50.3	0.298	rgb(220,160,161)	1.9878	2,2
Zfp385a	Glipr2	0.18526	45.32	0.316	rgb(220,157,157)	1.888	2,2
Zfp385a	Gna15	0.88983	50.39	0.387	rgb(221,143,144)	1.9896	2,2
Zfp750	Gna15	0.44697	48.24	0.241	rgb(220,171,171)	1.9465	2,2
Trp53	Gne	0.93795	50.43	0.428	rgb(222,135,136)	1.9904	None
Trp53	Got1l1	-0.89963	50.4	-4.0E-01	rgb(131,164,232)	1.9898	None
Zfp385a	Got1l1	0.088914	44.27	0.269	rgb(220,166,166)	1.867	2,2
Zfp385a	Gpr35	-0.069611	44.29	-2.9E-01	rgb(154,179,228)	1.8674	2,2
Trp53	Gpr89	0.74317	50.24	0.239	rgb(220,171,172)	1.9866	None
Zfp385a	Gria3	0.98321	50.53	0.53	rgb(223,116,117)	1.9924	2,2
Zfp750	Gria3	0.84818	50.35	0.349	rgb(221,150,151)	1.9888	2,2
Trp53	Gsn	-0.81418	50.32	-3.2E-01	rgb(147,174,229)	1.9882	None
Zfp385a	Gtse1	0.72044	50.23	0.233	rgb(220,173,173)	1.9864	2,2
Zfp750	Gtse1	0.61191	49.34	0.338	rgb(221,152,153)	1.9685	2,2
Zfp750	H2afy2	0.57921	49.27	0.273	rgb(220,165,165)	1.9671	2,2
Zfp750	H2afy3	0.070635	44.21	0.214	rgb(219,176,177)	1.8658	2,2
Trp53	Hist1h1c	0.70028	50.19	0.193	rgb(219,180,180)	1.9856	None
Trp53	Hist4h4	0.66711	50.13	0.132	rgb(218,192,192)	1.9844	None
Trp53	Icam2	0.38146	47.38	0.377	rgb(221,145,146)	1.9293	2,2
Trp53	Icam5	0.65469	50.09	0.09	rgb(218,200,200)	1.9836	None
Zfp365	Igsf9b	0.53039	49.18	0.213	rgb(219,176,177)	1.9653	2,2
Zfp750	Igsf9b	0.20939	46.09	0.2	rgb(219,179,179)	1.9034	2,2
Zfp750	Ikbke	0.10471	44.37	0.372	rgb(221,146,147)	1.869	2,2
Zfp385a	Inpp5b	-0.17949	45.46	-4.6E-01	rgb(118,157,234)	1.8908	2,2
Zfp385a	Itga4	-0.92016	50.43	-4.3E-01	rgb(124,161,233)	1.9904	2,2
Zfp385a	Itih5	-0.10926	44.42	-4.2E-01	rgb(127,162,233)	1.87	2,2
Zfp750	Krt16	0.19635	45.39	0.385	rgb(221,143,144)	1.8894	2,2
Trp53	Lactb	0.89475	50.38	0.375	rgb(221,145,146)	1.9894	None
Trp53	Lamc1	0.88513	50.37	0.373	rgb(221,146,146)	1.9892	None
Zfp385a	Lamc1	0.40935	48.14	0.138	rgb(219,191,191)	1.9445	2,2
Zfp750	Lhpp	0.14712	45.19	0.193	rgb(219,180,181)	1.8854	2,2
Zfp750	Lmo1	0.63363	49.41	0.407	rgb(221,139,140)	1.9699	2,2
Trp53	Lonp2	-0.67265	50.16	-1.6E-01	rgb(182,196,223)	1.985	None
Trp53	Lrba	-0.73808	50.25	-2.5E-01	rgb(163,184,227)	1.9868	None
Zfp385a	Lrfn3	0.61539	49.35	0.351	rgb(221,150,151)	1.9687	2,2
Trp53	Lrrc28	0.85362	50.34	0.342	rgb(221,152,152)	1.9886	2,2
Zfp385a	Lrrc28	0.94429	50.44	0.443	rgb(222,132,133)	1.9906	2,2
Zfp750	Lrrc28	0.92016	50.43	0.434	rgb(222,134,135)	1.9904	2,2
Zfp750	Ly96	0.54826	49.21	0.21	rgb(219,177,177)	1.9659	2,2
Zfp750	Mageh1	0.34172	47.23	0.248	rgb(220,170,170)	1.9263	2,2
Zfp385a	Map3k1	-0.92715	50.44	-4.4E-01	rgb(122,159,234)	1.9906	2,2
Trp53	Masp2	-0.18284	46.04	-4.4E-02	rgb(207,211,219)	1.9024	None
Zfp750	Masp2	0.63935	49.53	0.535	rgb(223,115,116)	1.9724	2,2
Trp53	Mctp1	0.71599	50.21	0.209	rgb(219,177,177)	1.986	None
Zfp750	Mex3d	-0.96335	50.5	-5.0E-01	rgb(108,150,236)	1.9918	2,2
Trp53	Mgmt	0.69311	50.18	0.18	rgb(219,183,183)	1.9854	None
Zfp385a	Mgmt	0.59262	49.3	0.329	rgb(221,154,155)	1.9677	2,2
Zfp385a	Minpp1	-0.16859	45.33	-3.3E-01	rgb(146,174,229)	1.8882	2,2
Zfp750	Mir1894	0.28157	46.35	0.349	rgb(221,150,151)	1.9086	2,2
Zfp365	Morc4	0.31412	47.15	0.308	rgb(220,158,159)	1.9247	2,2
Zfp365	Mttp	0.32994	47.2	0.196	rgb(219,180,180)	1.9257	2,2
Zfp750	Muc2	-0.81418	50.32	-3.2E-01	rgb(149,175,229)	1.9882	2,2
Zfp365	Mx1	0.28157	46.35	0.354	rgb(221,149,150)	1.9086	2,2
Zfp750	Mx2	0.21576	46.12	0.118	rgb(218,195,195)	1.904	2,2
Zfp385a	Mycbp2	-0.29122	46.47	-4.7E-01	rgb(115,155,235)	1.911	2,2
Zfp365	Naa20	0.80319	50.31	0.314	rgb(220,157,158)	1.988	2,2
Zfp385a	Naa20	0.49452	48.5	0.504	rgb(223,121,122)	1.9517	2,2
Trp53	Nedd9	0.46531	48.31	0.309	rgb(220,158,159)	1.9479	None
Zfp365	Neto2	0.19445	45.38	0.378	rgb(221,145,146)	1.8892	2,2
Zfp385a	Nme4	0.40114	48.15	0.15	rgb(219,188,189)	1.9447	2,2
Zfp750	Oas1b	0.28903	46.43	0.429	rgb(222,135,136)	1.9102	2,2
Zfp750	Otogl	-0.42569	48.19	-3.9E-01	rgb(133,166,232)	1.9455	2,2
Zfp750	P2rx7	0.80818	50.3	0.3	rgb(220,160,160)	1.9878	2,2
Trp53	Pard3b	0.46154	48.3	0.303	rgb(220,159,160)	1.9477	None
Zfp365	Pde2a	-0.27399	46.31	-3.1E-01	rgb(149,176,229)	1.9078	2,2
Zfp750	Peli3	0.28442	46.37	0.366	rgb(221,147,148)	1.909	2,2
Trp53	Pex19	0.62935	49.39	0.39	rgb(221,143,143)	1.9695	2,2
Zfp750	Pfkp	-0.9038	50.41	-4.1E-01	rgb(128,163,233)	1.99	2,2
Trp53	Phlda3	0.62284	49.37	0.371	rgb(221,146,147)	1.9691	2,2
Zfp365	Phlda3	0.92346	50.41	0.408	rgb(221,139,140)	1.99	2,2
Zfp385a	Phlda3	0.97747	50.54	0.537	rgb(223,114,115)	1.9926	2,2
Zfp750	Phlda3	0.8701	50.37	0.366	rgb(221,147,148)	1.9892	2,2
Zfp385a	Phtf2	-0.61377	49.35	-3.5E-01	rgb(140,170,230)	1.9687	2,2
Zfp385a	Pigr	-0.74841	50.26	-2.6E-01	rgb(161,183,227)	1.987	2,2
Zfp750	Pik3r3	0.9864	50.58	0.581	rgb(223,106,107)	1.9934	2,2
Zfp385a	Plaur	-0.24114	46.26	-3.1E-01	rgb(150,176,229)	1.9068	2,2
Trp53	Plk2	0.67078	50.14	0.141	rgb(219,190,190)	1.9846	None
Zfp365	Plk2	0.80319	50.31	0.314	rgb(220,157,158)	1.988	2,2
Zfp385a	Plk2	0.14233	45.17	0.17	rgb(219,185,185)	1.885	2,2
