TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
St18	Th17_downOnly.txt	Th17_downOnly	1248	up	83	66	0.0	0.0	2010002M12Rik 4930412O13Rik 9530053A07Rik Aldh3a1 Angpt1 Apoh Areg Ccdc148 Cd180 Cd200r3 Ces2d-ps Chst7 Cmpk2 Cxcl1 Ddx60 Dll1 Edaradd Fam160a1 Fam69c Foxc1 Glt28d2 Gm10389 Gm2762 Gpr35 Gpr82 Gpr98 Grpr Hapln1 Hdac9 Icosl Ifit3 Igj Il1rap Isg20 Klra2 Leprel1 Lin7a Loxl2 Lrrn3 Lyn Mirg Nrg1 Pgr15l Ppic Ptgs2 Rtp4 Sall4 Scn11a Sele Serpinb11 Serpinb6e Sh2d1b1 Sh3tc1 Sirpa Slc16a12 Slc2a2 Slc5a9 Slc7a8 Slit3 Sohlh1 Tmem171 Tmprss11e Trp73 Trpm1 Ttn Twist1
Nr1d1	Th17_upOnly.txt	Th17_upOnly	1170	up	89	69	0.0	0.0	1700025G04Rik 2310007L24Rik Abi3 Acsl4 Adam8 Adap1 Aloxe3 Aqp3 Art2a-ps Asph Atp6v0d2 Atrnl1 Avpi1 B3galt2 Car5b Ccr1 Cd24a Cldn4 Clgn Crispld2 Cysltr1 Dab2 Dgkg Dlg2 Dpy19l3 Dysf Efemp2 Fhod3 Furin Gap43 Gja3 Gjc2 Glis1 Havcr1 Il17a Il17f Il17re Il1r1 Il22 Il23r Impg2 Itga5 Kcnq2 Ltb4r1 Lum Mc2r Ndst1 Ninj1 Nxf7 Olfr175-ps1 Olfr525 Olfr536 Pkp3 Ppp1r14c Ptprf Sgip1 Ski Slc4a11 Smox Stard8 Tcf7l1 Thra Tnfrsf25 Tnk2 Tox2 Upp1 Vax2 Wdfy2 Xylt2
Vax2	Th17_upOnly.txt	Th17_upOnly	1170	up	172	99	0.0	0.0	2310007L24Rik Abat Abhd15 Adam12 Adam8 Adcy4 Akr1cl Arhgef40 Armcx6 Atp6v1b1 Avpi1 B3galt2 Bik Btbd3 Capg Ccdc63 Ccl20 Cpne6 Cxcl3 Cyp26b1 Cysltr1 Cysltr2 Dab2 Dlg2 Dnajc6 Enpp3 Entpd2 Eps8 Fam131b Fam184b Fes Fgf16 Fndc3c1 Foxf2 Furin Gab2 Galnt3 Gap43 Gcnt2 Gja3 Gja5 Glis1 Gm11992 Grk5 Il12rb1 Il17a Il17f Il17re Il23r Itga3 Itpka Iyd Krt18 Ltb Ltb4r1 Lyl1 Lzts1 Mab21l2 Marveld1 Mc2r Mpp3 Myo1f Myof Nav2 Ncam1 Ndst1 Nxf7 Nynrin Olfr525 Olfr527 Paqr8 Pde6d Pgf Plekhf1 Pltp Podnl1 Ppp1r14c Ppp4r4 Procr Rab39b Rbp4 S1pr2 Sema6d Serpinb1a Sirt2 Spp1 Spred3 Srxn1 Stard8 Tead3 Tgfbr3 Tmigd1 Tspan6 Tst Ttc39c Upp1 Wdfy2 Wwp1 Zfp334
Rorc	Th17_upOnly.txt	Th17_upOnly	1170	up	65	50	0.0	0.0	1700025G04Rik 2310007L24Rik Abat Acox3 Adam12 Adarb1 Adcy4 Art2a-ps B3galt2 B4galnt4 Batf C2cd4d Ccdc63 Cd5l Chm Cpd Crispld2 Cyp1b1 Cyth4 Dab2 Dpy19l3 Ebf1 Ern1 Fndc3c1 Gja5 Gm6225 Il17a Il17f Il17re Il1r1 Il23r Impg2 Itga3 Kcnmb4 Lingo4 Lpp Ltb4r1 Maf Mc2r Myo10 Nlrp3 Procr Sirt2 Smox Tec Tnfrsf25 Tspan5 Tspan6 Wdfy2 Xkrx
Nfat5	Th17_downOnly.txt	Th17_downOnly	1248	up	213	127	0.0	0.0	2900026A02Rik 4930506M07Rik Angpt1 Ankk1 Ankrd13c Arhgef6 Arnt2 Atp8b4 Atxn1 Bmp2 Cacna1c Cacna1s Calcrl Casp3 Cav2 Ccdc3 Ccdc80 Ccl22 Ccl3 Ccl9 Cd226 Cd70 Cdc14a Cdkn2a Celf2 Clec7a Csf2 Csgalnact1 Cxcl16 D430041D05Rik Dcp2 Dgki Dusp6 Edn3 Ell2 Eml6 Emr1 Evi2a Fa2h Fam111a Fam160a1 Fam53b Fam84a Filip1l Gdf3 Gfod1 Glt28d2 Gm10389 Gm4858 Gramd1b Grap Hapln1 Havcr2 Hdac9 Icosl Ifih1 Il13 Il5 Inpp4a Inpp4b Iqcf3 Itgb3 Jak2 Kcnk10 Kcnmb1 Kif13b Lin7a Mbp Mdga2 Mmd Mpzl3 Nbea Ncoa7 Nid1 Nrip1 Nrp2 Olr1 Ormdl1 Ostn Oxct1 Pank1 Pde7a Pde8a Penk Pgap1 Pgr15l Phlpp1 Phtf2 Plcl1 Pou2f2 Prickle1 Prkca Pten Ptger3 Qser1 Rai14 Rasgrp1 Rel Rilpl2 Rims2 Rnf135 Scml4 Serpinb11 Slc29a3 Slc6a11 Slco4a1 Slit3 Spin4 St18 Stap1 Stat4 Stxbp6 Sytl5 Tmem120b Tmem229b Tmem63c Tmprss11e Tnfaip8 Tnfsf11 Trp73 Trpa1 Tspan3 Ttn Twist1 Vav2 Vps13a Zdhhc15
Zbtb46	Th17_downOnly.txt	Th17_downOnly	1248	up	90	79	0.0	0.0	8430427H17Rik 9230114K14Rik AI414108 Aard Adck3 Adm Ankrd33b Arc Arhgap22 Atp11a Bco2 C2cd4b Ccdc141 Ccdc148 Ccl22 Cd180 Cd44 Cd70 Cd74 Cd80 Cd83 Dcxr Dlc1 Dll1 Dusp14 Eci1 Eomes Fam160a1 Fam78b Fn1 Gpr34 Hspg2 Idi2 Igsf9b Ikbke Il12a Irf5 Kif13b Lad1 Mreg Ncf1 Nid1 Ntrk3 Osr2 P2rx5 Pappa2 Penk Phlda3 Pla2g4f Ppap2a Rab34 Rhbdf1 Rhod Ripk2 Rnf135 Rufy3 Scin Serpinb6b Serpinb9 Serpinb9b Serpinc1 Serpine2 Slc1a2 Sp6 Stap2 Tal2 Ticam2 Tmem120b Tnc Tnfrsf11a Tnfsf15 Tnfsf4 Tnni1 Twist1 Vav2 Wnt3 Zbtb10 Zfp105 Zfp651
Tal2	Th17_downOnly.txt	Th17_downOnly	1248	up	130	86	0.0	0.0	Abcb1b Acsl5 Adm Akap2 Amigo2 Armcx2 C1ql3 Cacna1s Cacna2d1 Cadm1 Calcr Ccl3 Ccl4 Cd74 Cd80 Cd96 Cmtm7 Ctss Cyr61 Dgkk Dmxl2 Dsp Emr1 Endod1 Fap Fbn2 Fermt2 Galm Glipr1 Gpr176 Gramd1b Hdac9 Hist2h4 Hopx Hspg2 Ifih1 Ifitm2 Ifitm5 Igfbp7 Il15ra Kif13b Lrmp Maged1 Mbp Mlf1 Mnda Myh7 Nid1 Nkx1-2 Nppc Nrn1 Nsun6 Nt5e Ostn Otx1 Oxct1 Pdzrn3 Pla1a Pms1 Pnoc Prkca Rassf4 Rhbdf1 Rhbdl3 Rimklb Scin Serpinc1 Serpine2 Slc16a8 Slc1a2 Slit3 Snx11 Spry2 Sspo St8sia6 Stat4 Sult2b1 Tmcc2 Tmem19 Tmem38b Tnfrsf13c Unc13b Wisp1 Wnt10a Wnt6 Zhx2
Pou6f1	Th17_upOnly.txt	Th17_upOnly	1170	up	106	77	0.0	0.0	Abcb9 Ablim2 Adamtsl5 Anxa4 Aph1b Aplp1 Arhgef10 Arl4c C920009B18Rik Ccr5 Cdh17 Chn1 Cpox Crybg3 Cul9 Cwh43 Cxcr4 Cyfip2 Cyp1b1 Cysltr1 Efemp2 Eif4e3 Emb Entpd1 Fam131b Fam19a3 Flot2 Gad2 Galnt3 Gatm Gcnt2 Gm11346 Gm5127 Gpr15 Gpr18 Grb7 H2-Ob Kcnab3 Klrd1 Klre1 Ly6c1 Mapk3 Marveld1 Mctp2 Mt2 Mxd1 Myh3 Myo1f Myo1h Npdc1 Nrbp2 Obsl1 Pde2a Pdpn Pltp Ppm1j Prf1 Procr Rbpj Runx2 Sema4f Sesn3 Sipa1l2 Slc4a11 Spp1 Spred3 Tgfbi Tmem163 Tmem176a Trib2 Tspan5 Txk Upb1 Upp1 Ust Vps37b Ypel3
Eomes	Th17_downOnly.txt	Th17_downOnly	1248	up	74	54	0.0	0.0	2010109I03Rik 2810459M11Rik Abcb1a Agr3 Akap2 Amigo2 Arc Arl4d Bace2 Bcl6b C1ql3 C2cd4b Cadm1 Ccdc148 Ccl3 Ccr7 Csf2rb Cyth3 Dcaf17 Dhrs3 Eno3 Fam78b Fam81a Glipr1 Gng4 Idi2 Ifih1 Itga4 Klf12 Ms4a4b Ms4a4c Mx2 Nebl P2ry14 Pcsk1 Pla2g4f Plb1 Psme2 Qser1 Rtn1 Scin Serpinc1 Slc16a11 Slc1a2 Slc23a2 Slc5a11 Smpdl3b Stk4 Ticam2 Tlk1 Tlr7 Trat1 Trpa1 Wisp1
Gli3	Th17_upOnly.txt	Th17_upOnly	1170	up	91	74	0.0	0.0	2900011O08Rik 4932438H23Rik Abcc3 Abhd15 Acox3 Adam19 Adcy4 Ahrr Arid5a Art2a-ps BC029722 Casr Ccdc63 Ccdc87 Cd5l Cdyl2 Chd7 Cwh43 Cyp1b1 Cysltr1 Ddr1 Ehd4 Enah F3 Fam69b Fbxl21 Fndc3c1 Foxf2 Gja5 Gpr15 Il10 Il17a Il17f Il17re Il1rn Il24 Il9 Ildr1 Iyd Klrd1 Klre1 Lbp Lgr4 Met Myof Nhs Nkx3-1 Npr3 Pde1a Pml Ppp1r14c Ppp4r4 Procr Ptprf Rab20 Samd1 Sdc3 Sgk1 Slc12a3 Slc24a3 Slc4a8 Slco3a1 Tgm2 Timp1 Tmeff1 Tmem125 Tmem176b Tnfrsf25 Tox2 Trim9 Trp53i13 Tspan5 Tst Wdr81
