TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	1	50.88	0.883	rgb(227, 48, 50)	2	None
Hif1a	Ero1l	0.99774	50.85	0.852	rgb(226, 54, 56)	1.9994	None
Hif1a	1190002N15Rik	0.99547	50.84	0.838	rgb(226, 57, 59)	1.9992	None
Hif1a	Bnip3	0.99547	50.84	0.844	rgb(226, 56, 57)	1.9992	None
Hif1a	Sap30	0.99547	50.84	0.836	rgb(226, 57, 59)	1.9992	None
Hif1a	Pgm2	0.99321	50.82	0.816	rgb(226, 61, 63)	1.9988	None
Hif1a	Slc2a1	0.99321	50.82	0.817	rgb(226, 61, 63)	1.9988	2,2
Hif1a	2310022B05Rik	0.99094	50.79	0.785	rgb(226, 67, 69)	1.9982	2,2
Hif1a	Jmjd6	0.99094	50.79	0.786	rgb(226, 67, 68)	1.9982	None
E2f4	Mxd3	0.98868	50.77	0.771	rgb(225, 70, 71)	1.9978	None
Hif1a	P4hb	0.98868	50.77	0.769	rgb(225, 70, 72)	1.9978	2,2
Rela	Sh3kbp1	0.98868	50.77	0.768	rgb(225, 70, 72)	1.9978	None
Hif1a	Arrb1	0.98641	50.76	0.759	rgb(225, 72, 74)	1.9976	None
Hif1a	Narf	0.98641	50.76	0.76	rgb(225, 72, 73)	1.9976	None
Hif1a	Smtnl2	0.98641	50.76	0.758	rgb(225, 72, 74)	1.9976	2,2
Zfp385a	Eng	0.98641	50.76	0.762	rgb(225, 71, 73)	1.9976	2,2
Zfp385a	Zfp365	0.98641	50.76	0.763	rgb(225, 71, 73)	1.9976	2,2
Nr1d1	Inpp5b	0.98415	50.75	0.749	rgb(225, 74, 75)	1.9974	2,2
Sall4	Foxp3	0.98415	50.75	0.753	rgb(225, 73, 75)	1.9974	None
Zfp429	Megf8	-0.98415	50.75	-7.5E-01	rgb( 55,118,245)	1.9974	2,2
Zfp536	Tekt2	0.98415	50.75	0.753	rgb(225, 73, 75)	1.9974	2,2
