TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Srebf2	Dhcr24	1	50.92	0.918	rgb(227, 42, 44)	2	None
Gm14420	Gm2011	0.99659	50.91	0.915	rgb(227, 42, 44)	1.9998	2,2
Irf1	Nlrc5	0.99319	50.88	0.876	rgb(227, 50, 52)	1.9992	2,2
Sp2	Synj1	0.98978	50.86	0.861	rgb(226, 53, 54)	1.9988	None
Egr1	Egr3	0.98637	50.85	0.849	rgb(226, 55, 57)	1.9986	None
Irf1	Tbx21	0.98637	50.85	0.855	rgb(226, 54, 55)	1.9986	2,2
Nr1h2	Gen1	-0.98637	50.85	-8.5E-01	rgb( 32,104,249)	1.9986	None
Tcf3	Pdcd1lg2	-0.98637	50.85	-8.5E-01	rgb( 33,105,249)	1.9986	None
Zbed6	Zfp445	0.98297	50.84	0.838	rgb(226, 57, 59)	1.9984	None
C030039L03Rik	Ankzf1	0.97956	50.83	0.831	rgb(226, 58, 60)	1.9982	2,2
Cebpg	Slc7a3	0.97615	50.82	0.815	rgb(226, 61, 63)	1.998	None
Ddit3	Aldh1l2	0.97615	50.82	0.823	rgb(226, 60, 61)	1.998	None
Smad3	Rnf149	0.97275	50.81	0.807	rgb(226, 63, 65)	1.9978	None
Sox5	Serpinf1	0.97275	50.81	0.811	rgb(226, 62, 64)	1.9978	None
Sp2	Pla2g4c	0.97275	50.81	0.808	rgb(226, 63, 64)	1.9978	None
Tbx21	Tbkbp1	0.97275	50.81	0.812	rgb(226, 62, 63)	1.9978	2,2
Ahrr	Cyp1b1	0.96934	50.8	0.804	rgb(226, 63, 65)	1.9976	None
Irf7	Ifit1	0.96934	50.8	0.802	rgb(226, 64, 65)	1.9976	None
Sp2	Arhgap33	0.96934	50.8	0.802	rgb(226, 64, 65)	1.9976	None
Rorc	Lingo4	0.96934	50.8	0.796	rgb(226, 65, 66)	1.9976	2,2
Sp110	Cdkn2d	0.96934	50.8	0.795	rgb(226, 65, 67)	1.9976	2,2
Zfp536	Lpin3	0.96934	50.8	0.797	rgb(226, 65, 66)	1.9976	2,2
Cebpg	Chac1	0.96593	50.79	0.785	rgb(226, 67, 69)	1.9974	None
Irf9	Irf7	0.96593	50.79	0.793	rgb(226, 65, 67)	1.9974	None
Sp2	C2cd3	0.96593	50.79	0.79	rgb(226, 66, 68)	1.9974	None
