TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.91	0.915	rgb(227, 42, 44)	2	2,2
Rorc	Lingo4	0.9966	50.9	0.901	rgb(227, 45, 47)	1.9998	2,2
Hif1a	Ero1l	0.99321	50.81	0.814	rgb(226, 62, 63)	1.998	None
Zic2	C330018D20Rik	-0.98981	50.8	-8.0E-01	rgb( 43,111,247)	1.9978	None
Hif1a	Rab33a	0.98642	50.79	0.79	rgb(226, 66, 68)	1.9976	None
Deaf1	Yy2	0.98302	50.78	0.776	rgb(226, 69, 70)	1.9974	None
Epas1	Egln1	0.98302	50.78	0.776	rgb(226, 69, 70)	1.9974	None
Hif1a	Slc2a3	0.98302	50.78	0.779	rgb(226, 68, 70)	1.9974	None
Zfp367	Dtl	0.98302	50.78	0.776	rgb(226, 69, 70)	1.9974	2,2
Irf9	Notch2	0.97963	50.77	0.772	rgb(225, 70, 71)	1.9972	2,2
C030039L03Rik	Gapdhs	0.97623	50.76	0.762	rgb(225, 72, 73)	1.997	2,2
Crem	Hk2	-0.97284	50.75	-7.5E-01	rgb( 54,118,246)	1.9968	None
Hif1a	1700001L05Rik	0.97284	50.75	0.753	rgb(225, 73, 75)	1.9968	2,2
Hif1a	2310022B05Rik	0.97284	50.75	0.754	rgb(225, 73, 75)	1.9968	None
Hif1a	Bend5	0.97284	50.75	0.749	rgb(225, 74, 76)	1.9968	None
Klf4	Anxa4	0.97284	50.75	0.747	rgb(225, 74, 76)	1.9968	None
Atf6	Lamc1	0.97284	50.75	0.748	rgb(225, 74, 76)	1.9968	2,2
Zfp467	Sspo	0.97284	50.75	0.747	rgb(225, 74, 76)	1.9968	2,2
Hif1a	Egln1	0.96944	50.74	0.737	rgb(225, 76, 78)	1.9966	None
Hif1a	Rab39	0.96944	50.74	0.743	rgb(225, 75, 77)	1.9966	None
Pparg	Sh2b2	0.96944	50.74	0.744	rgb(225, 75, 76)	1.9966	None
