TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.91	0.912	rgb(227, 43, 45)	2	2,2
Irf7	Rtp4	0.99863	50.89	0.886	rgb(227, 48, 50)	1.9996	2,2
Irf1	Nlrc5	0.99727	50.87	0.868	rgb(227, 51, 53)	1.9992	2,2
Sp110	Cdkn2d	0.9959	50.83	0.83	rgb(226, 58, 60)	1.9984	2,2
Srebf1	Fads2	0.99453	50.81	0.809	rgb(226, 62, 64)	1.998	2,2
Irf9	Irf7	0.99316	50.8	0.8	rgb(226, 64, 66)	1.9978	2,2
Zfp367	Dtl	0.99316	50.8	0.804	rgb(226, 63, 65)	1.9978	2,2
Maf	Stab1	0.9918	50.79	0.789	rgb(226, 66, 68)	1.9976	None
Irf7	Rsad2	0.9918	50.79	0.788	rgb(226, 67, 68)	1.9976	2,2
Mxd3	Cdc25b	0.9918	50.79	0.791	rgb(226, 66, 67)	1.9976	2,2
Irf7	Xaf1	0.99043	50.78	0.783	rgb(226, 67, 69)	1.9974	2,2
Nr4a1	Nr4a3	0.99043	50.78	0.783	rgb(226, 67, 69)	1.9974	2,2
Rorc	Lingo4	0.98906	50.77	0.766	rgb(225, 71, 72)	1.9972	2,2
Nfkb2	Psd	0.98906	50.77	0.771	rgb(225, 70, 71)	1.9972	2,2
Irf1	Tbx21	0.9877	50.76	0.757	rgb(225, 72, 74)	1.997	2,2
Irf7	I830012O16Rik	0.9877	50.76	0.759	rgb(225, 72, 74)	1.997	2,2
Irf7	Ifit1	0.9877	50.76	0.763	rgb(225, 71, 73)	1.997	2,2
Zfp367	Rpa2	0.9877	50.76	0.759	rgb(225, 72, 74)	1.997	2,2
Ahrr	Cyp1b1	0.98633	50.75	0.747	rgb(225, 74, 76)	1.9968	2,2
Irf7	Ifit3	0.98496	50.74	0.738	rgb(225, 76, 77)	1.9966	2,2
Whsc1	Fancm	0.98496	50.74	0.736	rgb(225, 76, 78)	1.9966	2,2
Zfp385a	Zmat3	0.98496	50.74	0.741	rgb(225, 75, 77)	1.9966	2,2
Elk3	Capg	0.9836	50.73	0.728	rgb(225, 78, 79)	1.9964	2,2
Irf1	Igtp	0.9836	50.73	0.733	rgb(225, 77, 78)	1.9964	2,2
Irf7	Mx1	0.9836	50.73	0.735	rgb(225, 77, 78)	1.9964	2,2
Srebf1	Insig1	0.9836	50.73	0.727	rgb(225, 78, 80)	1.9964	2,2
Zfp385a	Eng	0.9836	50.73	0.727	rgb(225, 78, 80)	1.9964	2,2
Etv6	Ncs1	0.98223	50.72	0.717	rgb(225, 80, 81)	1.9962	None
Srebf2	Dhcr24	0.98223	50.72	0.717	rgb(225, 80, 82)	1.9962	2,2
Rorc	C2cd4d	0.98086	50.71	0.707	rgb(225, 82, 83)	1.996	None
Foxs1	Mylk2	0.98086	50.71	0.707	rgb(225, 82, 83)	1.996	2,2
Irf1	Gbp4	0.98086	50.71	0.713	rgb(225, 81, 82)	1.996	2,2
Zfp385a	Abhd4	0.98086	50.71	0.707	rgb(225, 82, 83)	1.996	2,2
Irf1	Fam26f	0.97949	50.7	0.704	rgb(225, 83, 84)	1.9958	2,2
Kdm2b	Mxd1	-0.97949	50.7	-7.0E-01	rgb( 65,125,244)	1.9958	2,2
Sp110	Gbp6	0.97949	50.7	0.703	rgb(225, 83, 84)	1.9958	2,2
Tulp3	Tbc1d14	0.97949	50.7	0.697	rgb(225, 84, 85)	1.9958	2,2
Zfp467	Sspo	0.97949	50.7	0.702	rgb(225, 83, 84)	1.9958	2,2
Maf	Fam20a	0.97813	50.69	0.694	rgb(225, 85, 86)	1.9956	None
Irf1	Gbp10	0.97813	50.69	0.695	rgb(225, 84, 86)	1.9956	2,2
Irf1	Gbp7	0.97813	50.69	0.694	rgb(225, 85, 86)	1.9956	2,2
Tead1	Nupr1	0.97813	50.69	0.691	rgb(225, 85, 86)	1.9956	2,2
Hif1a	Chm	0.97676	50.68	0.68	rgb(224, 87, 88)	1.9954	None
Cebpg	Pck2	0.97676	50.68	0.678	rgb(224, 88, 89)	1.9954	2,2
Irf7	2010002M12Rik	0.97676	50.68	0.684	rgb(225, 86, 88)	1.9954	2,2
Osr2	Serpinb1b	0.97676	50.68	0.685	rgb(225, 86, 88)	1.9954	2,2
Prrx1	Cav1	0.97676	50.68	0.677	rgb(224, 88, 89)	1.9954	2,2
Sp110	Bcl2a1b	0.97676	50.68	0.683	rgb(225, 87, 88)	1.9954	2,2
Zeb2	Srxn1	0.97676	50.68	0.676	rgb(224, 88, 89)	1.9954	2,2
Zfp202	Dusp12	0.97676	50.68	0.678	rgb(224, 88, 89)	1.9954	2,2
Zfp367	Exo1	0.97676	50.68	0.676	rgb(224, 88, 89)	1.9954	2,2
Zfp629	Ttbk2	0.97676	50.68	0.682	rgb(224, 87, 88)	1.9954	2,2
Irf4	Abcd3	-0.97539	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	None
Irf4	Atp8b4	-0.97539	50.67	-6.7E-01	rgb( 71,128,243)	1.9952	None
Irf4	Crtam	-0.97539	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	None
Rorc	Ccdc63	0.97539	50.67	0.667	rgb(224, 90, 91)	1.9952	None
C030039L03Rik	Atp7b	0.97539	50.67	0.669	rgb(224, 89, 91)	1.9952	2,2
Epas1	Gata3	0.97539	50.67	0.674	rgb(224, 88, 90)	1.9952	2,2
Irf1	Gbp5	0.97539	50.67	0.666	rgb(224, 90, 91)	1.9952	2,2
Irf7	Mx2	0.97539	50.67	0.667	rgb(224, 90, 91)	1.9952	2,2
Rest	Rbm15	0.97539	50.67	0.67	rgb(224, 89, 90)	1.9952	2,2
Sp110	Ly6c1	0.97539	50.67	0.672	rgb(224, 89, 90)	1.9952	2,2
Sp4	Exoc6	0.97539	50.67	0.672	rgb(224, 89, 90)	1.9952	2,2
Vax2	Il17re	0.97539	50.67	0.667	rgb(224, 90, 91)	1.9952	2,2
Whsc1	Exo1	0.97539	50.67	0.666	rgb(224, 90, 91)	1.9952	2,2
Zfp429	Megf8	-0.97539	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	2,2
Atf6b	Crip1	-0.97403	50.66	-6.6E-01	rgb( 73,130,242)	1.995	2,2
Jun	Kdelc2	-0.97403	50.66	-6.6E-01	rgb( 73,129,242)	1.995	2,2
Klf2	Sell	0.97403	50.66	0.663	rgb(224, 90, 92)	1.995	2,2
Zfp329	Neat1	0.97403	50.66	0.659	rgb(224, 91, 92)	1.995	2,2
Zhx1	Ptprc	0.97403	50.66	0.657	rgb(224, 92, 93)	1.995	2,2
Maf	Aqp3	0.97266	50.65	0.652	rgb(224, 92, 94)	1.9948	None
C030039L03Rik	Per2	0.97266	50.65	0.652	rgb(224, 92, 94)	1.9948	2,2
Cbx2	Cmtm4	0.97266	50.65	0.65	rgb(224, 93, 94)	1.9948	2,2
Irf7	Oas1b	0.97266	50.65	0.648	rgb(224, 93, 95)	1.9948	2,2
Nr4a3	Nr4a1	0.97266	50.65	0.647	rgb(224, 93, 95)	1.9948	2,2
Patz1	Mboat7	0.97266	50.65	0.651	rgb(224, 93, 94)	1.9948	2,2
Vax2	Avpi1	0.97266	50.65	0.649	rgb(224, 93, 94)	1.9948	2,2
Zfp367	Cenpm	0.97266	50.65	0.651	rgb(224, 93, 94)	1.9948	2,2
Zfp385a	Ptp4a3	0.97266	50.65	0.653	rgb(224, 92, 94)	1.9948	2,2
Zfp429	Apold1	-0.97266	50.65	-6.5E-01	rgb( 76,131,242)	1.9948	2,2
Zfp948	Ankrd23	0.97266	50.65	0.648	rgb(224, 93, 95)	1.9948	2,2
Fosl2	Tbc1d30	0.97129	50.64	0.635	rgb(224, 96, 97)	1.9946	None
Rorc	Batf	0.97129	50.64	0.638	rgb(224, 95, 96)	1.9946	None
Cebpg	Gpt2	0.97129	50.64	0.639	rgb(224, 95, 96)	1.9946	2,2
Dzip1	Uggt2	0.97129	50.64	0.638	rgb(224, 95, 96)	1.9946	2,2
Epas1	Gsn	0.97129	50.64	0.637	rgb(224, 95, 97)	1.9946	2,2
Foxs1	Vax2	0.97129	50.64	0.645	rgb(224, 94, 95)	1.9946	2,2
Ikzf4	Treml2	0.97129	50.64	0.636	rgb(224, 96, 97)	1.9946	2,2
Irf1	Erap1	0.97129	50.64	0.643	rgb(224, 94, 95)	1.9946	2,2
Irf1	Gbp6	0.97129	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Irf1	Tgtp2	0.97129	50.64	0.64	rgb(224, 95, 96)	1.9946	2,2
Irf5	Gna15	0.97129	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Irf7	Gbp9	0.97129	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Plagl1	Cd180	0.97129	50.64	0.635	rgb(224, 96, 97)	1.9946	2,2
Pou6f1	Ust	0.97129	50.64	0.637	rgb(224, 95, 97)	1.9946	2,2
Sp110	Max	0.97129	50.64	0.644	rgb(224, 94, 95)	1.9946	2,2
Stat1	Slain1	0.97129	50.64	0.638	rgb(224, 95, 96)	1.9946	2,2
Vax2	Abhd15	0.97129	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Zfp367	Apitd1	0.97129	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Fosl2	L3mbtl3	-0.96993	50.63	-6.3E-01	rgb( 80,134,241)	1.9944	None
Fosl2	Zfp473	0.96993	50.63	0.625	rgb(224, 98, 99)	1.9944	None
C030039L03Rik	Ankzf1	0.96993	50.63	0.628	rgb(224, 97, 98)	1.9944	2,2
Cebpg	Psph	0.96993	50.63	0.625	rgb(224, 98, 99)	1.9944	2,2
Cebpg	Trib3	0.96993	50.63	0.629	rgb(224, 97, 98)	1.9944	2,2
Creb3l2	Syn1	0.96993	50.63	0.634	rgb(224, 96, 97)	1.9944	2,2
Kdm2b	Slco4a1	0.96993	50.63	0.629	rgb(224, 97, 98)	1.9944	2,2
Mybl1	4632434I11Rik	0.96993	50.63	0.627	rgb(224, 97, 98)	1.9944	2,2
Pknox1	Got1	-0.96993	50.63	-6.3E-01	rgb( 80,134,241)	1.9944	2,2
Sgsm2	Tert	0.96993	50.63	0.627	rgb(224, 97, 99)	1.9944	2,2
Tcf12	Mycbp2	0.96993	50.63	0.629	rgb(224, 97, 98)	1.9944	2,2
Whsc1	Anln	0.96993	50.63	0.627	rgb(224, 97, 99)	1.9944	2,2
Zfp467	Wnt10a	0.96993	50.63	0.631	rgb(224, 96, 98)	1.9944	2,2
Irf4	Nrgn	-0.96856	50.62	-6.2E-01	rgb( 83,136,240)	1.9942	None
Rorc	Fut7	0.96856	50.62	0.62	rgb(224, 99,100)	1.9942	None
C030039L03Rik	Gapdhs	0.96856	50.62	0.617	rgb(224, 99,100)	1.9942	2,2
Cebpg	Slc7a3	0.96856	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
