M00044_2.00	FOXP3
M00056_2.00	ARX
M00056_2.00	ALX4
M00056_2.00	VSX1
M00056_2.00	NOBOX
M00056_2.00	PHOX2B
M00056_2.00	PRRX1
M00056_2.00	VSX2
M00056_2.00	MSX2
M00056_2.00	ESX1
M00056_2.00	RAX
M00056_2.00	ALX3
M00056_2.00	EN1
M00056_2.00	MSX1
M00056_2.00	HESX1
M00056_2.00	EN2
M00056_2.00	UNCX
M00056_2.00	GBX1
M00056_2.00	PHOX2A
M00056_2.00	DRGX
M00056_2.00	PRRX2
M00056_2.00	GBX2
M00056_2.00	SHOX2
M00056_2.00	OTP
M00056_2.00	RAX2
M00056_2.00	PROP1
M00056_2.00	ISX
M00056_2.00	ALX1
M00056_2.00	MIXL1
M00056_2.00	SHOX
M00056_2.00	SEBOX
M00060_2.00	HSF2
M00060_2.00	HSF4
M00066_2.00	RFX3
M00066_2.00	RFX2
M00066_2.00	RFX4
M00066_2.00	RFX1
M00070_2.00	SOX8
M00070_2.00	CIC
M00070_2.00	SOX10
M00070_2.00	SOX6
M00070_2.00	SOX4
M00070_2.00	SOX21
M00070_2.00	SOX9
M00070_2.00	SOX15
M00070_2.00	SOX5
M00070_2.00	SOX3
M00070_2.00	SOX13
M00070_2.00	SOX17
M00070_2.00	SOX14
M00070_2.00	SOX7
M00070_2.00	SOX11
M00070_2.00	SOX12
M00070_2.00	SOX2
M00070_2.00	SOX1
M00070_2.00	SRY
M00070_2.00	SOX18
