TF	Target	Weight
ALX1	AAK1	1
ALX1	AC004691.5	1
ALX1	AC004862.6	1
ALX1	AC006196.1	1
ALX1	AC009948.5	1
ALX1	AC012379.1	1
ALX1	AC019080.1	1
ALX1	AC073850.6	1
ALX1	AC074286.1	1
ALX1	AC084117.3	1
ALX1	AC092431.2	1
ALX1	AC099326.1	1
ALX1	AC130709.1	1
ALX1	ADCY1	1
ALX1	AL035697.1	1
ALX1	AL592494.5	1
ALX1	ANKRD32	1
ALX1	ANXA4	1
ALX1	AP003354.1	1
ALX1	APLF	1
ALX1	AQP1	1
ALX1	ARHGAP42P5	1
ALX1	AZIN1	1
ALX1	C19orf82	1
ALX1	C4BPAP2	1
ALX1	C9orf47	1
ALX1	CD36	1
ALX1	CREG1	1
ALX1	CSTF3	1
ALX1	CTC-303L1.2	1
ALX1	CTD-2033A16.1	1
ALX1	CTD-2301A4.3	1
ALX1	CTD-2301A4.5	1
ALX1	EID1	1
ALX1	FAM188B	1
ALX1	FBXO48	1
ALX1	FREM1	1
ALX1	GNAT3	1
ALX1	HIF1AN	1
ALX1	IDO1	1
ALX1	IDO2	1
ALX1	INMT-FAM188B	1
ALX1	KB-1254G8.1	1
ALX1	KB-1507C5.2	1
ALX1	KIAA0825	1
ALX1	LDHA	1
ALX1	LDHC	1
ALX1	MAPK1	1
ALX1	MIR3159	1
ALX1	MITF	1
ALX1	MXD3	1
ALX1	NDUFB8	1
ALX1	NFAT5	1
ALX1	NFE2L2	1
ALX1	NQO1	1
ALX1	NSD1	1
ALX1	PABPC1P13	1
ALX1	PARK2	1
ALX1	PAWR	1
ALX1	PFDN4	1
ALX1	PIGCP1	1
ALX1	POTED	1
ALX1	PPP1R12A	1
ALX1	PRELID1	1
ALX1	PRKRA	1
ALX1	RAB24	1
ALX1	RN7SL418P	1
ALX1	RN7SL487P	1
ALX1	RN7SL604P	1
ALX1	RNA5SP493	1
ALX1	RNU6-1260P	1
ALX1	RNU6-286P	1
ALX1	RP11-138E16.1	1
ALX1	RP11-235E17.5	1
ALX1	RP11-23F23.2	1
ALX1	RP11-30L15.4	1
ALX1	RP11-311C24.1	1
ALX1	RP11-326A13.1	1
ALX1	RP11-337N6.1	1
ALX1	RP11-337N6.2	1
ALX1	RP11-343N15.2	1
ALX1	RP11-44K6.2	1
ALX1	RP11-44K6.3	1
ALX1	RP11-44K6.4	1
ALX1	RP11-44K6.5	1
ALX1	RP11-530C5.1	1
ALX1	RP11-536C10.12	1
ALX1	RP11-536C10.13	1
ALX1	RP11-536C10.16	1
ALX1	RP11-536C10.7	1
ALX1	RP11-626K17.5	1
ALX1	RP11-77O7.1	1
ALX1	RP11-82L18.4	1
ALX1	RPL5P24	1
ALX1	S1PR3	1
ALX1	SEC31B	1
ALX1	SHC3	1
ALX1	SHC4	1
ALX1	SHPK	1
ALX1	SNORA36C	1
ALX1	snoU13	1
ALX1	SNRPBP1	1
ALX1	TCEA1	1
ALX1	TCP11L1	1
ALX1	TUBGCP4	1
ALX1	U95743.1	1
ALX1	WNT8B	1
ALX1	Y_RNA	1
ALX1	ZKSCAN2	1
ALX1	ZNF562	1
ALX1	ZSCAN29	1
ALX3	AAK1	1
ALX3	AC004691.5	1
ALX3	AC004862.6	1
ALX3	AC006196.1	1
ALX3	AC009948.5	1
ALX3	AC012379.1	1
ALX3	AC019080.1	1
ALX3	AC073850.6	1
ALX3	AC074286.1	1
ALX3	AC084117.3	1
ALX3	AC092431.2	1
ALX3	AC099326.1	1
ALX3	AC130709.1	1
ALX3	ADCY1	1
ALX3	AL035697.1	1
ALX3	AL592494.5	1
ALX3	ANKRD32	1
ALX3	ANXA4	1
ALX3	AP003354.1	1
ALX3	APLF	1
ALX3	AQP1	1
ALX3	ARHGAP42P5	1
ALX3	AZIN1	1
ALX3	C19orf82	1
ALX3	C4BPAP2	1
ALX3	C9orf47	1
ALX3	CD36	1
ALX3	CREG1	1
ALX3	CSTF3	1
ALX3	CTC-303L1.2	1
ALX3	CTD-2033A16.1	1
ALX3	CTD-2301A4.3	1
ALX3	CTD-2301A4.5	1
ALX3	EID1	1
ALX3	FAM188B	1
ALX3	FBXO48	1
ALX3	FREM1	1
ALX3	GNAT3	1
ALX3	HIF1AN	1
ALX3	IDO1	1
ALX3	IDO2	1
ALX3	INMT-FAM188B	1
ALX3	KB-1254G8.1	1
ALX3	KB-1507C5.2	1
ALX3	KIAA0825	1
ALX3	LDHA	1
ALX3	LDHC	1
ALX3	MAPK1	1
ALX3	MIR3159	1
ALX3	MITF	1
ALX3	MXD3	1
ALX3	NDUFB8	1
ALX3	NFAT5	1
ALX3	NFE2L2	1
ALX3	NQO1	1
ALX3	NSD1	1
ALX3	PABPC1P13	1
ALX3	PARK2	1
ALX3	PAWR	1
ALX3	PFDN4	1
ALX3	PIGCP1	1
ALX3	POTED	1
ALX3	PPP1R12A	1
ALX3	PRELID1	1
ALX3	PRKRA	1
ALX3	RAB24	1
ALX3	RN7SL418P	1
ALX3	RN7SL487P	1
ALX3	RN7SL604P	1
ALX3	RNA5SP493	1
ALX3	RNU6-1260P	1
ALX3	RNU6-286P	1
ALX3	RP11-138E16.1	1
ALX3	RP11-235E17.5	1
ALX3	RP11-23F23.2	1
ALX3	RP11-30L15.4	1
ALX3	RP11-311C24.1	1
ALX3	RP11-326A13.1	1
ALX3	RP11-337N6.1	1
ALX3	RP11-337N6.2	1
ALX3	RP11-343N15.2	1
ALX3	RP11-44K6.2	1
ALX3	RP11-44K6.3	1
ALX3	RP11-44K6.4	1
ALX3	RP11-44K6.5	1
ALX3	RP11-530C5.1	1
ALX3	RP11-536C10.12	1
ALX3	RP11-536C10.13	1
ALX3	RP11-536C10.16	1
ALX3	RP11-536C10.7	1
ALX3	RP11-626K17.5	1
ALX3	RP11-77O7.1	1
ALX3	RP11-82L18.4	1
ALX3	RPL5P24	1
ALX3	S1PR3	1
ALX3	SEC31B	1
ALX3	SHC3	1
ALX3	SHC4	1
ALX3	SHPK	1
ALX3	SNORA36C	1
ALX3	snoU13	1
ALX3	SNRPBP1	1
ALX3	TCEA1	1
ALX3	TCP11L1	1
ALX3	TUBGCP4	1
ALX3	U95743.1	1
ALX3	WNT8B	1
ALX3	Y_RNA	1
ALX3	ZKSCAN2	1
ALX3	ZNF562	1
ALX3	ZSCAN29	1
ALX4	AAK1	1
ALX4	AC004691.5	1
ALX4	AC004862.6	1
ALX4	AC006196.1	1
ALX4	AC009948.5	1
ALX4	AC012379.1	1
ALX4	AC019080.1	1
ALX4	AC073850.6	1
ALX4	AC074286.1	1
ALX4	AC084117.3	1
ALX4	AC092431.2	1
ALX4	AC099326.1	1
ALX4	AC130709.1	1
ALX4	ADCY1	1
ALX4	AL035697.1	1
ALX4	AL592494.5	1
ALX4	ANKRD32	1
ALX4	ANXA4	1
ALX4	AP003354.1	1
ALX4	APLF	1
ALX4	AQP1	1
ALX4	ARHGAP42P5	1
ALX4	AZIN1	1
ALX4	C19orf82	1
ALX4	C4BPAP2	1
ALX4	C9orf47	1
ALX4	CD36	1
ALX4	CREG1	1
ALX4	CSTF3	1
ALX4	CTC-303L1.2	1
ALX4	CTD-2033A16.1	1
ALX4	CTD-2301A4.3	1
ALX4	CTD-2301A4.5	1
ALX4	EID1	1
ALX4	FAM188B	1
ALX4	FBXO48	1
ALX4	FREM1	1
ALX4	GNAT3	1
ALX4	HIF1AN	1
ALX4	IDO1	1
ALX4	IDO2	1
ALX4	INMT-FAM188B	1
ALX4	KB-1254G8.1	1
ALX4	KB-1507C5.2	1
ALX4	KIAA0825	1
ALX4	LDHA	1
ALX4	LDHC	1
ALX4	MAPK1	1
ALX4	MIR3159	1
ALX4	MITF	1
ALX4	MXD3	1
ALX4	NDUFB8	1
ALX4	NFAT5	1
ALX4	NFE2L2	1
ALX4	NQO1	1
ALX4	NSD1	1
ALX4	PABPC1P13	1
ALX4	PARK2	1
ALX4	PAWR	1
ALX4	PFDN4	1
ALX4	PIGCP1	1
ALX4	POTED	1
ALX4	PPP1R12A	1
ALX4	PRELID1	1
ALX4	PRKRA	1
ALX4	RAB24	1
ALX4	RN7SL418P	1
ALX4	RN7SL487P	1
ALX4	RN7SL604P	1
ALX4	RNA5SP493	1
ALX4	RNU6-1260P	1
ALX4	RNU6-286P	1
ALX4	RP11-138E16.1	1
ALX4	RP11-235E17.5	1
ALX4	RP11-23F23.2	1
ALX4	RP11-30L15.4	1
ALX4	RP11-311C24.1	1
ALX4	RP11-326A13.1	1
ALX4	RP11-337N6.1	1
ALX4	RP11-337N6.2	1
ALX4	RP11-343N15.2	1
ALX4	RP11-44K6.2	1
ALX4	RP11-44K6.3	1
ALX4	RP11-44K6.4	1
ALX4	RP11-44K6.5	1
ALX4	RP11-530C5.1	1
ALX4	RP11-536C10.12	1
ALX4	RP11-536C10.13	1
ALX4	RP11-536C10.16	1
ALX4	RP11-536C10.7	1
ALX4	RP11-626K17.5	1
ALX4	RP11-77O7.1	1
ALX4	RP11-82L18.4	1
ALX4	RPL5P24	1
ALX4	S1PR3	1
ALX4	SEC31B	1
ALX4	SHC3	1
ALX4	SHC4	1
ALX4	SHPK	1
ALX4	SNORA36C	1
ALX4	snoU13	1
ALX4	SNRPBP1	1
ALX4	TCEA1	1
ALX4	TCP11L1	1
ALX4	TUBGCP4	1
ALX4	U95743.1	1
ALX4	WNT8B	1
ALX4	Y_RNA	1
ALX4	ZKSCAN2	1
ALX4	ZNF562	1
ALX4	ZSCAN29	1
ARX	AAK1	1
ARX	AC004691.5	1
ARX	AC004862.6	1
ARX	AC006196.1	1
ARX	AC009948.5	1
ARX	AC012379.1	1
ARX	AC019080.1	1
ARX	AC073850.6	1
ARX	AC074286.1	1
ARX	AC084117.3	1
ARX	AC092431.2	1
ARX	AC099326.1	1
ARX	AC130709.1	1
ARX	ADCY1	1
ARX	AL035697.1	1
ARX	AL592494.5	1
ARX	ANKRD32	1
ARX	ANXA4	1
ARX	AP003354.1	1
ARX	APLF	1
ARX	AQP1	1
ARX	ARHGAP42P5	1
ARX	AZIN1	1
ARX	C19orf82	1
ARX	C4BPAP2	1
ARX	C9orf47	1
ARX	CD36	1
ARX	CREG1	1
ARX	CSTF3	1
ARX	CTC-303L1.2	1
ARX	CTD-2033A16.1	1
ARX	CTD-2301A4.3	1
ARX	CTD-2301A4.5	1
ARX	EID1	1
ARX	FAM188B	1
ARX	FBXO48	1
ARX	FREM1	1
ARX	GNAT3	1
ARX	HIF1AN	1
ARX	IDO1	1
ARX	IDO2	1
ARX	INMT-FAM188B	1
ARX	KB-1254G8.1	1
ARX	KB-1507C5.2	1
ARX	KIAA0825	1
ARX	LDHA	1
ARX	LDHC	1
ARX	MAPK1	1
ARX	MIR3159	1
ARX	MITF	1
ARX	MXD3	1
ARX	NDUFB8	1
ARX	NFAT5	1
ARX	NFE2L2	1
ARX	NQO1	1
ARX	NSD1	1
ARX	PABPC1P13	1
ARX	PARK2	1
ARX	PAWR	1
ARX	PFDN4	1
ARX	PIGCP1	1
ARX	POTED	1
ARX	PPP1R12A	1
ARX	PRELID1	1
ARX	PRKRA	1
ARX	RAB24	1
ARX	RN7SL418P	1
ARX	RN7SL487P	1
ARX	RN7SL604P	1
ARX	RNA5SP493	1
ARX	RNU6-1260P	1
ARX	RNU6-286P	1
ARX	RP11-138E16.1	1
ARX	RP11-235E17.5	1
ARX	RP11-23F23.2	1
ARX	RP11-30L15.4	1
ARX	RP11-311C24.1	1
ARX	RP11-326A13.1	1
ARX	RP11-337N6.1	1
ARX	RP11-337N6.2	1
ARX	RP11-343N15.2	1
ARX	RP11-44K6.2	1
ARX	RP11-44K6.3	1
ARX	RP11-44K6.4	1
ARX	RP11-44K6.5	1
ARX	RP11-530C5.1	1
ARX	RP11-536C10.12	1
ARX	RP11-536C10.13	1
ARX	RP11-536C10.16	1
ARX	RP11-536C10.7	1
ARX	RP11-626K17.5	1
ARX	RP11-77O7.1	1
ARX	RP11-82L18.4	1
ARX	RPL5P24	1
ARX	S1PR3	1
ARX	SEC31B	1
ARX	SHC3	1
ARX	SHC4	1
ARX	SHPK	1
ARX	SNORA36C	1
ARX	snoU13	1
ARX	SNRPBP1	1
ARX	TCEA1	1
ARX	TCP11L1	1
ARX	TUBGCP4	1
ARX	U95743.1	1
ARX	WNT8B	1
ARX	Y_RNA	1
ARX	ZKSCAN2	1
ARX	ZNF562	1
ARX	ZSCAN29	1
CIC	AAK1	1
CIC	AC004691.5	1
CIC	AC004862.6	1
CIC	AC009948.5	1
CIC	AC073850.6	1
CIC	AC074286.1	1
CIC	AC092431.2	1
CIC	ACTR3BP3	1
CIC	ADCY1	1
CIC	AL592494.5	1
CIC	ANXA4	1
CIC	APLF	1
CIC	AZIN1	1
CIC	C4BPAP2	1
CIC	C9orf47	1
CIC	CD36	1
CIC	CREG1	1
CIC	CSTF3	1
CIC	CTD-2301A4.3	1
CIC	CTD-2301A4.5	1
CIC	FAM188B	1
CIC	FREM1	1
CIC	GNAT3	1
CIC	IDO1	1
CIC	IDO2	1
CIC	INMT-FAM188B	1
CIC	KB-1507C5.2	1
CIC	MITF	1
CIC	NFE2L2	1
CIC	NSD1	1
CIC	PARK2	1
CIC	PFDN4	1
CIC	PRKRA	1
CIC	RN7SL418P	1
CIC	RN7SL487P	1
CIC	RP11-138E16.1	1
CIC	RP11-23F23.2	1
CIC	RP11-343N15.2	1
CIC	RP11-427H3.3	1
CIC	RP11-44K6.2	1
CIC	RP11-44K6.3	1
CIC	RP11-44K6.4	1
CIC	RP11-530C5.1	1
CIC	RP11-626K17.5	1
CIC	RP11-82L18.4	1
CIC	S1PR3	1
CIC	SHC4	1
CIC	snoU13	1
CIC	TCEA1	1
CIC	TCP11L1	1
CIC	TUBGCP4	1
CIC	U95743.1	1
DRGX	AAK1	1
DRGX	AC004691.5	1
DRGX	AC004862.6	1
DRGX	AC006196.1	1
DRGX	AC009948.5	1
DRGX	AC012379.1	1
DRGX	AC019080.1	1
DRGX	AC073850.6	1
DRGX	AC074286.1	1
DRGX	AC084117.3	1
DRGX	AC092431.2	1
DRGX	AC099326.1	1
DRGX	AC130709.1	1
DRGX	ADCY1	1
DRGX	AL035697.1	1
DRGX	AL592494.5	1
DRGX	ANKRD32	1
DRGX	ANXA4	1
DRGX	AP003354.1	1
DRGX	APLF	1
DRGX	AQP1	1
DRGX	ARHGAP42P5	1
DRGX	AZIN1	1
DRGX	C19orf82	1
DRGX	C4BPAP2	1
DRGX	C9orf47	1
DRGX	CD36	1
DRGX	CREG1	1
DRGX	CSTF3	1
DRGX	CTC-303L1.2	1
DRGX	CTD-2033A16.1	1
DRGX	CTD-2301A4.3	1
DRGX	CTD-2301A4.5	1
