	ALX1	ALX3	ALX4	ARX	CIC	DRGX	EN1	EN2	ESX1	FOXP3	GBX1	GBX2	HESX1	HSF2	HSF4	ISX	MIXL1	MSX1	MSX2	NOBOX	OTP	PHOX2A	PHOX2B	PROP1	PRRX1	PRRX2	RAX	RAX2	RFX1	RFX2	RFX3	RFX4	SEBOX	SHOX	SHOX2	SOX1	SOX10	SOX11	SOX12	SOX13	SOX14	SOX15	SOX17	SOX18	SOX2	SOX21	SOX3	SOX4	SOX5	SOX6	SOX7	SOX8	SOX9	SRY	UNCX	VSX1	VSX2
AAK1	26	26	26	26	8	26	26	26	26	9	26	26	26	3	3	26	26	26	26	26	26	26	26	26	26	26	26	26	0	0	0	0	26	26	26	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	26	26	26
AC004691.5	2	2	2	2	1	2	2	2	2	1	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
AC004862.6	7	7	7	7	2	7	7	7	7	1	7	7	7	2	2	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	7	7
AC006196.1	6	6	6	6	0	6	6	6	6	1	6	6	6	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6
AC009948.5	4	4	4	4	1	4	4	4	4	0	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4
AC012379.1	3	3	3	3	0	3	3	3	3	0	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
AC019080.1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
AC073850.6	3	3	3	3	2	3	3	3	3	2	3	3	3	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3
AC074286.1	13	13	13	13	1	13	13	13	13	11	13	13	13	5	5	13	13	13	13	13	13	13	13	13	13	13	13	13	0	0	0	0	13	13	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	13	13
AC084117.3	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
