TF	Target	Weight
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AAK1	26
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC004691.5	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC004862.6	7
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC006196.1	6
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC009948.5	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC012379.1	3
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC019080.1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC073850.6	3
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC074286.1	13
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC084117.3	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AC092431.2	3
