GO:0006623 protein_targeting_to_vacuole Ap3b1|Scarb2|Vamp7
GO:0018105 peptidyl_serine_phosphorylation Axin1|Snca|Chek2|Adrbk1|Pkd1|Clk1|Bcl2|Ulk1|Tek|Bax|Akt1|Mapk1|Cdk5r1|Mapk7|Inpp5j|Inpp5k|Hipk3|Hipk2|Cd44|Hipk4|Ttbk2|Ccnb1|Gcg|Camk2d|Gsk3a|Camk2a|Camk2b|Gsk3b|Pwp1|Smtnl1|Rps6ka2|Eif2ak3|Cnksr3|Bak1|Mapk14|Pfn2|Aurka|Aurkb|Angpt1|Epo|Agt|Pde4d|Tbk1|Dclk1|Dclk3|Dclk2|Ttk|Mir301|Cdk5|Smyd3|Nlk|Brsk2|Crebl2|Gfra2|Bdkrb2|Pik3ca|Smad7|Sfrp2|Dmd|Bag4|Ntrk2|Mir1186|Prkaca|Ret|Phip|Wnt5a|Myo3a|Myo3b|Arrb1|Rictor|Plcl2|Prkaa2|Prkaa1|Mif|Map3k12|Hgf|Plcl1|Syk|Dmtn|Dyrk1a|Prkca|Ilk|Sptbn4|Mir744|Ppp1r15a|Mtor|Bdnf|Bcar3|Cdc42
GO:0030878 thyroid_gland_development Thra|Smad3|Cga|Hoxb3|Foxe1|Six1|Hoxd3|Map2k2|Map2k1|Fgf10|Srf|Mapk3|Hoxa5|Tbx1|Hoxa3|Braf|Fgf8|Shh|Nkx2-1|Raf1|Pax8|Nkx2-5|Hhex|Duox2|Mapk1
GO:0030879 mammary_gland_development Ncoa3|Igf1|Pinc|Chuk|Jak2|Kdm5b|Iqgap3|Ccl11|Nme1|Esr1|Ddr1|Fgf2|Ccnd1|Msx1|Msx2|Nr3c1|Bax|Tph1|Med1|Cav3|Cav1|Slc6a3|Cebpb|Erbb4|Prl|Stat6|Scrib|Stat5b|Stat5a|Areg|Sostdc1|Socs2|Robo1|Deaf1|Smo|Fasn|Hoxb9|Eif2ak3|Irs1|Irs2|Atp2c2|Fgfr2|Src|Zfp703|Mapk1|Tbx2|Tbx3|Hoxa5|Tnfrsf11a|Foxb1|Elf3|Elf5|Egf|Hoxa9|Hoxd9|Wnt4|Atp2b2|Rln1|Ghrhr|Rxfp1|Pthlh|Vegfa|Lef1|Lrp6|Tgfb1|Tgfb3|Etv5|Etv4|Lrp5|Ntn1|Gpat4|Mst1|Hif1a|Xdh|Tnfsf11|Vdr|Bcl2l11|Epha2|Phb2|Btrc|Slit2|Pax3|Wnt5a|Zfp157|Orai1|Creb1|Agap2|B4galt1|Nrg3|Cdkn2a|Id2|Capn1|Igfbp5|Wnt3a|Igf1r|Bsx|Csf1|Usf2|Csn3|Arhgap5|Fgf10|Tgfa|Tgfbr2|Neurl1a|Prlr|Pml|Foxf1|Slc12a2|Ptch1|Xbp1|Bmp4|Pygo2|Tfap2c|Gli2|Gli3|Ar|Pgr|Atp7b
GO:0046677 response_to_antibiotic Cyb5r4|Mir208b|Ezh2|Rsrc1|Cdkn1b|Ppp2cb|Endog|Id1|Mef2c|Hdac2|Pla2g4a|Alpl|Pla2g4f|Slc1a3
GO:0006919 activation_of_cysteine_type_endopeptidase_activity_involved_in_apoptotic_process Casp8|Casp9|Vcp|P2rx1|Pycard|Apaf1|Ctsh|Stat1|Bid|Cycs|Bak1|Diablo|Rnf7|Pmaip1|Nlrp3|Bax|Pidd1|Bad|Tnf|Pdcd6|Cradd|Khdc1b|Casp8ap2|Jak2|Pml|Myc|Eif2ak3
GO:0006910 phagocytosis_recognition Jmjd6|Ighg2b|Sirpa|Pear1|Tulp1|Megf10|Ighg1|Cd36|Igh-8|Mfge8|Cd209b|Ighg2a|Tub|Fcgr3|Fcgr1
GO:0006911 phagocytosis_engulfment Sirpa|Rac1|Siglece|Ano6|Fcgr2b|Igh-8|Becn1|Mfge8|Cd36|Treml4|Aif1|Abca7|Stap1|Abca1|Gsn|Fcer1g|Nckap1l|Ighg2b|Ighg2a|Clcn3|Myh9|Ighg1|Alox15|Trem2|Fcgr3|Fcgr1
GO:0007343 egg_activation Plcb1|Tpst2|Plcz1|Zp2|Camk2b|Adam24
GO:0055007 cardiac_muscle_cell_differentiation Mir208a|Actn2|Hey2|Xlch|Rbpj|Kdm6b|Gsk3a|Hnrnpu|Ift88|Pdgfrb|Mef2c|Mef2a|Fhod3|Vegfa|Myocd|Speg|Arid1a|AW551984|Acadm|Tsc1|Itgb1|Hdac3|Foxp1|Sik1|Cxadr|Actc1|Popdc2|Cav3|Met|Ift20|Pi16|Gata6|Gata4|Atg7|Ttn|Myh10|Wnt3a|Rarb|Srf|Slc9a1|Maml1|Col14a1|Sgcb|Rara|Pitx2|Tbx3|Hdac2|Myl2|Nox4|Tbx5|Slc8a1|Myh6|Csrp3|Bmp4|Sox6|Lmna|Nkx2-5|Wt1|Pdgfra|Grem1|Dicer1|Bmp2|Bves|Alpk3|Rxra|Rxrb|Xirp1|Lrrc10|Myo18b|Bmp10|Mtor|Tdgf1|Atg5|Nrg1|Prox1|Cby1|Efnb2
GO:0006497 protein_lipidation Zdhhc15|Zdhhc17|Selk|Map6d1|Atg10|Nmt1|Mboat4|Hhatl|Porcn|Pigf|Pigo|Pigp|Pigq|Zdhhc2|Ppm1b|Ppm1a|Piga|Mttp|Abca1|Zdhhc21|Zdhhc22|Zdhhc23|Zdhhc1|Zdhhc3|Hhat|Zdhhc5|Zdhhc7|Atg5|Alox12b|Dpm1
