TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
NR1H3	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	180	17	0.0	0.0	C1QA C1QB C1QC C3 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR
MEF2A	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	210	18	5.11046760465e-12	1.57525053446e-07	C1QA C1QB C1QC C2 C3 C3AR1 FCGR2A FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR
FOS	KEGG-hsa04145	Phagosome	152	0	95	19	5.45152811782e-12	1.68032451175e-07	ACTG1 CD14 CD36 CLEC7A CORO1A CYBB FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 NCF1 NCF2 TUBB2A TUBB4B
ETS2	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	194	18	5.69311264798e-12	1.75473118036e-07	C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1
RBPJ	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	108	13	1.22766241617e-11	3.78377833288e-07	C1QA C1QB C2 C3AR1 FCGR2B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1
ETS2	KEGG-hsa05323	Rheumatoid_arthritis	91	0	194	20	1.70187197668e-11	5.24516943212e-07	ACP5 ATP6V1D CCL2 CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 IL18 IL1B TLR2
IRF3	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	28	8	9.06767994024e-11	2.79456828078e-06	C1QA C1QB C1QC C3AR1 FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1
HMGA1	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	263	17	1.08971165425e-10	3.35827337605e-06	C1QA C1QB C1QC C2 C3 C3AR1 C5AR1 CFD FCGR1A FCGR2A FCGR3A FPR1 FPR2 HLA-DQA1 HLA-DQB1 HLA-DRB1 PTAFR
RUNX1	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	18	7	1.23082766201e-10	3.79304160603e-06	C1QA C1QB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
NR1H3	KEGG-hsa04145	Phagosome	152	0	180	23	1.28456911774e-10	3.95852819324e-06	ACTB ATP6V1D C3 CD14 CLEC7A CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO NCF2 OLR1 TFRC TLR2 TUBA1B TUBA4A
