	ATF3	ATF5	BATF3	CEBPD	CEBPZ	DDIT3	DNMT1	ETS2	ETV5	FOS	FOXO3	HIF1A	HMG20B	HMGA1	HMGN3	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	KLF10	KLF3	KLF6	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TCF7L2	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	0.336553794396	1	1	1	1	1	1	0.00797836469696	1	0.852029776887	1	1	1	1	1	1	1	0.549287113321	1	1	1	1	1	1	0.0934743551578	1	0.0167092160473	1	1	1	0.0489641287788	0.460310079295	0.455036570326	1	1	1	1	1	2.77334684213e-05	1	0.00214374017426	1	1	1	1	1	1	1
Antigen_processing_and_presentation	0.000169763142667	1	1	1	1	1	1	1	1	0.988417063903	1	1	1	1	1	1	0.861361435085	0.563613644493	1	1	1	1	1	1	1	1	3.79552408127e-05	1	1	1	0.338221624987	1	0.00221249522095	1	1	1	1	1	0.000392525654516	1	4.83677216918e-05	1	1	1	1	1	0.747552110489	1
Asthma	0.900531676231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00129900983369	1	0.000618239680328	1	1	1	1	1	1	1
Autoimmune_thyroid_disease	1	1	1	1	1	1	1	0.213073437885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.681225596246	1	0.42946319091	1	1	1	1	1	1	1	1	1	1	1	0.000902100367238	1	0.0119073664406	1	1	1	1	1	1	1
Cell_adhesion_molecules_(CAMs)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.187826334943	1	1	1	1	1	1	1	1	1
Chagas_disease_(American_trypanosomiasis)	1	1	1	1	1	1	1	0.0391552080251	1	1	1	1	1	1	1	1	0.224972879521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0276590058042	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chemokine_signaling_pathway	1	1	0.42563318258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.460346766469	1	0.152521895025	1	1	0.184625197798	1	1	1	1	1	1	1	1	0.0664869817899	1	1
Cytokine-cytokine_receptor_interaction	1	1	0.0129361037788	1	1	1	1	0.0559924910251	1	1	1	1	1	0.0687661654935	0.308860538211	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00517430950346	1	0.000177535569837	1	1	1	1	0.527087093921	1	1	1	1	1	1
Cytosolic_DNA-sensing_pathway	1	1	1	1	1	1	1	0.905080362132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Graft-versus-host_disease	0.0710987065316	1	1	1	1	1	1	0.00270749784547	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.197537671025	1	0.00609493561909	1	1	1	1	1	0.137775711901	1	1	1	1	1	0.000103581497335	1	0.00407115442166	1	1	1	1	1	1	1
Hematopoietic_cell_lineage	1	1	1	1	1	1	1	0.000598364894061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0689487204884	1	1	1	0.270738627661	1	1	1	1	1	0.88846833827	1	1.39307627394e-05	1	1	1	1	1	1	1	1	1
Intestinal_immune_network_for_IgA_production	1	1	1	1	1	1	1	0.547934718423	1	1	1	1	1	1	1	1	1	0.158396423619	1	1	1	1	1	1	1	1	0.137812771459	1	1	1	0.388903153179	1	1	1	1	1	1	1	0.00403064564446	1	0.00643787073599	1	1	1	1	1	1	1
Leishmaniasis	0.00685590039063	1	1	1	1	1	1	0.000241886554969	1	0.000456323953171	1	1	1	0.440273572657	1	1	0.582460446091	1	1	1	1	1	1	1	0.00213579033772	1	0.0053278702188	1	1	1	0.0223983284513	1	0.00614392138848	0.0044689425774	0.379855367085	1	1	1	0.171321533551	1	0.0560054884015	1	1	1	1	1	1	1
Malaria	1	1	0.860782761321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Measles	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.719496906525	1	0.13696730718	0.138731198911	0.538034405806	0.0616961616656	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0305758538563	1	1	1	1	1	1	1	1	1	1	1	1	1
Mineral_absorption	1	1	1	1	1	1	1	1	1	1	1	0.01014498919	1	1	0.308857654279	1	1	1	1	1	1	1	0.130290872349	0.00116632594724	1	1	1	4.29998087853e-05	1	1	1	1	0.600428746513	1	1	1	1	1	1	1	1	1	1	1	1	0.701526836355	1	1
Osteoclast_differentiation	1	1	1	1	1	1	1	0.648737044283	1	0.202126619058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.450375804584	1	1	0.296429244533	0.0156439636077	1	0.227239866201	1	1	1	1	1	0.038553846095	1	1	1	1	1
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.105301488417	1	1	1	1	1	1	0.229856571369	1	1	1	1	1	1	1	1	1	1	1	1
PPAR_signaling_pathway	1	1	0.226851091428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.936269494593	1	1	1	1	1	1	1	1	1	1	1
Parkinson's_disease	1	0.292090733054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.102121019547	1	1	1	1	1	1	0.217149696662	1	1	1	1	1	1	1	1	1	1	1	1
Pathogenic_Escherichia_coli_infection	1	1	1	1	1	1	2.86118770676e-05	1	0.24572151025	1	0.059364127662	1	0.00108192580609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.104173506051	1	1	0.00081615935293
Phagosome	0.0152614680555	1	1	1	1	0.0139495501789	0.00182070357175	0.00294274290268	0.000354943692087	1.68032451175e-07	0.000332798520249	1	0.000377573218565	6.81178335334e-05	0.00719142908127	1	1	1	1	1	1	1	1	1	0.162632631251	0.398950341261	0.000466412605452	1	1	1	0.003903363482	1	3.95852819324e-06	0.00136517750829	0.0176483061733	1	1	0.00830618368934	4.84509972489e-05	0.23991066065	1	1	1	0.0906377641268	1	1	1	0.13614581414
Rheumatoid_arthritis	0.0766056397392	1	1	1	1	1	1	5.24516943212e-07	1	1	1	1	1	1	0.00706865721839	1	1	1	1	1	1	0.481908241027	1	1	0.183388286639	1	6.44385163617e-05	1	1	1	0.403527631802	0.122511549865	0.000336280351394	0.000706814686462	0.0789989300538	1	0.00358783075794	1	2.19798081795e-05	1	0.00576793925441	1	1	1	1	0.271295487315	1	1
Staphylococcus_aureus_infection	2.6408341931e-05	1	1	0.0019295422431	1	1	1	1.75473118036e-07	1	0.00548348135248	1	1	1	3.35827337605e-06	1	1	2.79456828078e-06	1	1	1	1	1	1	1	0.00360221424763	0.138616116645	1.57525053446e-07	1	1	1	6.39497515942e-06	1	0.0	0.00307634755011	0.000216882735694	1	0.951486340352	1	3.78377833288e-07	1	3.79304160603e-06	1	1	1	1	1	1	1
Systemic_lupus_erythematosus	1	1	1	1	1	1	1	0.0590446641877	1	1	1	1	1	1	1	1	0.0742038127793	1	1	1	1	1	1	1	1	1	0.175188027356	1	1	1	0.211206716397	1	1	1	0.477064514217	1	1	1	0.0300420404425	1	0.00242528681688	1	1	1	1	1	1	1
Toll-like_receptor_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.815304508509	1	1
Toxoplasmosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.865687929458	1	1	1	1	1	1	1	1	1
Tuberculosis	0.000126464085542	1	1	1	1	0.611249985282	1	0.000527002209885	1	1.05979288868e-05	1	1	1	0.132274304768	1	1	0.0377090220182	1	1	1	1	1	1	1	1	1	0.0420411390579	1	1	0.112455585477	0.272959440625	1	2.21662083089e-05	0.0025245762284	0.375708128397	1	1	1	0.000651063856534	1	0.00069184677769	1	1	1	1	1	1	1
Type_I_diabetes_mellitus	0.0853770132301	1	1	1	1	1	1	0.00350656226002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.226714561041	1	0.000757717790212	1	1	1	1	1	0.0176196770302	1	1	1	1	1	0.00013206553252	1	0.00458451215618	1	1	1	1	1	1	1
Viral_myocarditis	0.0543120203514	1	1	1	1	1	1	0.0855603170048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.341993284882	1	0.0308365714259	1	1	1	0.114694872229	0.650628637365	0.261906342919	1	1	1	1	1	9.95093314593e-06	1	0.0522179984651	1	1	1	1	1	1	1
p53_signaling_pathway	1	1	1	1	0.887722672834	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
