	ATF3	ATF5	BATF3	CEBPD	CEBPZ	DDIT3	DNMT1	ETS2	ETV5	FOS	FOXO3	HIF1A	HMG20B	HMGA1	HMGN3	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	KLF10	KLF3	KLF6	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TCF7L2	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	7	2	3	0	0	2	0	10	0	6	0	0	2	5	2	4	3	6	5	4	4	0	0	0	6	0	10	0	0	0	10	7	8	4	8	0	4	4	10	4	5	0	5	0	0	5	3	0
Antigen_processing_and_presentation	13	3	0	4	0	5	2	10	7	8	7	0	5	13	3	5	5	8	6	5	5	0	0	0	5	4	17	0	0	2	13	9	14	5	12	0	0	8	12	6	7	4	0	0	3	8	6	0
Asthma	6	0	0	0	0	2	0	7	0	5	0	0	2	0	2	0	3	5	0	3	2	0	0	0	4	0	7	0	0	0	6	4	6	3	4	0	0	0	8	0	5	0	0	0	0	0	0	0
Autoimmune_thyroid_disease	7	0	0	0	0	2	0	10	0	6	0	0	2	5	2	4	3	6	5	4	4	0	0	0	6	0	10	0	0	0	10	7	8	4	8	0	4	4	10	4	5	0	5	0	0	5	3	0
Cell_adhesion_molecules_(CAMs)	10	4	9	0	0	0	3	13	0	8	0	0	0	12	0	10	3	7	8	4	6	3	0	0	7	0	13	0	0	0	15	9	11	7	14	0	6	0	12	6	5	0	9	0	0	9	4	0
Chagas_disease_(American_trypanosomiasis)	5	0	10	0	0	2	0	15	5	0	0	6	0	11	6	0	6	0	0	3	4	3	0	0	0	6	10	0	0	3	13	8	9	12	16	0	7	0	7	0	3	0	0	0	0	8	0	0
Chemokine_signaling_pathway	0	0	16	0	0	0	0	17	0	6	0	0	0	18	9	11	3	0	11	0	6	4	0	0	8	9	13	0	0	0	12	15	13	15	23	4	16	12	8	0	0	5	0	4	0	17	0	0
Cytokine-cytokine_receptor_interaction	12	0	22	0	0	0	0	25	0	9	0	0	0	30	12	19	4	8	17	6	9	8	5	0	7	12	21	0	0	4	23	16	21	16	35	8	24	18	13	12	0	12	17	5	0	15	5	0
Cytosolic_DNA-sensing_pathway	0	0	5	0	0	0	0	10	0	4	0	3	0	6	0	7	0	4	7	3	5	0	3	0	3	0	0	0	0	0	6	5	0	6	11	2	4	8	5	5	0	0	9	0	0	6	0	0
Graft-versus-host_disease	8	2	3	0	0	2	0	11	0	6	0	0	2	6	3	0	3	5	4	3	3	0	0	0	6	0	11	0	0	2	9	6	9	5	8	0	5	4	10	3	5	0	4	0	0	6	3	0
Hematopoietic_cell_lineage	7	0	8	0	0	2	0	16	0	8	0	5	3	13	5	0	4	4	6	0	0	0	0	0	0	5	14	0	0	2	14	5	9	7	12	0	10	0	14	0	2	3	6	0	0	5	0	0
Intestinal_immune_network_for_IgA_production	7	2	0	0	0	2	0	9	0	6	0	0	2	6	2	5	3	7	5	4	5	0	0	0	5	0	10	2	0	0	10	6	7	4	8	2	4	4	9	3	5	0	5	0	0	4	0	0
Leishmaniasis	11	0	5	4	0	4	0	15	4	11	0	3	5	13	4	0	5	5	0	3	0	2	0	0	9	5	14	3	0	3	14	7	13	11	14	0	7	8	9	4	5	3	7	0	0	9	0	0
Malaria	4	0	8	0	0	0	0	7	0	0	0	3	0	5	4	4	0	0	4	0	0	0	0	0	3	3	0	0	0	0	5	5	5	3	8	2	4	0	5	4	0	0	4	0	0	0	0	0
