	ATF3	ATF5	BATF3	CEBPD	CEBPZ	DDIT3	DNMT1	ETS2	ETV5	FOS	FOXO3	HIF1A	HMG20B	HMGA1	HMGN3	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	KLF10	KLF3	KLF6	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TCF7L2	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	1.09755346464e-05	0.0639747909364	0.0653223836341	1	1	0.0148326029776	1	2.59501209854e-07	1	2.78150227503e-05	1	1	0.0504592712503	0.0259798503675	0.0553925510624	0.0215279864863	0.000732694756382	1.79247850581e-05	0.00216337217023	0.000299716363357	0.00348586192913	1	1	1	3.04407318064e-06	1	5.43618962401e-07	1	1	1	1.59362502128e-06	1.50177834098e-05	1.4845248934e-05	0.00675259605096	0.000538902721078	1	0.0107673099574	0.0228257061755	9.00203467324e-10	0.0104964753175	6.9669813918e-08	1	0.00823892138152	1	1	0.00191089931357	0.0029420709847	1
Antigen_processing_and_presentation	5.51232726131e-09	0.0527330375263	1	0.00183211785841	1	3.3629139336e-05	0.0368062141941	0.000218419837439	8.11179326911e-05	3.227800483e-05	0.000210718288709	1	0.000817820513416	3.50922284773e-05	0.0431076339003	0.0689382200023	2.81214964115e-05	1.83929003196e-05	0.0118291372951	0.000529606402334	0.00943984072691	1	1	1	0.00161156586264	0.0488729919629	1.23207299918e-09	1	1	0.0368062141941	1.10302848706e-05	4.56772149928e-05	7.19066339805e-08	0.019828644606	0.000528036063895	1	1	0.0016823792731	1.27488926083e-08	0.00845610439658	1.57017665536e-09	0.00897631052965	1	1	0.00470537385994	0.000490558292796	2.44026934285e-05	1
Asthma	2.94041558229e-05	1	1	1	1	0.00940443786195	1	4.11375795853e-05	1	0.000103160156914	1	1	0.0327641781591	1	0.0360614874214	1	0.000361744878897	7.15151337977e-05	1	0.00212443729844	0.0887157550314	1	1	1	0.000301933677017	1	6.83129940774e-05	1	1	1	0.001042113842	0.0039129254612	0.000245446863487	0.0216441533814	0.0642920579162	1	1	1	4.22099052377e-08	1	2.00831496988e-08	1	1	1	1	1	1	1
Autoimmune_thyroid_disease	0.00010332442596	1	1	1	1	0.0277801022468	1	6.94480094798e-06	1	0.000190278816513	1	1	0.0904321176301	0.0870648364167	0.0987980207912	0.0618669053876	0.00193959966887	0.000124508691771	0.00922488731489	0.00108027663721	0.0114358577124	1	1	1	2.22353884599e-05	1	1.40095642117e-05	1	1	1	3.86231874799e-05	0.000139494715426	0.000181601525526	0.0212962946926	0.00501948767365	1	0.0328487647916	0.0652216475136	2.93099086113e-08	0.0320848549528	3.87332198315e-07	1	0.0315131162023	1	1	0.00821609748793	0.00754234581648	1
Cell_adhesion_molecules_(CAMs)	0.000516662992535	0.0602160441303	0.00595542654271	1	1	1	0.0153341570378	0.000508637016001	1	0.00150453704796	1	1	1	0.0183083523738	1	0.00492687572093	0.026088341342	0.00408444832478	0.0181304874144	0.029719271458	0.0255870589699	0.0497858967437	1	1	0.000695830440328	1	0.00107230053461	1	1	1	0.000331147298652	0.00287332545733	0.00288250067942	0.0191807394974	0.00922590249709	1	0.0924256055605	1	6.12111243092e-06	0.0899423336047	4.16208791229e-05	1	0.0385236639692	1	1	0.00495792887888	0.0196929494121	1
Chagas_disease_(American_trypanosomiasis)	0.0664104810117	1	0.000209577684191	1	1	0.0926233315041	1	1.27429322827e-06	0.0133167423882	1	1	0.00278093990049	1	0.00651390108446	0.000562458203211	1	7.33312296752e-06	1	1	0.060971885479	0.0952011514393	0.0252437793528	1	1	1	0.00999330165152	0.00383029676423	1	1	0.00738805776437	0.000241376168125	0.00192090307347	0.00439283209189	8.99977412039e-07	6.40642189137e-05	1	0.00969660649374	1	0.00287819454589	1	0.00362947532352	1	1	1	1	0.0032070421345	1	1
Chemokine_signaling_pathway	1	1	1.38841721875e-05	1	1	1	1	0.000159018759154	1	0.0865197867781	1	1	1	0.00199172459641	9.96671653333e-05	0.0182873659583	0.0603934180018	1	0.006701972157	1	0.0969951576514	0.0278858612203	1	1	0.00107687291947	0.00624347409317	0.0181095875151	1	1	1	0.0797667953781	1.50194703579e-05	0.00532068244088	4.96943486983e-06	8.82246258023e-05	0.0643812368154	6.01659381472e-06	0.00833993825387	0.0231784581655	1	1	0.0492886012435	1	0.00908510537555	1	2.16450114887e-06	1	1
Cytokine-cytokine_receptor_interaction	0.00971547347995	1	4.20809465496e-07	1	1	1	1	1.82255357806e-06	1	0.0279938254572	1	1	1	2.23877345662e-06	1.00717582407e-05	0.000168879968437	0.0362159631665	0.0457881466491	0.000256612454369	0.0270261116192	0.0333603442441	0.000163817060895	0.0804382697422	1	0.0271971220317	0.00250696832811	0.000510510829597	1	1	0.0186867187196	0.00040205290141	0.00021981932767	5.77211563754e-05	7.54440829805e-05	1.6824287119e-07	0.00110264126411	5.76489056492e-09	0.000608025384516	0.0011321861631	0.0183255892458	1	1.71986521983e-05	0.00791933050333	0.00560819549784	1	0.001617863444	0.0519247624203	1
Cytosolic_DNA-sensing_pathway	1	1	0.0174670385781	1	1	1	1	2.95536444778e-05	1	0.0175478822414	1	0.051900647064	1	0.0577626404106	1	0.00168932405105	1	0.0135731765527	0.000733792452607	0.016292953248	0.00356571503316	1	0.016292953248	1	0.0308101876444	1	1	1	1	1	0.0372472312913	0.0112683504265	1	0.00142383722764	0.000252618816693	0.0876279799938	0.0535380616125	0.000358385323754	0.00540072645681	0.013132371318	1	1	0.000194766449675	1	1	0.00338700447532	1	1
Graft-versus-host_disease	2.31486314162e-06	0.0794071736563	0.0876090974334	1	1	0.0187649812538	1	8.80029202843e-08	1	5.75508775243e-05	1	1	0.0629007419783	0.0115240562068	0.00894292272006	1	0.00105489591277	0.00041447277957	0.020415218995	0.00596571283413	0.0343786892395	1	1	1	6.4378070338e-06	1	1.98202842805e-07	1	1	0.0120218351267	4.002364666e-05	0.000313095007065	4.48839301215e-06	0.0015742106004	0.00127904044586	1	0.00284598819514	0.0341877737514	3.36303562776e-09	0.0740629568041	1.32360830407e-07	1	0.054820551469	1	1	0.000486413084454	0.00419066409876	1
Hematopoietic_cell_lineage	0.00232456958102	1	0.00132157051079	1	1	0.0694445944149	1	1.94368976469e-08	1	7.75101569037e-05	1	0.00671195592503	0.0510434310565	0.00012790260564	0.00178647271892	1	0.000732620169066	0.0424108246087	0.0204745838909	1	1	1	1	1	1	0.0194325462841	2.244789858e-06	1	1	0.0458268762219	8.82718619089e-06	0.0436083154403	0.00138870454045	0.00183271637319	0.00158023860191	1	2.90093165596e-05	1	4.52121340366e-10	1	0.0290782410077	0.0653814119776	0.0742629197455	1	1	0.0582491251168	1	1
Intestinal_immune_network_for_IgA_production	4.67807422533e-05	0.0924992584369	1	1	1	0.0221927613437	1	1.78800691278e-05	1	9.62202176845e-05	1	1	0.0735213132192	0.0174992612258	0.0804759640572	0.0099955498495	0.00136847418185	5.16100562442e-06	0.00554301644226	0.000683723946587	0.00102910399582	1	1	1	0.000152406469871	1	4.48974658607e-06	0.0421946967992	1	1	1.26847957591e-05	0.000513240586726	0.000504304838842	0.0142148037093	0.00232235747684	0.0539778290068	0.0222166203577	0.0452697611558	1.31039554097e-07	0.0912413840447	2.09368458681e-07	1	0.0197697329822	1	1	0.0250046016048	1	1
Leishmaniasis	2.22970612418e-07	1	0.0311387504189	0.00136076594923	1	0.000391478448691	1	7.85498976974e-09	0.016318848366	1.48214873708e-08	1	0.0744131584225	0.000566050220497	1.43626793455e-05	0.00568992204798	1	1.90085649139e-05	0.00428846028477	1	0.0241883964732	1	0.0715032378955	1	1	6.94091949471e-08	0.00865825304731	1.73241536672e-07	0.0135032820235	1	0.00262534229926	7.28780127912e-07	0.000943581288583	1.99802321577e-07	1.45298389875e-07	1.23892813791e-05	1	0.001232913676	0.000993930477106	5.5825062254e-06	0.0813992144554	1.82303598195e-06	0.0399534747649	0.0100188412335	1	1	4.57223174497e-05	1	1
Malaria	0.0214781617755	1	2.81016865699e-05	1	1	1	1	0.00130041963694	1	1	1	0.0317560684341	1	0.0764787430318	0.00161595627874	0.055100140197	1	1	0.0356107940953	1	1	1	1	1	0.018479450807	0.0609718854805	1	1	1	1	0.0526689675514	0.00495241997838	0.0192445727216	0.0822364674031	0.00393936054936	0.0624053656997	0.0290271857908	1	0.00229946458826	0.0283448901598	1	1	0.0906307486664	1	1	1	1	1
Measles	1	1	0.017414307353	1	1	1	1	0.0340295197792	1	1	1	0.00228365931196	1	0.038901517515	1	2.34861076065e-05	0.025593601213	4.46191182135e-06	4.51996217088e-06	1.75564316977e-05	2.00846935561e-06	1	1	1	1	0.0905938674895	1	1	1	0.0970091322144	0.000971126171734	0.000710532267828	0.0547285658198	0.018492420169	9.9495147754e-07	1	0.0353234360436	0.00165032314727	1	5.14292204654e-05	1	1	0.00015382167395	1	1	0.041748374099	0.0838941860932	1
Mineral_absorption	1	0.0177333372951	1	1	1	0.0258599094176	1	3.56028854156e-05	0.0317560684341	0.00899041074301	1	3.29993468107e-07	0.000110639722967	0.00713279208609	1.00719926391e-05	0.055100140197	1	1	1	1	1	1	4.24400235666e-06	3.7897255889e-08	1	1	0.00915835365182	1.39587108539e-09	1	1	1	1	1.95955989202e-05	0.000499084034644	0.000957617619052	1	0.0290271857908	1	1	1	1	0.00194313495335	1	1	1	2.28987738724e-05	1	1
Osteoclast_differentiation	0.0545664714989	0.0526163004696	7.19761333826e-05	0.0578496713796	1	1	1	2.11735710788e-05	0.0315856214275	6.58757680339e-06	1	0.0315856214275	0.0347546325288	0.000642974303166	1	6.80720102419e-05	0.00310990733036	0.012926300002	0.00124343485539	1	0.00137672626643	0.00780778833767	1	1	0.000530594783675	0.00201732576384	0.00223895158055	0.0614431150187	1	0.013584815604	1.46927153813e-05	0.00753799338717	0.00201684227733	9.66606595143e-06	5.08945396827e-07	1	7.40774110708e-06	0.00121324741713	0.0320025824804	0.000712175694564	1	0.0477580017759	1.25468127099e-06	1	1	0.0120709294	1	1
Oxidative_phosphorylation	1	0.000505102615521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.046083534573	0.0147528757493	1	0.00601695746526	1	1	1	1	1	1	1	3.42956905997e-06	1	1	1	1	1	1	7.4932867602e-06	1	1	1	1	1	1	1	1	1	0.0126042603771	1	1
PPAR_signaling_pathway	1	1	7.39482646372e-06	1	1	1	1	0.000492533383458	1	0.000939716183578	0.0051130418041	0.000374608248775	0.0297480860103	0.000275860002281	0.0340094502398	0.00369452872924	1	0.0213669995063	0.00165184132719	1	0.000161548121918	1	1	0.0335190491348	1	1	0.000188985187396	0.0874320263293	1	0.0309639537074	0.000484397443151	0.000867449069983	1	0.000508357558016	0.000214582375381	0.0187888428485	3.05730634337e-05	0.052859733348	0.00182923206693	0.0224781634464	1	1	0.00930159645856	0.0388658986567	1	0.00662759726616	1	1
Parkinson's_disease	1	9.5242837177e-06	1	1	0.0068826123652	1	1	1	1	1	1	1	1	1	1	1	1	0.012926300002	0.0141367338547	1	0.00137672626643	1	0.0257131199972	1	0.0551431105398	0.00794912769379	0.0931982672914	0.0614431150187	3.32576758766e-06	1	1	1	0.0455646560764	1	1	7.0778910255e-06	1	0.0802425811316	1	1	1	1	1	1	1	0.00100155012915	1	1
Pathogenic_Escherichia_coli_infection	0.027510465802	1	1	1	1	1	9.2874596902e-10	1	8.01100349657e-06	0.011684243049	1.93248893721e-06	1	3.51537123855e-08	0.00065671820807	0.000204213799084	1	1	1	1	1	1	0.000324905560889	1	1	1	1	0.045680982037	1	1	1	0.0686988551147	1	0.0258558876583	0.0979187213465	1	1	1	0.000914606840093	1	0.00801038828393	1	1	0.0362236282196	0.00173581838312	3.39272125227e-06	1	0.00835740925824	2.6516759899e-08
Phagosome	4.96485508816e-07	1	1	6.1698469263e-05	1	4.53791482724e-07	5.91656182936e-08	9.56522965279e-08	1.15275142765e-08	5.45152811782e-12	1.08076030347e-08	0.0555593528961	1.22628521781e-08	2.21154616842e-09	2.3389803816e-07	0.0277081550152	6.40877946733e-05	0.00186780972717	0.0326406399985	0.00187627832794	1	0.00214559718286	1	1	5.29920597103e-06	1.30129278251e-05	1.51496607481e-08	0.0207929294112	1	0.00260329554182	1.2689738238e-07	0.0017653898376	1.28456911774e-10	4.43613930035e-08	5.74208757875e-07	1	0.0233044925102	2.70172511363e-07	1.57293111869e-09	7.82130340515e-06	7.10005534751e-05	1	0.000156773802514	2.95160102015e-06	0.00413833709535	0.0100851748112	0.00577081300203	4.43500599845e-06
Rheumatoid_arthritis	2.49432273181e-06	0.0763395252714	6.77198312254e-05	1	1	0.00983187000486	1	1.70187197668e-11	1	9.84931792279e-05	0.055580529581	1	0.0554031469517	0.000676589604279	2.29897460513e-07	0.00398922323298	5.93576667598e-05	0.000389803107681	0.000354023595507	0.00774160758676	0.003941248076	1.57239702763e-05	1	1	5.97609041741e-06	0.0771829130859	2.09202377643e-09	0.0251141062015	1	0.0486789209023	1.31626588317e-05	3.99047424726e-06	1.09210298582e-08	2.29626940795e-08	2.57233336765e-06	0.0357612362863	1.16631908131e-07	0.00113211593661	7.13375358785e-10	0.0172749950512	1.87563061083e-07	0.070815067266	0.0109292940487	0.0072334315398	1	8.84563049608e-06	1	1
Staphylococcus_aureus_infection	8.57163229284e-10	0.0216657772687	1	6.27044794976e-08	1	0.00239155236739	1	5.69311264798e-12	9.01470360939e-05	1.78307201004e-07	0.0108641651624	1	0.000159167939362	1.08971165425e-10	0.00214059149496	0.0189364977448	9.06767994024e-11	0.00898008248074	0.045125189109	0.00010142216107	1	0.0442995079907	1	1	1.17103288177e-07	4.51606557128e-06	5.11046760465e-12	0.00644581938147	1	0.00120608445923	2.07527994789e-10	0.00120061955264	0.0	9.99982950889e-08	7.04279057295e-09	1	3.10709708504e-05	0.0727427533424	1.22766241617e-11	1	1.23082766201e-10	1	0.0022257621807	0.0242480336462	1	0.00183011144742	1	1
Systemic_lupus_erythematosus	0.023510241766	0.0602160441303	1	0.00212336145284	1	0.0286173169501	1	1.92202682903e-06	0.0373130873595	0.000319791855915	1	1	0.0400158115995	0.00290612370835	1	1	2.41603922702e-06	0.0158683114657	0.0181304874144	0.00105704865391	1	1	1	1	0.00372211331672	1	5.70868180905e-06	0.0684531777541	1	0.0982281617045	6.88373366786e-06	0.00979339409818	6.29307311699e-05	7.93102491577e-05	1.55654185852e-05	1	0.0924256055605	0.0417347714694	9.77549148851e-07	0.0353143356884	7.88249745476e-08	1	0.0385236639692	1	1	0.00495792887888	1	1
Toll-like_receptor_signaling_pathway	1	1	0.00338218178094	1	1	0.0896115802459	1	0.000119724992994	1	0.0242390847555	1	0.0497665745234	1	0.0857362771676	0.000506933188164	1	0.0121655441903	0.0661781938336	0.0386185606928	0.0114802948711	0.00687711054869	0.0240001818608	1	1	1	1	0.010367228414	1	1	1	0.00246121074331	0.00169635567777	0.0125933639766	3.29260558513e-05	0.000615331103275	1	0.0850057785999	0.07291343722	0.0108845508902	0.0285314092797	0.0381540277981	1	0.0546333336578	1	1	2.66152354816e-05	1	1
Toxoplasmosis	9.45805213908e-05	1	0.0443281508264	0.0611293236555	1	0.00384986932032	1	0.00138835075192	1	0.000270569954719	1	1	0.0373311208588	1	1	1	0.000357308696614	0.00360942133434	1	1	0.0232254810207	1	1	1	0.00333234171219	1	0.00271293618351	1	1	0.0945848774682	0.000259002934803	0.00861033480099	0.00241839269255	0.0171684052016	0.0177870105394	1	1	0.03732294092	2.82636693806e-05	0.031820754193	3.7374439025e-05	1	1	1	1	1	1	1
Tuberculosis	4.10611011858e-09	1	0.00145078685561	0.00705709351715	1	1.99494120523e-05	1	1.71182423792e-08	0.000695396520326	3.43943429293e-10	0.0650498021908	0.0353299752206	0.000269093540178	4.30874962598e-06	0.00200816464012	1	1.22714771122e-06	0.00529747471315	1	1	1	0.0968662273925	0.0700035083782	0.0357315504131	0.000142272467498	0.00439283209113	1.36825942387e-06	0.0357955458669	1	3.66269046925e-06	8.90017413757e-06	0.0059860367924	7.19448500774e-10	8.20546763869e-08	1.22536162681e-05	1	0.00082284631021	0.000624974581923	2.11501106628e-08	0.00778463009778	2.24756928624e-08	1	0.0174036008678	0.0439126977118	1	0.00361050965189	1	1
Type_I_diabetes_mellitus	2.78010463139e-06	0.0826217583685	0.0924067924838	1	1	0.0195989265774	1	1.13986355688e-07	1	6.57757922803e-05	1	1	0.065503005272	0.00308071352741	0.00952960621295	1	0.00112847864426	0.000462142606525	0.022040598456	0.00636341521437	0.0364595213281	1	0.0555099983744	1	7.39013498408e-06	1	2.46172121576e-08	1	1	0.012564483987	4.85770475959e-05	0.000356078464275	5.73258622794e-07	0.00174791207229	0.000305771925802	1	0.00315255745473	0.00815482460436	4.28812041431e-09	0.0782100511941	1.49060741195e-07	1	0.0587857670473	1	1	0.000552310488806	0.00447338832946	1
Viral_myocarditis	1.76779677608e-06	1	0.0295393095979	1	1	0.0474448274243	0.0309639537074	2.78616421912e-06	0.015569918248	0.000132796672533	0.0051130418041	1	0.0297480860103	0.00411900095762	0.000676145884158	0.00369452872924	0.00446867380204	0.000626182419033	0.000310503864876	0.00319588445642	0.0302682312073	1	1	1	1.11536522367e-05	1	1.00346799303e-06	1	1	1	3.73574595236e-06	2.1236002264e-05	8.53893919273e-06	0.0538239141972	0.000214582375381	0.0187888428485	0.00113443263145	0.00407920238779	3.22935456154e-10	0.000189332158769	1.69958333762e-06	1	0.00241594078203	0.00360832481333	0.0388658986567	0.00662759726616	0.0167259574471	0.00738885499515
p53_signaling_pathway	0.000501223134335	1	1	1	2.89840235351e-05	0.0438878897632	1	1	0.0649517140911	1	1	1	0.0266090913767	0.0827277507347	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0173416729928	1	1	1	0.0195489965914	1	1	1	1	0.0345765370717	0.0770294772895	1	1	1	1	1
