	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXN2	FOXO3	GTF2B	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POGK	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF22	ZNF267	ZNF274	ZNF281	ZNF32	ZNF322	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A	ZNF780A
ABC_transporters																																																ABCA1 TAP1																																																																														
Adherens_junction																							ACTB ACTG1																																																																									ACTB ACTG1																	ACTB ACTG1						ACTB ACTG1							
Adipocytokine_signaling_pathway							ACSL1 CD36			ACSL1 ACSL4 CD36 NFKB1 NFKBIA SOCS3											CD36 NFKB1 NFKBIA						ACSL1 ACSL4 CD36 NFKB1 NFKBIA PRKAA1 SOCS3										ACSL1 PCK2 SOCS3										ACSL1 ACSL4 CD36 SOCS3								ACSL1 NFKB1 NFKBIA PRKAA1															ACSL1 CD36 NFKB1 NFKBIA PCK2 SOCS3			ACSL1 CD36 NFKB1 NFKBIA PCK2 SOCS3			ACSL1 CD36 NFKB1 NFKBIA PCK2 PRKAA1 SOCS3			ACSL1 ACSL4 PCK2 SOCS3												ACSL1 ACSL4 CD36 NFKBIA		ACSL1 ACSL4 NFKBIA PCK2 PRKAA1																											CD36 PCK2 SOCS3						
African_trypanosomiasis			IL18 IL1B							ICAM1 IL18 IL1B											ICAM1 IL18 IL1B																																		ICAM1 IL18																								ICAM1 IDO1 IL18 IL1B														ICAM1 IDO1 IL18 IL1B							IDO1 IL18										IL18 IL1B																
Alanine,_aspartate_and_glutamate_metabolism				GLUL IL4I1																																										ASNS IL4I1																																										ASNS IL4I1							ASNS GLUL IL4I1																															
Aldosterone-regulated_sodium_reabsorption																																																																																		ATP1B1 HSD11B1																																												
Allograft_rejection				HLA-DMB HLA-E	CD40 CD86	HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		CD80 HLA-DMB		CD40 CD86 HLA-E					CD40 HLA-DRA							HLA-DQB1 HLA-DRA					CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5			HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5								HLA-DPA1 HLA-DRB1		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1	HLA-DMA HLA-DMB	CD40 CD80 HLA-A HLA-DMB		HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-A HLA-DMB HLA-E	CD40 HLA-DPB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-DMA HLA-E						CD80 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 HLA-E						CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E	HLA-DQA1 HLA-DQB1		CD40 HLA-DMA						CD40 CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E			CD40 CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD40 CD80 CD86 HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E			CD80 CD86 HLA-A HLA-DRA	CD80 HLA-A HLA-DMB HLA-E	CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		CD40 CD80 HLA-A HLA-E		HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD86 HLA-E		CD40 CD80 HLA-A HLA-DQA1 HLA-E	CD40 CD80 HLA-A	CD80 CD86 HLA-A HLA-E	HLA-DMA HLA-DMB HLA-E	CD86 HLA-DPA1 HLA-DPB1											CD80 CD86 HLA-DMA HLA-DMB HLA-E		CD86 HLA-A HLA-E							CD40 HLA-DMA						CD80 CD86 HLA-A						
Alzheimer's_disease					BID CALM2 CALM3 NDUFB9	ATP5G3 BID CALM1 CYCS IL1B NDUFB6 SNCA		MT-ATP6 MT-CO3 MT-CYB NDUFB9 SNCA								CYCS SNCA					CALM1 CALM3 COX5B IL1B MME SNCA																																ATP5G3 CYCS IL1B NDUFB6					ATP5G3 COX5B CYCS NDUFB6 NDUFB9 SNCA						CALM3 MT-ATP6 MT-CO3 MT-CYB NDUFB9 SNCA				CALM3 IL1B SNCA									BID CALM2 MT-ATP6 MT-CO3 MT-CYB NDUFB9		ATP5G3 BID CALM2 CALM3 COX5B CYCS IL1B NDUFB6 NDUFB9							CALM1 CALM3	IL1B MME	BID CALM1 CALM3 LPL NDUFB9																	ATP5G3 CALM2 CALM3 IL1B MT-ATP6 MT-CO3 MT-CYB NDUFB9	ATP5G3 IL1B															BID CALM2 CALM3 NDUFB9 SNCA					
Amino_sugar_and_nucleotide_sugar_metabolism		CHIT1 NPL						HEXB NPL				CHI3L1 CHIT1 NPL			CHI3L1 HEXB																																				CHI3L1 CHIT1 NPL																																											CHI3L1 CHIT1																																
Amoebiasis			IL1B PRKACB SERPINB1			CD14 HSPB1 IL1B SERPINB1 TLR2																CD14 TLR2					CD14 GNA15 HSPB1 IL1B NFKB1 SERPINB1 SERPINB9 TLR2										CD14 GNA15 IL1B TLR2					CD14 IL1B TLR2			CD14 SERPINB1																CD14 HSPB1 IL1B PRKACB SERPINB1 SERPINB9 TLR2																																	CD14 HSPB1 IL1B SERPINB9				GNA15 IL1B NFKB1 PRKACB TLR2																			CD14 PRKACB TLR2									
Amyotrophic_lateral_sclerosis_(ALS)						BID CYCS TNFRSF1B TOMM40																			CYCS TNFRSF1B TOMM40									CYCS SLC1A2 TOMM40																												BID CASP1															BID CASP1																																CYCS TNFRSF1B		CYCS TOMM40										BID SLC1A2					
Antigen_processing_and_presentation				HLA-DMB HLA-E LGMN		CD74 CTSS HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AA1 HSP90AB1 HSPA5 LGMN		CTSB HLA-DMB LGMN	HLA-E LGMN PSME1			CTSB HSP90AA1 PSME2 TAP1		HLA-DMA HSP90AA1 HSPA8 IFI30	CTSS HLA-DRA HSP90AA1			CALR CD74 PSME1 PSME2				CTSS HLA-DQB1 HLA-DRA HSPA5 HSPA8	HSP90AB1 HSPA5		CTSS HLA-DQA1 HSP90AA1 HSP90AB1 HSPA5 HSPA8 LGMN		CALR CD74 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	CALR CTSB CTSS HSP90AA1 HSP90AB1 HSPA5 HSPA8		CD74 HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 PSME1		CALR CTSS HLA-A HLA-DQA1 HSP90AB1 HSPA8 LGMN						CD74 HLA-DPA1 HLA-DRB1		HLA-DMA HLA-DQB1 HSP90AA1 HSP90AB1 HSPA8	CALR CD74 CTSS HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1 HSP90AA1 HSP90AB1 HSPA5 HSPA8 IFI30 PSME2	CTSB HLA-DMA HLA-DMB	HLA-A HLA-DMB PSME1 PSME2 TAP1		CD74 HLA-DPA1 HLA-DRA HLA-DRB1 IFI30	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E PSME1 PSME2 TAP1	HLA-A HLA-DMB HLA-E PSME1 PSME2 TAP1	HLA-DPB1 HLA-DRB5 HLA-E PSME1 TAP1	HLA-DMA HLA-E PSME1 PSME2 TAP1		HSPA1A IFI30 PSME2 TAP1	CTSB PSME2 TAP1			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 HLA-E			CTSB HLA-E IFI30 LGMN		CALR HLA-DRB1	CALR CD74 CTSS HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E HSP90AA1 HSPA5 HSPA8 IFI30 PSME1	HLA-DQA1 HLA-DQB1				CTSB HSP90AB1 HSPA8		CD74 HLA-DPA1	CTSS HSP90AA1 HSP90AB1	CALR CD74 CTSB CTSS HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E HSPA1A LGMN			CALR HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E PSME1 PSME2 TAP1	CD74 CTSB HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AA1 HSP90AB1 HSPA5 HSPA8 LGMN	CD74 HLA-DPA1 HLA-DPB1 HLA-DRA HSP90AB1	CALR CTSB HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E HSPA1A HSPA5 HSPA8 PSME1 TAP1				HLA-A HLA-DMB HLA-E HSPA5 HSPA8 LGMN PSME1 TAP1	CD74 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AB1 HSPA1A PSME1		CALR HLA-A HLA-E HSPA1A PSME1 PSME2		HLA-DMA HLA-DMB HSP90AA1 HSP90AB1	CD74 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HSP90AB1		HLA-E HSP90AB1 HSPA1A HSPA5 PSME1 PSME2	CTSB HSP90AB1 HSPA5 HSPA8			CALR HLA-A HLA-E HSPA8 TAP1	CALR CTSB HLA-DMA HLA-DMB HLA-E HSP90AA1 HSP90AB1 HSPA5 TAP1		CTSB HLA-E LGMN PSME1		HSP90AB1 PSME2		HLA-DMB HSPA5 LGMN				HSP90AA1 HSP90AB1 HSPA5		CALR HLA-DMA HLA-DMB HLA-E HSPA1A HSPA5 PSME1 PSME2		HLA-A HLA-E HSP90AA1 HSP90AB1 HSPA8 TAP1		CD74 CTSS HSP90AA1 HSP90AB1 HSPA8		HSP90AA1 HSP90AB1 HSPA8				CTSB HSP90AA1 LGMN						CD74 CTSB PSME1 PSME2		CD74 HLA-DMB		HSP90AA1 HSP90AB1	
Apoptosis										BIRC3 IL1B NFKB1 NFKBIA PRKACB											IL1B IL3RA NFKB1 NFKBIA			BIRC3 TNFSF10																									BIRC3 CFLAR PRKACB TNFSF10																					BID BIRC3 CYCS IL3RA NFKB1 NFKBIA PRKACB TNFSF10						BID CYCS IL1B IL3RA NFKB1 NFKBIA PRKACB TNFSF10			BID CYCS IL1B IL3RA PRKACB		BID IL1B IL3RA PRKACB										BIRC3 CFLAR NFKBIA PRKACB TNFSF10														CFLAR IL1B IL3RA NFKBIA PRKACB TNFSF10												NFKBIA PRKACB									
Arachidonic_acid_metabolism				PTGDS PTGES	GPX3 HPGDS LTA4H TBXAS1							ALOX5 CBR3 GPX3 LTA4H									CBR3 HPGDS PTGDS PTGES TBXAS1									ALOX5 CBR3 LTA4H PTGDS													ALOX5 HPGDS LTA4H TBXAS1						ALOX5 GPX3 LTA4H TBXAS1				GPX3 PTGES					CBR3 GPX3 PTGDS					LTA4H PTGDS TBXAS1																	ALOX5 GPX3 HPGDS LTA4H PTGES PTGS1	ALOX5 PTGDS PTGES	GPX3 PTGES	ALOX5 GPX3 HPGDS LTA4H PTGS1							ALOX5 HPGDS LTA4H PTGS1 TBXAS1										GPX3 PTGES																							GPX3 PTGES PTGS1			
Arginine_and_proline_metabolism														GLUL P4HA1								ALDH2 GLUL																GLUL SAT1							ALDH2 GLUL																													ALDH2 CKB GLUL P4HA1 SAT1																																			ALDH2 P4HA1																	
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)			ITGB8 SLC8A1																				ACTB ACTG1 ITGB7												ACTB ITGB8																														CTNNB1 ITGB8																															ACTB ACTG1																	ACTB ACTG1						ACTB ACTG1							
