TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
ETS2	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	141	18	0.0	0.0	C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1
NR1H3	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	180	17	0.0	0.0	C1QA C1QB C1QC C3 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR
FOS	KEGG-hsa04145	Phagosome	152	up	54	17	5.05484543112e-13	2.01299109603e-08	ACTG1 CD14 CD36 CLEC7A CORO1A CYBB FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 NCF2 TUBB2A TUBB4B
NFE2L2	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	155	15	4.21918056048e-12	1.6801620828e-07	C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 PTAFR
MEF2A	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	210	18	5.11046760465e-12	2.03503930485e-07	C1QA C1QB C1QC C2 C3 C3AR1 FCGR2A FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR
ETS2	KEGG-hsa05323	Rheumatoid_arthritis	91	up	141	18	5.82678350014e-12	2.32022518976e-07	CCL2 CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 IL18 IL1B TLR2
RUNX1	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	13	7	7.3805406231e-12	2.93885747071e-07	C1QA C1QB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
RBPJ	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	108	13	1.22766241617e-11	4.88830620871e-07	C1QA C1QB C2 C3AR1 FCGR2B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1
IRF3	KEGG-hsa05150	Staphylococcus_aureus_infection	55	up	28	8	9.06767994024e-11	3.61047812181e-06	C1QA C1QB C1QC C3AR1 FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1
ETS2	KEGG-hsa05140	Leishmaniasis	72	up	141	15	9.39637256892e-11	3.74125970204e-06	FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2
