	ASCL2	ATF3	FOXO3	HMG20B	HMGA1	HMGN3	KLF10	KLF3	KLF6	NR3C1	PKNOX1	PLSCR1	YBX1
Allograft_rejection	1	0.00194738018058	1	1	1	1	1	1	0.132608415536	1	1	1	1
Antigen_processing_and_presentation	1	0.0014641603089	1	1	1	1	1	1	1	1	1	1	1
Asthma	1	0.0113097165949	1	1	1	1	1	1	0.0499655635932	1	1	1	1
Autoimmune_thyroid_disease	1	0.0212826905636	1	1	1	1	1	1	0.511652520694	1	1	1	1
Cell_adhesion_molecules_(CAMs)	1	0.17562287149	1	1	1	1	1	1	1	1	1	1	1
Chagas_disease_(American_trypanosomiasis)	1	1	1	1	1	1	1	1	1	1	0.184334266973	1	1
Chemokine_signaling_pathway	1	1	1	1	0.270033049775	0.339148646286	1	1	1	1	0.0875104816579	1	0.000286514224267
Cytokine-cytokine_receptor_interaction	0.55410316774	1	1	1	0.000665846061297	0.0138985867438	1	1	1	1	0.000171539813159	1	0.0265948175558
Cytosolic_DNA-sensing_pathway	1	1	1	1	1	1	1	1	1	1	0.8913153572	1	1
Graft-versus-host_disease	1	0.000181945422799	1	1	1	1	1	1	0.219637522099	1	1	1	1
Hematopoietic_cell_lineage	1	0.676038662357	1	1	1	1	1	1	1	1	1	1	1
Intestinal_immune_network_for_IgA_production	1	0.00907803467803	1	1	1	1	1	1	0.315065845396	1	1	1	1
Leishmaniasis	1	0.000714261383519	1	0.513970742486	1	1	1	1	0.0527676812306	1	0.588364091793	1	1
Measles	1	1	1	1	1	1	1	1	1	1	0.0016275428317	1	1
Mineral_absorption	1	1	1	0.09201698019	1	0.0691489078365	0.000216038988545	2.05673559655e-05	1	1	1	1	0.00636627874346
Osteoclast_differentiation	1	1	1	1	1	1	1	1	1	1	0.0257084895862	1	1
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	1	1	1	7.19269554906e-05	1
PPAR_signaling_pathway	1	1	1	1	1	1	1	1	1	0.583148048201	1	1	1
Parkinson's_disease	1	1	1	1	1	1	1	1	1	1	1	6.70940158987e-05	1
Pathogenic_Escherichia_coli_infection	1	1	0.00279457844485	1	1	1	1	1	1	1	1	1	1
Phagosome	1	0.000487754945386	0.0132741785543	1	1	0.53404988061	1	1	0.105778815362	1	1	1	1
Rheumatoid_arthritis	1	0.00572092155516	1	1	1	1	1	1	1	1	0.0357424508172	1	0.570038162341
Staphylococcus_aureus_infection	1	6.04145642904e-05	1	0.134613001126	0.00505104963873	1	1	1	0.593657555321	1	4.03321361988e-05	1	1
Systemic_lupus_erythematosus	1	1	1	1	1	1	1	1	1	1	0.993736478809	1	1
Toll-like_receptor_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	0.00145697495075
Toxoplasmosis	1	0.145970145171	1	1	1	1	1	1	1	1	1	1	1
Tuberculosis	1	2.90678516287e-05	1	1	1	1	1	1	1	1	1	1	1
Type_I_diabetes_mellitus	1	0.000220761755345	1	1	1	1	1	1	0.241141873472	1	1	1	1
Viral_myocarditis	1	0.160688565059	1	1	1	1	1	1	1	1	1	1	1
